# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 49185.399999999994
# --> AL_DowExpt1_220227_01146fe9-c5fe-4e08-be5d-13ccce9ea5a4_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.429278e+00
  4.756484e-03    1.262511e+00
  5.055415e-03    1.068015e+00
  5.354345e-03    8.874386e-01
  5.653276e-03    7.608524e-01
  5.952206e-03    1.611921e+00
  6.251136e-03    1.494859e+00
  6.550067e-03    1.305215e+00
  6.848997e-03    1.095688e+00
  7.147927e-03    9.049465e-01
  7.446858e-03    7.536970e-01
  7.745788e-03    6.285001e-01
  8.044719e-03    5.264539e-01
  8.343649e-03    4.469387e-01
  8.642579e-03    3.809303e-01
  8.941510e-03    3.271191e-01
  9.240440e-03    2.820191e-01
  9.539371e-03    2.432610e-01
  9.838301e-03    2.111031e-01
  1.013723e-02    1.848728e-01
  1.043616e-02    1.624043e-01
  1.073509e-02    1.417224e-01
  1.103402e-02    1.250923e-01
  1.133295e-02    1.108176e-01
  1.163188e-02    9.888715e-02
  1.193081e-02    8.848139e-02
  1.222974e-02    7.929506e-02
  1.252867e-02    7.123333e-02
  1.282760e-02    6.428133e-02
  1.312654e-02    5.808500e-02
  1.342547e-02    5.263705e-02
  1.372440e-02    4.780063e-02
  1.402333e-02    4.349071e-02
  1.432226e-02    3.960687e-02
  1.462119e-02    3.613145e-02
  1.492012e-02    3.321643e-02
  1.521905e-02    3.040045e-02
  1.551798e-02    2.786842e-02
  1.581691e-02    2.561485e-02
  1.611584e-02    2.363770e-02
  1.641477e-02    2.184419e-02
  1.671370e-02    2.017116e-02
  1.701263e-02    1.861786e-02
  1.731156e-02    1.723591e-02
  1.761049e-02    1.598561e-02
  1.790942e-02    1.478164e-02
  1.820835e-02    1.378559e-02
  1.850728e-02    1.283789e-02
  1.880621e-02    1.196502e-02
  1.910514e-02    1.117810e-02
  1.940407e-02    1.041929e-02
  1.970300e-02    9.731178e-03
  2.000193e-02    9.121954e-03
  2.030086e-02    8.529508e-03
  2.059979e-02    8.007288e-03
  2.089873e-02    7.535744e-03
  2.119766e-02    7.077238e-03
  2.149659e-02    6.643010e-03
  2.179552e-02    6.249630e-03
  2.209445e-02    5.918928e-03
  2.239338e-02    5.575414e-03
  2.269231e-02    5.236478e-03
  2.299124e-02    4.949836e-03
  2.329017e-02    4.688243e-03
  2.358910e-02    4.435685e-03
  2.388803e-02    4.182871e-03
  2.418696e-02    3.949624e-03
  2.448589e-02    3.758271e-03
  2.478482e-02    3.559816e-03
  2.508375e-02    3.384173e-03
  2.538268e-02    3.232626e-03
  2.568161e-02    3.060803e-03
  2.598054e-02    2.896445e-03
  2.627947e-02    2.754085e-03
  2.657840e-02    2.637595e-03
  2.687733e-02    2.511774e-03
  2.717626e-02    2.394530e-03
  2.747519e-02    2.282819e-03
  2.777412e-02    2.173372e-03
  2.807305e-02    2.077902e-03
  2.837198e-02    1.986624e-03
  2.867092e-02    1.900246e-03
  2.896985e-02    1.828559e-03
  2.926878e-02    1.755031e-03
  2.956771e-02    1.678148e-03
  2.986664e-02    1.607112e-03
  3.016557e-02    1.548675e-03
  3.046450e-02    1.484850e-03
  3.076343e-02    1.419406e-03
  3.106236e-02    1.361123e-03
  3.136129e-02    1.306637e-03
  3.166022e-02    1.249169e-03
  3.195915e-02    1.196567e-03
  3.225808e-02    1.149619e-03
  3.255701e-02    1.118009e-03
  3.285594e-02    1.085738e-03
  3.315487e-02    1.041634e-03
  3.345380e-02    9.992423e-04
  3.375273e-02    9.601777e-04
  3.405166e-02    9.305133e-04
  3.435059e-02    8.943600e-04
  3.464952e-02    8.639828e-04
  3.494845e-02    8.359880e-04
  3.524738e-02    8.016985e-04
  3.554631e-02    7.748954e-04
  3.584524e-02    7.566646e-04
  3.614417e-02    7.303595e-04
  3.644310e-02    6.948467e-04
  3.674204e-02    6.705642e-04
  3.704097e-02    6.530945e-04
  3.733990e-02    6.332023e-04
  3.763883e-02    6.133832e-04
  3.793776e-02    5.907522e-04
  3.823669e-02    5.714986e-04
  3.853562e-02    5.580317e-04
  3.883455e-02    5.372831e-04
  3.913348e-02    5.174961e-04
  3.943241e-02    5.067941e-04
  3.973134e-02    4.922451e-04
  4.003027e-02    4.747954e-04
  4.032920e-02    4.681759e-04
  4.062813e-02    4.504400e-04
  4.092706e-02    4.383029e-04
  4.122599e-02    4.281608e-04
  4.152492e-02    4.134039e-04
  4.182385e-02    4.052845e-04
  4.212278e-02    3.934392e-04
  4.242171e-02    3.802563e-04
  4.272064e-02    3.713616e-04
  4.301957e-02    3.624470e-04
  4.331850e-02    3.537977e-04
  4.361743e-02    3.418932e-04
  4.391636e-02    3.325866e-04
  4.421529e-02    3.252838e-04
  4.451423e-02    3.157863e-04
  4.481316e-02    3.095951e-04
  4.511209e-02    3.018417e-04
  4.541102e-02    2.961988e-04
  4.570995e-02    2.891813e-04
  4.600888e-02    2.823703e-04
  4.630781e-02    2.740512e-04
  4.660674e-02    2.694276e-04
  4.690567e-02    2.641337e-04
  4.720460e-02    2.587709e-04
  4.750353e-02    2.540893e-04
  4.780246e-02    2.459329e-04
  4.810139e-02    2.419426e-04
  4.840032e-02    2.369348e-04
  4.869925e-02    2.287923e-04
  4.899818e-02    2.245655e-04
  4.929711e-02    2.227210e-04
  4.959604e-02    2.179728e-04
  4.989497e-02    2.114939e-04
  5.019390e-02    2.070931e-04
  5.049283e-02    2.044677e-04
  5.079176e-02    2.040535e-04
  5.109069e-02    2.016030e-04
  5.138962e-02    1.925505e-04
  5.168855e-02    1.934735e-04
  5.198748e-02    1.980330e-04
  5.228642e-02    1.952576e-04
  5.258535e-02    1.907038e-04
  5.288428e-02    1.843599e-04
  5.318321e-02    1.759224e-04
  5.348214e-02    1.724185e-04
  5.378107e-02    1.697678e-04
  5.408000e-02    1.689559e-04
  5.437893e-02    1.649478e-04
  5.467786e-02    1.615853e-04
  5.497679e-02    1.573026e-04
  5.527572e-02    1.532871e-04
  5.557465e-02    1.526799e-04
  5.587358e-02    1.493364e-04
  5.617251e-02    1.488738e-04
  5.647144e-02    1.455710e-04
  5.677037e-02    1.449641e-04
  5.706930e-02    1.417610e-04
  5.736823e-02    1.394722e-04
  5.766716e-02    1.372058e-04
  5.796609e-02    1.376068e-04
  5.826502e-02    1.337647e-04
  5.856395e-02    1.309549e-04
  5.886288e-02    1.301997e-04
  5.916181e-02    1.299973e-04
  5.946074e-02    1.268319e-04
  5.975967e-02    1.248579e-04
  6.005861e-02    1.248452e-04
  6.035754e-02    1.233715e-04
  6.065647e-02    1.231900e-04
  6.095540e-02    1.202567e-04
  6.125433e-02    1.228160e-04
  6.155326e-02    1.214761e-04
  6.185219e-02    1.192456e-04
  6.215112e-02    1.163045e-04
  6.245005e-02    1.140541e-04
  6.274898e-02    1.144685e-04
  6.304791e-02    1.117534e-04
  6.334684e-02    1.108406e-04
  6.364577e-02    1.102196e-04
  6.394470e-02    1.086249e-04
  6.424363e-02    1.058719e-04
  6.454256e-02    1.074855e-04
  6.484149e-02    1.061241e-04
  6.514042e-02    1.032513e-04
  6.543935e-02    1.021799e-04
  6.573828e-02    1.012088e-04
  6.603721e-02    1.013178e-04
  6.633614e-02    1.013175e-04
  6.663507e-02    1.003928e-04
  6.693400e-02    9.807597e-05
  6.723293e-02    9.674180e-05
  6.753186e-02    9.707831e-05
  6.783080e-02    9.793216e-05
  6.812973e-02    9.806746e-05
  6.842866e-02    9.606685e-05
  6.872759e-02    9.357012e-05
  6.902652e-02    9.153946e-05
  6.932545e-02    9.239221e-05
  6.962438e-02    9.213584e-05
  6.992331e-02    9.183134e-05
  7.022224e-02    9.166998e-05
  7.052117e-02    9.169352e-05
  7.082010e-02    9.064911e-05
  7.111903e-02    9.009392e-05
  7.141796e-02    8.841455e-05
  7.171689e-02    8.914094e-05
  7.201582e-02    8.734984e-05
  7.231475e-02    8.626877e-05
  7.261368e-02    8.840040e-05
  7.291261e-02    8.810925e-05
  7.321154e-02    8.716486e-05
  7.351047e-02    8.610456e-05
  7.380940e-02    8.486676e-05
  7.410833e-02    8.411744e-05
  7.440726e-02    8.275594e-05
  7.470619e-02    8.253640e-05
  7.500512e-02    8.155438e-05
  7.530405e-02    8.166402e-05
  7.560299e-02    8.377864e-05
  7.590192e-02    8.264164e-05
  7.620085e-02    8.060534e-05
  7.649978e-02    7.979557e-05
  7.679871e-02    7.916357e-05
  7.709764e-02    7.886549e-05
  7.739657e-02    7.771501e-05
  7.769550e-02    7.811113e-05
  7.799443e-02    7.827416e-05
  7.829336e-02    7.769362e-05
  7.859229e-02    7.693951e-05
  7.889122e-02    7.719711e-05
  7.919015e-02    7.651548e-05
  7.948908e-02    7.561785e-05
  7.978801e-02    7.497313e-05
  8.008694e-02    7.411039e-05
  8.038587e-02    7.428761e-05
  8.068480e-02    7.389815e-05
  8.098373e-02    7.398514e-05
  8.128266e-02    7.341347e-05
  8.158159e-02    7.356994e-05
  8.188052e-02    7.322885e-05
  8.217945e-02    7.279164e-05
  8.247838e-02    7.293552e-05
  8.277731e-02    7.058746e-05
  8.307624e-02    6.903140e-05
  8.337518e-02    6.923676e-05
  8.367411e-02    6.916898e-05
  8.397304e-02    6.825993e-05
  8.427197e-02    6.779024e-05
  8.457090e-02    6.692665e-05
  8.486983e-02    6.713057e-05
  8.516876e-02    6.644123e-05
  8.546769e-02    6.707653e-05
  8.576662e-02    6.644875e-05
  8.606555e-02    6.541659e-05
  8.636448e-02    6.599912e-05
  8.666341e-02    6.730822e-05
  8.696234e-02    6.615221e-05
  8.726127e-02    6.562735e-05
  8.756020e-02    6.551725e-05
  8.785913e-02    6.446862e-05
  8.815806e-02    6.255949e-05
  8.845699e-02    6.257310e-05
  8.875592e-02    6.223400e-05
  8.905485e-02    6.088998e-05
  8.935378e-02    6.147903e-05
  8.965271e-02    6.091405e-05
  8.995164e-02    6.122111e-05
  9.025057e-02    6.105302e-05
  9.054950e-02    6.128716e-05
  9.084843e-02    6.112845e-05
  9.114737e-02    5.978839e-05
  9.144630e-02    5.876106e-05
  9.174523e-02    5.827193e-05
  9.204416e-02    5.794552e-05
  9.234309e-02    5.947748e-05
  9.264202e-02    5.896726e-05
  9.294095e-02    5.743821e-05
  9.323988e-02    5.753439e-05
  9.353881e-02    5.739793e-05
  9.383774e-02    5.673262e-05
  9.413667e-02    5.667944e-05
  9.443560e-02    5.764111e-05
  9.473453e-02    5.762430e-05
  9.503346e-02    5.662817e-05
  9.533239e-02    5.551573e-05
  9.563132e-02    5.548052e-05
  9.593025e-02    5.495793e-05
  9.622918e-02    5.575782e-05
  9.652811e-02    5.572827e-05
  9.682704e-02    5.562439e-05
  9.712597e-02    5.593018e-05
  9.742490e-02    5.675060e-05
  9.772383e-02    5.545218e-05
  9.802276e-02    5.368441e-05
  9.832169e-02    5.461607e-05
  9.862062e-02    5.503232e-05
  9.891956e-02    5.280992e-05
  9.921849e-02    5.201703e-05
  9.951742e-02    5.279733e-05
  9.981635e-02    5.293366e-05
  1.001153e-01    5.229130e-05
  1.004142e-01    5.149417e-05
  1.007131e-01    5.161806e-05
  1.010121e-01    5.145102e-05
  1.013110e-01    5.085062e-05
  1.016099e-01    5.046446e-05
  1.019089e-01    4.994395e-05
  1.022078e-01    5.079745e-05
  1.025067e-01    5.070469e-05
  1.028057e-01    5.002983e-05
  1.031046e-01    4.955567e-05
  1.034035e-01    4.966108e-05
  1.037024e-01    4.961246e-05
  1.040014e-01    4.815922e-05
  1.043003e-01    4.813422e-05
  1.045992e-01    4.792265e-05
  1.048982e-01    4.781919e-05
  1.051971e-01    4.787893e-05
  1.054960e-01    4.823890e-05
  1.057950e-01    4.771405e-05
  1.060939e-01    4.730454e-05
  1.063928e-01    4.723625e-05
  1.066917e-01    4.713215e-05
  1.069907e-01    4.769357e-05
  1.072896e-01    4.793976e-05
  1.075885e-01    4.715965e-05
  1.078875e-01    4.652713e-05
  1.081864e-01    4.573157e-05
  1.084853e-01    4.642002e-05
  1.087843e-01    4.653418e-05
  1.090832e-01    4.410190e-05
  1.093821e-01    4.519639e-05
  1.096810e-01    4.722758e-05
  1.099800e-01    4.726943e-05
  1.102789e-01    4.623190e-05
  1.105778e-01    4.553884e-05
  1.108768e-01    4.444503e-05
  1.111757e-01    4.520712e-05
  1.114746e-01    4.610176e-05
  1.117736e-01    4.546202e-05
  1.120725e-01    4.467291e-05
  1.123714e-01    4.562030e-05
  1.126704e-01    4.551694e-05
  1.129693e-01    4.575635e-05
  1.132682e-01    4.450810e-05
  1.135671e-01    4.291429e-05
  1.138661e-01    4.232565e-05
  1.141650e-01    4.292508e-05
  1.144639e-01    4.060462e-05
  1.147629e-01    3.924711e-05
  1.150618e-01    4.048896e-05
  1.153607e-01    4.238553e-05
  1.156597e-01    4.090080e-05
  1.159586e-01    3.871743e-05
  1.162575e-01    3.906027e-05
  1.165564e-01    3.910944e-05
  1.168554e-01    3.882343e-05
  1.171543e-01    4.172068e-05
  1.174532e-01    4.370906e-05
  1.177522e-01    4.110549e-05
  1.180511e-01    4.197938e-05
  1.183500e-01    4.408103e-05
  1.186490e-01    4.489030e-05
  1.189479e-01    4.122611e-05
  1.192468e-01    4.074376e-05
  1.195458e-01    4.479633e-05
  1.198447e-01    3.905672e-05
  1.201436e-01    3.710572e-05
  1.204425e-01    4.134284e-05
  1.207415e-01    3.751573e-05
  1.210404e-01    4.069931e-05
  1.213393e-01    0.000000e+00
  1.216383e-01    0.000000e+00
  1.219372e-01    0.000000e+00
  1.222361e-01    0.000000e+00
  1.225351e-01    0.000000e+00
  1.228340e-01    0.000000e+00
  1.231329e-01    0.000000e+00
  1.234318e-01    0.000000e+00
  1.237308e-01    0.000000e+00
  1.240297e-01    0.000000e+00
  1.243286e-01    0.000000e+00
  1.246276e-01    0.000000e+00
  1.249265e-01    0.000000e+00
  1.252254e-01    0.000000e+00
  1.255244e-01    0.000000e+00
  1.258233e-01    0.000000e+00
  1.261222e-01    0.000000e+00
  1.264212e-01    0.000000e+00
  1.267201e-01    0.000000e+00
  1.270190e-01    0.000000e+00
  1.273179e-01    0.000000e+00
  1.276169e-01    0.000000e+00
  1.279158e-01    0.000000e+00
  1.282147e-01    0.000000e+00
  1.285137e-01    0.000000e+00
  1.288126e-01    0.000000e+00
  1.291115e-01    0.000000e+00
  1.294105e-01    0.000000e+00
  1.297094e-01    0.000000e+00
  1.300083e-01    0.000000e+00
  1.303072e-01    0.000000e+00
  1.306062e-01    0.000000e+00
  1.309051e-01    0.000000e+00
