# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 23560.960000000003
# --> AL_DowExpt1_220227_09b7223b-bd6e-4a1e-91ba-6007efd211f0_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    4.576159e-01
  4.756484e-03    3.954656e-01
  5.055415e-03    3.283811e-01
  5.354345e-03    2.664073e-01
  5.653276e-03    2.241787e-01
  5.952206e-03    4.721611e-01
  6.251136e-03    4.406831e-01
  6.550067e-03    3.861232e-01
  6.848997e-03    3.243493e-01
  7.147927e-03    2.677573e-01
  7.446858e-03    2.213900e-01
  7.745788e-03    1.834673e-01
  8.044719e-03    1.528906e-01
  8.343649e-03    1.298746e-01
  8.642579e-03    1.109714e-01
  8.941510e-03    9.540550e-02
  9.240440e-03    8.259732e-02
  9.539371e-03    7.175482e-02
  9.838301e-03    6.242353e-02
  1.013723e-02    5.478439e-02
  1.043616e-02    4.827106e-02
  1.073509e-02    4.237853e-02
  1.103402e-02    3.741751e-02
  1.133295e-02    3.313112e-02
  1.163188e-02    2.967552e-02
  1.193081e-02    2.660724e-02
  1.222974e-02    2.378576e-02
  1.252867e-02    2.151112e-02
  1.282760e-02    1.941000e-02
  1.312654e-02    1.755197e-02
  1.342547e-02    1.593304e-02
  1.372440e-02    1.448893e-02
  1.402333e-02    1.313653e-02
  1.432226e-02    1.202545e-02
  1.462119e-02    1.097685e-02
  1.492012e-02    1.008552e-02
  1.521905e-02    9.272907e-03
  1.551798e-02    8.551607e-03
  1.581691e-02    7.880345e-03
  1.611584e-02    7.266430e-03
  1.641477e-02    6.691432e-03
  1.671370e-02    6.154082e-03
  1.701263e-02    5.688934e-03
  1.731156e-02    5.315558e-03
  1.761049e-02    4.990952e-03
  1.790942e-02    4.614705e-03
  1.820835e-02    4.283016e-03
  1.850728e-02    3.995098e-03
  1.880621e-02    3.717391e-03
  1.910514e-02    3.466672e-03
  1.940407e-02    3.258114e-03
  1.970300e-02    3.039409e-03
  2.000193e-02    2.861835e-03
  2.030086e-02    2.668475e-03
  2.059979e-02    2.529415e-03
  2.089873e-02    2.390529e-03
  2.119766e-02    2.246584e-03
  2.149659e-02    2.111420e-03
  2.179552e-02    1.994950e-03
  2.209445e-02    1.909588e-03
