# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 284.40000000000003
# --> AL_DowExpt1_220227_0c75284c-679a-4a3f-9cf4-b2116dad6e31_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.172070e+02
  4.756484e-03    1.021087e+02
  5.055415e-03    8.499516e+01
  5.354345e-03    7.005844e+01
  5.653276e-03    5.991217e+01
  5.952206e-03    1.189542e+02
  6.251136e-03    1.095771e+02
  6.550067e-03    9.515015e+01
  6.848997e-03    7.970680e+01
  7.147927e-03    6.583949e+01
  7.446858e-03    5.474115e+01
  7.745788e-03    4.566543e+01
  8.044719e-03    3.829876e+01
  8.343649e-03    3.255794e+01
  8.642579e-03    2.777484e+01
  8.941510e-03    2.384298e+01
  9.240440e-03    2.061702e+01
  9.539371e-03    1.784722e+01
  9.838301e-03    1.551298e+01
  1.013723e-02    1.359656e+01
  1.043616e-02    1.197743e+01
  1.073509e-02    1.048862e+01
  1.103402e-02    9.279735e+00
  1.133295e-02    8.252059e+00
  1.163188e-02    7.360911e+00
  1.193081e-02    6.580402e+00
  1.222974e-02    5.915161e+00
  1.252867e-02    5.344126e+00
  1.282760e-02    4.832668e+00
  1.312654e-02    4.372071e+00
  1.342547e-02    3.975821e+00
  1.372440e-02    3.608237e+00
  1.402333e-02    3.293270e+00
  1.432226e-02    3.008361e+00
  1.462119e-02    2.748297e+00
  1.492012e-02    2.520776e+00
  1.521905e-02    2.310322e+00
  1.551798e-02    2.123737e+00
  1.581691e-02    1.954111e+00
  1.611584e-02    1.806197e+00
  1.641477e-02    1.670966e+00
  1.671370e-02    1.545025e+00
  1.701263e-02    1.430157e+00
  1.731156e-02    1.328506e+00
  1.761049e-02    1.234918e+00
  1.790942e-02    1.152532e+00
  1.820835e-02    1.074198e+00
  1.850728e-02    1.002862e+00
  1.880621e-02    9.342477e-01
  1.910514e-02    8.698028e-01
  1.940407e-02    8.165265e-01
  1.970300e-02    7.678133e-01
  2.000193e-02    7.196180e-01
  2.030086e-02    6.736244e-01
  2.059979e-02    6.324771e-01
  2.089873e-02    5.928270e-01
  2.119766e-02    5.596374e-01
  2.149659e-02    5.302125e-01
  2.179552e-02    4.971536e-01
  2.209445e-02    4.707483e-01
  2.239338e-02    4.463648e-01
  2.269231e-02    4.193296e-01
  2.299124e-02    3.977458e-01
  2.329017e-02    3.773581e-01
  2.358910e-02    3.582747e-01
  2.388803e-02    3.375543e-01
  2.418696e-02    3.175397e-01
  2.448589e-02    3.029632e-01
  2.478482e-02    2.888961e-01
  2.508375e-02    2.738323e-01
  2.538268e-02    2.619199e-01
  2.568161e-02    2.505733e-01
  2.598054e-02    2.386475e-01
  2.627947e-02    2.282325e-01
  2.657840e-02    2.178391e-01
  2.687733e-02    2.075733e-01
  2.717626e-02    1.983552e-01
  2.747519e-02    1.899122e-01
  2.777412e-02    1.813084e-01
  2.807305e-02    1.737600e-01
  2.837198e-02    1.670832e-01
  2.867092e-02    1.605650e-01
  2.896985e-02    1.542162e-01
  2.926878e-02    1.490795e-01
  2.956771e-02    1.426247e-01
  2.986664e-02    1.368025e-01
  3.016557e-02    1.323498e-01
  3.046450e-02    1.263475e-01
  3.076343e-02    1.214283e-01
  3.106236e-02    1.162374e-01
  3.136129e-02    1.117560e-01
  3.166022e-02    1.094465e-01
  3.195915e-02    1.063117e-01
  3.225808e-02    1.011178e-01
  3.255701e-02    9.770702e-02
  3.285594e-02    9.331838e-02
  3.315487e-02    8.963969e-02
  3.345380e-02    8.859207e-02
  3.375273e-02    8.606713e-02
  3.405166e-02    8.270508e-02
  3.435059e-02    7.926702e-02
  3.464952e-02    7.686608e-02
  3.494845e-02    7.485687e-02
  3.524738e-02    7.228132e-02
  3.554631e-02    6.971421e-02
  3.584524e-02    6.803593e-02
  3.614417e-02    6.724095e-02
  3.644310e-02    6.477127e-02
  3.674204e-02    6.213838e-02
  3.704097e-02    5.936491e-02
  3.733990e-02    5.777030e-02
  3.763883e-02    5.655345e-02
  3.793776e-02    5.532622e-02
  3.823669e-02    5.395582e-02
  3.853562e-02    5.268920e-02
  3.883455e-02    5.111698e-02
  3.913348e-02    5.016604e-02
  3.943241e-02    4.907965e-02
  3.973134e-02    4.788588e-02
  4.003027e-02    4.660142e-02
  4.032920e-02    4.519390e-02
  4.062813e-02    4.431720e-02
  4.092706e-02    4.334418e-02
  4.122599e-02    4.218435e-02
  4.152492e-02    4.078947e-02
  4.182385e-02    4.035270e-02
  4.212278e-02    3.936635e-02
  4.242171e-02    3.875750e-02
  4.272064e-02    3.830432e-02
  4.301957e-02    3.788618e-02
  4.331850e-02    3.659618e-02
  4.361743e-02    3.544736e-02
  4.391636e-02    3.512823e-02
  4.421529e-02    3.464644e-02
  4.451423e-02    3.387110e-02
  4.481316e-02    3.330679e-02
  4.511209e-02    3.247628e-02
  4.541102e-02    3.185399e-02
  4.570995e-02    3.159913e-02
  4.600888e-02    3.152826e-02
  4.630781e-02    3.108070e-02
  4.660674e-02    3.027586e-02
  4.690567e-02    2.949242e-02
  4.720460e-02    2.882537e-02
  4.750353e-02    2.816486e-02
  4.780246e-02    2.808624e-02
  4.810139e-02    2.807494e-02
  4.840032e-02    2.801135e-02
  4.869925e-02    2.756008e-02
  4.899818e-02    2.662538e-02
  4.929711e-02    2.610274e-02
  4.959604e-02    2.587862e-02
  4.989497e-02    2.582266e-02
  5.019390e-02    2.597110e-02
  5.049283e-02    2.564650e-02
  5.079176e-02    2.523753e-02
  5.109069e-02    2.498853e-02
