# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 30639.36
# --> AL_DowExpt1_220227_22bcedb4-ea5b-4267-a0b7-a2f1a7ede658_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.814931e+00
  4.756484e-03    3.357244e+00
  5.055415e-03    2.807296e+00
  5.354345e-03    2.302316e+00
  5.653276e-03    1.943771e+00
  5.952206e-03    3.301712e+00
  6.251136e-03    3.072057e+00
  6.550067e-03    2.693849e+00
  6.848997e-03    2.269923e+00
  7.147927e-03    1.878274e+00
  7.446858e-03    1.563577e+00
  7.745788e-03    1.302971e+00
  8.044719e-03    1.087438e+00
  8.343649e-03    9.196851e-01
  8.642579e-03    7.802421e-01
  8.941510e-03    6.656801e-01
  9.240440e-03    5.706232e-01
  9.539371e-03    4.904771e-01
  9.838301e-03    4.234396e-01
  1.013723e-02    3.682809e-01
  1.043616e-02    3.212250e-01
  1.073509e-02    2.792361e-01
  1.103402e-02    2.456158e-01
  1.133295e-02    2.165102e-01
  1.163188e-02    1.919426e-01
  1.193081e-02    1.709461e-01
  1.222974e-02    1.526264e-01
  1.252867e-02    1.368238e-01
  1.282760e-02    1.229695e-01
  1.312654e-02    1.107653e-01
  1.342547e-02    1.000940e-01
  1.372440e-02    9.047362e-02
  1.402333e-02    8.188137e-02
  1.432226e-02    7.438736e-02
  1.462119e-02    6.770705e-02
  1.492012e-02    6.186320e-02
  1.521905e-02    5.658293e-02
  1.551798e-02    5.194714e-02
  1.581691e-02    4.763582e-02
  1.611584e-02    4.371368e-02
  1.641477e-02    4.018633e-02
  1.671370e-02    3.700335e-02
  1.701263e-02    3.420079e-02
  1.731156e-02    3.165978e-02
  1.761049e-02    2.929407e-02
  1.790942e-02    2.717132e-02
  1.820835e-02    2.525987e-02
  1.850728e-02    2.350078e-02
  1.880621e-02    2.185822e-02
  1.910514e-02    2.030607e-02
  1.940407e-02    1.898470e-02
  1.970300e-02    1.774928e-02
  2.000193e-02    1.658827e-02
  2.030086e-02    1.552873e-02
  2.059979e-02    1.450158e-02
  2.089873e-02    1.358242e-02
  2.119766e-02    1.276982e-02
  2.149659e-02    1.198313e-02
  2.179552e-02    1.126623e-02
  2.209445e-02    1.063440e-02
  2.239338e-02    9.997371e-03
  2.269231e-02    9.420099e-03
  2.299124e-02    8.916438e-03
  2.329017e-02    8.420973e-03
  2.358910e-02    7.957135e-03
  2.388803e-02    7.498457e-03
  2.418696e-02    7.081110e-03
  2.448589e-02    6.730956e-03
  2.478482e-02    6.369417e-03
  2.508375e-02    6.043696e-03
  2.538268e-02    5.769092e-03
  2.568161e-02    5.464274e-03
  2.598054e-02    5.174124e-03
  2.627947e-02    4.905305e-03
  2.657840e-02    4.683336e-03
  2.687733e-02    4.479867e-03
  2.717626e-02    4.274414e-03
  2.747519e-02    4.060347e-03
  2.777412e-02    3.879622e-03
  2.807305e-02    3.704730e-03
  2.837198e-02    3.546711e-03
  2.867092e-02    3.377406e-03
  2.896985e-02    3.209755e-03
  2.926878e-02    3.077548e-03
  2.956771e-02    2.961809e-03
  2.986664e-02    2.841349e-03
  3.016557e-02    2.706727e-03
  3.046450e-02    2.591551e-03
  3.076343e-02    2.476047e-03
  3.106236e-02    2.371670e-03
  3.136129e-02    2.270179e-03
  3.166022e-02    2.194806e-03
  3.195915e-02    2.115055e-03
  3.225808e-02    2.021908e-03
  3.255701e-02    1.939068e-03
  3.285594e-02    1.868079e-03
  3.315487e-02    1.794446e-03
  3.345380e-02    1.732586e-03
  3.375273e-02    1.672688e-03
  3.405166e-02    1.596807e-03
  3.435059e-02    1.534161e-03
  3.464952e-02    1.473980e-03
  3.494845e-02    1.423225e-03
  3.524738e-02    1.384743e-03
  3.554631e-02    1.324086e-03
  3.584524e-02    1.272580e-03
  3.614417e-02    1.244682e-03
  3.644310e-02    1.210538e-03
  3.674204e-02    1.153981e-03
  3.704097e-02    1.109733e-03
  3.733990e-02    1.075396e-03
  3.763883e-02    1.044553e-03
  3.793776e-02    1.011145e-03
  3.823669e-02    9.743613e-04
  3.853562e-02    9.300609e-04
  3.883455e-02    9.002651e-04
  3.913348e-02    8.909432e-04
  3.943241e-02    8.617410e-04
  3.973134e-02    8.217617e-04
  4.003027e-02    7.982838e-04
  4.032920e-02    7.824832e-04
  4.062813e-02    7.650985e-04
  4.092706e-02    7.319087e-04
  4.122599e-02    7.077027e-04
  4.152492e-02    6.950189e-04
  4.182385e-02    6.687194e-04
  4.212278e-02    6.468358e-04
  4.242171e-02    6.377397e-04
  4.272064e-02    6.212714e-04
  4.301957e-02    5.989316e-04
  4.331850e-02    5.761762e-04
  4.361743e-02    5.634306e-04
  4.391636e-02    5.459858e-04
  4.421529e-02    5.281667e-04
  4.451423e-02    5.195271e-04
  4.481316e-02    5.096372e-04
  4.511209e-02    4.925136e-04
  4.541102e-02    4.742393e-04
  4.570995e-02    4.610289e-04
  4.600888e-02    4.494781e-04
  4.630781e-02    4.418108e-04
  4.660674e-02    4.321194e-04
  4.690567e-02    4.182327e-04
  4.720460e-02    4.118231e-04
  4.750353e-02    3.994187e-04
  4.780246e-02    3.935063e-04
  4.810139e-02    3.843321e-04
  4.840032e-02    3.745892e-04
  4.869925e-02    3.630640e-04
  4.899818e-02    3.576170e-04
  4.929711e-02    3.459398e-04
  4.959604e-02    3.351246e-04
  4.989497e-02    3.259262e-04
  5.019390e-02    3.190447e-04
  5.049283e-02    3.152556e-04
  5.079176e-02    3.125707e-04
  5.109069e-02    3.084268e-04
  5.138962e-02    2.999738e-04
  5.168855e-02    2.985120e-04
  5.198748e-02    3.001059e-04
  5.228642e-02    2.884328e-04
  5.258535e-02    2.729522e-04
  5.288428e-02    2.723390e-04
  5.318321e-02    2.625854e-04
  5.348214e-02    2.596993e-04
  5.378107e-02    2.578913e-04
  5.408000e-02    2.469599e-04
  5.437893e-02    2.406931e-04
  5.467786e-02    2.366414e-04
  5.497679e-02    2.346247e-04
  5.527572e-02    2.283807e-04
  5.557465e-02    2.221344e-04
  5.587358e-02    2.175823e-04
  5.617251e-02    2.171661e-04
  5.647144e-02    2.131286e-04
  5.677037e-02    2.064303e-04
  5.706930e-02    2.014255e-04
  5.736823e-02    1.951068e-04
  5.766716e-02    1.943618e-04
  5.796609e-02    1.922645e-04
  5.826502e-02    1.854740e-04
  5.856395e-02    1.849324e-04
  5.886288e-02    1.847363e-04
  5.916181e-02    1.794822e-04
  5.946074e-02    1.752005e-04
  5.975967e-02    1.734018e-04
  6.005861e-02    1.695231e-04
  6.035754e-02    1.693205e-04
  6.065647e-02    1.697271e-04
  6.095540e-02    1.704303e-04
  6.125433e-02    1.695533e-04
  6.155326e-02    1.708206e-04
  6.185219e-02    1.697267e-04
  6.215112e-02    1.621277e-04
  6.245005e-02    1.558141e-04
  6.274898e-02    1.515282e-04
  6.304791e-02    1.505889e-04
  6.334684e-02    1.482698e-04
  6.364577e-02    1.456783e-04
  6.394470e-02    1.420827e-04
  6.424363e-02    1.405906e-04
  6.454256e-02    1.383453e-04
  6.484149e-02    1.374939e-04
  6.514042e-02    1.369753e-04
  6.543935e-02    1.353930e-04
  6.573828e-02    1.351855e-04
  6.603721e-02    1.339805e-04
  6.633614e-02    1.315952e-04
  6.663507e-02    1.303970e-04
  6.693400e-02    1.270454e-04
  6.723293e-02    1.242232e-04
  6.753186e-02    1.203861e-04
  6.783080e-02    1.206677e-04
  6.812973e-02    1.218745e-04
  6.842866e-02    1.184399e-04
  6.872759e-02    1.168187e-04
  6.902652e-02    1.171306e-04
  6.932545e-02    1.164650e-04
  6.962438e-02    1.151775e-04
  6.992331e-02    1.131601e-04
  7.022224e-02    1.133162e-04
  7.052117e-02    1.110094e-04
  7.082010e-02    1.096332e-04
  7.111903e-02    1.079737e-04
  7.141796e-02    1.066775e-04
  7.171689e-02    1.049876e-04
  7.201582e-02    1.050501e-04
  7.231475e-02    1.069258e-04
  7.261368e-02    1.048749e-04
  7.291261e-02    1.027745e-04
  7.321154e-02    1.015135e-04
  7.351047e-02    1.021543e-04
  7.380940e-02    1.010625e-04
