# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 38789.0
# --> AL_DowExpt1_220227_320f43e3-819e-40b5-bfad-004d1d11ab96_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    6.864317e-01
  4.756484e-03    6.008030e-01
  5.055415e-03    5.006981e-01
  5.354345e-03    4.101043e-01
  5.653276e-03    3.493167e-01
  5.952206e-03    6.978652e-01
  6.251136e-03    6.431177e-01
  6.550067e-03    5.581664e-01
  6.848997e-03    4.669825e-01
  7.147927e-03    3.859358e-01
  7.446858e-03    3.212069e-01
  7.745788e-03    2.678952e-01
  8.044719e-03    2.248520e-01
  8.343649e-03    1.911591e-01
  8.642579e-03    1.632460e-01
  8.941510e-03    1.404220e-01
  9.240440e-03    1.213094e-01
  9.539371e-03    1.050459e-01
  9.838301e-03    9.124334e-02
  1.013723e-02    8.003596e-02
  1.043616e-02    7.044494e-02
  1.073509e-02    6.175205e-02
  1.103402e-02    5.464668e-02
  1.133295e-02    4.862547e-02
  1.163188e-02    4.345602e-02
  1.193081e-02    3.894539e-02
  1.222974e-02    3.500258e-02
  1.252867e-02    3.156824e-02
  1.282760e-02    2.850842e-02
  1.312654e-02    2.586430e-02
  1.342547e-02    2.351293e-02
  1.372440e-02    2.133771e-02
  1.402333e-02    1.950849e-02
  1.432226e-02    1.781322e-02
  1.462119e-02    1.627741e-02
  1.492012e-02    1.490736e-02
