# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 45767.86000000001
# --> AL_DowExpt1_220227_3c4869d4-2145-4f5c-8bad-739e86bce49b_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    7.132147e-01
  4.756484e-03    6.094310e-01
  5.055415e-03    4.892859e-01
  5.354345e-03    3.855264e-01
  5.653276e-03    3.210424e-01
  5.952206e-03    6.152526e-01
  6.251136e-03    5.834391e-01
  6.550067e-03    5.216648e-01
  6.848997e-03    4.478312e-01
  7.147927e-03    3.700710e-01
  7.446858e-03    3.011710e-01
  7.745788e-03    2.453691e-01
  8.044719e-03    2.025111e-01
  8.343649e-03    1.711597e-01
  8.642579e-03    1.465587e-01
  8.941510e-03    1.270178e-01
  9.240440e-03    1.108294e-01
  9.539371e-03    9.698234e-02
  9.838301e-03    8.542966e-02
  1.013723e-02    7.574061e-02
  1.043616e-02    6.704874e-02
  1.073509e-02    5.910273e-02
  1.103402e-02    5.239994e-02
  1.133295e-02    4.652508e-02
  1.163188e-02    4.141745e-02
  1.193081e-02    3.702917e-02
  1.222974e-02    3.302943e-02
  1.252867e-02    2.957639e-02
  1.282760e-02    2.664087e-02
  1.312654e-02    2.411884e-02
  1.342547e-02    2.193704e-02
  1.372440e-02    1.997135e-02
  1.402333e-02    1.827386e-02
  1.432226e-02    1.680390e-02
  1.462119e-02    1.543580e-02
  1.492012e-02    1.422656e-02
  1.521905e-02    1.312514e-02
  1.551798e-02    1.213164e-02
  1.581691e-02    1.115934e-02
  1.611584e-02    1.025379e-02
  1.641477e-02    9.452602e-03
  1.671370e-02    8.745789e-03
  1.701263e-02    8.063325e-03
  1.731156e-02    7.462686e-03
  1.761049e-02    6.938447e-03
  1.790942e-02    6.443480e-03
  1.820835e-02    5.975198e-03
  1.850728e-02    5.578442e-03
  1.880621e-02    5.256876e-03
  1.910514e-02    4.952479e-03
  1.940407e-02    4.622219e-03
  1.970300e-02    4.345574e-03
  2.000193e-02    4.096699e-03
  2.030086e-02    3.826946e-03
  2.059979e-02    3.617074e-03
  2.089873e-02    3.409016e-03
  2.119766e-02    3.189604e-03
  2.149659e-02    3.001614e-03
  2.179552e-02    2.832903e-03
  2.209445e-02    2.652178e-03
  2.239338e-02    2.506813e-03
  2.269231e-02    2.384629e-03
  2.299124e-02    2.241770e-03
  2.329017e-02    2.125840e-03
  2.358910e-02    2.030163e-03
  2.388803e-02    1.924571e-03
  2.418696e-02    1.824487e-03
  2.448589e-02    1.752709e-03
  2.478482e-02    1.671672e-03
  2.508375e-02    1.591634e-03
  2.538268e-02    1.513389e-03
  2.568161e-02    1.448698e-03
  2.598054e-02    1.381833e-03
  2.627947e-02    1.305756e-03
  2.657840e-02    1.250005e-03
  2.687733e-02    1.196584e-03
  2.717626e-02    1.146192e-03
  2.747519e-02    1.096484e-03
  2.777412e-02    1.056585e-03
  2.807305e-02    1.011829e-03
  2.837198e-02    9.675229e-04
  2.867092e-02    9.283649e-04
  2.896985e-02    8.908389e-04
  2.926878e-02    8.593486e-04
  2.956771e-02    8.351717e-04
  2.986664e-02    7.985528e-04
  3.016557e-02    7.640878e-04
  3.046450e-02    7.496920e-04
  3.076343e-02    7.228816e-04
  3.106236e-02    6.942013e-04
  3.136129e-02    6.694015e-04
  3.166022e-02    6.457145e-04
  3.195915e-02    6.219588e-04
  3.225808e-02    6.060603e-04
  3.255701e-02    5.874275e-04
  3.285594e-02    5.637419e-04
  3.315487e-02    5.462342e-04
  3.345380e-02    5.279788e-04
  3.375273e-02    5.147583e-04
  3.405166e-02    5.014613e-04
  3.435059e-02    4.836240e-04
  3.464952e-02    4.704403e-04
  3.494845e-02    4.604175e-04
  3.524738e-02    4.413645e-04
  3.554631e-02    4.270291e-04
  3.584524e-02    4.128327e-04
  3.614417e-02    4.077241e-04
  3.644310e-02    3.986564e-04
  3.674204e-02    3.896118e-04
  3.704097e-02    3.740877e-04
  3.733990e-02    3.660322e-04
  3.763883e-02    3.583128e-04
  3.793776e-02    3.469772e-04
  3.823669e-02    3.388195e-04
  3.853562e-02    3.301640e-04
  3.883455e-02    3.283166e-04
  3.913348e-02    3.202757e-04
  3.943241e-02    3.076782e-04
  3.973134e-02    3.029063e-04
  4.003027e-02    2.948251e-04
  4.032920e-02    2.915414e-04
  4.062813e-02    2.880246e-04
  4.092706e-02    2.801217e-04
  4.122599e-02    2.705714e-04
  4.152492e-02    2.700831e-04
  4.182385e-02    2.632538e-04
  4.212278e-02    2.555413e-04
  4.242171e-02    2.507696e-04
  4.272064e-02    2.451607e-04
  4.301957e-02    2.413087e-04
  4.331850e-02    2.410196e-04
  4.361743e-02    2.365603e-04
  4.391636e-02    2.300431e-04
  4.421529e-02    2.290066e-04
  4.451423e-02    2.264317e-04
  4.481316e-02    2.246139e-04
  4.511209e-02    2.189820e-04
  4.541102e-02    2.159805e-04
  4.570995e-02    2.140773e-04
  4.600888e-02    2.091913e-04
  4.630781e-02    2.076152e-04
  4.660674e-02    2.049094e-04
  4.690567e-02    2.021667e-04
  4.720460e-02    1.995904e-04
  4.750353e-02    1.962262e-04
  4.780246e-02    1.920073e-04
  4.810139e-02    1.884556e-04
  4.840032e-02    1.861976e-04
  4.869925e-02    1.843387e-04
  4.899818e-02    1.861505e-04
  4.929711e-02    1.842964e-04
  4.959604e-02    1.813428e-04
  4.989497e-02    1.781402e-04
  5.019390e-02    1.780501e-04
  5.049283e-02    1.756957e-04
  5.079176e-02    1.733171e-04
  5.109069e-02    1.737862e-04
  5.138962e-02    1.711579e-04
  5.168855e-02    1.730978e-04
  5.198748e-02    1.734404e-04
  5.228642e-02    1.743802e-04
  5.258535e-02    1.687578e-04
  5.288428e-02    1.667908e-04
  5.318321e-02    1.653544e-04
  5.348214e-02    1.647120e-04
  5.378107e-02    1.632556e-04
  5.408000e-02    1.612577e-04
  5.437893e-02    1.575921e-04
