# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 21373.45
# --> AL_DowExpt1_220227_555cf593-04d7-4371-83a2-fe95ca58dc59_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.203573e-02
  4.756484e-03    1.025654e-02
  5.055415e-03    8.662787e-03
  5.354345e-03    7.104695e-03
  5.653276e-03    5.766182e-03
  5.952206e-03    1.342383e-02
  6.251136e-03    1.233743e-02
  6.550067e-03    1.054965e-02
  6.848997e-03    8.730672e-03
  7.147927e-03    7.036667e-03
  7.446858e-03    5.721984e-03
  7.745788e-03    4.687586e-03
  8.044719e-03    3.847319e-03
  8.343649e-03    3.150455e-03
  8.642579e-03    2.623763e-03
  8.941510e-03    2.256471e-03
  9.240440e-03    1.941497e-03
  9.539371e-03    1.670671e-03
  9.838301e-03    1.429711e-03
  1.013723e-02    1.219636e-03
  1.043616e-02    1.056259e-03
  1.073509e-02    9.126019e-04
  1.103402e-02    7.987111e-04
  1.133295e-02    6.946378e-04
  1.163188e-02    6.282353e-04
  1.193081e-02    5.585935e-04
  1.222974e-02    4.831207e-04
  1.252867e-02    4.357158e-04
  1.282760e-02    3.940976e-04
  1.312654e-02    3.477923e-04
  1.342547e-02    3.171586e-04
  1.372440e-02    2.913366e-04
  1.402333e-02    2.607755e-04
  1.432226e-02    2.309228e-04
  1.462119e-02    2.102229e-04
  1.492012e-02    1.950217e-04
  1.521905e-02    1.793210e-04
  1.551798e-02    1.634071e-04
  1.581691e-02    1.482865e-04
  1.611584e-02    1.379377e-04
  1.641477e-02    1.301464e-04
  1.671370e-02    1.251537e-04
  1.701263e-02    1.100032e-04
  1.731156e-02    9.804635e-05
  1.761049e-02    9.350686e-05
  1.790942e-02    8.624657e-05
  1.820835e-02    8.363961e-05
  1.850728e-02    7.791424e-05
  1.880621e-02    7.732892e-05
  1.910514e-02    7.283007e-05
  1.940407e-02    6.551974e-05
  1.970300e-02    6.574966e-05
  2.000193e-02    6.088212e-05
  2.030086e-02    5.826315e-05
  2.059979e-02    5.493956e-05
  2.089873e-02    5.032858e-05
