# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 63674.79
# --> AL_DowExpt1_220227_736cd135-a80e-4d48-adb9-fadcb03f207b_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.497741e+00
  4.756484e-03    3.101063e+00
  5.055415e-03    2.615489e+00
  5.354345e-03    2.172013e+00
  5.653276e-03    1.857304e+00
  5.952206e-03    3.151054e+00
  6.251136e-03    2.931608e+00
  6.550067e-03    2.580254e+00
  6.848997e-03    2.190440e+00
  7.147927e-03    1.831184e+00
  7.446858e-03    1.541059e+00
  7.745788e-03    1.298246e+00
  8.044719e-03    1.097361e+00
  8.343649e-03    9.377900e-01
  8.642579e-03    8.045418e-01
  8.941510e-03    6.947669e-01
  9.240440e-03    6.028839e-01
  9.539371e-03    5.236501e-01
  9.838301e-03    4.568585e-01
  1.013723e-02    4.016021e-01
  1.043616e-02    3.539943e-01
  1.073509e-02    3.108071e-01
  1.103402e-02    2.757036e-01
  1.133295e-02    2.454845e-01
  1.163188e-02    2.195006e-01
  1.193081e-02    1.972208e-01
  1.222974e-02    1.773168e-01
  1.252867e-02    1.598425e-01
  1.282760e-02    1.446369e-01
  1.312654e-02    1.311307e-01
  1.342547e-02    1.192358e-01
  1.372440e-02    1.085459e-01
  1.402333e-02    9.909224e-02
  1.432226e-02    9.052131e-02
  1.462119e-02    8.282489e-02
  1.492012e-02    7.610095e-02
  1.521905e-02    6.989626e-02
  1.551798e-02    6.430016e-02
  1.581691e-02    5.920742e-02
  1.611584e-02    5.474325e-02
  1.641477e-02    5.057055e-02
  1.671370e-02    4.673773e-02
  1.701263e-02    4.335310e-02
  1.731156e-02    4.023821e-02
  1.761049e-02    3.736741e-02
  1.790942e-02    3.481701e-02
  1.820835e-02    3.239437e-02
  1.850728e-02    3.022342e-02
  1.880621e-02    2.822139e-02
  1.910514e-02    2.639214e-02
  1.940407e-02    2.462571e-02
  1.970300e-02    2.304280e-02
  2.000193e-02    2.162322e-02
  2.030086e-02    2.028379e-02
  2.059979e-02    1.909023e-02
  2.089873e-02    1.793633e-02
  2.119766e-02    1.686376e-02
  2.149659e-02    1.586108e-02
  2.179552e-02    1.494231e-02
  2.209445e-02    1.409190e-02
  2.239338e-02    1.329780e-02
  2.269231e-02    1.257147e-02
  2.299124e-02    1.188844e-02
  2.329017e-02    1.122020e-02
  2.358910e-02    1.059867e-02
  2.388803e-02    1.005437e-02
  2.418696e-02    9.540891e-03
  2.448589e-02    9.038760e-03
  2.478482e-02    8.593649e-03
  2.508375e-02    8.164359e-03
  2.538268e-02    7.742114e-03
  2.568161e-02    7.368181e-03
  2.598054e-02    6.997298e-03
  2.627947e-02    6.665225e-03
  2.657840e-02    6.360402e-03
  2.687733e-02    6.065643e-03
  2.717626e-02    5.767447e-03
  2.747519e-02    5.502151e-03
  2.777412e-02    5.272837e-03
  2.807305e-02    5.032925e-03
  2.837198e-02    4.800217e-03
  2.867092e-02    4.603034e-03
  2.896985e-02    4.401664e-03
  2.926878e-02    4.207236e-03
  2.956771e-02    4.023494e-03
  2.986664e-02    3.856023e-03
  3.016557e-02    3.680006e-03
  3.046450e-02    3.543837e-03
  3.076343e-02    3.408625e-03
  3.106236e-02    3.264237e-03
