# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 40188.09000000001
# --> AL_DowExpt1_220227_797693af-0bb0-4d68-b2c8-2a5ef8ea2ed0_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    8.763137e+00
  4.756484e-03    7.844748e+00
  5.055415e-03    6.708759e+00
  5.354345e-03    5.640127e+00
  5.653276e-03    4.870009e+00
  5.952206e-03    8.187276e+00
  6.251136e-03    7.765179e+00
  6.550067e-03    6.967450e+00
  6.848997e-03    6.002495e+00
  7.147927e-03    5.075951e+00
  7.446858e-03    4.307433e+00
  7.745788e-03    3.653651e+00
  8.044719e-03    3.106197e+00
  8.343649e-03    2.669321e+00
  8.642579e-03    2.294692e+00
  8.941510e-03    1.982562e+00
  9.240440e-03    1.722354e+00
  9.539371e-03    1.496506e+00
  9.838301e-03    1.305519e+00
  1.013723e-02    1.147855e+00
  1.043616e-02    1.011597e+00
  1.073509e-02    8.871513e-01
  1.103402e-02    7.854646e-01
  1.133295e-02    6.971930e-01
  1.163188e-02    6.221582e-01
  1.193081e-02    5.573135e-01
  1.222974e-02    5.003441e-01
  1.252867e-02    4.503045e-01
  1.282760e-02    4.063017e-01
  1.312654e-02    3.672612e-01
  1.342547e-02    3.332602e-01
  1.372440e-02    3.024896e-01
  1.402333e-02    2.753338e-01
  1.432226e-02    2.507691e-01
  1.462119e-02    2.290308e-01
  1.492012e-02    2.100239e-01
  1.521905e-02    1.921441e-01
  1.551798e-02    1.763974e-01
  1.581691e-02    1.620995e-01
  1.611584e-02    1.492762e-01
  1.641477e-02    1.376680e-01
  1.671370e-02    1.268847e-01
  1.701263e-02    1.172413e-01
  1.731156e-02    1.086273e-01
  1.761049e-02    1.007416e-01
  1.790942e-02    9.349563e-02
  1.820835e-02    8.674721e-02
  1.850728e-02    8.075871e-02
  1.880621e-02    7.530525e-02
  1.910514e-02    7.007644e-02
  1.940407e-02    6.530299e-02
  1.970300e-02    6.111544e-02
  2.000193e-02    5.717390e-02
  2.030086e-02    5.338752e-02
  2.059979e-02    5.004683e-02
  2.089873e-02    4.691528e-02
  2.119766e-02    4.397330e-02
  2.149659e-02    4.133771e-02
  2.179552e-02    3.888534e-02
  2.209445e-02    3.658615e-02
  2.239338e-02    3.454895e-02
  2.269231e-02    3.247041e-02
  2.299124e-02    3.056330e-02
  2.329017e-02    2.883499e-02
  2.358910e-02    2.726887e-02
  2.388803e-02    2.579523e-02
  2.418696e-02    2.443531e-02
  2.448589e-02    2.308290e-02
  2.478482e-02    2.181536e-02
  2.508375e-02    2.072424e-02
  2.538268e-02    1.973522e-02
  2.568161e-02    1.876585e-02
  2.598054e-02    1.779413e-02
  2.627947e-02    1.684898e-02
  2.657840e-02    1.605656e-02
  2.687733e-02    1.527417e-02
  2.717626e-02    1.453512e-02
  2.747519e-02    1.385624e-02
  2.777412e-02    1.325019e-02
  2.807305e-02    1.261224e-02
  2.837198e-02    1.201098e-02
  2.867092e-02    1.146178e-02
  2.896985e-02    1.093672e-02
  2.926878e-02    1.047143e-02
  2.956771e-02    1.003200e-02
  2.986664e-02    9.608791e-03
  3.016557e-02    9.218765e-03
  3.046450e-02    8.802156e-03
  3.076343e-02    8.426076e-03
  3.106236e-02    8.109403e-03
  3.136129e-02    7.801922e-03
  3.166022e-02    7.488377e-03
  3.195915e-02    7.157929e-03
  3.225808e-02    6.867566e-03
  3.255701e-02    6.587213e-03
  3.285594e-02    6.334159e-03
  3.315487e-02    6.105928e-03
  3.345380e-02    5.877619e-03
  3.375273e-02    5.633302e-03
  3.405166e-02    5.424096e-03
  3.435059e-02    5.244096e-03
  3.464952e-02    5.021880e-03
  3.494845e-02    4.841639e-03
  3.524738e-02    4.676262e-03
  3.554631e-02    4.505193e-03
  3.584524e-02    4.356246e-03
  3.614417e-02    4.214459e-03
  3.644310e-02    4.066170e-03
  3.674204e-02    3.916824e-03
  3.704097e-02    3.770540e-03
  3.733990e-02    3.661684e-03
  3.763883e-02    3.544831e-03
  3.793776e-02    3.427328e-03
  3.823669e-02    3.302859e-03
  3.853562e-02    3.205229e-03
  3.883455e-02    3.096340e-03
  3.913348e-02    2.986838e-03
  3.943241e-02    2.893840e-03
