# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4867.9800000000005
# --> AL_DowExpt1_220227_8fdd133c-6263-4777-b93e-ceaa60173c9a_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.101537e-01
  4.756484e-03    8.486931e-02
  5.055415e-03    5.939068e-02
  5.354345e-03    4.051775e-02
  5.653276e-03    2.999221e-02
  5.952206e-03    1.204916e-01
  6.251136e-03    1.102149e-01
  6.550067e-03    9.180348e-02
  6.848997e-03    7.102969e-02
  7.147927e-03    5.325181e-02
  7.446858e-03    3.988820e-02
  7.745788e-03    3.024480e-02
  8.044719e-03    2.357508e-02
  8.343649e-03    1.932127e-02
  8.642579e-03    1.643718e-02
  8.941510e-03    1.492859e-02
  9.240440e-03    1.366558e-02
  9.539371e-03    1.288086e-02
  9.838301e-03    1.221591e-02
  1.013723e-02    1.136764e-02
  1.043616e-02    1.054059e-02
  1.073509e-02    9.574815e-03
  1.103402e-02    8.642728e-03
  1.133295e-02    7.665243e-03
  1.163188e-02    6.607605e-03
  1.193081e-02    5.884680e-03
  1.222974e-02    5.127139e-03
  1.252867e-02    4.477985e-03
  1.282760e-02    3.982087e-03
  1.312654e-02    3.601863e-03
  1.342547e-02    3.253840e-03
  1.372440e-02    3.028107e-03
  1.402333e-02    2.880328e-03
  1.432226e-02    2.769056e-03
  1.462119e-02    2.596067e-03
  1.492012e-02    2.412225e-03
  1.521905e-02    2.271369e-03
  1.551798e-02    2.184979e-03
  1.581691e-02    2.057734e-03
  1.611584e-02    1.869349e-03
  1.641477e-02    1.712105e-03
  1.671370e-02    1.576834e-03
  1.701263e-02    1.422618e-03
  1.731156e-02    1.350508e-03
  1.761049e-02    1.217339e-03
  1.790942e-02    1.117341e-03
  1.820835e-02    1.106948e-03
  1.850728e-02    1.075709e-03
  1.880621e-02    1.016863e-03
  1.910514e-02    9.981135e-04
  1.940407e-02    9.594532e-04
  1.970300e-02    9.031945e-04
  2.000193e-02    8.381780e-04
  2.030086e-02    8.121390e-04
  2.059979e-02    8.040318e-04
  2.089873e-02    7.567777e-04
  2.119766e-02    7.207431e-04
  2.149659e-02    6.932510e-04
  2.179552e-02    6.600733e-04
  2.209445e-02    6.237905e-04
  2.239338e-02    5.834541e-04
  2.269231e-02    5.473106e-04
  2.299124e-02    5.171117e-04
  2.329017e-02    5.221402e-04
  2.358910e-02    5.158475e-04
  2.388803e-02    5.047824e-04
  2.418696e-02    4.870550e-04
  2.448589e-02    4.753147e-04
  2.478482e-02    4.504649e-04
  2.508375e-02    4.265379e-04
  2.538268e-02    4.177553e-04
  2.568161e-02    4.060230e-04
  2.598054e-02    3.962388e-04
  2.627947e-02    3.879704e-04
  2.657840e-02    3.970618e-04
  2.687733e-02    3.757427e-04
  2.717626e-02    3.596726e-04
  2.747519e-02    3.556097e-04
  2.777412e-02    3.455296e-04
  2.807305e-02    3.380266e-04
  2.837198e-02    3.293927e-04
  2.867092e-02    3.266690e-04
  2.896985e-02    3.127167e-04
  2.926878e-02    3.063446e-04
  2.956771e-02    2.874687e-04
  2.986664e-02    2.838505e-04
  3.016557e-02    2.818527e-04
  3.046450e-02    2.905537e-04
  3.076343e-02    2.802965e-04
  3.106236e-02    2.658635e-04
  3.136129e-02    2.750499e-04
  3.166022e-02    2.600298e-04
  3.195915e-02    2.511246e-04
  3.225808e-02    2.605485e-04
  3.255701e-02    2.561229e-04
  3.285594e-02    2.463055e-04
  3.315487e-02    2.480849e-04
  3.345380e-02    2.418699e-04
  3.375273e-02    2.374643e-04
  3.405166e-02    2.269264e-04
  3.435059e-02    2.272945e-04
  3.464952e-02    2.244543e-04
  3.494845e-02    2.261368e-04
  3.524738e-02    2.153222e-04
  3.554631e-02    2.117605e-04
  3.584524e-02    2.196103e-04
  3.614417e-02    2.089724e-04
  3.644310e-02    2.070042e-04
  3.674204e-02    2.078395e-04
  3.704097e-02    2.032477e-04
  3.733990e-02    1.996035e-04
  3.763883e-02    1.956799e-04
  3.793776e-02    1.874726e-04
  3.823669e-02    1.886289e-04
  3.853562e-02    1.913414e-04
  3.883455e-02    1.884636e-04
  3.913348e-02    1.881355e-04
  3.943241e-02    1.842114e-04
  3.973134e-02    1.784403e-04
  4.003027e-02    1.815368e-04
  4.032920e-02    1.809563e-04
  4.062813e-02    1.823855e-04
  4.092706e-02    1.846833e-04
  4.122599e-02    1.770080e-04
  4.152492e-02    1.691545e-04
  4.182385e-02    1.751962e-04
  4.212278e-02    1.724655e-04
  4.242171e-02    1.734340e-04
  4.272064e-02    1.781542e-04
  4.301957e-02    1.771526e-04
  4.331850e-02    1.740988e-04
  4.361743e-02    1.736021e-04
  4.391636e-02    1.636183e-04
  4.421529e-02    1.656272e-04
  4.451423e-02    1.634150e-04
  4.481316e-02    1.631675e-04
  4.511209e-02    1.642085e-04
  4.541102e-02    1.555709e-04
  4.570995e-02    1.484384e-04
  4.600888e-02    1.565793e-04
  4.630781e-02    1.790842e-04
  4.660674e-02    1.685225e-04
  4.690567e-02    1.624311e-04
  4.720460e-02    1.650486e-04
  4.750353e-02    1.670797e-04
  4.780246e-02    1.676733e-04
