# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 10997.59
# --> AL_DowExpt1_220227_9acb3a8c-f1e6-4d74-a26c-38b5878ab071_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    5.562732e-01
  4.756484e-03    4.945367e-01
  5.055415e-03    4.142322e-01
  5.354345e-03    3.338562e-01
  5.653276e-03    2.828284e-01
  5.952206e-03    6.313211e-01
  6.251136e-03    5.870870e-01
  6.550067e-03    5.139654e-01
  6.848997e-03    4.324759e-01
  7.147927e-03    3.548386e-01
  7.446858e-03    2.930252e-01
  7.745788e-03    2.421618e-01
  8.044719e-03    2.019014e-01
  8.343649e-03    1.712160e-01
  8.642579e-03    1.462086e-01
  8.941510e-03    1.258228e-01
  9.240440e-03    1.086998e-01
  9.539371e-03    9.431586e-02
  9.838301e-03    8.212792e-02
  1.013723e-02    7.222600e-02
  1.043616e-02    6.375640e-02
  1.073509e-02    5.583214e-02
  1.103402e-02    4.936447e-02
  1.133295e-02    4.371459e-02
  1.163188e-02    3.890933e-02
  1.193081e-02    3.475342e-02
  1.222974e-02    3.111745e-02
  1.252867e-02    2.795973e-02
  1.282760e-02    2.539006e-02
  1.312654e-02    2.302407e-02
  1.342547e-02    2.082002e-02
  1.372440e-02    1.896498e-02
  1.402333e-02    1.732928e-02
  1.432226e-02    1.576466e-02
  1.462119e-02    1.449694e-02
  1.492012e-02    1.326303e-02
  1.521905e-02    1.216762e-02
  1.551798e-02    1.121551e-02
  1.581691e-02    1.040197e-02
  1.611584e-02    9.603239e-03
  1.641477e-02    8.804123e-03
  1.671370e-02    8.118584e-03
  1.701263e-02    7.567143e-03
  1.731156e-02    6.975119e-03
  1.761049e-02    6.452492e-03
  1.790942e-02    6.039217e-03
  1.820835e-02    5.618291e-03
  1.850728e-02    5.252386e-03
  1.880621e-02    4.876218e-03
  1.910514e-02    4.555574e-03
  1.940407e-02    4.296993e-03
  1.970300e-02    4.012064e-03
  2.000193e-02    3.765066e-03
