# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 52215.840000000004
# --> AL_DowExpt1_220227_aedcd4fd-92a4-405d-bb9b-85947d47decb_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.979082e-01
  4.756484e-03    2.619562e-01
  5.055415e-03    2.199739e-01
  5.354345e-03    1.807990e-01
  5.653276e-03    1.541997e-01
  5.952206e-03    3.457545e-01
  6.251136e-03    3.204581e-01
  6.550067e-03    2.788825e-01
  6.848997e-03    2.321428e-01
  7.147927e-03    1.898039e-01
  7.446858e-03    1.559898e-01
  7.745788e-03    1.280327e-01
  8.044719e-03    1.053414e-01
  8.343649e-03    8.821467e-02
  8.642579e-03    7.399130e-02
  8.941510e-03    6.248258e-02
  9.240440e-03    5.316705e-02
  9.539371e-03    4.519865e-02
  9.838301e-03    3.877177e-02
  1.013723e-02    3.357806e-02
  1.043616e-02    2.901512e-02
  1.073509e-02    2.505778e-02
  1.103402e-02    2.184284e-02
  1.133295e-02    1.922740e-02
  1.163188e-02    1.707146e-02
  1.193081e-02    1.518708e-02
  1.222974e-02    1.353112e-02
  1.252867e-02    1.207122e-02
  1.282760e-02    1.080953e-02
  1.312654e-02    9.683670e-03
  1.342547e-02    8.699670e-03
  1.372440e-02    7.881163e-03
  1.402333e-02    7.153374e-03
  1.432226e-02    6.494769e-03
  1.462119e-02    5.861620e-03
  1.492012e-02    5.351427e-03
  1.521905e-02    4.893690e-03
  1.551798e-02    4.498417e-03
  1.581691e-02    4.131057e-03
  1.611584e-02    3.791777e-03
  1.641477e-02    3.472293e-03
  1.671370e-02    3.199229e-03
  1.701263e-02    2.949772e-03
  1.731156e-02    2.714907e-03
