# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 629.63
# --> AL_DowExpt1_220227_b9dc074d-8c60-41b0-892f-bcee43d6239c_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    7.047650e+02
  4.756484e-03    6.331838e+02
  5.055415e-03    5.449586e+02
  5.354345e-03    4.595263e+02
  5.653276e-03    3.960366e+02
  5.952206e-03    5.937586e+02
  6.251136e-03    5.617850e+02
  6.550067e-03    5.046421e+02
  6.848997e-03    4.365033e+02
  7.147927e-03    3.711762e+02
  7.446858e-03    3.168112e+02
  7.745788e-03    2.702027e+02
  8.044719e-03    2.306573e+02
  8.343649e-03    1.987196e+02
  8.642579e-03    1.712233e+02
  8.941510e-03    1.481721e+02
  9.240440e-03    1.287480e+02
  9.539371e-03    1.119660e+02
  9.838301e-03    9.773075e+01
  1.013723e-02    8.590131e+01
  1.043616e-02    7.562921e+01
  1.073509e-02    6.632127e+01
  1.103402e-02    5.872811e+01
  1.133295e-02    5.211946e+01
  1.163188e-02    4.651192e+01
  1.193081e-02    4.165379e+01
  1.222974e-02    3.737378e+01
  1.252867e-02    3.364102e+01
  1.282760e-02    3.034955e+01
  1.312654e-02    2.744841e+01
  1.342547e-02    2.487634e+01
  1.372440e-02    2.258130e+01
  1.402333e-02    2.052125e+01
  1.432226e-02    1.867232e+01
  1.462119e-02    1.704675e+01
  1.492012e-02    1.561487e+01
  1.521905e-02    1.429900e+01
  1.551798e-02    1.311754e+01
  1.581691e-02    1.203315e+01
  1.611584e-02    1.105682e+01
  1.641477e-02    1.019456e+01
  1.671370e-02    9.411469e+00
  1.701263e-02    8.687947e+00
  1.731156e-02    8.036870e+00
  1.761049e-02    7.448823e+00
  1.790942e-02    6.907663e+00
  1.820835e-02    6.404277e+00
  1.850728e-02    5.951387e+00
  1.880621e-02    5.545700e+00
  1.910514e-02    5.165118e+00
  1.940407e-02    4.817131e+00
  1.970300e-02    4.500315e+00
  2.000193e-02    4.203131e+00
  2.030086e-02    3.922340e+00
  2.059979e-02    3.674907e+00
  2.089873e-02    3.446993e+00
  2.119766e-02    3.235126e+00
  2.149659e-02    3.038255e+00
  2.179552e-02    2.854413e+00
  2.209445e-02    2.683972e+00
  2.239338e-02    2.524669e+00
  2.269231e-02    2.373399e+00
  2.299124e-02    2.238426e+00
  2.329017e-02    2.113226e+00
  2.358910e-02    1.997686e+00
  2.388803e-02    1.884550e+00
  2.418696e-02    1.780977e+00
  2.448589e-02    1.685355e+00
  2.478482e-02    1.594208e+00
  2.508375e-02    1.510650e+00
  2.538268e-02    1.432513e+00
  2.568161e-02    1.360343e+00
  2.598054e-02    1.290152e+00
  2.627947e-02    1.226074e+00
  2.657840e-02    1.166743e+00
  2.687733e-02    1.109808e+00
  2.717626e-02    1.053215e+00
  2.747519e-02    1.002639e+00
  2.777412e-02    9.582361e-01
  2.807305e-02    9.139086e-01
  2.837198e-02    8.728827e-01
  2.867092e-02    8.326051e-01
  2.896985e-02    7.942522e-01
  2.926878e-02    7.597979e-01
  2.956771e-02    7.288627e-01
  2.986664e-02    6.964192e-01
  3.016557e-02    6.653323e-01
  3.046450e-02    6.389709e-01
  3.076343e-02    6.121162e-01
  3.106236e-02    5.858342e-01
  3.136129e-02    5.635400e-01
  3.166022e-02    5.405180e-01
  3.195915e-02    5.192648e-01
  3.225808e-02    4.978800e-01
  3.255701e-02    4.786563e-01
  3.285594e-02    4.599224e-01
  3.315487e-02    4.413162e-01
  3.345380e-02    4.248941e-01
  3.375273e-02    4.099904e-01
  3.405166e-02    3.963589e-01
  3.435059e-02    3.809059e-01
  3.464952e-02    3.659447e-01
  3.494845e-02    3.524844e-01
  3.524738e-02    3.390293e-01
  3.554631e-02    3.257450e-01
  3.584524e-02    3.143069e-01
  3.614417e-02    3.030224e-01
  3.644310e-02    2.924597e-01
  3.674204e-02    2.826970e-01
  3.704097e-02    2.737903e-01
  3.733990e-02    2.640155e-01
  3.763883e-02    2.557010e-01
  3.793776e-02    2.470112e-01
  3.823669e-02    2.384034e-01
  3.853562e-02    2.310200e-01
  3.883455e-02    2.238475e-01
  3.913348e-02    2.164961e-01
  3.943241e-02    2.096224e-01
  3.973134e-02    2.024956e-01
  4.003027e-02    1.960586e-01
  4.032920e-02    1.899277e-01
  4.062813e-02    1.851386e-01
  4.092706e-02    1.800433e-01
  4.122599e-02    1.749907e-01
  4.152492e-02    1.690186e-01
  4.182385e-02    1.639312e-01
  4.212278e-02    1.596073e-01
  4.242171e-02    1.543987e-01
  4.272064e-02    1.493987e-01
  4.301957e-02    1.452809e-01
  4.331850e-02    1.410521e-01
  4.361743e-02    1.376837e-01
  4.391636e-02    1.337224e-01
  4.421529e-02    1.298179e-01
  4.451423e-02    1.258502e-01
  4.481316e-02    1.230664e-01
  4.511209e-02    1.192140e-01
  4.541102e-02    1.154027e-01
  4.570995e-02    1.126463e-01
  4.600888e-02    1.102695e-01
  4.630781e-02    1.074494e-01
  4.660674e-02    1.047222e-01
  4.690567e-02    1.019828e-01
  4.720460e-02    9.980010e-02
  4.750353e-02    9.694746e-02
  4.780246e-02    9.460923e-02
  4.810139e-02    9.274063e-02
  4.840032e-02    9.042147e-02
  4.869925e-02    8.803475e-02
  4.899818e-02    8.595214e-02
  4.929711e-02    8.439089e-02
  4.959604e-02    8.248735e-02
  4.989497e-02    8.007951e-02
  5.019390e-02    7.870741e-02
  5.049283e-02    7.726897e-02
  5.079176e-02    7.546377e-02
  5.109069e-02    7.402197e-02
  5.138962e-02    7.257615e-02
  5.168855e-02    7.202399e-02
  5.198748e-02    7.175788e-02
  5.228642e-02    7.026418e-02
  5.258535e-02    6.803413e-02
  5.288428e-02    6.600745e-02
  5.318321e-02    6.404876e-02
  5.348214e-02    6.252068e-02
  5.378107e-02    6.152003e-02
  5.408000e-02    5.995283e-02
  5.437893e-02    5.862876e-02
  5.467786e-02    5.706300e-02
  5.497679e-02    5.562356e-02
  5.527572e-02    5.476129e-02
  5.557465e-02    5.378934e-02
  5.587358e-02    5.263034e-02
  5.617251e-02    5.164054e-02
  5.647144e-02    5.059157e-02
  5.677037e-02    4.971324e-02
  5.706930e-02    4.903067e-02
  5.736823e-02    4.804171e-02
  5.766716e-02    4.722253e-02
  5.796609e-02    4.618208e-02
  5.826502e-02    4.564006e-02
  5.856395e-02    4.491689e-02
  5.886288e-02    4.397998e-02
  5.916181e-02    4.302919e-02
  5.946074e-02    4.247401e-02
  5.975967e-02    4.202597e-02
  6.005861e-02    4.135063e-02
  6.035754e-02    4.088847e-02
  6.065647e-02    4.022004e-02
  6.095540e-02    4.001077e-02
  6.125433e-02    4.009291e-02
  6.155326e-02    3.983907e-02
  6.185219e-02    3.878391e-02
  6.215112e-02    3.748770e-02
  6.245005e-02    3.671616e-02
  6.274898e-02    3.605386e-02
  6.304791e-02    3.578603e-02
  6.334684e-02    3.513289e-02
  6.364577e-02    3.450881e-02
  6.394470e-02    3.396914e-02
  6.424363e-02    3.329127e-02
  6.454256e-02    3.264306e-02
  6.484149e-02    3.231468e-02
  6.514042e-02    3.211181e-02
  6.543935e-02    3.187483e-02
  6.573828e-02    3.135107e-02
  6.603721e-02    3.064787e-02
  6.633614e-02    2.995088e-02
  6.663507e-02    2.984001e-02
  6.693400e-02    2.949631e-02
  6.723293e-02    2.934273e-02
  6.753186e-02    2.908349e-02
  6.783080e-02    2.847643e-02
  6.812973e-02    2.799086e-02
  6.842866e-02    2.763405e-02
  6.872759e-02    2.755308e-02
  6.902652e-02    2.735022e-02
  6.932545e-02    2.721135e-02
  6.962438e-02    2.697106e-02
  6.992331e-02    2.643066e-02
  7.022224e-02    2.629134e-02
  7.052117e-02    2.599016e-02
  7.082010e-02    2.584572e-02
  7.111903e-02    2.544578e-02
  7.141796e-02    2.514650e-02
  7.171689e-02    2.501192e-02
  7.201582e-02    2.467062e-02
  7.231475e-02    2.459702e-02
  7.261368e-02    2.432008e-02
  7.291261e-02    2.388210e-02
  7.321154e-02    2.383812e-02
  7.351047e-02    2.353659e-02
  7.380940e-02    2.321694e-02
  7.410833e-02    2.297178e-02
  7.440726e-02    2.270424e-02
  7.470619e-02    2.260248e-02
  7.500512e-02    2.226960e-02
  7.530405e-02    2.184227e-02
  7.560299e-02    2.167874e-02
  7.590192e-02    2.161174e-02
  7.620085e-02    2.148994e-02
  7.649978e-02    2.126372e-02
  7.679871e-02    2.109811e-02
  7.709764e-02    2.077923e-02
  7.739657e-02    2.050900e-02
  7.769550e-02    2.043928e-02
  7.799443e-02    2.010753e-02
  7.829336e-02    2.010069e-02
  7.859229e-02    1.981828e-02
  7.889122e-02    1.962938e-02
  7.919015e-02    1.930721e-02
  7.948908e-02    1.902791e-02
  7.978801e-02    1.896911e-02
  8.008694e-02    1.894910e-02
  8.038587e-02    1.880145e-02
  8.068480e-02    1.892976e-02
  8.098373e-02    1.865182e-02
  8.128266e-02    1.828437e-02
  8.158159e-02    1.810936e-02
  8.188052e-02    1.789362e-02
  8.217945e-02    1.776355e-02
  8.247838e-02    1.745148e-02
  8.277731e-02    1.742826e-02
  8.307624e-02    1.740994e-02
  8.337518e-02    1.716228e-02
  8.367411e-02    1.675057e-02
  8.397304e-02    1.653664e-02
  8.427197e-02    1.639317e-02
  8.457090e-02    1.634236e-02
  8.486983e-02    1.612856e-02
  8.516876e-02    1.581736e-02
  8.546769e-02    1.578428e-02
  8.576662e-02    1.589712e-02
  8.606555e-02    1.561266e-02
  8.636448e-02    1.537539e-02
  8.666341e-02    1.520250e-02
  8.696234e-02    1.516569e-02
  8.726127e-02    1.496758e-02
  8.756020e-02    1.477917e-02
  8.785913e-02    1.458783e-02
  8.815806e-02    1.457102e-02
  8.845699e-02    1.445145e-02
  8.875592e-02    1.444558e-02
  8.905485e-02    1.422521e-02
  8.935378e-02    1.396541e-02
  8.965271e-02    1.398810e-02
  8.995164e-02    1.395172e-02
  9.025057e-02    1.385157e-02
  9.054950e-02    1.363603e-02
  9.084843e-02    1.342507e-02
  9.114737e-02    1.300921e-02
  9.144630e-02    1.294298e-02
  9.174523e-02    1.302349e-02
  9.204416e-02    1.289220e-02
  9.234309e-02    1.266903e-02
  9.264202e-02    1.274378e-02
  9.294095e-02    1.264626e-02
  9.323988e-02    1.248909e-02
  9.353881e-02    1.238596e-02
  9.383774e-02    1.236852e-02
  9.413667e-02    1.230601e-02
  9.443560e-02    1.223918e-02
  9.473453e-02    1.213503e-02
  9.503346e-02    1.212058e-02
  9.533239e-02    1.229085e-02
  9.563132e-02    1.217671e-02
  9.593025e-02    1.197394e-02
  9.622918e-02    1.191849e-02
  9.652811e-02    1.193842e-02
  9.682704e-02    1.192565e-02
  9.712597e-02    1.185012e-02
  9.742490e-02    1.168709e-02
  9.772383e-02    1.162312e-02
  9.802276e-02    1.150243e-02
  9.832169e-02    1.144823e-02
  9.862062e-02    1.151475e-02
  9.891956e-02    1.137875e-02
  9.921849e-02    1.102886e-02
  9.951742e-02    1.083011e-02
  9.981635e-02    1.082630e-02
  1.001153e-01    1.073314e-02
  1.004142e-01    1.045487e-02
  1.007131e-01    1.037928e-02
  1.010121e-01    1.030603e-02
  1.013110e-01    1.025774e-02
  1.016099e-01    1.019893e-02
  1.019089e-01    1.008127e-02
  1.022078e-01    1.005512e-02
  1.025067e-01    9.958319e-03
  1.028057e-01    9.874729e-03
  1.031046e-01    9.865268e-03
  1.034035e-01    9.826993e-03
  1.037024e-01    9.777167e-03
  1.040014e-01    9.494143e-03
  1.043003e-01    9.398496e-03
  1.045992e-01    9.512412e-03
  1.048982e-01    9.515804e-03
  1.051971e-01    9.478703e-03
  1.054960e-01    9.269415e-03
