# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 30391.300000000003
# --> AL_DowExpt1_220227_cbe845c4-cbf9-4800-a703-36844f10c452_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.429392e+01
  4.756484e-03    1.278655e+01
  5.055415e-03    1.094110e+01
  5.354345e-03    9.219494e+00
  5.653276e-03    7.960032e+00
  5.952206e-03    1.208067e+01
  6.251136e-03    1.134859e+01
  6.550067e-03    1.014402e+01
  6.848997e-03    8.736800e+00
  7.147927e-03    7.410063e+00
  7.446858e-03    6.320711e+00
  7.745788e-03    5.392054e+00
  8.044719e-03    4.608750e+00
  8.343649e-03    3.976165e+00
  8.642579e-03    3.433156e+00
  8.941510e-03    2.978780e+00
  9.240440e-03    2.593934e+00
  9.539371e-03    2.258921e+00
  9.838301e-03    1.975114e+00
  1.013723e-02    1.739250e+00
  1.043616e-02    1.535662e+00
  1.073509e-02    1.351050e+00
  1.103402e-02    1.199204e+00
  1.133295e-02    1.066693e+00
  1.163188e-02    9.541875e-01
  1.193081e-02    8.566106e-01
  1.222974e-02    7.695054e-01
  1.252867e-02    6.933893e-01
  1.282760e-02    6.261411e-01
  1.312654e-02    5.670004e-01
  1.342547e-02    5.147589e-01
  1.372440e-02    4.674444e-01
  1.402333e-02    4.259215e-01
  1.432226e-02    3.887644e-01
  1.462119e-02    3.551873e-01
  1.492012e-02    3.255989e-01
  1.521905e-02    2.984343e-01
  1.551798e-02    2.740916e-01
  1.581691e-02    2.520035e-01
  1.611584e-02    2.321310e-01
  1.641477e-02    2.138992e-01
  1.671370e-02    1.976103e-01
  1.701263e-02    1.827711e-01
  1.731156e-02    1.692049e-01
  1.761049e-02    1.570409e-01
  1.790942e-02    1.458382e-01
  1.820835e-02    1.353683e-01
  1.850728e-02    1.260315e-01
  1.880621e-02    1.175286e-01
  1.910514e-02    1.094845e-01
  1.940407e-02    1.022043e-01
  1.970300e-02    9.549607e-02
  2.000193e-02    8.939243e-02
  2.030086e-02    8.373427e-02
  2.059979e-02    7.850376e-02
  2.089873e-02    7.365055e-02
  2.119766e-02    6.905275e-02
  2.149659e-02    6.485761e-02
  2.179552e-02    6.101985e-02
  2.209445e-02    5.755978e-02
  2.239338e-02    5.430153e-02
  2.269231e-02    5.112899e-02
  2.299124e-02    4.812961e-02
  2.329017e-02    4.544056e-02
  2.358910e-02    4.294141e-02
  2.388803e-02    4.063498e-02
  2.418696e-02    3.846031e-02
  2.448589e-02    3.645018e-02
  2.478482e-02    3.448452e-02
  2.508375e-02    3.269970e-02
  2.538268e-02    3.106332e-02
  2.568161e-02    2.955486e-02
  2.598054e-02    2.810817e-02
  2.627947e-02    2.671311e-02
  2.657840e-02    2.537432e-02
  2.687733e-02    2.413185e-02
  2.717626e-02    2.305660e-02
  2.747519e-02    2.198788e-02
  2.777412e-02    2.096028e-02
  2.807305e-02    2.006643e-02
  2.837198e-02    1.915821e-02
  2.867092e-02    1.829452e-02
  2.896985e-02    1.744374e-02
  2.926878e-02    1.669858e-02
  2.956771e-02    1.597626e-02
  2.986664e-02    1.530924e-02
  3.016557e-02    1.468783e-02
  3.046450e-02    1.406764e-02
  3.076343e-02    1.348921e-02
  3.106236e-02    1.293354e-02
  3.136129e-02    1.241126e-02
  3.166022e-02    1.190337e-02
  3.195915e-02    1.144410e-02
  3.225808e-02    1.103536e-02
  3.255701e-02    1.059923e-02
  3.285594e-02    1.019851e-02
  3.315487e-02    9.810318e-03
  3.345380e-02    9.452241e-03
  3.375273e-02    9.105437e-03
  3.405166e-02    8.758392e-03
  3.435059e-02    8.423671e-03
  3.464952e-02    8.135948e-03
  3.494845e-02    7.867766e-03
  3.524738e-02    7.578536e-03
  3.554631e-02    7.302274e-03
  3.584524e-02    7.040105e-03
  3.614417e-02    6.801183e-03
  3.644310e-02    6.579330e-03
  3.674204e-02    6.382023e-03
  3.704097e-02    6.173515e-03
  3.733990e-02    5.986196e-03
  3.763883e-02    5.770731e-03
  3.793776e-02    5.570997e-03
  3.823669e-02    5.380386e-03
  3.853562e-02    5.216860e-03
  3.883455e-02    5.038776e-03
  3.913348e-02    4.880436e-03
  3.943241e-02    4.750950e-03
  3.973134e-02    4.608247e-03
  4.003027e-02    4.498207e-03
  4.032920e-02    4.349260e-03
  4.062813e-02    4.203487e-03
  4.092706e-02    4.074444e-03
  4.122599e-02    3.955845e-03
  4.152492e-02    3.851089e-03
  4.182385e-02    3.749090e-03
  4.212278e-02    3.665042e-03
  4.242171e-02    3.563056e-03
  4.272064e-02    3.443804e-03
  4.301957e-02    3.341591e-03
  4.331850e-02    3.255870e-03
  4.361743e-02    3.170660e-03
  4.391636e-02    3.093873e-03
  4.421529e-02    3.020105e-03
  4.451423e-02    2.946866e-03
  4.481316e-02    2.867463e-03
  4.511209e-02    2.783981e-03
  4.541102e-02    2.725231e-03
  4.570995e-02    2.648052e-03
  4.600888e-02    2.573819e-03
  4.630781e-02    2.512213e-03
  4.660674e-02    2.462560e-03
  4.690567e-02    2.413267e-03
  4.720460e-02    2.353406e-03
  4.750353e-02    2.291295e-03
  4.780246e-02    2.252522e-03
  4.810139e-02    2.188051e-03
  4.840032e-02    2.134017e-03
  4.869925e-02    2.098808e-03
  4.899818e-02    2.056184e-03
  4.929711e-02    2.002983e-03
  4.959604e-02    1.952131e-03
  4.989497e-02    1.914551e-03
  5.019390e-02    1.887774e-03
  5.049283e-02    1.855302e-03
  5.079176e-02    1.818268e-03
  5.109069e-02    1.773141e-03
  5.138962e-02    1.764430e-03
  5.168855e-02    1.757492e-03
  5.198748e-02    1.736425e-03
  5.228642e-02    1.710221e-03
  5.258535e-02    1.648659e-03
  5.288428e-02    1.608841e-03
  5.318321e-02    1.569562e-03
  5.348214e-02    1.525179e-03
  5.378107e-02    1.496340e-03
