# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 25210.48
# --> AL_DowExpt1_220227_e224598f-30cf-424c-9508-c2546f7d4aff_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.449814e-01
  4.756484e-03    2.994836e-01
  5.055415e-03    2.486037e-01
  5.354345e-03    2.033613e-01
  5.653276e-03    1.721832e-01
  5.952206e-03    3.663329e-01
  6.251136e-03    3.361058e-01
  6.550067e-03    2.903470e-01
  6.848997e-03    2.427527e-01
  7.147927e-03    1.999160e-01
  7.446858e-03    1.659220e-01
  7.745788e-03    1.383473e-01
  8.044719e-03    1.156422e-01
  8.343649e-03    9.833570e-02
  8.642579e-03    8.404508e-02
  8.941510e-03    7.209373e-02
  9.240440e-03    6.243159e-02
  9.539371e-03    5.389717e-02
  9.838301e-03    4.688698e-02
  1.013723e-02    4.115455e-02
  1.043616e-02    3.609659e-02
  1.073509e-02    3.163562e-02
  1.103402e-02    2.813209e-02
  1.133295e-02    2.499981e-02
  1.163188e-02    2.230000e-02
  1.193081e-02    2.000983e-02
  1.222974e-02    1.810549e-02
  1.252867e-02    1.639989e-02
  1.282760e-02    1.475150e-02
  1.312654e-02    1.334014e-02
  1.342547e-02    1.214887e-02
  1.372440e-02    1.108014e-02
  1.402333e-02    1.011875e-02
  1.432226e-02    9.274358e-03
  1.462119e-02    8.469899e-03
  1.492012e-02    7.831520e-03
  1.521905e-02    7.164970e-03
  1.551798e-02    6.567566e-03
  1.581691e-02    6.069456e-03
  1.611584e-02    5.626088e-03
  1.641477e-02    5.218047e-03
  1.671370e-02    4.824376e-03
  1.701263e-02    4.484510e-03
  1.731156e-02    4.169810e-03
  1.761049e-02    3.883631e-03
  1.790942e-02    3.622822e-03
  1.820835e-02    3.376342e-03
  1.850728e-02    3.156031e-03
  1.880621e-02    2.965303e-03
  1.910514e-02    2.773735e-03
  1.940407e-02    2.620610e-03
  1.970300e-02    2.446369e-03
  2.000193e-02    2.288875e-03
  2.030086e-02    2.144988e-03
  2.059979e-02    2.021432e-03
  2.089873e-02    1.929070e-03
  2.119766e-02    1.810122e-03
  2.149659e-02    1.712090e-03
  2.179552e-02    1.615291e-03
  2.209445e-02    1.531904e-03
  2.239338e-02    1.448414e-03
  2.269231e-02    1.375342e-03
  2.299124e-02    1.306536e-03
  2.329017e-02    1.245537e-03
  2.358910e-02    1.189987e-03
  2.388803e-02    1.133037e-03
  2.418696e-02    1.059935e-03
  2.448589e-02    1.006380e-03
  2.478482e-02    9.735739e-04
  2.508375e-02    9.354908e-04
  2.538268e-02    8.900071e-04
  2.568161e-02    8.482504e-04
  2.598054e-02    8.105894e-04
  2.627947e-02    7.815283e-04
  2.657840e-02    7.485443e-04
  2.687733e-02    7.191618e-04
  2.717626e-02    6.928800e-04
  2.747519e-02    6.598457e-04
  2.777412e-02    6.282060e-04
  2.807305e-02    6.025603e-04
  2.837198e-02    5.930099e-04
  2.867092e-02    5.730033e-04
  2.896985e-02    5.563032e-04
  2.926878e-02    5.330849e-04
  2.956771e-02    5.038028e-04
  2.986664e-02    4.868360e-04
  3.016557e-02    4.759163e-04
  3.046450e-02    4.644088e-04
  3.076343e-02    4.450573e-04
  3.106236e-02    4.334899e-04
  3.136129e-02    4.157608e-04
  3.166022e-02    3.996294e-04
  3.195915e-02    3.869646e-04
  3.225808e-02    3.849823e-04
  3.255701e-02    3.777882e-04
  3.285594e-02    3.639453e-04
  3.315487e-02    3.564111e-04
  3.345380e-02    3.396495e-04
  3.375273e-02    3.317541e-04
  3.405166e-02    3.263140e-04
  3.435059e-02    3.224055e-04
  3.464952e-02    3.081382e-04
  3.494845e-02    2.988556e-04
  3.524738e-02    2.950254e-04
  3.554631e-02    2.879123e-04
  3.584524e-02    2.803491e-04
  3.614417e-02    2.746687e-04
  3.644310e-02    2.675680e-04
  3.674204e-02    2.574943e-04
  3.704097e-02    2.504030e-04
  3.733990e-02    2.477971e-04
  3.763883e-02    2.423607e-04
  3.793776e-02    2.402390e-04
  3.823669e-02    2.334630e-04
  3.853562e-02    2.276117e-04
  3.883455e-02    2.224752e-04
  3.913348e-02    2.196515e-04
  3.943241e-02    2.140386e-04
  3.973134e-02    2.077196e-04
  4.003027e-02    2.069350e-04
  4.032920e-02    2.017373e-04
  4.062813e-02    2.044256e-04
  4.092706e-02    1.984513e-04
  4.122599e-02    1.934948e-04
  4.152492e-02    1.923111e-04
  4.182385e-02    1.873360e-04
  4.212278e-02    1.863125e-04
  4.242171e-02    1.869420e-04
  4.272064e-02    1.858810e-04
  4.301957e-02    1.794950e-04
  4.331850e-02    1.790981e-04
  4.361743e-02    1.764051e-04
  4.391636e-02    1.751890e-04
  4.421529e-02    1.708460e-04
  4.451423e-02    1.681451e-04
  4.481316e-02    1.676815e-04
  4.511209e-02    1.654566e-04
  4.541102e-02    1.622963e-04
  4.570995e-02    1.632992e-04
  4.600888e-02    1.600457e-04
  4.630781e-02    1.554157e-04
  4.660674e-02    1.572237e-04
  4.690567e-02    1.563031e-04
  4.720460e-02    1.599203e-04
  4.750353e-02    1.571891e-04
  4.780246e-02    1.524665e-04
  4.810139e-02    1.507382e-04
  4.840032e-02    1.500118e-04
  4.869925e-02    1.535311e-04
  4.899818e-02    1.521477e-04
  4.929711e-02    1.498144e-04
  4.959604e-02    1.466054e-04
  4.989497e-02    1.449093e-04
  5.019390e-02    1.411194e-04
  5.049283e-02    1.380635e-04
  5.079176e-02    1.378852e-04
  5.109069e-02    1.411590e-04
  5.138962e-02    1.405911e-04
  5.168855e-02    1.399892e-04
  5.198748e-02    1.473085e-04
  5.228642e-02    1.450969e-04
  5.258535e-02    1.365510e-04
  5.288428e-02    1.331267e-04
  5.318321e-02    1.360203e-04
  5.348214e-02    1.345620e-04
  5.378107e-02    1.335210e-04
  5.408000e-02    1.321737e-04
  5.437893e-02    1.319028e-04
  5.467786e-02    1.315803e-04
  5.497679e-02    1.324926e-04
  5.527572e-02    1.322312e-04
  5.557465e-02    1.315899e-04
  5.587358e-02    1.313689e-04
  5.617251e-02    1.267087e-04
  5.647144e-02    1.269863e-04
  5.677037e-02    1.278096e-04
  5.706930e-02    1.277038e-04
  5.736823e-02    1.293331e-04
  5.766716e-02    1.257317e-04
  5.796609e-02    1.250575e-04
  5.826502e-02    1.279831e-04
  5.856395e-02    1.276383e-04
  5.886288e-02    1.253665e-04
  5.916181e-02    1.265962e-04
  5.946074e-02    1.269613e-04
  5.975967e-02    1.242172e-04
  6.005861e-02    1.238548e-04
  6.035754e-02    1.232464e-04
  6.065647e-02    1.232850e-04
  6.095540e-02    1.269530e-04
  6.125433e-02    1.278777e-04
  6.155326e-02    1.278763e-04
  6.185219e-02    1.262981e-04
  6.215112e-02    1.237215e-04
  6.245005e-02    1.254924e-04
  6.274898e-02    1.260716e-04
  6.304791e-02    1.230184e-04
  6.334684e-02    1.243473e-04
  6.364577e-02    1.243381e-04
  6.394470e-02    1.209183e-04
  6.424363e-02    1.214193e-04
  6.454256e-02    1.234161e-04
  6.484149e-02    1.217164e-04
  6.514042e-02    1.208348e-04
  6.543935e-02    1.219330e-04
  6.573828e-02    1.218466e-04
  6.603721e-02    1.227250e-04
  6.633614e-02    1.214726e-04
  6.663507e-02    1.201888e-04
  6.693400e-02    1.194919e-04
  6.723293e-02    1.228006e-04
  6.753186e-02    1.235550e-04
  6.783080e-02    1.226331e-04
  6.812973e-02    1.256035e-04
  6.842866e-02    1.260203e-04
  6.872759e-02    1.239292e-04
  6.902652e-02    1.217994e-04
  6.932545e-02    1.226938e-04
  6.962438e-02    1.245128e-04
  6.992331e-02    1.249896e-04
  7.022224e-02    1.228678e-04
  7.052117e-02    1.224086e-04
  7.082010e-02    1.206042e-04
  7.111903e-02    1.219018e-04
  7.141796e-02    1.214602e-04
  7.171689e-02    1.222460e-04
  7.201582e-02    1.244778e-04
  7.231475e-02    1.253133e-04
  7.261368e-02    1.247177e-04
  7.291261e-02    1.221133e-04
  7.321154e-02    1.227015e-04
  7.351047e-02    1.218795e-04
  7.380940e-02    1.202981e-04
  7.410833e-02    1.214717e-04
  7.440726e-02    1.221100e-04
  7.470619e-02    1.218441e-04
  7.500512e-02    1.193131e-04
  7.530405e-02    1.181743e-04
  7.560299e-02    1.230288e-04
