# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 68129.6
# --> AL_DowExpt1_220227_f812d7ae-8ab3-4c3e-97ae-00e83f761321_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.610812e-01
  4.756484e-03    2.259951e-01
  5.055415e-03    1.852714e-01
  5.354345e-03    1.505414e-01
  5.653276e-03    1.271146e-01
  5.952206e-03    2.244680e-01
  6.251136e-03    2.056574e-01
  6.550067e-03    1.781486e-01
  6.848997e-03    1.493565e-01
  7.147927e-03    1.236744e-01
  7.446858e-03    1.034219e-01
  7.745788e-03    8.659133e-02
  8.044719e-03    7.276895e-02
  8.343649e-03    6.213337e-02
  8.642579e-03    5.332200e-02
  8.941510e-03    4.594648e-02
  9.240440e-03    3.977865e-02
  9.539371e-03    3.449375e-02
  9.838301e-03    3.011375e-02
  1.013723e-02    2.654728e-02
  1.043616e-02    2.344044e-02
  1.073509e-02    2.059446e-02
  1.103402e-02    1.823342e-02
  1.133295e-02    1.621362e-02
  1.163188e-02    1.452419e-02
  1.193081e-02    1.306529e-02
  1.222974e-02    1.177617e-02
  1.252867e-02    1.063104e-02
  1.282760e-02    9.602792e-03
  1.312654e-02    8.708715e-03
  1.342547e-02    7.920922e-03
  1.372440e-02    7.229963e-03
  1.402333e-02    6.601273e-03
  1.432226e-02    6.052473e-03
  1.462119e-02    5.549474e-03
  1.492012e-02    5.106341e-03
  1.521905e-02    4.682232e-03
  1.551798e-02    4.319939e-03
  1.581691e-02    4.020573e-03
  1.611584e-02    3.702947e-03
  1.641477e-02    3.401598e-03
  1.671370e-02    3.164276e-03
  1.701263e-02    2.963626e-03
  1.731156e-02    2.767853e-03
  1.761049e-02    2.576744e-03
  1.790942e-02    2.406778e-03
  1.820835e-02    2.239741e-03
  1.850728e-02    2.085642e-03
  1.880621e-02    1.947792e-03
  1.910514e-02    1.832825e-03
  1.940407e-02    1.719293e-03
  1.970300e-02    1.623843e-03
  2.000193e-02    1.526817e-03
  2.030086e-02    1.426443e-03
  2.059979e-02    1.349689e-03
  2.089873e-02    1.271046e-03
  2.119766e-02    1.198438e-03
  2.149659e-02    1.146918e-03
  2.179552e-02    1.083452e-03
  2.209445e-02    1.024209e-03
  2.239338e-02    9.727715e-04
  2.269231e-02    9.265626e-04
  2.299124e-02    8.828984e-04
  2.329017e-02    8.397470e-04
  2.358910e-02    8.065564e-04
  2.388803e-02    7.765647e-04
  2.418696e-02    7.408801e-04
  2.448589e-02    7.007242e-04
  2.478482e-02    6.706068e-04
  2.508375e-02    6.359846e-04
  2.538268e-02    6.097598e-04
  2.568161e-02    5.876580e-04
  2.598054e-02    5.622528e-04
  2.627947e-02    5.416803e-04
  2.657840e-02    5.192971e-04
  2.687733e-02    5.008034e-04
  2.717626e-02    4.819624e-04
  2.747519e-02    4.679573e-04
  2.777412e-02    4.519430e-04
  2.807305e-02    4.335728e-04
  2.837198e-02    4.230102e-04
  2.867092e-02    4.096197e-04
  2.896985e-02    3.979560e-04
  2.926878e-02    3.843093e-04
  2.956771e-02    3.679549e-04
  2.986664e-02    3.588848e-04
  3.016557e-02    3.492732e-04
  3.046450e-02    3.384303e-04
  3.076343e-02    3.256801e-04
  3.106236e-02    3.198494e-04
  3.136129e-02    3.099901e-04
  3.166022e-02    3.007250e-04
  3.195915e-02    2.991864e-04
  3.225808e-02    2.897586e-04
  3.255701e-02    2.782863e-04
  3.285594e-02    2.723139e-04
  3.315487e-02    2.657278e-04
  3.345380e-02    2.565226e-04
  3.375273e-02    2.514883e-04
  3.405166e-02    2.451109e-04
  3.435059e-02    2.366985e-04
  3.464952e-02    2.326882e-04
  3.494845e-02    2.287141e-04
  3.524738e-02    2.249531e-04
  3.554631e-02    2.223782e-04
  3.584524e-02    2.205441e-04
  3.614417e-02    2.172327e-04
  3.644310e-02    2.102342e-04
  3.674204e-02    2.080939e-04
  3.704097e-02    2.032709e-04
  3.733990e-02    1.965772e-04
