# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 6304.200000000001
# --> AL_DowExpt1_220227_fa7ee274-8db7-40ea-9ddf-653490a6abdb_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    8.520973e-01
  4.756484e-03    6.405784e-01
  5.055415e-03    4.196071e-01
  5.354345e-03    2.526518e-01
  5.653276e-03    1.753484e-01
  5.952206e-03    1.144400e+00
  6.251136e-03    1.163867e+00
  6.550067e-03    1.037080e+00
  6.848997e-03    7.961567e-01
  7.147927e-03    5.495242e-01
  7.446858e-03    3.668130e-01
  7.745788e-03    2.499076e-01
  8.044719e-03    1.803870e-01
  8.343649e-03    1.423448e-01
  8.642579e-03    1.210081e-01
  8.941510e-03    1.093298e-01
  9.240440e-03    1.031513e-01
  9.539371e-03    9.982567e-02
  9.838301e-03    9.658687e-02
  1.013723e-02    9.236470e-02
  1.043616e-02    8.671246e-02
  1.073509e-02    7.845721e-02
  1.103402e-02    7.070778e-02
  1.133295e-02    6.177183e-02
  1.163188e-02    5.303248e-02
  1.193081e-02    4.521456e-02
  1.222974e-02    3.836511e-02
  1.252867e-02    3.271512e-02
  1.282760e-02    2.835393e-02
  1.312654e-02    2.494129e-02
  1.342547e-02    2.262064e-02
  1.372440e-02    2.098218e-02
  1.402333e-02    1.970107e-02
  1.432226e-02    1.884439e-02
  1.462119e-02    1.816290e-02
  1.492012e-02    1.728363e-02
  1.521905e-02    1.630565e-02
  1.551798e-02    1.550966e-02
  1.581691e-02    1.452364e-02
  1.611584e-02    1.325485e-02
  1.641477e-02    1.204341e-02
  1.671370e-02    1.087668e-02
  1.701263e-02    9.868639e-03
  1.731156e-02    8.941960e-03
  1.761049e-02    8.186988e-03
  1.790942e-02    7.586556e-03
  1.820835e-02    7.063448e-03
  1.850728e-02    6.638745e-03
  1.880621e-02    6.360059e-03
  1.910514e-02    6.086151e-03
  1.940407e-02    5.793592e-03
  1.970300e-02    5.596253e-03
  2.000193e-02    5.425315e-03
  2.030086e-02    5.180718e-03
  2.059979e-02    4.913311e-03
  2.089873e-02    4.637675e-03
  2.119766e-02    4.322590e-03
  2.149659e-02    4.030731e-03
  2.179552e-02    3.731937e-03
  2.209445e-02    3.462735e-03
  2.239338e-02    3.212088e-03
  2.269231e-02    3.036542e-03
  2.299124e-02    2.910770e-03
  2.329017e-02    2.814084e-03
  2.358910e-02    2.689196e-03
  2.388803e-02    2.529353e-03
  2.418696e-02    2.487146e-03
  2.448589e-02    2.427788e-03
  2.478482e-02    2.381713e-03
  2.508375e-02    2.294912e-03
  2.538268e-02    2.167039e-03
  2.568161e-02    2.087696e-03
  2.598054e-02    2.015678e-03
  2.627947e-02    1.923821e-03
  2.657840e-02    1.819247e-03
  2.687733e-02    1.714388e-03
  2.717626e-02    1.621607e-03
  2.747519e-02    1.544169e-03
  2.777412e-02    1.509680e-03
  2.807305e-02    1.476636e-03
  2.837198e-02    1.409893e-03
  2.867092e-02    1.369203e-03
  2.896985e-02    1.323328e-03
  2.926878e-02    1.290779e-03
  2.956771e-02    1.276115e-03
  2.986664e-02    1.235858e-03
  3.016557e-02    1.203146e-03
  3.046450e-02    1.160768e-03
  3.076343e-02    1.107083e-03
  3.106236e-02    1.074506e-03
  3.136129e-02    1.025595e-03
  3.166022e-02    9.989087e-04
  3.195915e-02    9.681517e-04
  3.225808e-02    9.336360e-04
  3.255701e-02    9.116111e-04
  3.285594e-02    8.937469e-04
  3.315487e-02    8.587463e-04
  3.345380e-02    8.455416e-04
  3.375273e-02    8.272791e-04
  3.405166e-02    7.876600e-04
  3.435059e-02    7.789065e-04
  3.464952e-02    7.649638e-04
  3.494845e-02    7.281383e-04
  3.524738e-02    7.161802e-04
  3.554631e-02    6.985147e-04
  3.584524e-02    6.946223e-04
  3.614417e-02    6.603866e-04
  3.644310e-02    6.282675e-04
  3.674204e-02    6.226691e-04
  3.704097e-02    6.193051e-04
  3.733990e-02    5.993992e-04
  3.763883e-02    5.936117e-04
  3.793776e-02    5.943048e-04
  3.823669e-02    5.694770e-04
  3.853562e-02    5.461796e-04
  3.883455e-02    5.373160e-04
  3.913348e-02    5.156706e-04
  3.943241e-02    5.301629e-04
  3.973134e-02    5.189276e-04
  4.003027e-02    4.941016e-04
  4.032920e-02    4.871399e-04
  4.062813e-02    4.782002e-04
  4.092706e-02    4.785544e-04
  4.122599e-02    4.675415e-04
  4.152492e-02    4.571848e-04
  4.182385e-02    4.385245e-04
  4.212278e-02    4.441333e-04
  4.242171e-02    4.504577e-04
  4.272064e-02    4.301752e-04
  4.301957e-02    4.256189e-04
  4.331850e-02    4.103674e-04
  4.361743e-02    3.985026e-04
  4.391636e-02    3.924159e-04
  4.421529e-02    3.869272e-04
  4.451423e-02    3.778601e-04
  4.481316e-02    3.799330e-04
  4.511209e-02    3.751536e-04
  4.541102e-02    3.666903e-04
  4.570995e-02    3.653766e-04
  4.600888e-02    3.545579e-04
  4.630781e-02    3.528519e-04
  4.660674e-02    3.375175e-04
  4.690567e-02    3.274229e-04
  4.720460e-02    3.272220e-04
  4.750353e-02    3.325773e-04
  4.780246e-02    3.257426e-04
  4.810139e-02    3.182043e-04
  4.840032e-02    3.200875e-04
  4.869925e-02    3.282764e-04
  4.899818e-02    3.198417e-04
  4.929711e-02    3.111058e-04
  4.959604e-02    3.075802e-04
  4.989497e-02    3.078200e-04
  5.019390e-02    3.064048e-04
  5.049283e-02    3.098760e-04
