# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4079796.9999999995
# --> AL_F127_220225_7a290ccd-b70b-46e5-816c-8e60d65f798e_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.709959e-03
  4.756484e-03    1.350792e-03
  5.055415e-03    9.683361e-04
  5.354345e-03    6.791823e-04
  5.653276e-03    5.218927e-04
  5.952206e-03    8.199566e-04
  6.251136e-03    7.512085e-04
  6.550067e-03    6.561017e-04
  6.848997e-03    5.598527e-04
  7.147927e-03    4.740932e-04
  7.446858e-03    4.055707e-04
  7.745788e-03    3.484626e-04
  8.044719e-03    3.001359e-04
  8.343649e-03    2.628911e-04
  8.642579e-03    2.291381e-04
  8.941510e-03    2.005609e-04
  9.240440e-03    1.787646e-04
  9.539371e-03    1.588738e-04
  9.838301e-03    1.408256e-04
  1.013723e-02    1.261549e-04
  1.043616e-02    1.136960e-04
  1.073509e-02    1.021361e-04
  1.103402e-02    9.282162e-05
  1.133295e-02    8.408242e-05
  1.163188e-02    7.609851e-05
  1.193081e-02    6.928522e-05
  1.222974e-02    6.341149e-05
  1.252867e-02    5.843344e-05
  1.282760e-02    5.397709e-05
  1.312654e-02    4.967820e-05
  1.342547e-02    4.586356e-05
  1.372440e-02    4.249662e-05
  1.402333e-02    3.910165e-05
  1.432226e-02    3.633925e-05
  1.462119e-02    3.423470e-05
  1.492012e-02    3.179512e-05
  1.521905e-02    2.962275e-05
  1.551798e-02    2.780674e-05
  1.581691e-02    2.619793e-05
  1.611584e-02    2.455058e-05
  1.641477e-02    2.320384e-05
  1.671370e-02    2.188696e-05
  1.701263e-02    2.046942e-05
  1.731156e-02    1.929080e-05
  1.761049e-02    1.830762e-05
  1.790942e-02    1.752601e-05
  1.820835e-02    1.656437e-05
  1.850728e-02    1.584205e-05
  1.880621e-02    1.542637e-05
  1.910514e-02    1.461758e-05
  1.940407e-02    1.387928e-05
  1.970300e-02    1.336981e-05
  2.000193e-02    1.296115e-05
  2.030086e-02    1.251518e-05
  2.059979e-02    1.193603e-05
  2.089873e-02    1.153507e-05
  2.119766e-02    1.107616e-05
  2.149659e-02    1.072435e-05
  2.179552e-02    1.045127e-05
  2.209445e-02    1.012567e-05
  2.239338e-02    9.859798e-06
  2.269231e-02    9.544787e-06
  2.299124e-02    9.267349e-06
  2.329017e-02    9.003823e-06
  2.358910e-02    8.827285e-06
  2.388803e-02    8.612342e-06
  2.418696e-02    8.429960e-06
  2.448589e-02    8.264587e-06
  2.478482e-02    8.000931e-06
  2.508375e-02    7.848056e-06
  2.538268e-02    7.798511e-06
  2.568161e-02    7.624873e-06
  2.598054e-02    7.494064e-06
  2.627947e-02    7.322798e-06
  2.657840e-02    7.170478e-06
  2.687733e-02    7.055869e-06
  2.717626e-02    6.943201e-06
  2.747519e-02    6.846150e-06
  2.777412e-02    6.811031e-06
  2.807305e-02    6.717355e-06
  2.837198e-02    6.564833e-06
  2.867092e-02    6.466245e-06
  2.896985e-02    6.429584e-06
  2.926878e-02    6.337571e-06
  2.956771e-02    6.228014e-06
  2.986664e-02    6.123958e-06
  3.016557e-02    6.071788e-06
  3.046450e-02    6.029796e-06
  3.076343e-02    6.028903e-06
  3.106236e-02    5.948728e-06
  3.136129e-02    5.833325e-06
  3.166022e-02    5.824564e-06
  3.195915e-02    5.734441e-06
  3.225808e-02    5.640200e-06
  3.255701e-02    5.589194e-06
  3.285594e-02    5.553773e-06
  3.315487e-02    5.497223e-06
  3.345380e-02    5.453609e-06
  3.375273e-02    5.334041e-06
  3.405166e-02    5.264882e-06
  3.435059e-02    5.274866e-06
  3.464952e-02    5.188767e-06
  3.494845e-02    5.206754e-06
  3.524738e-02    5.099000e-06
  3.554631e-02    4.989971e-06
  3.584524e-02    5.007370e-06
  3.614417e-02    4.988415e-06
  3.644310e-02    4.926255e-06
  3.674204e-02    4.831575e-06
  3.704097e-02    4.811906e-06
  3.733990e-02    4.756987e-06
  3.763883e-02    4.698639e-06
  3.793776e-02    4.694108e-06
  3.823669e-02    4.640214e-06
  3.853562e-02    4.609966e-06
  3.883455e-02    4.626072e-06
  3.913348e-02    4.534962e-06
  3.943241e-02    4.525134e-06
  3.973134e-02    4.480153e-06
  4.003027e-02    4.476495e-06
  4.032920e-02    4.437867e-06
  4.062813e-02    4.440800e-06
  4.092706e-02    4.377522e-06
  4.122599e-02    4.318548e-06
  4.152492e-02    4.275859e-06
  4.182385e-02    4.300475e-06
  4.212278e-02    4.266015e-06
  4.242171e-02    4.277231e-06
  4.272064e-02    4.232536e-06
  4.301957e-02    4.140272e-06
  4.331850e-02    4.172644e-06
  4.361743e-02    4.214270e-06
  4.391636e-02    4.223274e-06
  4.421529e-02    4.201540e-06
  4.451423e-02    4.150534e-06
  4.481316e-02    4.136537e-06
  4.511209e-02    4.148723e-06
  4.541102e-02    4.089243e-06
  4.570995e-02    4.061133e-06
  4.600888e-02    4.097514e-06
  4.630781e-02    4.113198e-06
  4.660674e-02    4.080651e-06
  4.690567e-02    4.081257e-06
  4.720460e-02    4.067659e-06
  4.750353e-02    4.106790e-06
  4.780246e-02    4.111528e-06
  4.810139e-02    4.093778e-06
  4.840032e-02    4.042810e-06
  4.869925e-02    4.035021e-06
  4.899818e-02    4.067470e-06
  4.929711e-02    4.019910e-06
  4.959604e-02    4.012315e-06
  4.989497e-02    4.045085e-06
  5.019390e-02    4.069337e-06
  5.049283e-02    4.096145e-06
  5.079176e-02    4.087036e-06
  5.109069e-02    4.110174e-06
  5.138962e-02    4.096600e-06
  5.168855e-02    4.146395e-06
  5.198748e-02    4.285806e-06
  5.228642e-02    4.241948e-06
  5.258535e-02    4.106490e-06
  5.288428e-02    3.992990e-06
  5.318321e-02    3.956018e-06
  5.348214e-02    3.935324e-06
  5.378107e-02    3.936596e-06
  5.408000e-02    3.943111e-06
  5.437893e-02    3.991144e-06
  5.467786e-02    3.936666e-06
  5.497679e-02    3.959554e-06
  5.527572e-02    4.011727e-06
  5.557465e-02    4.024524e-06
  5.587358e-02    4.019544e-06
  5.617251e-02    3.969044e-06
  5.647144e-02    3.961411e-06
  5.677037e-02    3.982023e-06
  5.706930e-02    3.965653e-06
  5.736823e-02    3.968367e-06
  5.766716e-02    3.989222e-06
  5.796609e-02    3.973895e-06
  5.826502e-02    3.973348e-06
  5.856395e-02    3.996618e-06
  5.886288e-02    4.006372e-06
  5.916181e-02    4.010868e-06
  5.946074e-02    3.993649e-06
  5.975967e-02    3.972752e-06
  6.005861e-02    3.964382e-06
  6.035754e-02    4.006816e-06
  6.065647e-02    4.052882e-06
  6.095540e-02    4.096025e-06
  6.125433e-02    4.165377e-06
  6.155326e-02    4.176995e-06
  6.185219e-02    4.064822e-06
  6.215112e-02    4.045703e-06
  6.245005e-02    4.052454e-06
  6.274898e-02    4.039245e-06
  6.304791e-02    4.032395e-06
  6.334684e-02    4.037602e-06
  6.364577e-02    4.076987e-06
  6.394470e-02    4.075234e-06
  6.424363e-02    4.045438e-06
  6.454256e-02    4.062871e-06
  6.484149e-02    4.069865e-06
  6.514042e-02    4.005613e-06
  6.543935e-02    4.003080e-06
  6.573828e-02    3.994005e-06
  6.603721e-02    4.002638e-06
  6.633614e-02    4.053396e-06
  6.663507e-02    4.043738e-06
  6.693400e-02    4.052887e-06
  6.723293e-02    4.095672e-06
  6.753186e-02    4.103728e-06
  6.783080e-02    4.105224e-06
  6.812973e-02    4.091513e-06
  6.842866e-02    4.092356e-06
  6.872759e-02    4.116132e-06
  6.902652e-02    4.105509e-06
  6.932545e-02    4.113184e-06
  6.962438e-02    4.128390e-06
  6.992331e-02    4.109239e-06
  7.022224e-02    4.104647e-06
  7.052117e-02    4.139446e-06
  7.082010e-02    4.125534e-06
  7.111903e-02    4.117187e-06
  7.141796e-02    4.126508e-06
  7.171689e-02    4.128838e-06
  7.201582e-02    4.152549e-06
  7.231475e-02    4.154124e-06
  7.261368e-02    4.165820e-06
  7.291261e-02    4.137105e-06
  7.321154e-02    4.124948e-06
  7.351047e-02    4.149762e-06
  7.380940e-02    4.153401e-06
  7.410833e-02    4.168556e-06
  7.440726e-02    4.133296e-06
  7.470619e-02    4.154764e-06
  7.500512e-02    4.143423e-06
  7.530405e-02    4.122235e-06
  7.560299e-02    4.132677e-06
  7.590192e-02    4.143852e-06
  7.620085e-02    4.129393e-06
  7.649978e-02    4.155621e-06
  7.679871e-02    4.141405e-06
  7.709764e-02    4.120834e-06
