# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1631713.4000000001
# --> AL_F127_220225_8918b8e9-e007-4729-a9d8-a2a8675309c0_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    5.691515e-03
  4.756484e-03    4.495558e-03
  5.055415e-03    3.207847e-03
  5.354345e-03    2.240252e-03
  5.653276e-03    1.708195e-03
  5.952206e-03    2.703737e-03
  6.251136e-03    2.475010e-03
  6.550067e-03    2.161870e-03
  6.848997e-03    1.846544e-03
  7.147927e-03    1.560047e-03
  7.446858e-03    1.329704e-03
  7.745788e-03    1.141782e-03
  8.044719e-03    9.860750e-04
  8.343649e-03    8.604155e-04
  8.642579e-03    7.512834e-04
  8.941510e-03    6.634677e-04
  9.240440e-03    5.868166e-04
  9.539371e-03    5.231072e-04
  9.838301e-03    4.659434e-04
  1.013723e-02    4.157665e-04
  1.043616e-02    3.756185e-04
  1.073509e-02    3.373498e-04
  1.103402e-02    3.040545e-04
  1.133295e-02    2.752268e-04
  1.163188e-02    2.521046e-04
  1.193081e-02    2.301754e-04
  1.222974e-02    2.095616e-04
  1.252867e-02    1.933135e-04
  1.282760e-02    1.783036e-04
  1.312654e-02    1.643222e-04
  1.342547e-02    1.520812e-04
  1.372440e-02    1.408782e-04
  1.402333e-02    1.304490e-04
  1.432226e-02    1.208943e-04
  1.462119e-02    1.130241e-04
  1.492012e-02    1.053058e-04
  1.521905e-02    9.779540e-05
  1.551798e-02    9.235572e-05
  1.581691e-02    8.666043e-05
  1.611584e-02    8.129745e-05
  1.641477e-02    7.699452e-05
  1.671370e-02    7.243251e-05
  1.701263e-02    6.822312e-05
  1.731156e-02    6.529286e-05
  1.761049e-02    6.214518e-05
  1.790942e-02    5.884933e-05
  1.820835e-02    5.598963e-05
  1.850728e-02    5.319568e-05
  1.880621e-02    5.090423e-05
  1.910514e-02    4.884361e-05
  1.940407e-02    4.655569e-05
  1.970300e-02    4.459253e-05
  2.000193e-02    4.308173e-05
  2.030086e-02    4.163903e-05
  2.059979e-02    4.027168e-05
  2.089873e-02    3.901987e-05
  2.119766e-02    3.756644e-05
  2.149659e-02    3.626212e-05
  2.179552e-02    3.516666e-05
  2.209445e-02    3.408858e-05
  2.239338e-02    3.299268e-05
  2.269231e-02    3.219717e-05
  2.299124e-02    3.130205e-05
  2.329017e-02    3.047286e-05
  2.358910e-02    2.970251e-05
  2.388803e-02    2.905914e-05
  2.418696e-02    2.828782e-05
  2.448589e-02    2.763774e-05
  2.478482e-02    2.732368e-05
  2.508375e-02    2.670150e-05
  2.538268e-02    2.601458e-05
  2.568161e-02    2.577910e-05
  2.598054e-02    2.527734e-05
  2.627947e-02    2.473098e-05
  2.657840e-02    2.446621e-05
  2.687733e-02    2.407772e-05
  2.717626e-02    2.340056e-05
  2.747519e-02    2.308543e-05
  2.777412e-02    2.300704e-05
  2.807305e-02    2.281174e-05
  2.837198e-02    2.247475e-05
  2.867092e-02    2.217178e-05
  2.896985e-02    2.162457e-05
  2.926878e-02    2.121852e-05
  2.956771e-02    2.101393e-05
  2.986664e-02    2.080182e-05
  3.016557e-02    2.070403e-05
  3.046450e-02    2.063895e-05
  3.076343e-02    2.031063e-05
  3.106236e-02    1.996196e-05
  3.136129e-02    1.964878e-05
  3.166022e-02    1.962242e-05
  3.195915e-02    1.950052e-05
  3.225808e-02    1.905318e-05
  3.255701e-02    1.900203e-05
  3.285594e-02    1.908771e-05
  3.315487e-02    1.882546e-05
  3.345380e-02    1.871927e-05
  3.375273e-02    1.844710e-05
  3.405166e-02    1.805281e-05
  3.435059e-02    1.796336e-05
  3.464952e-02    1.782824e-05
  3.494845e-02    1.750669e-05
  3.524738e-02    1.727960e-05
  3.554631e-02    1.720149e-05
