# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 17131750.400000002
# --> AL_F127_220225_8918b8e9-e007-4729-a9d8-a2ac137169c0_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.978763e-04
  4.756484e-03    1.589252e-04
  5.055415e-03    1.128629e-04
  5.354345e-03    7.728893e-05
  5.653276e-03    5.759368e-05
  5.952206e-03    9.065888e-05
  6.251136e-03    8.274636e-05
  6.550067e-03    7.226493e-05
  6.848997e-03    6.147688e-05
  7.147927e-03    5.182134e-05
  7.446858e-03    4.425952e-05
  7.745788e-03    3.828615e-05
  8.044719e-03    3.308658e-05
  8.343649e-03    2.889541e-05
  8.642579e-03    2.530241e-05
  8.941510e-03    2.237084e-05
  9.240440e-03    1.980934e-05
  9.539371e-03    1.761983e-05
  9.838301e-03    1.569382e-05
  1.013723e-02    1.411813e-05
  1.043616e-02    1.287520e-05
  1.073509e-02    1.167382e-05
  1.103402e-02    1.063046e-05
  1.133295e-02    9.659645e-06
  1.163188e-02    8.824009e-06
  1.193081e-02    8.128854e-06
  1.222974e-02    7.485333e-06
  1.252867e-02    6.923756e-06
  1.282760e-02    6.448400e-06
  1.312654e-02    5.983597e-06
  1.342547e-02    5.550711e-06
  1.372440e-02    5.166999e-06
  1.402333e-02    4.843148e-06
  1.432226e-02    4.576107e-06
  1.462119e-02    4.312190e-06
  1.492012e-02    4.032672e-06
  1.521905e-02    3.808653e-06
  1.551798e-02    3.582695e-06
  1.581691e-02    3.368272e-06
  1.611584e-02    3.235982e-06
  1.641477e-02    3.074726e-06
  1.671370e-02    2.925201e-06
  1.701263e-02    2.823039e-06
  1.731156e-02    2.711647e-06
  1.761049e-02    2.597636e-06
  1.790942e-02    2.489054e-06
  1.820835e-02    2.393604e-06
  1.850728e-02    2.332788e-06
  1.880621e-02    2.237735e-06
  1.910514e-02    2.144568e-06
  1.940407e-02    2.076874e-06
  1.970300e-02    2.020270e-06
  2.000193e-02    1.940052e-06
  2.030086e-02    1.876820e-06
  2.059979e-02    1.851127e-06
  2.089873e-02    1.833079e-06
  2.119766e-02    1.785977e-06
  2.149659e-02    1.739565e-06
  2.179552e-02    1.694720e-06
  2.209445e-02    1.653664e-06
  2.239338e-02    1.616919e-06
  2.269231e-02    1.567074e-06
  2.299124e-02    1.541845e-06
  2.329017e-02    1.522246e-06
  2.358910e-02    1.495870e-06
  2.388803e-02    1.465513e-06
  2.418696e-02    1.416369e-06
  2.448589e-02    1.386997e-06
  2.478482e-02    1.365130e-06
  2.508375e-02    1.348971e-06
  2.538268e-02    1.340797e-06
  2.568161e-02    1.305816e-06
  2.598054e-02    1.284666e-06
  2.627947e-02    1.275781e-06
  2.657840e-02    1.263827e-06
  2.687733e-02    1.258491e-06
  2.717626e-02    1.231652e-06
  2.747519e-02    1.207714e-06
  2.777412e-02    1.194337e-06
  2.807305e-02    1.178671e-06
  2.837198e-02    1.166081e-06
  2.867092e-02    1.149857e-06
  2.896985e-02    1.137677e-06
  2.926878e-02    1.118886e-06
  2.956771e-02    1.109229e-06
  2.986664e-02    1.094150e-06
  3.016557e-02    1.076741e-06
  3.046450e-02    1.078088e-06
  3.076343e-02    1.061328e-06
  3.106236e-02    1.048556e-06
  3.136129e-02    1.039176e-06
  3.166022e-02    1.034133e-06
  3.195915e-02    1.019280e-06
  3.225808e-02    1.000253e-06
  3.255701e-02    9.975678e-07
  3.285594e-02    9.746492e-07
  3.315487e-02    9.715081e-07
  3.345380e-02    9.713156e-07
  3.375273e-02    9.592926e-07
  3.405166e-02    9.544352e-07
  3.435059e-02    9.490918e-07
  3.464952e-02    9.478786e-07
  3.494845e-02    9.382839e-07
  3.524738e-02    9.298755e-07
  3.554631e-02    9.267655e-07
  3.584524e-02    9.084068e-07
  3.614417e-02    9.109061e-07
  3.644310e-02    9.136513e-07
  3.674204e-02    9.147910e-07
  3.704097e-02    8.926008e-07
  3.733990e-02    8.763258e-07
  3.763883e-02    8.808570e-07
  3.793776e-02    8.861913e-07
  3.823669e-02    8.726919e-07
  3.853562e-02    8.634707e-07
  3.883455e-02    8.603504e-07
  3.913348e-02    8.529668e-07
  3.943241e-02    8.479034e-07
  3.973134e-02    8.486086e-07
  4.003027e-02    8.420053e-07
  4.032920e-02    8.480773e-07
  4.062813e-02    8.497374e-07
  4.092706e-02    8.450781e-07
  4.122599e-02    8.358893e-07
  4.152492e-02    8.300076e-07
  4.182385e-02    8.215496e-07
  4.212278e-02    8.195228e-07
  4.242171e-02    8.172573e-07
  4.272064e-02    8.090457e-07
  4.301957e-02    8.035483e-07
  4.331850e-02    8.122700e-07
  4.361743e-02    8.214947e-07
  4.391636e-02    8.060064e-07
  4.421529e-02    8.024206e-07
  4.451423e-02    7.946089e-07
  4.481316e-02    7.942562e-07
  4.511209e-02    8.052297e-07
  4.541102e-02    8.036465e-07
  4.570995e-02    7.969401e-07
  4.600888e-02    7.878783e-07
  4.630781e-02    7.895136e-07
  4.660674e-02    7.895890e-07
  4.690567e-02    7.927731e-07
  4.720460e-02    7.946368e-07
  4.750353e-02    7.927745e-07
  4.780246e-02    7.911624e-07
  4.810139e-02    7.832880e-07
  4.840032e-02    7.754101e-07
  4.869925e-02    7.792686e-07
  4.899818e-02    7.761883e-07
  4.929711e-02    7.696677e-07
  4.959604e-02    7.638780e-07
  4.989497e-02    7.757671e-07
  5.019390e-02    7.753572e-07
  5.049283e-02    7.634835e-07
  5.079176e-02    7.743395e-07
  5.109069e-02    7.733337e-07
  5.138962e-02    7.825406e-07
  5.168855e-02    7.931020e-07
  5.198748e-02    7.953111e-07
  5.228642e-02    7.895870e-07
  5.258535e-02    7.774390e-07
  5.288428e-02    7.767490e-07
  5.318321e-02    7.844821e-07
  5.348214e-02    7.809058e-07
  5.378107e-02    7.730892e-07
  5.408000e-02    7.626733e-07
  5.437893e-02    7.721429e-07
  5.467786e-02    7.732444e-07
  5.497679e-02    7.668348e-07
  5.527572e-02    7.574802e-07
  5.557465e-02    7.639080e-07
  5.587358e-02    7.665994e-07
  5.617251e-02    7.547487e-07
  5.647144e-02    7.594490e-07
  5.677037e-02    7.668852e-07
  5.706930e-02    7.738137e-07
  5.736823e-02    7.695054e-07
  5.766716e-02    7.696132e-07
  5.796609e-02    7.666634e-07
  5.826502e-02    7.652196e-07
  5.856395e-02    7.716650e-07
  5.886288e-02    7.738850e-07
  5.916181e-02    7.666396e-07
  5.946074e-02    7.671427e-07
  5.975967e-02    7.753435e-07
  6.005861e-02    7.742785e-07
  6.035754e-02    7.749578e-07
  6.065647e-02    7.754203e-07
  6.095540e-02    7.788890e-07
  6.125433e-02    7.839996e-07
  6.155326e-02    7.787160e-07
  6.185219e-02    7.766218e-07
  6.215112e-02    7.705851e-07
  6.245005e-02    7.693353e-07
  6.274898e-02    7.764274e-07
  6.304791e-02    7.756024e-07
  6.334684e-02    7.713101e-07
  6.364577e-02    7.688337e-07
  6.394470e-02    7.747054e-07
