# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4934656.0
# --> AL_F127_220225_cb07f505-3092-4e8c-9263-ca59ce410498_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.022837e-04
  4.756484e-03    8.495902e-05
  5.055415e-03    6.163611e-05
  5.354345e-03    4.251413e-05
  5.653276e-03    3.364146e-05
  5.952206e-03    4.561527e-05
  6.251136e-03    4.280717e-05
  6.550067e-03    3.813722e-05
  6.848997e-03    3.356445e-05
  7.147927e-03    3.006080e-05
  7.446858e-03    2.729302e-05
  7.745788e-03    2.451841e-05
  8.044719e-03    2.194501e-05
  8.343649e-03    2.039872e-05
  8.642579e-03    1.915304e-05
  8.941510e-03    1.793186e-05
  9.240440e-03    1.689631e-05
  9.539371e-03    1.596278e-05
  9.838301e-03    1.494006e-05
  1.013723e-02    1.445805e-05
  1.043616e-02    1.409369e-05
  1.073509e-02    1.335496e-05
  1.103402e-02    1.299638e-05
  1.133295e-02    1.294025e-05
  1.163188e-02    1.256768e-05
  1.193081e-02    1.199728e-05
  1.222974e-02    1.174362e-05
  1.252867e-02    1.154536e-05
  1.282760e-02    1.140507e-05
  1.312654e-02    1.121134e-05
  1.342547e-02    1.103370e-05
  1.372440e-02    1.083366e-05
  1.402333e-02    1.074813e-05
  1.432226e-02    1.062526e-05
  1.462119e-02    1.048117e-05
  1.492012e-02    1.050950e-05
  1.521905e-02    1.045715e-05
  1.551798e-02    1.041209e-05
  1.581691e-02    1.030890e-05
  1.611584e-02    1.020100e-05
  1.641477e-02    1.009327e-05
  1.671370e-02    1.015058e-05
  1.701263e-02    1.009213e-05
  1.731156e-02    1.005685e-05
  1.761049e-02    1.006592e-05
  1.790942e-02    1.005849e-05
  1.820835e-02    9.957875e-06
  1.850728e-02    9.834027e-06
  1.880621e-02    9.910852e-06
  1.910514e-02    9.919618e-06
  1.940407e-02    9.885295e-06
  1.970300e-02    9.732228e-06
  2.000193e-02    9.617188e-06
  2.030086e-02    9.632627e-06
  2.059979e-02    9.552250e-06
  2.089873e-02    9.411076e-06
  2.119766e-02    9.337441e-06
  2.149659e-02    9.356365e-06
  2.179552e-02    9.280291e-06
  2.209445e-02    9.225543e-06
  2.239338e-02    9.224113e-06
  2.269231e-02    9.084632e-06
  2.299124e-02    8.935219e-06
  2.329017e-02    8.829997e-06
  2.358910e-02    8.689546e-06
  2.388803e-02    8.576631e-06
  2.418696e-02    8.454599e-06
  2.448589e-02    8.384068e-06
  2.478482e-02    8.265424e-06
  2.508375e-02    8.064663e-06
  2.538268e-02    7.956176e-06
  2.568161e-02    7.829859e-06
  2.598054e-02    7.696623e-06
  2.627947e-02    7.526761e-06
  2.657840e-02    7.385808e-06
  2.687733e-02    7.206014e-06
  2.717626e-02    7.110194e-06
  2.747519e-02    6.946164e-06
  2.777412e-02    6.784062e-06
  2.807305e-02    6.664261e-06
  2.837198e-02    6.494261e-06
  2.867092e-02    6.288643e-06
  2.896985e-02    6.127392e-06
  2.926878e-02    6.044348e-06
  2.956771e-02    5.902926e-06
  2.986664e-02    5.740780e-06
  3.016557e-02    5.570915e-06
  3.046450e-02    5.408141e-06
  3.076343e-02    5.278979e-06
  3.106236e-02    5.168908e-06
  3.136129e-02    5.012545e-06
  3.166022e-02    4.889742e-06
  3.195915e-02    4.794746e-06
  3.225808e-02    4.692069e-06
  3.255701e-02    4.529374e-06
  3.285594e-02    4.361284e-06
  3.315487e-02    4.248162e-06
  3.345380e-02    4.145423e-06
  3.375273e-02    4.028901e-06
  3.405166e-02    3.882119e-06
  3.435059e-02    3.777284e-06
  3.464952e-02    3.650051e-06
  3.494845e-02    3.585276e-06
  3.524738e-02    3.490109e-06
  3.554631e-02    3.366597e-06
  3.584524e-02    3.299935e-06
  3.614417e-02    3.246404e-06
  3.644310e-02    3.129877e-06
  3.674204e-02    3.024764e-06
  3.704097e-02    2.953876e-06
  3.733990e-02    2.896481e-06
  3.763883e-02    2.813582e-06
  3.793776e-02    2.737381e-06
  3.823669e-02    2.681110e-06
  3.853562e-02    2.620090e-06
  3.883455e-02    2.534829e-06
  3.913348e-02    2.439489e-06
  3.943241e-02    2.381640e-06
  3.973134e-02    2.303341e-06
  4.003027e-02    2.270698e-06
  4.032920e-02    2.216962e-06
  4.062813e-02    2.167962e-06
  4.092706e-02    2.109299e-06
  4.122599e-02    2.076320e-06
  4.152492e-02    2.045817e-06
  4.182385e-02    1.961663e-06
  4.212278e-02    1.930605e-06
  4.242171e-02    1.886938e-06
  4.272064e-02    1.852889e-06
