# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1475135.4000000001
# --> AL_F127_220225_d090e637-7f8e-4728-b42a-6115fadd64bc_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.424120e-03
  4.756484e-03    1.918065e-03
  5.055415e-03    1.360073e-03
  5.354345e-03    9.188755e-04
  5.653276e-03    6.779783e-04
  5.952206e-03    1.053050e-03
  6.251136e-03    9.548475e-04
  6.550067e-03    8.300869e-04
  6.848997e-03    7.101164e-04
  7.147927e-03    5.981119e-04
  7.446858e-03    5.125318e-04
  7.745788e-03    4.394210e-04
  8.044719e-03    3.763921e-04
  8.343649e-03    3.305954e-04
  8.642579e-03    2.908804e-04
  8.941510e-03    2.578724e-04
  9.240440e-03    2.299328e-04
  9.539371e-03    2.049053e-04
  9.838301e-03    1.846878e-04
  1.013723e-02    1.662205e-04
  1.043616e-02    1.493912e-04
  1.073509e-02    1.347645e-04
  1.103402e-02    1.236476e-04
  1.133295e-02    1.130691e-04
  1.163188e-02    1.037886e-04
  1.193081e-02    9.612804e-05
  1.222974e-02    8.899162e-05
  1.252867e-02    8.229670e-05
  1.282760e-02    7.628035e-05
  1.312654e-02    7.153814e-05
  1.342547e-02    6.697460e-05
  1.372440e-02    6.251618e-05
  1.402333e-02    5.861707e-05
  1.432226e-02    5.485334e-05
  1.462119e-02    5.165987e-05
  1.492012e-02    4.931107e-05
  1.521905e-02    4.634318e-05
  1.551798e-02    4.379304e-05
  1.581691e-02    4.189425e-05
  1.611584e-02    4.025832e-05
  1.641477e-02    3.865978e-05
  1.671370e-02    3.679608e-05
  1.701263e-02    3.513467e-05
  1.731156e-02    3.347259e-05
  1.761049e-02    3.196470e-05
  1.790942e-02    3.082825e-05
  1.820835e-02    2.945578e-05
  1.850728e-02    2.852179e-05
  1.880621e-02    2.773118e-05
  1.910514e-02    2.711871e-05
  1.940407e-02    2.643151e-05
  1.970300e-02    2.575561e-05
  2.000193e-02    2.514104e-05
  2.030086e-02    2.443628e-05
  2.059979e-02    2.361109e-05
  2.089873e-02    2.315509e-05
