# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 19747408.8
# --> AL_F127_220225_ecb898a6-95d1-4898-a712-9968013c3b7b_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.754527e-03
  4.756484e-03    1.384305e-03
  5.055415e-03    1.003074e-03
  5.354345e-03    7.201719e-04
  5.653276e-03    5.662176e-04
  5.952206e-03    9.577741e-04
  6.251136e-03    8.623342e-04
  6.550067e-03    7.380738e-04
  6.848997e-03    6.209453e-04
  7.147927e-03    5.225553e-04
  7.446858e-03    4.451235e-04
  7.745788e-03    3.811502e-04
  8.044719e-03    3.284418e-04
  8.343649e-03    2.868879e-04
  8.642579e-03    2.512172e-04
  8.941510e-03    2.211051e-04
  9.240440e-03    1.960203e-04
  9.539371e-03    1.743753e-04
  9.838301e-03    1.555113e-04
  1.013723e-02    1.396982e-04
  1.043616e-02    1.260713e-04
  1.073509e-02    1.133376e-04
  1.103402e-02    1.028302e-04
  1.133295e-02    9.360315e-05
  1.163188e-02    8.543701e-05
  1.193081e-02    7.830296e-05
  1.222974e-02    7.206665e-05
  1.252867e-02    6.645118e-05
  1.282760e-02    6.129604e-05
  1.312654e-02    5.669456e-05
  1.342547e-02    5.261918e-05
  1.372440e-02    4.900921e-05
  1.402333e-02    4.567581e-05
  1.432226e-02    4.259822e-05
  1.462119e-02    3.986868e-05
  1.492012e-02    3.747823e-05
  1.521905e-02    3.528914e-05
  1.551798e-02    3.346204e-05
  1.581691e-02    3.166130e-05
  1.611584e-02    2.981958e-05
  1.641477e-02    2.823177e-05
  1.671370e-02    2.677418e-05
  1.701263e-02    2.547564e-05
  1.731156e-02    2.439656e-05
  1.761049e-02    2.329678e-05
  1.790942e-02    2.231751e-05
  1.820835e-02    2.136764e-05
  1.850728e-02    2.050874e-05
  1.880621e-02    1.967762e-05
  1.910514e-02    1.894960e-05
  1.940407e-02    1.828537e-05
  1.970300e-02    1.764054e-05
  2.000193e-02    1.709288e-05
  2.030086e-02    1.656973e-05
  2.059979e-02    1.614362e-05
  2.089873e-02    1.566711e-05
  2.119766e-02    1.516303e-05
  2.149659e-02    1.472745e-05
  2.179552e-02    1.437764e-05
  2.209445e-02    1.407315e-05
  2.239338e-02    1.374625e-05
  2.269231e-02    1.337634e-05
  2.299124e-02    1.317241e-05
  2.329017e-02    1.287772e-05
  2.358910e-02    1.258335e-05
  2.388803e-02    1.234963e-05
  2.418696e-02    1.209318e-05
  2.448589e-02    1.190707e-05
  2.478482e-02    1.168316e-05
  2.508375e-02    1.153596e-05
  2.538268e-02    1.136871e-05
  2.568161e-02    1.115187e-05
  2.598054e-02    1.104876e-05
  2.627947e-02    1.089335e-05
  2.657840e-02    1.072162e-05
  2.687733e-02    1.052599e-05
  2.717626e-02    1.042845e-05
  2.747519e-02    1.028664e-05
  2.777412e-02    1.019573e-05
  2.807305e-02    1.013057e-05
  2.837198e-02    9.985910e-06
  2.867092e-02    9.897183e-06
  2.896985e-02    9.838475e-06
  2.926878e-02    9.691523e-06
  2.956771e-02    9.622545e-06
  2.986664e-02    9.567611e-06
  3.016557e-02    9.465633e-06
  3.046450e-02    9.368507e-06
  3.076343e-02    9.264475e-06
  3.106236e-02    9.244652e-06
  3.136129e-02    9.178954e-06
  3.166022e-02    9.094543e-06
  3.195915e-02    9.032004e-06
  3.225808e-02    8.990750e-06
  3.255701e-02    8.958768e-06
  3.285594e-02    8.885674e-06
  3.315487e-02    8.792666e-06
  3.345380e-02    8.752580e-06
  3.375273e-02    8.666438e-06
  3.405166e-02    8.616133e-06
  3.435059e-02    8.590661e-06
  3.464952e-02    8.530170e-06
  3.494845e-02    8.459114e-06
  3.524738e-02    8.416057e-06
  3.554631e-02    8.347029e-06
  3.584524e-02    8.310363e-06
  3.614417e-02    8.289840e-06
  3.644310e-02    8.259272e-06
  3.674204e-02    8.188977e-06
  3.704097e-02    8.151796e-06
  3.733990e-02    8.121324e-06
  3.763883e-02    8.104622e-06
  3.793776e-02    8.089118e-06
  3.823669e-02    8.074883e-06
  3.853562e-02    8.028962e-06
  3.883455e-02    7.982921e-06
  3.913348e-02    7.934550e-06
  3.943241e-02    7.917059e-06
  3.973134e-02    7.898369e-06
  4.003027e-02    7.876375e-06
  4.032920e-02    7.818999e-06
  4.062813e-02    7.800591e-06
  4.092706e-02    7.820832e-06
  4.122599e-02    7.790903e-06
  4.152492e-02    7.723459e-06
  4.182385e-02    7.708020e-06
  4.212278e-02    7.724684e-06
  4.242171e-02    7.710786e-06
  4.272064e-02    7.700375e-06
  4.301957e-02    7.684995e-06
  4.331850e-02    7.646264e-06
  4.361743e-02    7.638393e-06
  4.391636e-02    7.622412e-06
  4.421529e-02    7.602846e-06
  4.451423e-02    7.596539e-06
  4.481316e-02    7.592752e-06
  4.511209e-02    7.601233e-06
  4.541102e-02    7.600029e-06
  4.570995e-02    7.558831e-06
  4.600888e-02    7.570408e-06
  4.630781e-02    7.590394e-06
  4.660674e-02    7.570677e-06
  4.690567e-02    7.534686e-06
  4.720460e-02    7.548370e-06
  4.750353e-02    7.547108e-06
  4.780246e-02    7.546215e-06
  4.810139e-02    7.552870e-06
  4.840032e-02    7.553948e-06
  4.869925e-02    7.557758e-06
  4.899818e-02    7.542761e-06
  4.929711e-02    7.548338e-06
  4.959604e-02    7.559115e-06
  4.989497e-02    7.538124e-06
  5.019390e-02    7.525376e-06
  5.049283e-02    7.508775e-06
  5.079176e-02    7.542453e-06
  5.109069e-02    7.573465e-06
  5.138962e-02    7.569765e-06
  5.168855e-02    7.648016e-06
  5.198748e-02    7.712795e-06
  5.228642e-02    7.674455e-06
  5.258535e-02    7.551335e-06
  5.288428e-02    7.495241e-06
  5.318321e-02    7.537920e-06
  5.348214e-02    7.535240e-06
  5.378107e-02    7.513856e-06
  5.408000e-02    7.541004e-06
  5.437893e-02    7.537485e-06
  5.467786e-02    7.529077e-06
  5.497679e-02    7.540359e-06
  5.527572e-02    7.536305e-06
  5.557465e-02    7.510882e-06
  5.587358e-02    7.558067e-06
  5.617251e-02    7.570688e-06
  5.647144e-02    7.555769e-06
  5.677037e-02    7.572530e-06
  5.706930e-02    7.592676e-06
  5.736823e-02    7.621642e-06
  5.766716e-02    7.623133e-06
  5.796609e-02    7.621548e-06
  5.826502e-02    7.620694e-06
  5.856395e-02    7.614259e-06
  5.886288e-02    7.611844e-06
  5.916181e-02    7.621786e-06
  5.946074e-02    7.663096e-06
  5.975967e-02    7.693863e-06
  6.005861e-02    7.644839e-06
  6.035754e-02    7.657776e-06
  6.065647e-02    7.675089e-06
  6.095540e-02    7.708607e-06
  6.125433e-02    7.769957e-06
  6.155326e-02    7.791760e-06
  6.185219e-02    7.742988e-06
  6.215112e-02    7.713203e-06
  6.245005e-02    7.718407e-06
  6.274898e-02    7.720241e-06
  6.304791e-02    7.719706e-06
  6.334684e-02    7.737994e-06
  6.364577e-02    7.736704e-06
