# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3276888.4000000004
# --> AL_F127_220225_f5225ef4-05b0-4573-9a38-6a1c5f5a9da4_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.582122e-03
  4.756484e-03    2.049264e-03
  5.055415e-03    1.462521e-03
  5.354345e-03    9.946194e-04
  5.653276e-03    7.479526e-04
  5.952206e-03    1.145085e-03
  6.251136e-03    1.031107e-03
  6.550067e-03    8.880959e-04
  6.848997e-03    7.529782e-04
  7.147927e-03    6.363871e-04
  7.446858e-03    5.448329e-04
  7.745788e-03    4.693149e-04
  8.044719e-03    4.040864e-04
  8.343649e-03    3.535235e-04
  8.642579e-03    3.107119e-04
  8.941510e-03    2.737355e-04
  9.240440e-03    2.430366e-04
  9.539371e-03    2.176345e-04
  9.838301e-03    1.947306e-04
  1.013723e-02    1.748387e-04
  1.043616e-02    1.573300e-04
  1.073509e-02    1.409044e-04
  1.103402e-02    1.282797e-04
  1.133295e-02    1.170403e-04
  1.163188e-02    1.064251e-04
  1.193081e-02    9.788132e-05
  1.222974e-02    9.083248e-05
  1.252867e-02    8.395898e-05
  1.282760e-02    7.801113e-05
  1.312654e-02    7.235700e-05
  1.342547e-02    6.713829e-05
  1.372440e-02    6.235360e-05
  1.402333e-02    5.810305e-05
  1.432226e-02    5.434498e-05
  1.462119e-02    5.115412e-05
  1.492012e-02    4.842337e-05
  1.521905e-02    4.543571e-05
  1.551798e-02    4.267502e-05
  1.581691e-02    4.056670e-05
  1.611584e-02    3.837708e-05
  1.641477e-02    3.654917e-05
  1.671370e-02    3.467863e-05
  1.701263e-02    3.277075e-05
  1.731156e-02    3.117320e-05
  1.761049e-02    2.992487e-05
  1.790942e-02    2.890743e-05
  1.820835e-02    2.776829e-05
  1.850728e-02    2.627409e-05
  1.880621e-02    2.552712e-05
  1.910514e-02    2.481854e-05
  1.940407e-02    2.384639e-05
  1.970300e-02    2.293965e-05
  2.000193e-02    2.212976e-05
  2.030086e-02    2.152772e-05
  2.059979e-02    2.093326e-05
  2.089873e-02    2.035005e-05
  2.119766e-02    1.976576e-05
  2.149659e-02    1.911703e-05
  2.179552e-02    1.863625e-05
  2.209445e-02    1.831504e-05
  2.239338e-02    1.794181e-05
  2.269231e-02    1.754034e-05
  2.299124e-02    1.725384e-05
  2.329017e-02    1.691320e-05
  2.358910e-02    1.658944e-05
  2.388803e-02    1.638162e-05
  2.418696e-02    1.618743e-05
  2.448589e-02    1.595044e-05
  2.478482e-02    1.580066e-05
  2.508375e-02    1.548827e-05
  2.538268e-02    1.527953e-05
  2.568161e-02    1.505627e-05
  2.598054e-02    1.485944e-05
  2.627947e-02    1.458910e-05
  2.657840e-02    1.437402e-05
  2.687733e-02    1.416526e-05
  2.717626e-02    1.398685e-05
  2.747519e-02    1.391142e-05
  2.777412e-02    1.386345e-05
  2.807305e-02    1.369449e-05
  2.837198e-02    1.347833e-05
  2.867092e-02    1.328709e-05
  2.896985e-02    1.306426e-05
  2.926878e-02    1.283902e-05
  2.956771e-02    1.277788e-05
  2.986664e-02    1.264316e-05
  3.016557e-02    1.249882e-05
  3.046450e-02    1.234618e-05
  3.076343e-02    1.224200e-05
  3.106236e-02    1.212586e-05
  3.136129e-02    1.199905e-05
  3.166022e-02    1.196054e-05
  3.195915e-02    1.171741e-05
  3.225808e-02    1.162527e-05
  3.255701e-02    1.158884e-05
  3.285594e-02    1.140387e-05
  3.315487e-02    1.129179e-05
  3.345380e-02    1.129510e-05
  3.375273e-02    1.115560e-05
  3.405166e-02    1.101832e-05
  3.435059e-02    1.091614e-05
  3.464952e-02    1.087312e-05
  3.494845e-02    1.080400e-05
  3.524738e-02    1.071759e-05
  3.554631e-02    1.054540e-05
  3.584524e-02    1.048543e-05
  3.614417e-02    1.051241e-05
  3.644310e-02    1.048116e-05
  3.674204e-02    1.035608e-05
  3.704097e-02    1.034361e-05
  3.733990e-02    1.031599e-05
  3.763883e-02    1.019256e-05
  3.793776e-02    1.014053e-05
  3.823669e-02    1.012254e-05
  3.853562e-02    1.001236e-05
  3.883455e-02    1.005234e-05
  3.913348e-02    9.918621e-06
  3.943241e-02    9.848795e-06
  3.973134e-02    9.798624e-06
  4.003027e-02    9.849681e-06
  4.032920e-02    9.688042e-06
  4.062813e-02    9.692536e-06
  4.092706e-02    9.726564e-06
  4.122599e-02    9.676512e-06
  4.152492e-02    9.660346e-06
  4.182385e-02    9.619882e-06
  4.212278e-02    9.580581e-06
  4.242171e-02    9.567486e-06
  4.272064e-02    9.558865e-06
  4.301957e-02    9.417473e-06
  4.331850e-02    9.321346e-06
  4.361743e-02    9.375796e-06
  4.391636e-02    9.320530e-06
  4.421529e-02    9.243835e-06
  4.451423e-02    9.252877e-06
  4.481316e-02    9.274289e-06
  4.511209e-02    9.191237e-06
  4.541102e-02    9.157683e-06
  4.570995e-02    9.176324e-06
  4.600888e-02    9.147665e-06
  4.630781e-02    9.088239e-06
  4.660674e-02    9.069145e-06
  4.690567e-02    9.074169e-06
  4.720460e-02    9.083197e-06
  4.750353e-02    9.058667e-06
  4.780246e-02    9.025867e-06
  4.810139e-02    9.000522e-06
  4.840032e-02    9.006128e-06
  4.869925e-02    8.965191e-06
  4.899818e-02    8.906538e-06
  4.929711e-02    8.935546e-06
  4.959604e-02    9.000678e-06
  4.989497e-02    9.000370e-06
  5.019390e-02    8.960281e-06
  5.049283e-02    8.926419e-06
  5.079176e-02    8.983526e-06
  5.109069e-02    9.070669e-06
  5.138962e-02    9.067313e-06
  5.168855e-02    9.085888e-06
  5.198748e-02    9.161994e-06
  5.228642e-02    9.100293e-06
  5.258535e-02    8.977396e-06
  5.288428e-02    8.964778e-06
  5.318321e-02    9.090747e-06
  5.348214e-02    9.074831e-06
  5.378107e-02    8.939630e-06
  5.408000e-02    8.908697e-06
  5.437893e-02    9.035699e-06
  5.467786e-02    9.018599e-06
  5.497679e-02    9.035727e-06
  5.527572e-02    9.041514e-06
  5.557465e-02    9.071560e-06
  5.587358e-02    8.995512e-06
  5.617251e-02    8.988191e-06
  5.647144e-02    8.944412e-06
  5.677037e-02    8.965077e-06
  5.706930e-02    9.030065e-06
  5.736823e-02    9.002712e-06
  5.766716e-02    8.988917e-06
  5.796609e-02    9.053791e-06
  5.826502e-02    9.118698e-06
  5.856395e-02    9.106805e-06
  5.886288e-02    9.093485e-06
  5.916181e-02    9.085415e-06
  5.946074e-02    9.096926e-06
  5.975967e-02    9.106999e-06
  6.005861e-02    9.102688e-06
  6.035754e-02    9.098100e-06
  6.065647e-02    9.139844e-06
  6.095540e-02    9.192353e-06
  6.125433e-02    9.272432e-06
  6.155326e-02    9.320584e-06
  6.185219e-02    9.226061e-06
  6.215112e-02    9.158977e-06
  6.245005e-02    9.229848e-06
  6.274898e-02    9.224195e-06
  6.304791e-02    9.155884e-06
  6.334684e-02    9.116295e-06
  6.364577e-02    9.241060e-06
  6.394470e-02    9.234594e-06
  6.424363e-02    9.170868e-06
  6.454256e-02    9.239167e-06
  6.484149e-02    9.244042e-06
  6.514042e-02    9.258722e-06
  6.543935e-02    9.277163e-06
  6.573828e-02    9.347212e-06
  6.603721e-02    9.414611e-06
  6.633614e-02    9.394752e-06
  6.663507e-02    9.317206e-06
  6.693400e-02    9.320886e-06
  6.723293e-02    9.341950e-06
  6.753186e-02    9.389467e-06
  6.783080e-02    9.418331e-06
  6.812973e-02    9.368663e-06
  6.842866e-02    9.388207e-06
  6.872759e-02    9.382154e-06
  6.902652e-02    9.372969e-06
  6.932545e-02    9.478992e-06
  6.962438e-02    9.494019e-06
  6.992331e-02    9.493966e-06
  7.022224e-02    9.503200e-06
  7.052117e-02    9.527687e-06
  7.082010e-02    9.517928e-06
  7.111903e-02    9.572814e-06
  7.141796e-02    9.557466e-06
  7.171689e-02    9.580512e-06
  7.201582e-02    9.570093e-06
  7.231475e-02    9.670229e-06
  7.261368e-02    9.653409e-06
  7.291261e-02    9.586798e-06
  7.321154e-02    9.581283e-06
  7.351047e-02    9.593741e-06
  7.380940e-02    9.634666e-06
  7.410833e-02    9.670500e-06
  7.440726e-02    9.699889e-06
  7.470619e-02    9.681838e-06
  7.500512e-02    9.712574e-06
  7.530405e-02    9.710948e-06
  7.560299e-02    9.656070e-06
  7.590192e-02    9.698208e-06
  7.620085e-02    9.632365e-06
  7.649978e-02    9.659333e-06
  7.679871e-02    9.725974e-06
  7.709764e-02    9.768237e-06
  7.739657e-02    9.719053e-06
  7.769550e-02    9.677549e-06
  7.799443e-02    9.723994e-06
  7.829336e-02    9.685919e-06
  7.859229e-02    9.659971e-06
  7.889122e-02    9.746398e-06
  7.919015e-02    9.761615e-06
  7.948908e-02    9.687476e-06
  7.978801e-02    9.678939e-06
  8.008694e-02    9.742088e-06
  8.038587e-02    9.710277e-06
  8.068480e-02    9.696176e-06
  8.098373e-02    9.674481e-06
  8.128266e-02    9.681286e-06
  8.158159e-02    9.717024e-06
  8.188052e-02    9.693407e-06
  8.217945e-02    9.656192e-06
  8.247838e-02    9.631965e-06
  8.277731e-02    9.714492e-06
  8.307624e-02    9.688921e-06
  8.337518e-02    9.626267e-06
  8.367411e-02    9.666976e-06
  8.397304e-02    9.738435e-06
  8.427197e-02    9.775005e-06
  8.457090e-02    9.698157e-06
  8.486983e-02    9.643570e-06
  8.516876e-02    9.608335e-06
  8.546769e-02    9.625134e-06
  8.576662e-02    9.639970e-06
  8.606555e-02    9.615372e-06
  8.636448e-02    9.584364e-06
  8.666341e-02    9.578656e-06
