# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1409486.4000000001
# --> AL_F127_220226_0486faf3-a745-4788-ba71-73c548139f54_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.374308e-03
  4.756484e-03    1.849799e-03
  5.055415e-03    1.326988e-03
  5.354345e-03    9.403431e-04
  5.653276e-03    7.212936e-04
  5.952206e-03    1.083290e-03
  6.251136e-03    1.002433e-03
  6.550067e-03    8.768715e-04
  6.848997e-03    7.487133e-04
  7.147927e-03    6.370825e-04
  7.446858e-03    5.491783e-04
  7.745788e-03    4.721564e-04
  8.044719e-03    4.080882e-04
  8.343649e-03    3.578881e-04
  8.642579e-03    3.140270e-04
  8.941510e-03    2.760095e-04
  9.240440e-03    2.457383e-04
  9.539371e-03    2.183915e-04
  9.838301e-03    1.944637e-04
  1.013723e-02    1.735023e-04
  1.043616e-02    1.560983e-04
  1.073509e-02    1.403413e-04
  1.103402e-02    1.269996e-04
  1.133295e-02    1.158909e-04
  1.163188e-02    1.052576e-04
  1.193081e-02    9.589428e-05
  1.222974e-02    8.677303e-05
  1.252867e-02    7.959060e-05
  1.282760e-02    7.324578e-05
  1.312654e-02    6.715653e-05
  1.342547e-02    6.143123e-05
  1.372440e-02    5.709481e-05
  1.402333e-02    5.307630e-05
  1.432226e-02    4.913988e-05
  1.462119e-02    4.545601e-05
  1.492012e-02    4.229888e-05
  1.521905e-02    3.959647e-05
  1.551798e-02    3.736131e-05
  1.581691e-02    3.500014e-05
  1.611584e-02    3.283624e-05
  1.641477e-02    3.036913e-05
  1.671370e-02    2.839777e-05
  1.701263e-02    2.693195e-05
  1.731156e-02    2.567754e-05
  1.761049e-02    2.433778e-05
  1.790942e-02    2.301718e-05
  1.820835e-02    2.178367e-05
  1.850728e-02    2.067984e-05
  1.880621e-02    1.972261e-05
  1.910514e-02    1.886667e-05
  1.940407e-02    1.816012e-05
  1.970300e-02    1.756714e-05
  2.000193e-02    1.668217e-05
  2.030086e-02    1.580334e-05
  2.059979e-02    1.526539e-05
  2.089873e-02    1.470047e-05
  2.119766e-02    1.406728e-05
  2.149659e-02    1.360171e-05
  2.179552e-02    1.316074e-05
  2.209445e-02    1.264206e-05
  2.239338e-02    1.244532e-05
  2.269231e-02    1.183706e-05
  2.299124e-02    1.151657e-05
  2.329017e-02    1.116476e-05
  2.358910e-02    1.095010e-05
  2.388803e-02    1.071029e-05
  2.418696e-02    1.049861e-05
  2.448589e-02    1.027913e-05
  2.478482e-02    9.909898e-06
  2.508375e-02    9.720627e-06
  2.538268e-02    9.551110e-06
  2.568161e-02    9.273698e-06
  2.598054e-02    9.179468e-06
  2.627947e-02    8.964336e-06
  2.657840e-02    8.807589e-06
  2.687733e-02    8.844234e-06
  2.717626e-02    8.521717e-06
  2.747519e-02    8.306690e-06
  2.777412e-02    8.371642e-06
  2.807305e-02    8.290171e-06
  2.837198e-02    8.087170e-06
  2.867092e-02    8.000025e-06
  2.896985e-02    7.872732e-06
  2.926878e-02    7.777482e-06
  2.956771e-02    7.681834e-06
  2.986664e-02    7.558322e-06
  3.016557e-02    7.557082e-06
  3.046450e-02    7.561146e-06
  3.076343e-02    7.336858e-06
  3.106236e-02    7.199732e-06
  3.136129e-02    7.273521e-06
  3.166022e-02    7.192661e-06
  3.195915e-02    7.157055e-06
  3.225808e-02    7.166824e-06
  3.255701e-02    7.069394e-06
  3.285594e-02    6.904529e-06
  3.315487e-02    6.755199e-06
  3.345380e-02    6.712353e-06
  3.375273e-02    6.628312e-06
  3.405166e-02    6.600425e-06
  3.435059e-02    6.544868e-06
  3.464952e-02    6.396570e-06
  3.494845e-02    6.370032e-06
  3.524738e-02    6.378150e-06
  3.554631e-02    6.301817e-06
  3.584524e-02    6.334364e-06
  3.614417e-02    6.290741e-06
  3.644310e-02    6.150295e-06
  3.674204e-02    6.040321e-06
  3.704097e-02    5.972013e-06
  3.733990e-02    5.963087e-06
  3.763883e-02    5.904049e-06
  3.793776e-02    5.839177e-06
  3.823669e-02    5.770839e-06
  3.853562e-02    5.663544e-06
  3.883455e-02    5.610338e-06
  3.913348e-02    5.517077e-06
  3.943241e-02    5.468896e-06
  3.973134e-02    5.470015e-06
  4.003027e-02    5.413381e-06
  4.032920e-02    5.481703e-06
  4.062813e-02    5.458644e-06
  4.092706e-02    5.408747e-06
  4.122599e-02    5.402713e-06
  4.152492e-02    5.348992e-06
  4.182385e-02    5.254424e-06
  4.212278e-02    5.276876e-06
  4.242171e-02    5.259143e-06
  4.272064e-02    5.242254e-06
  4.301957e-02    5.163228e-06
  4.331850e-02    5.038550e-06
  4.361743e-02    5.107498e-06
  4.391636e-02    5.098100e-06
  4.421529e-02    5.103052e-06
  4.451423e-02    5.199616e-06
  4.481316e-02    5.105868e-06
  4.511209e-02    5.079981e-06
  4.541102e-02    5.018548e-06
  4.570995e-02    4.987889e-06
  4.600888e-02    4.960599e-06
  4.630781e-02    4.957149e-06
  4.660674e-02    5.005442e-06
  4.690567e-02    4.944398e-06
  4.720460e-02    4.988050e-06
  4.750353e-02    5.028821e-06
  4.780246e-02    4.940984e-06
  4.810139e-02    4.968408e-06
  4.840032e-02    4.996903e-06
  4.869925e-02    4.958481e-06
  4.899818e-02    4.896968e-06
  4.929711e-02    4.998579e-06
  4.959604e-02    4.997372e-06
  4.989497e-02    4.918037e-06
  5.019390e-02    4.831809e-06
  5.049283e-02    4.842742e-06
  5.079176e-02    4.829445e-06
  5.109069e-02    4.851431e-06
  5.138962e-02    4.993467e-06
  5.168855e-02    5.104010e-06
  5.198748e-02    5.283388e-06
  5.228642e-02    5.172437e-06
  5.258535e-02    4.934926e-06
  5.288428e-02    4.825164e-06
  5.318321e-02    4.893524e-06
