# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 7191812.400000002
# --> AL_F127_220226_1d54f0ef-5e37-46eb-8bdd-a9fea3704c58_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.976917e-03
  4.756484e-03    1.542305e-03
  5.055415e-03    1.082006e-03
  5.354345e-03    7.415205e-04
  5.653276e-03    5.651669e-04
  5.952206e-03    9.100354e-04
  6.251136e-03    8.324973e-04
  6.550067e-03    7.268151e-04
  6.848997e-03    6.190529e-04
  7.147927e-03    5.228095e-04
  7.446858e-03    4.454101e-04
  7.745788e-03    3.823892e-04
  8.044719e-03    3.295874e-04
  8.343649e-03    2.876101e-04
  8.642579e-03    2.513113e-04
  8.941510e-03    2.216102e-04
  9.240440e-03    1.969096e-04
  9.539371e-03    1.751708e-04
  9.838301e-03    1.563566e-04
  1.013723e-02    1.397979e-04
  1.043616e-02    1.253184e-04
  1.073509e-02    1.126148e-04
  1.103402e-02    1.023568e-04
  1.133295e-02    9.329084e-05
  1.163188e-02    8.540877e-05
  1.193081e-02    7.817134e-05
  1.222974e-02    7.155081e-05
  1.252867e-02    6.593930e-05
  1.282760e-02    6.076964e-05
  1.312654e-02    5.596786e-05
  1.342547e-02    5.210586e-05
  1.372440e-02    4.856529e-05
  1.402333e-02    4.524779e-05
  1.432226e-02    4.230464e-05
  1.462119e-02    3.951262e-05
  1.492012e-02    3.724419e-05
  1.521905e-02    3.499503e-05
  1.551798e-02    3.289499e-05
  1.581691e-02    3.086014e-05
  1.611584e-02    2.926823e-05
  1.641477e-02    2.770085e-05
  1.671370e-02    2.623747e-05
  1.701263e-02    2.491549e-05
  1.731156e-02    2.373105e-05
  1.761049e-02    2.268640e-05
  1.790942e-02    2.171851e-05
  1.820835e-02    2.084431e-05
  1.850728e-02    1.984384e-05
  1.880621e-02    1.909636e-05
  1.910514e-02    1.854937e-05
  1.940407e-02    1.777908e-05
  1.970300e-02    1.711639e-05
  2.000193e-02    1.665280e-05
  2.030086e-02    1.604348e-05
  2.059979e-02    1.561314e-05
  2.089873e-02    1.510625e-05
  2.119766e-02    1.458423e-05
  2.149659e-02    1.416249e-05
  2.179552e-02    1.382789e-05
  2.209445e-02    1.354459e-05
  2.239338e-02    1.315074e-05
  2.269231e-02    1.274111e-05
  2.299124e-02    1.242247e-05
  2.329017e-02    1.216489e-05
  2.358910e-02    1.187354e-05
  2.388803e-02    1.159671e-05
  2.418696e-02    1.148413e-05
  2.448589e-02    1.130958e-05
  2.478482e-02    1.114190e-05
  2.508375e-02    1.096450e-05
  2.538268e-02    1.077968e-05
  2.568161e-02    1.065282e-05
  2.598054e-02    1.053910e-05
  2.627947e-02    1.039045e-05
  2.657840e-02    1.019253e-05
  2.687733e-02    1.004438e-05
  2.717626e-02    9.937957e-06
  2.747519e-02    9.831522e-06
  2.777412e-02    9.734738e-06
  2.807305e-02    9.597697e-06
  2.837198e-02    9.491820e-06
  2.867092e-02    9.398264e-06
  2.896985e-02    9.349889e-06
  2.926878e-02    9.259636e-06
  2.956771e-02    9.181400e-06
  2.986664e-02    9.035849e-06
  3.016557e-02    8.978030e-06
  3.046450e-02    8.917943e-06
  3.076343e-02    8.854260e-06
  3.106236e-02    8.718742e-06
  3.136129e-02    8.653519e-06
  3.166022e-02    8.686842e-06
  3.195915e-02    8.586609e-06
  3.225808e-02    8.454516e-06
  3.255701e-02    8.442215e-06
  3.285594e-02    8.386071e-06
  3.315487e-02    8.308222e-06
  3.345380e-02    8.281165e-06
  3.375273e-02    8.220238e-06
  3.405166e-02    8.112694e-06
  3.435059e-02    8.040485e-06
  3.464952e-02    8.019713e-06
  3.494845e-02    8.007645e-06
  3.524738e-02    7.915881e-06
  3.554631e-02    7.838483e-06
  3.584524e-02    7.782683e-06
  3.614417e-02    7.761823e-06
  3.644310e-02    7.704315e-06
  3.674204e-02    7.633695e-06
  3.704097e-02    7.566682e-06
  3.733990e-02    7.524517e-06
  3.763883e-02    7.496626e-06
  3.793776e-02    7.433597e-06
  3.823669e-02    7.405831e-06
  3.853562e-02    7.420455e-06
  3.883455e-02    7.424371e-06
  3.913348e-02    7.317797e-06
  3.943241e-02    7.277768e-06
  3.973134e-02    7.226145e-06
  4.003027e-02    7.211718e-06
  4.032920e-02    7.152514e-06
  4.062813e-02    7.172065e-06
  4.092706e-02    7.124000e-06
  4.122599e-02    7.109270e-06
  4.152492e-02    7.096774e-06
  4.182385e-02    7.082777e-06
  4.212278e-02    7.056284e-06
  4.242171e-02    7.014449e-06
  4.272064e-02    7.010467e-06
  4.301957e-02    6.987061e-06
  4.331850e-02    6.939063e-06
  4.361743e-02    6.942107e-06
  4.391636e-02    6.945742e-06
  4.421529e-02    6.950763e-06
  4.451423e-02    6.959283e-06
  4.481316e-02    6.968736e-06
  4.511209e-02    6.983015e-06
  4.541102e-02    6.899491e-06
  4.570995e-02    6.882723e-06
  4.600888e-02    6.904746e-06
  4.630781e-02    6.873188e-06
  4.660674e-02    6.881829e-06
  4.690567e-02    6.933121e-06
  4.720460e-02    6.942838e-06
  4.750353e-02    6.898836e-06
  4.780246e-02    6.857221e-06
  4.810139e-02    6.825959e-06
  4.840032e-02    6.826292e-06
  4.869925e-02    6.855785e-06
  4.899818e-02    6.871278e-06
  4.929711e-02    6.838478e-06
  4.959604e-02    6.819308e-06
  4.989497e-02    6.773476e-06
  5.019390e-02    6.805206e-06
  5.049283e-02    6.804930e-06
  5.079176e-02    6.823542e-06
  5.109069e-02    6.808850e-06
  5.138962e-02    6.879491e-06
  5.168855e-02    7.016041e-06
  5.198748e-02    7.066190e-06
  5.228642e-02    7.006775e-06
  5.258535e-02    6.831865e-06
  5.288428e-02    6.778885e-06
  5.318321e-02    6.785362e-06
  5.348214e-02    6.777010e-06
  5.378107e-02    6.779200e-06
  5.408000e-02    6.789578e-06
  5.437893e-02    6.785657e-06
  5.467786e-02    6.752701e-06
  5.497679e-02    6.779757e-06
  5.527572e-02    6.844185e-06
  5.557465e-02    6.865239e-06
  5.587358e-02    6.847579e-06
  5.617251e-02    6.834101e-06
  5.647144e-02    6.808394e-06
  5.677037e-02    6.823664e-06
  5.706930e-02    6.765268e-06
  5.736823e-02    6.801989e-06
  5.766716e-02    6.821569e-06
  5.796609e-02    6.820716e-06
  5.826502e-02    6.846546e-06
  5.856395e-02    6.829548e-06
  5.886288e-02    6.830899e-06
  5.916181e-02    6.853947e-06
  5.946074e-02    6.842400e-06
  5.975967e-02    6.899567e-06
  6.005861e-02    6.901637e-06
  6.035754e-02    6.938148e-06
  6.065647e-02    6.932171e-06
  6.095540e-02    6.976341e-06
  6.125433e-02    7.058107e-06
  6.155326e-02    7.085943e-06
  6.185219e-02    6.962476e-06
  6.215112e-02    6.895633e-06
  6.245005e-02    6.916241e-06
  6.274898e-02    6.952799e-06
  6.304791e-02    6.928326e-06
  6.334684e-02    6.932146e-06
  6.364577e-02    6.912372e-06
  6.394470e-02    6.912224e-06
  6.424363e-02    6.952863e-06
  6.454256e-02    6.970552e-06
  6.484149e-02    6.941789e-06
  6.514042e-02    6.989048e-06
  6.543935e-02    6.994959e-06
  6.573828e-02    6.983875e-06
  6.603721e-02    7.018593e-06
  6.633614e-02    6.997739e-06
  6.663507e-02    7.032260e-06
  6.693400e-02    7.064274e-06
  6.723293e-02    7.042789e-06
  6.753186e-02    7.044529e-06
  6.783080e-02    7.078570e-06
  6.812973e-02    7.073380e-06
  6.842866e-02    7.079522e-06
  6.872759e-02    7.059552e-06
  6.902652e-02    7.029746e-06
  6.932545e-02    7.079153e-06
  6.962438e-02    7.100671e-06
  6.992331e-02    7.113823e-06
  7.022224e-02    7.158051e-06
  7.052117e-02    7.185175e-06
  7.082010e-02    7.157976e-06
  7.111903e-02    7.138992e-06
  7.141796e-02    7.167533e-06
  7.171689e-02    7.196606e-06
  7.201582e-02    7.187340e-06
  7.231475e-02    7.193210e-06
  7.261368e-02    7.170985e-06
  7.291261e-02    7.182952e-06
  7.321154e-02    7.237340e-06
  7.351047e-02    7.226894e-06
  7.380940e-02    7.204053e-06
  7.410833e-02    7.177885e-06
  7.440726e-02    7.224551e-06
  7.470619e-02    7.203786e-06
  7.500512e-02    7.210954e-06
  7.530405e-02    7.183529e-06
  7.560299e-02    7.202476e-06
  7.590192e-02    7.213087e-06
  7.620085e-02    7.244348e-06
  7.649978e-02    7.248499e-06
  7.679871e-02    7.256078e-06
  7.709764e-02    7.253380e-06
  7.739657e-02    7.228489e-06
  7.769550e-02    7.213221e-06
  7.799443e-02    7.188901e-06
  7.829336e-02    7.182444e-06
  7.859229e-02    7.195814e-06
  7.889122e-02    7.178888e-06
  7.919015e-02    7.158537e-06
  7.948908e-02    7.163383e-06
  7.978801e-02    7.183739e-06
  8.008694e-02    7.168611e-06
  8.038587e-02    7.154963e-06
  8.068480e-02    7.145999e-06
  8.098373e-02    7.156421e-06
  8.128266e-02    7.164527e-06
  8.158159e-02    7.148517e-06
  8.188052e-02    7.126067e-06
  8.217945e-02    7.112385e-06
  8.247838e-02    7.126566e-06
  8.277731e-02    7.104029e-06
  8.307624e-02    7.094457e-06
  8.337518e-02    7.108729e-06
  8.367411e-02    7.104713e-06
  8.397304e-02    7.090488e-06
  8.427197e-02    7.103695e-06
  8.457090e-02    7.088623e-06
  8.486983e-02    7.099471e-06
  8.516876e-02    7.097966e-06
  8.546769e-02    7.061648e-06
  8.576662e-02    7.055234e-06
  8.606555e-02    7.062326e-06
  8.636448e-02    7.040478e-06
  8.666341e-02    7.042978e-06
  8.696234e-02    7.055643e-06
  8.726127e-02    7.047649e-06
  8.756020e-02    7.028916e-06
