# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 172346.4
# --> AL_F127_220226_4512be15-3d6c-4404-9d36-36f48d0a5232_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.077989e-03
  4.756484e-03    1.613947e-03
  5.055415e-03    1.092940e-03
  5.354345e-03    7.476123e-04
  5.653276e-03    5.542224e-04
  5.952206e-03    6.987310e-04
  6.251136e-03    6.248509e-04
  6.550067e-03    5.435444e-04
  6.848997e-03    4.771518e-04
  7.147927e-03    4.095055e-04
  7.446858e-03    3.514844e-04
  7.745788e-03    3.068171e-04
  8.044719e-03    2.712956e-04
  8.343649e-03    2.498786e-04
  8.642579e-03    2.241046e-04
  8.941510e-03    1.977565e-04
  9.240440e-03    1.822354e-04
  9.539371e-03    1.677580e-04
  9.838301e-03    1.537059e-04
  1.013723e-02    1.397301e-04
  1.043616e-02    1.294367e-04
  1.073509e-02    1.232925e-04
  1.103402e-02    1.161563e-04
  1.133295e-02    1.078330e-04
  1.163188e-02    1.013684e-04
  1.193081e-02    9.869686e-05
  1.222974e-02    9.377286e-05
  1.252867e-02    8.893268e-05
  1.282760e-02    8.421083e-05
  1.312654e-02    8.066267e-05
  1.342547e-02    7.649859e-05
  1.372440e-02    7.407061e-05
  1.402333e-02    7.406265e-05
  1.432226e-02    6.930446e-05
  1.462119e-02    6.666186e-05
  1.492012e-02    6.587403e-05
  1.521905e-02    6.385655e-05
  1.551798e-02    6.298794e-05
  1.581691e-02    6.134065e-05
  1.611584e-02    5.987006e-05
  1.641477e-02    6.000868e-05
  1.671370e-02    5.902188e-05
  1.701263e-02    5.815596e-05
  1.731156e-02    5.640201e-05
  1.761049e-02    5.539847e-05
  1.790942e-02    5.402676e-05
  1.820835e-02    5.363061e-05
  1.850728e-02    5.268657e-05
  1.880621e-02    5.178450e-05
  1.910514e-02    5.077759e-05
  1.940407e-02    5.132334e-05
  1.970300e-02    5.159224e-05
  2.000193e-02    5.032462e-05
  2.030086e-02    4.982773e-05
  2.059979e-02    4.807733e-05
  2.089873e-02    4.755100e-05
  2.119766e-02    4.853957e-05
  2.149659e-02    4.830511e-05
  2.179552e-02    4.695457e-05
  2.209445e-02    4.680623e-05
  2.239338e-02    4.648062e-05
  2.269231e-02    4.501015e-05
  2.299124e-02    4.501823e-05
  2.329017e-02    4.491955e-05
  2.358910e-02    4.429102e-05
  2.388803e-02    4.324049e-05
  2.418696e-02    4.258478e-05
  2.448589e-02    4.269074e-05
  2.478482e-02    4.163808e-05
  2.508375e-02    4.214097e-05
  2.538268e-02    4.121190e-05
  2.568161e-02    4.041793e-05
