# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 6878861.800000001
# --> AL_F127_220226_47c1da36-2278-4d98-b4fb-f372322d695f_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    6.979659e-04
  4.756484e-03    5.454831e-04
  5.055415e-03    3.943609e-04
  5.354345e-03    2.858556e-04
  5.653276e-03    2.231241e-04
  5.952206e-03    2.866817e-04
  6.251136e-03    2.590258e-04
  6.550067e-03    2.265280e-04
  6.848997e-03    1.960990e-04
  7.147927e-03    1.672725e-04
  7.446858e-03    1.434098e-04
  7.745788e-03    1.242162e-04
  8.044719e-03    1.079998e-04
  8.343649e-03    9.444726e-05
  8.642579e-03    8.297219e-05
  8.941510e-03    7.355551e-05
  9.240440e-03    6.548669e-05
  9.539371e-03    5.815358e-05
  9.838301e-03    5.206813e-05
  1.013723e-02    4.688372e-05
  1.043616e-02    4.235243e-05
  1.073509e-02    3.854397e-05
  1.103402e-02    3.521519e-05
  1.133295e-02    3.212618e-05
  1.163188e-02    2.935146e-05
  1.193081e-02    2.669209e-05
  1.222974e-02    2.436154e-05
  1.252867e-02    2.262822e-05
  1.282760e-02    2.118220e-05
  1.312654e-02    1.962257e-05
  1.342547e-02    1.813244e-05
  1.372440e-02    1.699032e-05
  1.402333e-02    1.591591e-05
  1.432226e-02    1.488844e-05
  1.462119e-02    1.411020e-05
  1.492012e-02    1.346092e-05
  1.521905e-02    1.288867e-05
  1.551798e-02    1.225982e-05
  1.581691e-02    1.172988e-05
  1.611584e-02    1.132476e-05
  1.641477e-02    1.087850e-05
  1.671370e-02    1.044211e-05
  1.701263e-02    1.009178e-05
  1.731156e-02    9.914548e-06
  1.761049e-02    9.734889e-06
  1.790942e-02    9.540960e-06
  1.820835e-02    9.424800e-06
  1.850728e-02    9.262647e-06
  1.880621e-02    9.092795e-06
  1.910514e-02    9.130079e-06
  1.940407e-02    9.101666e-06
  1.970300e-02    9.061208e-06
  2.000193e-02    9.132575e-06
  2.030086e-02    9.156371e-06
  2.059979e-02    9.153609e-06
  2.089873e-02    9.193708e-06
  2.119766e-02    9.277091e-06
  2.149659e-02    9.360070e-06
  2.179552e-02    9.437435e-06
  2.209445e-02    9.549457e-06
  2.239338e-02    9.587749e-06
  2.269231e-02    9.554901e-06
  2.299124e-02    9.605629e-06
  2.329017e-02    9.596350e-06
  2.358910e-02    9.560204e-06
  2.388803e-02    9.601394e-06
  2.418696e-02    9.702317e-06
  2.448589e-02    9.712495e-06
  2.478482e-02    9.667213e-06
  2.508375e-02    9.544825e-06
  2.538268e-02    9.456555e-06
  2.568161e-02    9.357253e-06
  2.598054e-02    9.212677e-06
  2.627947e-02    8.984349e-06
  2.657840e-02    8.809339e-06
  2.687733e-02    8.662825e-06
  2.717626e-02    8.397219e-06
  2.747519e-02    8.162348e-06
  2.777412e-02    8.024191e-06
  2.807305e-02    7.796456e-06
  2.837198e-02    7.596316e-06
  2.867092e-02    7.365978e-06
  2.896985e-02    7.104286e-06
  2.926878e-02    6.944946e-06
  2.956771e-02    6.702772e-06
  2.986664e-02    6.509971e-06
  3.016557e-02    6.310003e-06
  3.046450e-02    6.070002e-06
  3.076343e-02    5.892928e-06
  3.106236e-02    5.701448e-06
  3.136129e-02    5.446106e-06
  3.166022e-02    5.293222e-06
  3.195915e-02    5.164717e-06
  3.225808e-02    5.042598e-06
  3.255701e-02    4.879306e-06
  3.285594e-02    4.714662e-06
  3.315487e-02    4.592027e-06
  3.345380e-02    4.491752e-06
  3.375273e-02    4.373504e-06
  3.405166e-02    4.296736e-06
  3.435059e-02    4.182079e-06
  3.464952e-02    4.049637e-06
  3.494845e-02    3.888083e-06
  3.524738e-02    3.819077e-06
  3.554631e-02    3.744843e-06
  3.584524e-02    3.632221e-06
  3.614417e-02    3.543534e-06
  3.644310e-02    3.468399e-06
  3.674204e-02    3.392454e-06
  3.704097e-02    3.360210e-06
  3.733990e-02    3.302665e-06
  3.763883e-02    3.246781e-06
  3.793776e-02    3.142299e-06
  3.823669e-02    3.097221e-06
  3.853562e-02    3.040901e-06
  3.883455e-02    2.965240e-06
  3.913348e-02    2.944983e-06
  3.943241e-02    2.915063e-06
  3.973134e-02    2.882637e-06
  4.003027e-02    2.844293e-06
  4.032920e-02    2.770363e-06
  4.062813e-02    2.710970e-06
  4.092706e-02    2.708876e-06
  4.122599e-02    2.670847e-06
  4.152492e-02    2.656526e-06
  4.182385e-02    2.610517e-06
