# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 2491470.4
# --> AL_F127_220226_53cf49ff-a028-47e9-a3d5-aa78e6cc82d3_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.293455e-03
  4.756484e-03    1.798204e-03
  5.055415e-03    1.259089e-03
  5.354345e-03    8.693732e-04
  5.653276e-03    6.560174e-04
  5.952206e-03    1.012433e-03
  6.251136e-03    9.264569e-04
  6.550067e-03    8.094729e-04
  6.848997e-03    6.902059e-04
  7.147927e-03    5.847730e-04
  7.446858e-03    5.008129e-04
  7.745788e-03    4.296279e-04
  8.044719e-03    3.709459e-04
  8.343649e-03    3.247991e-04
  8.642579e-03    2.834201e-04
  8.941510e-03    2.496247e-04
  9.240440e-03    2.215783e-04
  9.539371e-03    1.969774e-04
  9.838301e-03    1.751186e-04
  1.013723e-02    1.574542e-04
  1.043616e-02    1.422745e-04
  1.073509e-02    1.282245e-04
  1.103402e-02    1.162058e-04
  1.133295e-02    1.052655e-04
  1.163188e-02    9.654453e-05
  1.193081e-02    8.839454e-05
  1.222974e-02    8.099412e-05
  1.252867e-02    7.425409e-05
  1.282760e-02    6.835869e-05
  1.312654e-02    6.320092e-05
  1.342547e-02    5.831513e-05
  1.372440e-02    5.448798e-05
  1.402333e-02    5.082034e-05
  1.432226e-02    4.717295e-05
  1.462119e-02    4.412660e-05
  1.492012e-02    4.130571e-05
  1.521905e-02    3.876187e-05
  1.551798e-02    3.649363e-05
  1.581691e-02    3.449786e-05
  1.611584e-02    3.292786e-05
  1.641477e-02    3.078037e-05
  1.671370e-02    2.899964e-05
  1.701263e-02    2.765731e-05
  1.731156e-02    2.632875e-05
  1.761049e-02    2.500967e-05
  1.790942e-02    2.413125e-05
  1.820835e-02    2.315432e-05
  1.850728e-02    2.203869e-05
  1.880621e-02    2.118380e-05
  1.910514e-02    2.038956e-05
  1.940407e-02    1.973091e-05
  1.970300e-02    1.901063e-05
  2.000193e-02    1.829218e-05
  2.030086e-02    1.757586e-05
  2.059979e-02    1.694122e-05
  2.089873e-02    1.640101e-05
  2.119766e-02    1.618753e-05
  2.149659e-02    1.553149e-05
  2.179552e-02    1.497238e-05
  2.209445e-02    1.462809e-05
  2.239338e-02    1.429816e-05
  2.269231e-02    1.421005e-05
  2.299124e-02    1.383374e-05
  2.329017e-02    1.348159e-05
  2.358910e-02    1.314639e-05
  2.388803e-02    1.274735e-05
  2.418696e-02    1.246681e-05
  2.448589e-02    1.227745e-05
  2.478482e-02    1.209724e-05
  2.508375e-02    1.206035e-05
  2.538268e-02    1.185236e-05
  2.568161e-02    1.149689e-05
  2.598054e-02    1.126514e-05
  2.627947e-02    1.124269e-05
  2.657840e-02    1.112219e-05
  2.687733e-02    1.092847e-05
  2.717626e-02    1.085648e-05
  2.747519e-02    1.076267e-05
  2.777412e-02    1.069615e-05
  2.807305e-02    1.047727e-05
  2.837198e-02    1.036815e-05
  2.867092e-02    1.027087e-05
  2.896985e-02    1.014115e-05
  2.926878e-02    1.008667e-05
  2.956771e-02    9.980477e-06
  2.986664e-02    9.906753e-06
  3.016557e-02    9.880967e-06
  3.046450e-02    9.765344e-06
  3.076343e-02    9.647608e-06
  3.106236e-02    9.580355e-06
  3.136129e-02    9.476767e-06
  3.166022e-02    9.394447e-06
  3.195915e-02    9.320530e-06
  3.225808e-02    9.283776e-06
  3.255701e-02    9.219073e-06
  3.285594e-02    9.058931e-06
  3.315487e-02    9.088706e-06
  3.345380e-02    9.037141e-06
  3.375273e-02    8.897639e-06
  3.405166e-02    8.812863e-06
  3.435059e-02    8.766538e-06
  3.464952e-02    8.690388e-06
  3.494845e-02    8.543593e-06
  3.524738e-02    8.545770e-06
  3.554631e-02    8.482630e-06
  3.584524e-02    8.338137e-06
  3.614417e-02    8.350892e-06
  3.644310e-02    8.390369e-06
  3.674204e-02    8.250773e-06
  3.704097e-02    8.182818e-06
  3.733990e-02    8.242009e-06
  3.763883e-02    8.094947e-06
  3.793776e-02    7.855782e-06
  3.823669e-02    7.873668e-06
  3.853562e-02    7.882340e-06
  3.883455e-02    7.834165e-06
  3.913348e-02    7.806770e-06
  3.943241e-02    7.908029e-06
  3.973134e-02    7.819712e-06
  4.003027e-02    7.676431e-06
  4.032920e-02    7.671948e-06
  4.062813e-02    7.550585e-06
  4.092706e-02    7.546299e-06
  4.122599e-02    7.560567e-06
  4.152492e-02    7.491300e-06
  4.182385e-02    7.426638e-06
  4.212278e-02    7.480825e-06
  4.242171e-02    7.488934e-06
  4.272064e-02    7.399764e-06
  4.301957e-02    7.368864e-06
  4.331850e-02    7.410575e-06
  4.361743e-02    7.418540e-06
  4.391636e-02    7.400334e-06
  4.421529e-02    7.323607e-06
  4.451423e-02    7.330741e-06
  4.481316e-02    7.299609e-06
  4.511209e-02    7.294108e-06
  4.541102e-02    7.230623e-06
  4.570995e-02    7.208352e-06
  4.600888e-02    7.242959e-06
  4.630781e-02    7.241327e-06
  4.660674e-02    7.222789e-06
  4.690567e-02    7.239841e-06
  4.720460e-02    7.193675e-06
  4.750353e-02    7.200717e-06
  4.780246e-02    7.179389e-06
  4.810139e-02    7.176907e-06
  4.840032e-02    7.205898e-06
  4.869925e-02    7.287687e-06
  4.899818e-02    7.241045e-06
