# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 972979.7999999998
# --> AL_F127_220226_58923f0b-2bb8-45ef-b434-e0972ad8c7ba_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.652665e-03
  4.756484e-03    2.139560e-03
  5.055415e-03    1.557994e-03
  5.354345e-03    1.112982e-03
  5.653276e-03    8.561790e-04
  5.952206e-03    1.297123e-03
  6.251136e-03    1.184286e-03
  6.550067e-03    1.030794e-03
  6.848997e-03    8.836155e-04
  7.147927e-03    7.536020e-04
  7.446858e-03    6.448502e-04
  7.745788e-03    5.568303e-04
  8.044719e-03    4.841539e-04
  8.343649e-03    4.241390e-04
  8.642579e-03    3.744321e-04
  8.941510e-03    3.306167e-04
  9.240440e-03    2.922598e-04
  9.539371e-03    2.604680e-04
  9.838301e-03    2.336406e-04
  1.013723e-02    2.099316e-04
  1.043616e-02    1.879958e-04
  1.073509e-02    1.697166e-04
  1.103402e-02    1.539498e-04
  1.133295e-02    1.402195e-04
  1.163188e-02    1.279167e-04
  1.193081e-02    1.165494e-04
  1.222974e-02    1.065404e-04
  1.252867e-02    9.743562e-05
  1.282760e-02    9.016906e-05
  1.312654e-02    8.321598e-05
  1.342547e-02    7.667154e-05
  1.372440e-02    7.137580e-05
  1.402333e-02    6.608856e-05
  1.432226e-02    6.142711e-05
  1.462119e-02    5.727318e-05
  1.492012e-02    5.379761e-05
  1.521905e-02    5.033050e-05
  1.551798e-02    4.673010e-05
  1.581691e-02    4.441314e-05
  1.611584e-02    4.194196e-05
  1.641477e-02    3.942901e-05
  1.671370e-02    3.731583e-05
  1.701263e-02    3.536234e-05
  1.731156e-02    3.357621e-05
  1.761049e-02    3.162530e-05
  1.790942e-02    3.012225e-05
  1.820835e-02    2.904173e-05
  1.850728e-02    2.783627e-05
  1.880621e-02    2.659961e-05
  1.910514e-02    2.522228e-05
  1.940407e-02    2.436308e-05
  1.970300e-02    2.309360e-05
  2.000193e-02    2.217344e-05
  2.030086e-02    2.103851e-05
  2.059979e-02    2.042222e-05
  2.089873e-02    2.008411e-05
  2.119766e-02    1.951055e-05
  2.149659e-02    1.884850e-05
  2.179552e-02    1.833482e-05
  2.209445e-02    1.802581e-05
  2.239338e-02    1.720987e-05
  2.269231e-02    1.683843e-05
  2.299124e-02    1.650104e-05
  2.329017e-02    1.611010e-05
  2.358910e-02    1.577778e-05
  2.388803e-02    1.546160e-05
  2.418696e-02    1.511828e-05
  2.448589e-02    1.476588e-05
  2.478482e-02    1.422641e-05
  2.508375e-02    1.421378e-05
  2.538268e-02    1.407072e-05
  2.568161e-02    1.355393e-05
  2.598054e-02    1.330936e-05
  2.627947e-02    1.308682e-05
  2.657840e-02    1.291057e-05
  2.687733e-02    1.273264e-05
  2.717626e-02    1.258758e-05
  2.747519e-02    1.242922e-05
  2.777412e-02    1.219631e-05
  2.807305e-02    1.210666e-05
  2.837198e-02    1.215745e-05
  2.867092e-02    1.184684e-05
  2.896985e-02    1.165894e-05
  2.926878e-02    1.167636e-05
  2.956771e-02    1.164829e-05
  2.986664e-02    1.141053e-05
  3.016557e-02    1.134630e-05
  3.046450e-02    1.122882e-05
  3.076343e-02    1.107192e-05
  3.106236e-02    1.092613e-05
  3.136129e-02    1.093165e-05
  3.166022e-02    1.091223e-05
  3.195915e-02    1.078631e-05
  3.225808e-02    1.049828e-05
  3.255701e-02    1.055421e-05
  3.285594e-02    1.048491e-05
  3.315487e-02    1.045229e-05
  3.345380e-02    1.027748e-05
  3.375273e-02    9.996618e-06
  3.405166e-02    1.005216e-05
  3.435059e-02    1.015718e-05
  3.464952e-02    9.817463e-06
