# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 6183014.0
# --> AL_F127_220226_78baf016-7e37-4e65-ad32-e0a457b2a8f4_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    4.811737e-03
  4.756484e-03    3.776510e-03
  5.055415e-03    2.689636e-03
  5.354345e-03    1.886245e-03
  5.653276e-03    1.467096e-03
  5.952206e-03    2.455684e-03
  6.251136e-03    2.233868e-03
  6.550067e-03    1.936005e-03
  6.848997e-03    1.640554e-03
  7.147927e-03    1.382703e-03
  7.446858e-03    1.178203e-03
  7.745788e-03    1.008691e-03
  8.044719e-03    8.696450e-04
  8.343649e-03    7.597070e-04
  8.642579e-03    6.648347e-04
  8.941510e-03    5.854390e-04
  9.240440e-03    5.188379e-04
  9.539371e-03    4.600802e-04
  9.838301e-03    4.098673e-04
  1.013723e-02    3.677798e-04
  1.043616e-02    3.313039e-04
  1.073509e-02    2.968829e-04
  1.103402e-02    2.688516e-04
  1.133295e-02    2.445217e-04
  1.163188e-02    2.230708e-04
  1.193081e-02    2.044674e-04
  1.222974e-02    1.874023e-04
  1.252867e-02    1.721874e-04
  1.282760e-02    1.587544e-04
  1.312654e-02    1.461755e-04
  1.342547e-02    1.352772e-04
  1.372440e-02    1.259740e-04
  1.402333e-02    1.173165e-04
  1.432226e-02    1.089923e-04
  1.462119e-02    1.014753e-04
  1.492012e-02    9.531211e-05
  1.521905e-02    8.939266e-05
  1.551798e-02    8.357803e-05
  1.581691e-02    7.862686e-05
  1.611584e-02    7.452121e-05
  1.641477e-02    7.038414e-05
  1.671370e-02    6.649903e-05
  1.701263e-02    6.292079e-05
  1.731156e-02    5.963893e-05
  1.761049e-02    5.688010e-05
  1.790942e-02    5.429178e-05
  1.820835e-02    5.147394e-05
  1.850728e-02    4.921044e-05
  1.880621e-02    4.711463e-05
  1.910514e-02    4.525232e-05
  1.940407e-02    4.336491e-05
  1.970300e-02    4.159135e-05
  2.000193e-02    4.014899e-05
  2.030086e-02    3.865652e-05
  2.059979e-02    3.731454e-05
  2.089873e-02    3.611182e-05
  2.119766e-02    3.489571e-05
  2.149659e-02    3.390479e-05
  2.179552e-02    3.291859e-05
  2.209445e-02    3.191987e-05
  2.239338e-02    3.091338e-05
  2.269231e-02    3.006621e-05
  2.299124e-02    2.924076e-05
  2.329017e-02    2.842379e-05
  2.358910e-02    2.777761e-05
  2.388803e-02    2.720326e-05
  2.418696e-02    2.656078e-05
  2.448589e-02    2.588263e-05
  2.478482e-02    2.539358e-05
  2.508375e-02    2.495598e-05
  2.538268e-02    2.439865e-05
