# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 2398313.6
# --> AL_F127_220226_7eb7d671-f292-4ea9-a3aa-1859b129a09d_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.726013e-03
  4.756484e-03    2.137348e-03
  5.055415e-03    1.499816e-03
  5.354345e-03    1.010471e-03
  5.653276e-03    7.607886e-04
  5.952206e-03    1.192440e-03
  6.251136e-03    1.079324e-03
  6.550067e-03    9.334911e-04
  6.848997e-03    7.938730e-04
  7.147927e-03    6.751326e-04
  7.446858e-03    5.765231e-04
  7.745788e-03    4.932403e-04
  8.044719e-03    4.224731e-04
  8.343649e-03    3.692709e-04
  8.642579e-03    3.240735e-04
  8.941510e-03    2.870955e-04
  9.240440e-03    2.564691e-04
  9.539371e-03    2.287657e-04
  9.838301e-03    2.041243e-04
  1.013723e-02    1.837029e-04
  1.043616e-02    1.666301e-04
  1.073509e-02    1.498357e-04
  1.103402e-02    1.361924e-04
  1.133295e-02    1.245682e-04
  1.163188e-02    1.149754e-04
  1.193081e-02    1.058694e-04
  1.222974e-02    9.743727e-05
  1.252867e-02    9.064061e-05
  1.282760e-02    8.467025e-05
  1.312654e-02    7.939230e-05
  1.342547e-02    7.417148e-05
  1.372440e-02    6.924038e-05
  1.402333e-02    6.498653e-05
  1.432226e-02    6.135451e-05
  1.462119e-02    5.820881e-05
  1.492012e-02    5.512127e-05
  1.521905e-02    5.261403e-05
