# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3786264.6
# --> AL_F127_220226_9c5cac4b-ccee-4540-814d-c525b378021d_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.165611e-04
  4.756484e-03    2.492815e-04
  5.055415e-03    1.728639e-04
  5.354345e-03    1.144590e-04
  5.653276e-03    8.378101e-05
  5.952206e-03    1.482044e-04
  6.251136e-03    1.280099e-04
  6.550067e-03    1.070764e-04
  6.848997e-03    9.007182e-05
  7.147927e-03    7.659415e-05
  7.446858e-03    6.561531e-05
  7.745788e-03    5.627885e-05
  8.044719e-03    4.894868e-05
  8.343649e-03    4.397200e-05
  8.642579e-03    3.915527e-05
  8.941510e-03    3.511070e-05
  9.240440e-03    3.192470e-05
  9.539371e-03    2.924767e-05
  9.838301e-03    2.675935e-05
  1.013723e-02    2.490059e-05
  1.043616e-02    2.276555e-05
  1.073509e-02    2.114321e-05
  1.103402e-02    2.003001e-05
  1.133295e-02    1.890984e-05
  1.163188e-02    1.802098e-05
  1.193081e-02    1.735383e-05
  1.222974e-02    1.644844e-05
  1.252867e-02    1.565497e-05
  1.282760e-02    1.509901e-05
  1.312654e-02    1.465519e-05
  1.342547e-02    1.420912e-05
  1.372440e-02    1.377633e-05
  1.402333e-02    1.364764e-05
  1.432226e-02    1.353377e-05
  1.462119e-02    1.326788e-05
  1.492012e-02    1.316282e-05
  1.521905e-02    1.293322e-05
  1.551798e-02    1.290177e-05
  1.581691e-02    1.310024e-05
  1.611584e-02    1.314627e-05
  1.641477e-02    1.325044e-05
  1.671370e-02    1.357100e-05
  1.701263e-02    1.374529e-05
  1.731156e-02    1.400275e-05
  1.761049e-02    1.432145e-05
  1.790942e-02    1.471572e-05
  1.820835e-02    1.515236e-05
  1.850728e-02    1.567239e-05
  1.880621e-02    1.617915e-05
  1.910514e-02    1.691607e-05
  1.940407e-02    1.760993e-05
  1.970300e-02    1.830011e-05
  2.000193e-02    1.924426e-05
  2.030086e-02    2.012679e-05
  2.059979e-02    2.121671e-05
  2.089873e-02    2.239753e-05
  2.119766e-02    2.347538e-05
  2.149659e-02    2.477705e-05
  2.179552e-02    2.603863e-05
  2.209445e-02    2.752666e-05
  2.239338e-02    2.882121e-05
  2.269231e-02    3.006118e-05
  2.299124e-02    3.156598e-05
  2.329017e-02    3.292557e-05
  2.358910e-02    3.444115e-05
  2.388803e-02    3.574783e-05
  2.418696e-02    3.671986e-05
  2.448589e-02    3.782865e-05
  2.478482e-02    3.858672e-05
  2.508375e-02    3.919733e-05
  2.538268e-02    3.954387e-05
  2.568161e-02    3.979274e-05
  2.598054e-02    3.991395e-05
  2.627947e-02    3.988452e-05
  2.657840e-02    3.933141e-05
  2.687733e-02    3.857118e-05
  2.717626e-02    3.766783e-05
  2.747519e-02    3.661836e-05
  2.777412e-02    3.557269e-05
  2.807305e-02    3.419551e-05
  2.837198e-02    3.270959e-05
  2.867092e-02    3.131496e-05
  2.896985e-02    2.988270e-05
  2.926878e-02    2.831881e-05
  2.956771e-02    2.702945e-05
  2.986664e-02    2.573245e-05
  3.016557e-02    2.446875e-05
  3.046450e-02    2.332965e-05
  3.076343e-02    2.220516e-05
  3.106236e-02    2.105600e-05
  3.136129e-02    2.010573e-05
  3.166022e-02    1.916806e-05
  3.195915e-02    1.831390e-05
  3.225808e-02    1.753973e-05
  3.255701e-02    1.680307e-05
  3.285594e-02    1.604733e-05
  3.315487e-02    1.552729e-05
  3.345380e-02    1.481601e-05
  3.375273e-02    1.434134e-05
  3.405166e-02    1.378364e-05
  3.435059e-02    1.328059e-05
  3.464952e-02    1.276980e-05
  3.494845e-02    1.246750e-05
  3.524738e-02    1.218884e-05
  3.554631e-02    1.188481e-05
  3.584524e-02    1.148447e-05
  3.614417e-02    1.117197e-05
  3.644310e-02    1.086273e-05
  3.674204e-02    1.063914e-05
  3.704097e-02    1.043162e-05
  3.733990e-02    1.020958e-05
  3.763883e-02    9.955334e-06
  3.793776e-02    9.834365e-06
  3.823669e-02    9.724824e-06
  3.853562e-02    9.487509e-06
  3.883455e-02    9.383361e-06
  3.913348e-02    9.192503e-06
  3.943241e-02    8.985296e-06
  3.973134e-02    8.936247e-06
  4.003027e-02    8.848086e-06
  4.032920e-02    8.754505e-06
  4.062813e-02    8.708438e-06
  4.092706e-02    8.574106e-06
  4.122599e-02    8.456288e-06
  4.152492e-02    8.374450e-06
  4.182385e-02    8.237634e-06
  4.212278e-02    8.141025e-06
