# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 994199.2000000002
# --> AL_F127_220226_a2074d85-599b-4216-990f-d9cea59d1efa_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.680608e-03
  4.756484e-03    2.077850e-03
  5.055415e-03    1.453091e-03
  5.354345e-03    9.773840e-04
  5.653276e-03    7.140738e-04
  5.952206e-03    1.047555e-03
  6.251136e-03    9.515940e-04
  6.550067e-03    8.374271e-04
  6.848997e-03    7.174548e-04
  7.147927e-03    6.116045e-04
  7.446858e-03    5.285110e-04
  7.745788e-03    4.589068e-04
  8.044719e-03    3.994153e-04
  8.343649e-03    3.526251e-04
  8.642579e-03    3.143945e-04
  8.941510e-03    2.818062e-04
  9.240440e-03    2.556180e-04
  9.539371e-03    2.334899e-04
  9.838301e-03    2.139189e-04
  1.013723e-02    1.973810e-04
  1.043616e-02    1.834221e-04
  1.073509e-02    1.690996e-04
  1.103402e-02    1.583977e-04
  1.133295e-02    1.500587e-04
  1.163188e-02    1.440266e-04
  1.193081e-02    1.374092e-04
  1.222974e-02    1.310894e-04
  1.252867e-02    1.249434e-04
  1.282760e-02    1.201540e-04
  1.312654e-02    1.164609e-04
  1.342547e-02    1.133431e-04
  1.372440e-02    1.106530e-04
  1.402333e-02    1.090496e-04
  1.432226e-02    1.072334e-04
  1.462119e-02    1.061062e-04
  1.492012e-02    1.058126e-04
  1.521905e-02    1.051294e-04
  1.551798e-02    1.050599e-04
  1.581691e-02    1.052747e-04
  1.611584e-02    1.054464e-04
  1.641477e-02    1.067163e-04
  1.671370e-02    1.086160e-04
  1.701263e-02    1.103564e-04
  1.731156e-02    1.128024e-04
  1.761049e-02    1.157831e-04
  1.790942e-02    1.191861e-04
  1.820835e-02    1.230610e-04
  1.850728e-02    1.261206e-04
  1.880621e-02    1.309897e-04
  1.910514e-02    1.361452e-04
  1.940407e-02    1.423049e-04
  1.970300e-02    1.488741e-04
  2.000193e-02    1.556873e-04
  2.030086e-02    1.635905e-04
  2.059979e-02    1.720028e-04
  2.089873e-02    1.804886e-04
  2.119766e-02    1.897304e-04
  2.149659e-02    2.000178e-04
  2.179552e-02    2.108846e-04
  2.209445e-02    2.220388e-04
  2.239338e-02    2.346767e-04
  2.269231e-02    2.462095e-04
  2.299124e-02    2.574617e-04
  2.329017e-02    2.694923e-04
  2.358910e-02    2.808091e-04
  2.388803e-02    2.921586e-04
  2.418696e-02    3.029974e-04
  2.448589e-02    3.115281e-04
  2.478482e-02    3.194213e-04
  2.508375e-02    3.253863e-04
  2.538268e-02    3.297449e-04
  2.568161e-02    3.324337e-04
  2.598054e-02    3.344132e-04
  2.627947e-02    3.344071e-04
  2.657840e-02    3.305544e-04
  2.687733e-02    3.253878e-04
  2.717626e-02    3.178886e-04
  2.747519e-02    3.091200e-04
  2.777412e-02    2.996016e-04
  2.807305e-02    2.896841e-04
  2.837198e-02    2.788738e-04
  2.867092e-02    2.681229e-04
  2.896985e-02    2.569128e-04
  2.926878e-02    2.443626e-04
  2.956771e-02    2.330056e-04
  2.986664e-02    2.231405e-04
  3.016557e-02    2.127289e-04
  3.046450e-02    2.013905e-04
  3.076343e-02    1.916533e-04
  3.106236e-02    1.820344e-04
  3.136129e-02    1.750233e-04
  3.166022e-02    1.679239e-04
  3.195915e-02    1.601068e-04
  3.225808e-02    1.526802e-04
  3.255701e-02    1.461057e-04
  3.285594e-02    1.401049e-04
  3.315487e-02    1.347480e-04
  3.345380e-02    1.301219e-04
  3.375273e-02    1.248369e-04
  3.405166e-02    1.199104e-04
  3.435059e-02    1.156225e-04
  3.464952e-02    1.120606e-04
  3.494845e-02    1.088206e-04
  3.524738e-02    1.052504e-04
  3.554631e-02    1.023082e-04
  3.584524e-02    9.957042e-05
  3.614417e-02    9.735110e-05
  3.644310e-02    9.522271e-05
  3.674204e-02    9.300953e-05
  3.704097e-02    9.072634e-05
  3.733990e-02    8.866317e-05
  3.763883e-02    8.686596e-05
  3.793776e-02    8.555813e-05
  3.823669e-02    8.376293e-05
  3.853562e-02    8.211897e-05
  3.883455e-02    8.113987e-05
  3.913348e-02    8.046863e-05
  3.943241e-02    7.922175e-05
  3.973134e-02    7.768178e-05
  4.003027e-02    7.618899e-05
  4.032920e-02    7.586830e-05
  4.062813e-02    7.532884e-05
  4.092706e-02    7.398510e-05
  4.122599e-02    7.331173e-05
  4.152492e-02    7.247660e-05
  4.182385e-02    7.195956e-05
  4.212278e-02    7.131393e-05
  4.242171e-02    7.055485e-05
  4.272064e-02    6.995075e-05
  4.301957e-02    6.938860e-05
  4.331850e-02    6.868869e-05
  4.361743e-02    6.829533e-05
  4.391636e-02    6.760835e-05
  4.421529e-02    6.689419e-05
  4.451423e-02    6.629790e-05
  4.481316e-02    6.577159e-05
  4.511209e-02    6.534653e-05
  4.541102e-02    6.452379e-05
  4.570995e-02    6.403992e-05
  4.600888e-02    6.357829e-05
  4.630781e-02    6.287530e-05
  4.660674e-02    6.183149e-05
  4.690567e-02    6.125138e-05
  4.720460e-02    6.044193e-05
  4.750353e-02    5.947145e-05
  4.780246e-02    5.888203e-05
  4.810139e-02    5.794374e-05
  4.840032e-02    5.727101e-05
  4.869925e-02    5.625525e-05
  4.899818e-02    5.527558e-05
  4.929711e-02    5.474282e-05
  4.959604e-02    5.369147e-05
  4.989497e-02    5.268040e-05
  5.019390e-02    5.163833e-05
  5.049283e-02    5.082636e-05
  5.079176e-02    4.990867e-05
  5.109069e-02    4.895015e-05
  5.138962e-02    4.791927e-05
  5.168855e-02    4.696238e-05
  5.198748e-02    4.604184e-05
  5.228642e-02    4.474575e-05
  5.258535e-02    4.365163e-05
  5.288428e-02    4.232515e-05
  5.318321e-02    4.138704e-05
  5.348214e-02    4.035076e-05
  5.378107e-02    3.912918e-05
  5.408000e-02    3.850616e-05
  5.437893e-02    3.736814e-05
  5.467786e-02    3.611933e-05
  5.497679e-02    3.531321e-05
  5.527572e-02    3.451495e-05
  5.557465e-02    3.350790e-05
  5.587358e-02    3.263043e-05
  5.617251e-02    3.199205e-05
  5.647144e-02    3.128736e-05
  5.677037e-02    3.034374e-05
  5.706930e-02    2.942181e-05
  5.736823e-02    2.848346e-05
  5.766716e-02    2.771044e-05
  5.796609e-02    2.705156e-05
  5.826502e-02    2.653689e-05
  5.856395e-02    2.588902e-05
  5.886288e-02    2.508789e-05
  5.916181e-02    2.453702e-05
  5.946074e-02    2.411407e-05
  5.975967e-02    2.356909e-05
  6.005861e-02    2.279297e-05
  6.035754e-02    2.226936e-05
  6.065647e-02    2.176882e-05
  6.095540e-02    2.138203e-05
  6.125433e-02    2.118210e-05
  6.155326e-02    2.082657e-05
  6.185219e-02    2.025104e-05
  6.215112e-02    1.978681e-05
  6.245005e-02    1.937083e-05
  6.274898e-02    1.888454e-05
  6.304791e-02    1.839444e-05
  6.334684e-02    1.796174e-05
  6.364577e-02    1.774752e-05
  6.394470e-02    1.744217e-05
  6.424363e-02    1.715938e-05
  6.454256e-02    1.681988e-05
  6.484149e-02    1.657393e-05
  6.514042e-02    1.627560e-05
  6.543935e-02    1.595425e-05
  6.573828e-02    1.550977e-05
  6.603721e-02    1.544450e-05
