# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 11742054.4
# --> AL_F127_220226_a6a92155-79e4-4252-ad1b-c821d09bfebb_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.876565e-03
  4.756484e-03    1.464271e-03
  5.055415e-03    1.026219e-03
  5.354345e-03    7.107267e-04
  5.653276e-03    5.462277e-04
  5.952206e-03    8.724743e-04
  6.251136e-03    7.940296e-04
  6.550067e-03    6.890126e-04
  6.848997e-03    5.859990e-04
  7.147927e-03    4.944063e-04
  7.446858e-03    4.213679e-04
  7.745788e-03    3.611729e-04
  8.044719e-03    3.104869e-04
  8.343649e-03    2.706571e-04
  8.642579e-03    2.368088e-04
  8.941510e-03    2.083833e-04
  9.240440e-03    1.846143e-04
  9.539371e-03    1.633715e-04
  9.838301e-03    1.452738e-04
  1.013723e-02    1.304937e-04
  1.043616e-02    1.175381e-04
  1.073509e-02    1.054363e-04
  1.103402e-02    9.522908e-05
  1.133295e-02    8.636007e-05
  1.163188e-02    7.867524e-05
  1.193081e-02    7.210752e-05
  1.222974e-02    6.627208e-05
  1.252867e-02    6.089070e-05
  1.282760e-02    5.612379e-05
  1.312654e-02    5.182012e-05
  1.342547e-02    4.799293e-05
  1.372440e-02    4.463198e-05
  1.402333e-02    4.165385e-05
  1.432226e-02    3.885870e-05
  1.462119e-02    3.631092e-05
  1.492012e-02    3.398778e-05
  1.521905e-02    3.210892e-05
  1.551798e-02    3.038270e-05
  1.581691e-02    2.863003e-05
  1.611584e-02    2.714237e-05
  1.641477e-02    2.578035e-05
  1.671370e-02    2.449332e-05
  1.701263e-02    2.331099e-05
  1.731156e-02    2.233915e-05
  1.761049e-02    2.148610e-05
  1.790942e-02    2.061671e-05
  1.820835e-02    1.990287e-05
  1.850728e-02    1.918864e-05
  1.880621e-02    1.862266e-05
  1.910514e-02    1.817339e-05
  1.940407e-02    1.773337e-05
  1.970300e-02    1.735827e-05
  2.000193e-02    1.697061e-05
  2.030086e-02    1.656242e-05
  2.059979e-02    1.640617e-05
  2.089873e-02    1.629681e-05
  2.119766e-02    1.615884e-05
  2.149659e-02    1.604236e-05
  2.179552e-02    1.602661e-05
  2.209445e-02    1.597667e-05
  2.239338e-02    1.581436e-05
  2.269231e-02    1.589004e-05
  2.299124e-02    1.606853e-05
  2.329017e-02    1.615928e-05
  2.358910e-02    1.618177e-05
  2.388803e-02    1.625442e-05
  2.418696e-02    1.644949e-05
  2.448589e-02    1.649006e-05
  2.478482e-02    1.650988e-05
  2.508375e-02    1.651886e-05
  2.538268e-02    1.655062e-05
  2.568161e-02    1.656591e-05
  2.598054e-02    1.648691e-05
  2.627947e-02    1.636221e-05
  2.657840e-02    1.626803e-05
  2.687733e-02    1.611665e-05
  2.717626e-02    1.581054e-05
  2.747519e-02    1.552333e-05
  2.777412e-02    1.524572e-05
  2.807305e-02    1.490705e-05
  2.837198e-02    1.457471e-05
  2.867092e-02    1.418013e-05
  2.896985e-02    1.386195e-05
  2.926878e-02    1.347735e-05
  2.956771e-02    1.313254e-05
  2.986664e-02    1.279973e-05
  3.016557e-02    1.246971e-05
  3.046450e-02    1.212557e-05
  3.076343e-02    1.178222e-05
  3.106236e-02    1.148906e-05
  3.136129e-02    1.120037e-05
  3.166022e-02    1.094571e-05
  3.195915e-02    1.067182e-05
  3.225808e-02    1.034574e-05
  3.255701e-02    1.012169e-05
  3.285594e-02    9.955528e-06
  3.315487e-02    9.774512e-06
  3.345380e-02    9.541996e-06
  3.375273e-02    9.316135e-06
  3.405166e-02    9.122366e-06
  3.435059e-02    8.960689e-06
  3.464952e-02    8.778552e-06
  3.494845e-02    8.693502e-06
  3.524738e-02    8.576188e-06
  3.554631e-02    8.411070e-06
  3.584524e-02    8.245878e-06
  3.614417e-02    8.118705e-06
  3.644310e-02    8.017449e-06
  3.674204e-02    7.921181e-06
  3.704097e-02    7.753893e-06
  3.733990e-02    7.671980e-06
  3.763883e-02    7.631706e-06
  3.793776e-02    7.522186e-06
  3.823669e-02    7.416331e-06
  3.853562e-02    7.334299e-06
  3.883455e-02    7.294592e-06
  3.913348e-02    7.237742e-06
  3.943241e-02    7.162958e-06
  3.973134e-02    7.071611e-06
  4.003027e-02    7.035533e-06
  4.032920e-02    7.028953e-06
  4.062813e-02    6.963683e-06
  4.092706e-02    6.902031e-06
  4.122599e-02    6.858295e-06
  4.152492e-02    6.806164e-06
  4.182385e-02    6.744801e-06
  4.212278e-02    6.698489e-06
  4.242171e-02    6.703961e-06
  4.272064e-02    6.686794e-06
  4.301957e-02    6.670402e-06
  4.331850e-02    6.647394e-06
  4.361743e-02    6.619780e-06
  4.391636e-02    6.568398e-06
  4.421529e-02    6.560117e-06
  4.451423e-02    6.498101e-06
  4.481316e-02    6.456577e-06
  4.511209e-02    6.462304e-06
  4.541102e-02    6.403026e-06
  4.570995e-02    6.372502e-06
  4.600888e-02    6.362583e-06
  4.630781e-02    6.357719e-06
  4.660674e-02    6.327360e-06
  4.690567e-02    6.353299e-06
  4.720460e-02    6.334772e-06
  4.750353e-02    6.327147e-06
  4.780246e-02    6.273995e-06
  4.810139e-02    6.235876e-06
  4.840032e-02    6.238621e-06
  4.869925e-02    6.200475e-06
  4.899818e-02    6.160527e-06
  4.929711e-02    6.144434e-06
  4.959604e-02    6.092364e-06
  4.989497e-02    6.075280e-06
  5.019390e-02    6.092991e-06
