# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 8000124.599999999
# --> AL_F127_220226_b58c268f-669c-400a-ab68-2f1aa91c9389_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.263497e-04
  4.756484e-03    2.577413e-04
  5.055415e-03    1.857660e-04
  5.354345e-03    1.334778e-04
  5.653276e-03    1.039933e-04
  5.952206e-03    1.553868e-04
  6.251136e-03    1.409735e-04
  6.550067e-03    1.222693e-04
  6.848997e-03    1.048623e-04
  7.147927e-03    8.959940e-05
  7.446858e-03    7.666473e-05
  7.745788e-03    6.600787e-05
  8.044719e-03    5.747927e-05
  8.343649e-03    5.055827e-05
  8.642579e-03    4.400666e-05
  8.941510e-03    3.868423e-05
  9.240440e-03    3.450125e-05
  9.539371e-03    3.085956e-05
  9.838301e-03    2.756197e-05
  1.013723e-02    2.477886e-05
  1.043616e-02    2.227566e-05
  1.073509e-02    1.997690e-05
  1.103402e-02    1.799390e-05
  1.133295e-02    1.623870e-05
  1.163188e-02    1.481486e-05
  1.193081e-02    1.345209e-05
  1.222974e-02    1.221946e-05
  1.252867e-02    1.112060e-05
  1.282760e-02    1.027734e-05
  1.312654e-02    9.530825e-06
  1.342547e-02    8.585344e-06
  1.372440e-02    7.918068e-06
  1.402333e-02    7.454239e-06
  1.432226e-02    6.839156e-06
  1.462119e-02    6.292342e-06
  1.492012e-02    5.918962e-06
  1.521905e-02    5.503999e-06
  1.551798e-02    5.117062e-06
  1.581691e-02    4.799256e-06
  1.611584e-02    4.557070e-06
  1.641477e-02    4.262248e-06
  1.671370e-02    4.013536e-06
  1.701263e-02    3.828908e-06
  1.731156e-02    3.653971e-06
  1.761049e-02    3.421542e-06
  1.790942e-02    3.259881e-06
  1.820835e-02    3.129833e-06
  1.850728e-02    2.983007e-06
  1.880621e-02    2.891574e-06
  1.910514e-02    2.803066e-06
  1.940407e-02    2.718174e-06
  1.970300e-02    2.612901e-06
  2.000193e-02    2.516538e-06
  2.030086e-02    2.449467e-06
  2.059979e-02    2.403558e-06
  2.089873e-02    2.351284e-06
  2.119766e-02    2.282809e-06
  2.149659e-02    2.216450e-06
  2.179552e-02    2.164335e-06
  2.209445e-02    2.161434e-06
  2.239338e-02    2.126036e-06
  2.269231e-02    2.072604e-06
  2.299124e-02    2.049668e-06
  2.329017e-02    2.034170e-06
  2.358910e-02    1.996565e-06
  2.388803e-02    1.958970e-06
  2.418696e-02    1.951047e-06
  2.448589e-02    1.936358e-06
  2.478482e-02    1.871642e-06
  2.508375e-02    1.842729e-06
  2.538268e-02    1.851851e-06
  2.568161e-02    1.838712e-06
  2.598054e-02    1.796478e-06
  2.627947e-02    1.789915e-06
  2.657840e-02    1.747787e-06
  2.687733e-02    1.699974e-06
  2.717626e-02    1.664350e-06
  2.747519e-02    1.625207e-06
  2.777412e-02    1.567279e-06
  2.807305e-02    1.559549e-06
  2.837198e-02    1.526744e-06
  2.867092e-02    1.472653e-06
  2.896985e-02    1.485781e-06
  2.926878e-02    1.448445e-06
  2.956771e-02    1.420852e-06
  2.986664e-02    1.386086e-06
  3.016557e-02    1.359356e-06
  3.046450e-02    1.327006e-06
  3.076343e-02    1.298537e-06
  3.106236e-02    1.280134e-06
  3.136129e-02    1.258519e-06
  3.166022e-02    1.243107e-06
  3.195915e-02    1.224585e-06
  3.225808e-02    1.179031e-06
  3.255701e-02    1.175087e-06
  3.285594e-02    1.181223e-06
  3.315487e-02    1.165188e-06
  3.345380e-02    1.150862e-06
  3.375273e-02    1.136708e-06
  3.405166e-02    1.126400e-06
  3.435059e-02    1.113602e-06
  3.464952e-02    1.082093e-06
  3.494845e-02    1.052951e-06
  3.524738e-02    1.036332e-06
  3.554631e-02    1.053804e-06
  3.584524e-02    1.028283e-06
  3.614417e-02    1.017846e-06
  3.644310e-02    1.015929e-06
  3.674204e-02    1.001021e-06
  3.704097e-02    1.000216e-06
  3.733990e-02    9.967584e-07
  3.763883e-02    9.657756e-07
  3.793776e-02    9.655743e-07
  3.823669e-02    9.574234e-07
  3.853562e-02    9.341447e-07
  3.883455e-02    9.360183e-07
  3.913348e-02    9.267458e-07
  3.943241e-02    9.120511e-07
  3.973134e-02    9.237545e-07
  4.003027e-02    9.138121e-07
  4.032920e-02    8.886161e-07
  4.062813e-02    8.906204e-07
  4.092706e-02    8.868805e-07
  4.122599e-02    8.821217e-07
  4.152492e-02    8.698169e-07
  4.182385e-02    8.854481e-07
  4.212278e-02    8.727391e-07
  4.242171e-02    8.803726e-07
  4.272064e-02    8.835514e-07
  4.301957e-02    8.772814e-07
  4.331850e-02    8.763070e-07
  4.361743e-02    8.443834e-07
  4.391636e-02    8.379762e-07
  4.421529e-02    8.445342e-07
  4.451423e-02    8.417234e-07
