# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 2387380.0
# --> AL_F127_220226_b67d6393-f34f-43a2-9cd6-10d5d30a43b7_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.386876e-03
  4.756484e-03    1.058529e-03
  5.055415e-03    7.385385e-04
  5.354345e-03    5.052156e-04
  5.653276e-03    3.721684e-04
  5.952206e-03    5.681852e-04
  6.251136e-03    5.187604e-04
  6.550067e-03    4.514916e-04
  6.848997e-03    3.849921e-04
  7.147927e-03    3.263248e-04
  7.446858e-03    2.799230e-04
  7.745788e-03    2.394798e-04
  8.044719e-03    2.068302e-04
  8.343649e-03    1.813579e-04
  8.642579e-03    1.590310e-04
  8.941510e-03    1.407247e-04
  9.240440e-03    1.257782e-04
  9.539371e-03    1.118326e-04
  9.838301e-03    1.000820e-04
  1.013723e-02    9.016747e-05
  1.043616e-02    8.163129e-05
  1.073509e-02    7.412721e-05
  1.103402e-02    6.724113e-05
  1.133295e-02    6.183630e-05
  1.163188e-02    5.627712e-05
  1.193081e-02    5.239291e-05
  1.222974e-02    4.866783e-05
  1.252867e-02    4.491549e-05
  1.282760e-02    4.163263e-05
  1.312654e-02    3.875357e-05
  1.342547e-02    3.600174e-05
  1.372440e-02    3.407436e-05
  1.402333e-02    3.218060e-05
  1.432226e-02    3.022852e-05
  1.462119e-02    2.868228e-05
  1.492012e-02    2.724013e-05
  1.521905e-02    2.599283e-05
  1.551798e-02    2.507220e-05
  1.581691e-02    2.386474e-05
  1.611584e-02    2.283157e-05
  1.641477e-02    2.224790e-05
  1.671370e-02    2.162990e-05
  1.701263e-02    2.104964e-05
  1.731156e-02    2.080162e-05
  1.761049e-02    2.030896e-05
  1.790942e-02    1.980580e-05
  1.820835e-02    1.947254e-05
  1.850728e-02    1.920486e-05
  1.880621e-02    1.923013e-05
  1.910514e-02    1.931162e-05
  1.940407e-02    1.950764e-05
  1.970300e-02    1.965788e-05
  2.000193e-02    2.011436e-05
  2.030086e-02    2.054330e-05
  2.059979e-02    2.082401e-05
  2.089873e-02    2.126542e-05
  2.119766e-02    2.211639e-05
  2.149659e-02    2.279825e-05
  2.179552e-02    2.314340e-05
  2.209445e-02    2.394997e-05
  2.239338e-02    2.495279e-05
  2.269231e-02    2.559166e-05
  2.299124e-02    2.622543e-05
  2.329017e-02    2.709602e-05
  2.358910e-02    2.778403e-05
  2.388803e-02    2.819945e-05
  2.418696e-02    2.878684e-05
  2.448589e-02    2.925104e-05
  2.478482e-02    2.990939e-05
  2.508375e-02    2.995057e-05
  2.538268e-02    2.990663e-05
  2.568161e-02    3.019860e-05
  2.598054e-02    3.025451e-05
  2.627947e-02    3.013323e-05
  2.657840e-02    2.962493e-05
  2.687733e-02    2.915198e-05
  2.717626e-02    2.878660e-05
  2.747519e-02    2.821068e-05
  2.777412e-02    2.762478e-05
  2.807305e-02    2.709521e-05
  2.837198e-02    2.654692e-05
  2.867092e-02    2.604698e-05
  2.896985e-02    2.548062e-05
  2.926878e-02    2.496033e-05
  2.956771e-02    2.453023e-05
  2.986664e-02    2.390172e-05
  3.016557e-02    2.324301e-05
  3.046450e-02    2.283469e-05
  3.076343e-02    2.257913e-05
  3.106236e-02    2.232117e-05
  3.136129e-02    2.194277e-05
  3.166022e-02    2.151160e-05
  3.195915e-02    2.128090e-05
  3.225808e-02    2.104445e-05
  3.255701e-02    2.060100e-05
  3.285594e-02    2.031208e-05
  3.315487e-02    2.019820e-05
  3.345380e-02    1.999370e-05
  3.375273e-02    1.988750e-05
  3.405166e-02    1.964757e-05
  3.435059e-02    1.931614e-05
  3.464952e-02    1.937356e-05
  3.494845e-02    1.928666e-05
  3.524738e-02    1.911389e-05
  3.554631e-02    1.898590e-05
  3.584524e-02    1.908596e-05
  3.614417e-02    1.887903e-05
  3.644310e-02    1.884208e-05
  3.674204e-02    1.874633e-05
  3.704097e-02    1.864024e-05
  3.733990e-02    1.878815e-05
  3.763883e-02    1.872690e-05
  3.793776e-02    1.867854e-05
  3.823669e-02    1.878704e-05
  3.853562e-02    1.877792e-05
  3.883455e-02    1.881075e-05
  3.913348e-02    1.889748e-05
  3.943241e-02    1.878100e-05
  3.973134e-02    1.883614e-05
  4.003027e-02    1.886840e-05
  4.032920e-02    1.894059e-05
  4.062813e-02    1.906281e-05
  4.092706e-02    1.906371e-05
  4.122599e-02    1.914148e-05
  4.152492e-02    1.916123e-05
  4.182385e-02    1.917169e-05
  4.212278e-02    1.920404e-05
  4.242171e-02    1.923917e-05
  4.272064e-02    1.934760e-05
  4.301957e-02    1.940259e-05
  4.331850e-02    1.937547e-05
  4.361743e-02    1.926169e-05
  4.391636e-02    1.900476e-05
  4.421529e-02    1.899819e-05
  4.451423e-02    1.908957e-05
  4.481316e-02    1.897316e-05
  4.511209e-02    1.897695e-05
  4.541102e-02    1.895793e-05
  4.570995e-02    1.873207e-05
  4.600888e-02    1.865615e-05
  4.630781e-02    1.852652e-05
  4.660674e-02    1.832225e-05
  4.690567e-02    1.825795e-05
  4.720460e-02    1.807217e-05
  4.750353e-02    1.784382e-05
  4.780246e-02    1.762899e-05
  4.810139e-02    1.749760e-05
  4.840032e-02    1.734933e-05
  4.869925e-02    1.704020e-05
  4.899818e-02    1.673882e-05
  4.929711e-02    1.654065e-05
  4.959604e-02    1.627939e-05
  4.989497e-02    1.605354e-05
  5.019390e-02    1.588187e-05
  5.049283e-02    1.557381e-05
  5.079176e-02    1.520906e-05
  5.109069e-02    1.507719e-05
  5.138962e-02    1.489109e-05
  5.168855e-02    1.462757e-05
  5.198748e-02    1.437812e-05
  5.228642e-02    1.412244e-05
  5.258535e-02    1.369053e-05
  5.288428e-02    1.334311e-05
  5.318321e-02    1.317510e-05
  5.348214e-02    1.296148e-05
  5.378107e-02    1.268850e-05
  5.408000e-02    1.246838e-05
  5.437893e-02    1.225895e-05
  5.467786e-02    1.212609e-05
  5.497679e-02    1.193714e-05
  5.527572e-02    1.154936e-05
  5.557465e-02    1.131757e-05
  5.587358e-02    1.119259e-05
  5.617251e-02    1.106533e-05
  5.647144e-02    1.084372e-05
  5.677037e-02    1.067093e-05
  5.706930e-02    1.053517e-05
  5.736823e-02    1.033458e-05
  5.766716e-02    1.005310e-05
  5.796609e-02    9.938231e-06
  5.826502e-02    9.884792e-06
  5.856395e-02    9.680366e-06
  5.886288e-02    9.457432e-06
  5.916181e-02    9.291759e-06
  5.946074e-02    9.137193e-06
  5.975967e-02    9.036762e-06
  6.005861e-02    8.970686e-06
  6.035754e-02    8.915469e-06
  6.065647e-02    8.757027e-06
  6.095540e-02    8.623751e-06
  6.125433e-02    8.470366e-06
  6.155326e-02    8.351031e-06
  6.185219e-02    8.227355e-06
  6.215112e-02    8.109248e-06
  6.245005e-02    8.037636e-06
  6.274898e-02    7.959876e-06
  6.304791e-02    7.788530e-06
  6.334684e-02    7.672562e-06
  6.364577e-02    7.634383e-06
  6.394470e-02    7.523149e-06
  6.424363e-02    7.457922e-06
  6.454256e-02    7.387104e-06
  6.484149e-02    7.248580e-06
  6.514042e-02    7.125725e-06
  6.543935e-02    7.049338e-06
  6.573828e-02    7.006643e-06
  6.603721e-02    7.021999e-06
  6.633614e-02    6.973166e-06
  6.663507e-02    6.836274e-06
  6.693400e-02    6.790382e-06
  6.723293e-02    6.666166e-06
  6.753186e-02    6.616347e-06
  6.783080e-02    6.566152e-06
  6.812973e-02    6.515817e-06
  6.842866e-02    6.454949e-06
  6.872759e-02    6.428659e-06
  6.902652e-02    6.350798e-06
  6.932545e-02    6.236639e-06
  6.962438e-02    6.248770e-06
  6.992331e-02    6.126619e-06
  7.022224e-02    6.036566e-06
  7.052117e-02    6.072425e-06
  7.082010e-02    6.061563e-06
  7.111903e-02    5.979713e-06
  7.141796e-02    5.966620e-06
  7.171689e-02    5.900444e-06
  7.201582e-02    5.862834e-06
  7.231475e-02    5.877936e-06
  7.261368e-02    5.822265e-06
  7.291261e-02    5.839318e-06
  7.321154e-02    5.755071e-06
  7.351047e-02    5.642404e-06
  7.380940e-02    5.564878e-06
  7.410833e-02    5.619856e-06
  7.440726e-02    5.548166e-06
  7.470619e-02    5.469346e-06
  7.500512e-02    5.448974e-06
  7.530405e-02    5.405998e-06
  7.560299e-02    5.477180e-06
  7.590192e-02    5.479301e-06
  7.620085e-02    5.440332e-06
  7.649978e-02    5.358973e-06
  7.679871e-02    5.288915e-06
  7.709764e-02    5.275964e-06
  7.739657e-02    5.237922e-06
  7.769550e-02    5.230735e-06
  7.799443e-02    5.213848e-06
  7.829336e-02    5.253117e-06
  7.859229e-02    5.198988e-06
  7.889122e-02    5.196908e-06
  7.919015e-02    5.133413e-06
  7.948908e-02    5.113778e-06
  7.978801e-02    5.114920e-06
  8.008694e-02    5.148946e-06
  8.038587e-02    5.160917e-06
  8.068480e-02    5.133855e-06
  8.098373e-02    5.083898e-06
  8.128266e-02    5.037463e-06
  8.158159e-02    4.965297e-06
  8.188052e-02    5.022994e-06
  8.217945e-02    5.016201e-06
  8.247838e-02    5.016594e-06
  8.277731e-02    4.963970e-06
  8.307624e-02    5.036343e-06
  8.337518e-02    5.033759e-06
  8.367411e-02    4.955781e-06
  8.397304e-02    4.986976e-06
  8.427197e-02    4.941699e-06
  8.457090e-02    4.896080e-06
  8.486983e-02    4.891641e-06
  8.516876e-02    4.924044e-06
  8.546769e-02    4.912783e-06
  8.576662e-02    4.903808e-06
  8.606555e-02    4.863412e-06
  8.636448e-02    4.830294e-06
  8.666341e-02    4.915689e-06
  8.696234e-02    4.906980e-06
  8.726127e-02    4.861050e-06
  8.756020e-02    4.894058e-06
  8.785913e-02    4.934139e-06
  8.815806e-02    4.877040e-06
  8.845699e-02    4.836056e-06
  8.875592e-02    4.799330e-06
  8.905485e-02    4.820249e-06
  8.935378e-02    4.851389e-06
  8.965271e-02    4.853459e-06
  8.995164e-02    4.856653e-06
  9.025057e-02    4.879969e-06
  9.054950e-02    4.898638e-06
  9.084843e-02    4.869512e-06
  9.114737e-02    4.800267e-06
  9.144630e-02    4.829706e-06
  9.174523e-02    4.767153e-06
  9.204416e-02    4.779301e-06
  9.234309e-02    4.810837e-06
  9.264202e-02    4.806828e-06
  9.294095e-02    4.783682e-06
  9.323988e-02    4.765446e-06
  9.353881e-02    4.748734e-06
  9.383774e-02    4.754592e-06
  9.413667e-02    4.854222e-06
  9.443560e-02    4.841357e-06
  9.473453e-02    4.846487e-06
  9.503346e-02    4.848246e-06
  9.533239e-02    4.802039e-06
  9.563132e-02    4.806980e-06
  9.593025e-02    4.810281e-06
  9.622918e-02    4.862705e-06
  9.652811e-02    4.916461e-06
  9.682704e-02    4.882593e-06
  9.712597e-02    4.816347e-06
  9.742490e-02    4.867108e-06
  9.772383e-02    4.832091e-06
  9.802276e-02    4.802315e-06
  9.832169e-02    4.815359e-06
  9.862062e-02    4.777606e-06
  9.891956e-02    4.806175e-06
  9.921849e-02    4.849309e-06
  9.951742e-02    4.797737e-06
  9.981635e-02    4.768405e-06
  1.001153e-01    4.815562e-06
  1.004142e-01    4.819573e-06
  1.007131e-01    4.820003e-06
  1.010121e-01    4.804835e-06
  1.013110e-01    4.751243e-06
  1.016099e-01    4.761315e-06
  1.019089e-01    4.786641e-06
  1.022078e-01    4.801522e-06
  1.025067e-01    4.809539e-06
  1.028057e-01    4.760612e-06
  1.031046e-01    4.740912e-06
  1.034035e-01    4.773653e-06
  1.037024e-01    4.787885e-06
  1.040014e-01    4.789794e-06
  1.043003e-01    4.768242e-06
  1.045992e-01    4.746100e-06
  1.048982e-01    4.741476e-06
  1.051971e-01    4.762303e-06
  1.054960e-01    4.727001e-06
  1.057950e-01    4.679679e-06
  1.060939e-01    4.708053e-06
  1.063928e-01    4.734346e-06
  1.066917e-01    4.714756e-06
  1.069907e-01    4.749449e-06
  1.072896e-01    4.747892e-06
  1.075885e-01    4.738754e-06
  1.078875e-01    4.746501e-06
  1.081864e-01    4.686003e-06
  1.084853e-01    4.779091e-06
  1.087843e-01    4.843385e-06
  1.090832e-01    4.823329e-06
  1.093821e-01    4.786822e-06
  1.096810e-01    4.735810e-06
  1.099800e-01    4.813063e-06
  1.102789e-01    4.805722e-06
  1.105778e-01    4.705781e-06
  1.108768e-01    4.706837e-06
  1.111757e-01    4.724926e-06
  1.114746e-01    4.670996e-06
  1.117736e-01    4.703936e-06
  1.120725e-01    4.718649e-06
  1.123714e-01    4.685831e-06
  1.126704e-01    4.639494e-06
  1.129693e-01    4.580899e-06
  1.132682e-01    4.492662e-06
  1.135671e-01    4.463779e-06
  1.138661e-01    4.408992e-06
  1.141650e-01    4.288091e-06
  1.144639e-01    4.254788e-06
  1.147629e-01    4.275240e-06
  1.150618e-01    4.284036e-06
  1.153607e-01    4.292962e-06
  1.156597e-01    4.209945e-06
  1.159586e-01    4.251209e-06
  1.162575e-01    4.299111e-06
  1.165564e-01    4.224998e-06
  1.168554e-01    4.239556e-06
  1.171543e-01    4.315955e-06
  1.174532e-01    4.345837e-06
  1.177522e-01    4.295476e-06
  1.180511e-01    4.277107e-06
  1.183500e-01    4.265629e-06
  1.186490e-01    4.121290e-06
  1.189479e-01    4.049827e-06
  1.192468e-01    4.194747e-06
  1.195458e-01    4.278116e-06
  1.198447e-01    4.158713e-06
  1.201436e-01    4.045360e-06
  1.204425e-01    4.462560e-06
  1.207415e-01    4.316375e-06
  1.210404e-01    2.934741e-06
  1.213393e-01    0.000000e+00
  1.216383e-01    0.000000e+00
  1.219372e-01    0.000000e+00
  1.222361e-01    0.000000e+00
  1.225351e-01    0.000000e+00
  1.228340e-01    0.000000e+00
  1.231329e-01    0.000000e+00
  1.234318e-01    0.000000e+00
  1.237308e-01    0.000000e+00
  1.240297e-01    0.000000e+00
  1.243286e-01    0.000000e+00
  1.246276e-01    0.000000e+00
  1.249265e-01    0.000000e+00
  1.252254e-01    0.000000e+00
  1.255244e-01    0.000000e+00
  1.258233e-01    0.000000e+00
  1.261222e-01    0.000000e+00
  1.264212e-01    0.000000e+00
  1.267201e-01    0.000000e+00
  1.270190e-01    0.000000e+00
  1.273179e-01    0.000000e+00
  1.276169e-01    0.000000e+00
  1.279158e-01    0.000000e+00
  1.282147e-01    0.000000e+00
  1.285137e-01    0.000000e+00
  1.288126e-01    0.000000e+00
  1.291115e-01    0.000000e+00
  1.294105e-01    0.000000e+00
  1.297094e-01    0.000000e+00
  1.300083e-01    0.000000e+00
  1.303072e-01    0.000000e+00
  1.306062e-01    0.000000e+00
  1.309051e-01    0.000000e+00
  1.312040e-01    0.000000e+00
  1.315030e-01    0.000000e+00
  1.318019e-01    0.000000e+00
  1.321008e-01    0.000000e+00
  1.323998e-01    0.000000e+00
  1.326987e-01    0.000000e+00
  1.329976e-01    0.000000e+00
  1.332965e-01    0.000000e+00
  1.335955e-01    0.000000e+00
  1.338944e-01    0.000000e+00
  1.341933e-01    0.000000e+00
  1.344923e-01    0.000000e+00
  1.347912e-01    0.000000e+00
  1.350901e-01    0.000000e+00
  1.353891e-01    0.000000e+00
  1.356880e-01    0.000000e+00
  1.359869e-01    0.000000e+00
  1.362859e-01    0.000000e+00
  1.365848e-01    0.000000e+00
  1.368837e-01    0.000000e+00
  1.371826e-01    0.000000e+00
  1.374816e-01    0.000000e+00
  1.377805e-01    0.000000e+00
  1.380794e-01    0.000000e+00
  1.383784e-01    0.000000e+00
  1.386773e-01    0.000000e+00
  1.389762e-01    0.000000e+00
  1.392752e-01    0.000000e+00
