# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 5431439.600000001
# --> AL_F127_220226_cae0bc7d-6808-4317-9190-c459fa1f3c0b_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.036347e-03
  4.756484e-03    1.556983e-03
  5.055415e-03    1.085228e-03
  5.354345e-03    7.428143e-04
  5.653276e-03    5.523411e-04
  5.952206e-03    8.501893e-04
  6.251136e-03    7.748141e-04
  6.550067e-03    6.766430e-04
  6.848997e-03    5.776303e-04
  7.147927e-03    4.892935e-04
  7.446858e-03    4.175505e-04
  7.745788e-03    3.580151e-04
  8.044719e-03    3.079703e-04
  8.343649e-03    2.679385e-04
  8.642579e-03    2.344109e-04
  8.941510e-03    2.053102e-04
  9.240440e-03    1.820901e-04
  9.539371e-03    1.623427e-04
  9.838301e-03    1.446618e-04
  1.013723e-02    1.293250e-04
  1.043616e-02    1.158864e-04
  1.073509e-02    1.036735e-04
  1.103402e-02    9.380308e-05
  1.133295e-02    8.503409e-05
  1.163188e-02    7.753137e-05
  1.193081e-02    7.080191e-05
  1.222974e-02    6.498696e-05
  1.252867e-02    5.990285e-05
  1.282760e-02    5.497991e-05
  1.312654e-02    5.078079e-05
  1.342547e-02    4.709862e-05
  1.372440e-02    4.383472e-05
  1.402333e-02    4.062197e-05
  1.432226e-02    3.779132e-05
  1.462119e-02    3.547216e-05
  1.492012e-02    3.316157e-05
  1.521905e-02    3.111790e-05
  1.551798e-02    2.921197e-05
  1.581691e-02    2.757500e-05
  1.611584e-02    2.614632e-05
  1.641477e-02    2.469602e-05
  1.671370e-02    2.347848e-05
  1.701263e-02    2.233505e-05
  1.731156e-02    2.136985e-05
  1.761049e-02    2.039541e-05
  1.790942e-02    1.980860e-05
  1.820835e-02    1.913386e-05
  1.850728e-02    1.837819e-05
  1.880621e-02    1.776018e-05
  1.910514e-02    1.724858e-05
  1.940407e-02    1.667265e-05
  1.970300e-02    1.636238e-05
  2.000193e-02    1.604759e-05
  2.030086e-02    1.570117e-05
  2.059979e-02    1.544215e-05
  2.089873e-02    1.520784e-05
  2.119766e-02    1.505513e-05
  2.149659e-02    1.500641e-05
  2.179552e-02    1.497806e-05
  2.209445e-02    1.485572e-05
  2.239338e-02    1.473395e-05
  2.269231e-02    1.465044e-05
  2.299124e-02    1.478125e-05
  2.329017e-02    1.482778e-05
  2.358910e-02    1.475506e-05
  2.388803e-02    1.469269e-05
  2.418696e-02    1.464977e-05
  2.448589e-02    1.460506e-05
  2.478482e-02    1.457512e-05
  2.508375e-02    1.444129e-05
  2.538268e-02    1.431976e-05
  2.568161e-02    1.412589e-05
  2.598054e-02    1.395767e-05
  2.627947e-02    1.377821e-05
  2.657840e-02    1.361042e-05
  2.687733e-02    1.339068e-05
  2.717626e-02    1.314832e-05
  2.747519e-02    1.277845e-05
  2.777412e-02    1.252006e-05
  2.807305e-02    1.238320e-05
  2.837198e-02    1.212355e-05
  2.867092e-02    1.181926e-05
  2.896985e-02    1.151491e-05
  2.926878e-02    1.130327e-05
  2.956771e-02    1.106930e-05
  2.986664e-02    1.085737e-05
  3.016557e-02    1.064385e-05
  3.046450e-02    1.042859e-05
  3.076343e-02    1.019325e-05
  3.106236e-02    9.942111e-06
  3.136129e-02    9.782893e-06
  3.166022e-02    9.636102e-06
  3.195915e-02    9.498522e-06
  3.225808e-02    9.253142e-06
  3.255701e-02    9.080824e-06
  3.285594e-02    8.911356e-06
  3.315487e-02    8.838821e-06
  3.345380e-02    8.690355e-06
  3.375273e-02    8.523186e-06
  3.405166e-02    8.413078e-06
  3.435059e-02    8.360740e-06
  3.464952e-02    8.259580e-06
  3.494845e-02    8.078670e-06
  3.524738e-02    7.971003e-06
  3.554631e-02    7.955035e-06
  3.584524e-02    7.850289e-06
  3.614417e-02    7.776225e-06
  3.644310e-02    7.724078e-06
  3.674204e-02    7.632272e-06
  3.704097e-02    7.524564e-06
  3.733990e-02    7.418192e-06
  3.763883e-02    7.373698e-06
  3.793776e-02    7.376912e-06
  3.823669e-02    7.325415e-06
  3.853562e-02    7.276033e-06
  3.883455e-02    7.236062e-06
  3.913348e-02    7.175035e-06
  3.943241e-02    7.117753e-06
  3.973134e-02    7.065564e-06
  4.003027e-02    7.000771e-06
  4.032920e-02    6.984566e-06
  4.062813e-02    6.912441e-06
  4.092706e-02    6.877270e-06
  4.122599e-02    6.918084e-06
  4.152492e-02    6.899937e-06
  4.182385e-02    6.884396e-06
  4.212278e-02    6.838426e-06
  4.242171e-02    6.840501e-06
  4.272064e-02    6.825717e-06
  4.301957e-02    6.781121e-06
  4.331850e-02    6.740566e-06
  4.361743e-02    6.672890e-06
  4.391636e-02    6.608930e-06
  4.421529e-02    6.642958e-06
  4.451423e-02    6.680587e-06
  4.481316e-02    6.644201e-06
  4.511209e-02    6.575785e-06
  4.541102e-02    6.542560e-06
  4.570995e-02    6.561983e-06
  4.600888e-02    6.538245e-06
  4.630781e-02    6.465385e-06
  4.660674e-02    6.443123e-06
  4.690567e-02    6.423473e-06
  4.720460e-02    6.391503e-06
  4.750353e-02    6.416593e-06
  4.780246e-02    6.330423e-06
  4.810139e-02    6.297095e-06
  4.840032e-02    6.272865e-06
  4.869925e-02    6.268771e-06
  4.899818e-02    6.253835e-06
  4.929711e-02    6.188294e-06
  4.959604e-02    6.124184e-06
  4.989497e-02    6.103754e-06
  5.019390e-02    6.101382e-06
  5.049283e-02    6.053598e-06
  5.079176e-02    5.984112e-06
  5.109069e-02    5.974248e-06
  5.138962e-02    6.019303e-06
  5.168855e-02    6.074848e-06
  5.198748e-02    6.174308e-06
  5.228642e-02    6.140720e-06
  5.258535e-02    5.900936e-06
  5.288428e-02    5.740912e-06
  5.318321e-02    5.702710e-06
  5.348214e-02    5.646383e-06
  5.378107e-02    5.624208e-06
  5.408000e-02    5.635422e-06
  5.437893e-02    5.612451e-06
  5.467786e-02    5.588021e-06
  5.497679e-02    5.516921e-06
  5.527572e-02    5.474383e-06
  5.557465e-02    5.434299e-06
  5.587358e-02    5.383580e-06
  5.617251e-02    5.362445e-06
  5.647144e-02    5.368243e-06
  5.677037e-02    5.358127e-06
  5.706930e-02    5.395944e-06
  5.736823e-02    5.332984e-06
  5.766716e-02    5.325172e-06
  5.796609e-02    5.334442e-06
  5.826502e-02    5.248233e-06
  5.856395e-02    5.232231e-06
  5.886288e-02    5.227625e-06
  5.916181e-02    5.215984e-06
  5.946074e-02    5.177466e-06
  5.975967e-02    5.210115e-06
  6.005861e-02    5.197064e-06
  6.035754e-02    5.198466e-06
  6.065647e-02    5.216000e-06
  6.095540e-02    5.243243e-06
