# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 13030560.200000001
# --> AL_F127_220226_ce0889f2-47c7-4135-ba5d-10a33a8bc7ca_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.746465e-04
  4.756484e-03    1.371513e-04
  5.055415e-03    9.477062e-05
  5.354345e-03    6.308719e-05
  5.653276e-03    4.618581e-05
  5.952206e-03    6.967068e-05
  6.251136e-03    6.318288e-05
  6.550067e-03    5.499826e-05
  6.848997e-03    4.709269e-05
  7.147927e-03    3.987575e-05
  7.446858e-03    3.415909e-05
  7.745788e-03    2.943731e-05
  8.044719e-03    2.557513e-05
  8.343649e-03    2.234382e-05
  8.642579e-03    1.952376e-05
  8.941510e-03    1.713675e-05
  9.240440e-03    1.525446e-05
  9.539371e-03    1.354448e-05
  9.838301e-03    1.209005e-05
  1.013723e-02    1.096163e-05
  1.043616e-02    9.926154e-06
  1.073509e-02    8.957131e-06
  1.103402e-02    8.161231e-06
  1.133295e-02    7.476699e-06
  1.163188e-02    6.877288e-06
  1.193081e-02    6.335064e-06
  1.222974e-02    5.816518e-06
  1.252867e-02    5.348069e-06
  1.282760e-02    4.979712e-06
  1.312654e-02    4.640724e-06
  1.342547e-02    4.305210e-06
  1.372440e-02    3.991776e-06
  1.402333e-02    3.736872e-06
  1.432226e-02    3.554158e-06
  1.462119e-02    3.311964e-06
  1.492012e-02    3.071832e-06
  1.521905e-02    2.908539e-06
  1.551798e-02    2.792005e-06
  1.581691e-02    2.655678e-06
  1.611584e-02    2.511292e-06
  1.641477e-02    2.364239e-06
  1.671370e-02    2.265308e-06
  1.701263e-02    2.164634e-06
  1.731156e-02    2.073995e-06
  1.761049e-02    2.020766e-06
  1.790942e-02    1.958490e-06
  1.820835e-02    1.887400e-06
  1.850728e-02    1.830434e-06
  1.880621e-02    1.767720e-06
  1.910514e-02    1.744610e-06
  1.940407e-02    1.720584e-06
  1.970300e-02    1.702588e-06
  2.000193e-02    1.662436e-06
  2.030086e-02    1.618343e-06
  2.059979e-02    1.603404e-06
  2.089873e-02    1.622994e-06
  2.119766e-02    1.612263e-06
  2.149659e-02    1.608511e-06
  2.179552e-02    1.602730e-06
  2.209445e-02    1.625618e-06
  2.239338e-02    1.618060e-06
  2.269231e-02    1.642205e-06
  2.299124e-02    1.669260e-06
  2.329017e-02    1.675680e-06
  2.358910e-02    1.686566e-06
  2.388803e-02    1.680165e-06
  2.418696e-02    1.699003e-06
  2.448589e-02    1.735988e-06
  2.478482e-02    1.755006e-06
  2.508375e-02    1.759979e-06
  2.538268e-02    1.780924e-06
  2.568161e-02    1.788518e-06
  2.598054e-02    1.776320e-06
  2.627947e-02    1.791303e-06
  2.657840e-02    1.817737e-06
  2.687733e-02    1.812918e-06
  2.717626e-02    1.787266e-06
  2.747519e-02    1.765807e-06
  2.777412e-02    1.766981e-06
  2.807305e-02    1.773725e-06
  2.837198e-02    1.781768e-06
  2.867092e-02    1.769266e-06
  2.896985e-02    1.738796e-06
  2.926878e-02    1.711771e-06
  2.956771e-02    1.699395e-06
  2.986664e-02    1.689004e-06
  3.016557e-02    1.705093e-06
  3.046450e-02    1.687352e-06
  3.076343e-02    1.670164e-06
  3.106236e-02    1.661680e-06
  3.136129e-02    1.664785e-06
  3.166022e-02    1.637284e-06
  3.195915e-02    1.637034e-06
  3.225808e-02    1.647862e-06
  3.255701e-02    1.665268e-06
  3.285594e-02    1.667839e-06
  3.315487e-02    1.633095e-06
  3.345380e-02    1.612828e-06
  3.375273e-02    1.618791e-06
  3.405166e-02    1.630182e-06
  3.435059e-02    1.636494e-06
  3.464952e-02    1.640451e-06
  3.494845e-02    1.640008e-06
  3.524738e-02    1.632426e-06
  3.554631e-02    1.614854e-06
  3.584524e-02    1.622914e-06
  3.614417e-02    1.658588e-06
  3.644310e-02    1.643192e-06
  3.674204e-02    1.649858e-06
  3.704097e-02    1.660561e-06
  3.733990e-02    1.673059e-06
  3.763883e-02    1.675638e-06
  3.793776e-02    1.669313e-06
  3.823669e-02    1.661327e-06
  3.853562e-02    1.667334e-06
  3.883455e-02    1.686954e-06
  3.913348e-02    1.699414e-06
  3.943241e-02    1.723756e-06
  3.973134e-02    1.726156e-06
  4.003027e-02    1.711523e-06
  4.032920e-02    1.695467e-06
  4.062813e-02    1.702466e-06
  4.092706e-02    1.721220e-06
  4.122599e-02    1.763482e-06
  4.152492e-02    1.751854e-06
  4.182385e-02    1.746539e-06
  4.212278e-02    1.770195e-06
  4.242171e-02    1.793579e-06
  4.272064e-02    1.791506e-06
  4.301957e-02    1.784061e-06
  4.331850e-02    1.790815e-06
  4.361743e-02    1.794258e-06
  4.391636e-02    1.784652e-06
  4.421529e-02    1.782228e-06
  4.451423e-02    1.794573e-06
  4.481316e-02    1.791676e-06
  4.511209e-02    1.793235e-06
  4.541102e-02    1.785063e-06
  4.570995e-02    1.766654e-06
  4.600888e-02    1.781774e-06
  4.630781e-02    1.774577e-06
  4.660674e-02    1.765800e-06
  4.690567e-02    1.757377e-06
  4.720460e-02    1.745963e-06
  4.750353e-02    1.729949e-06
  4.780246e-02    1.706140e-06
  4.810139e-02    1.695790e-06
  4.840032e-02    1.678105e-06
  4.869925e-02    1.669336e-06
  4.899818e-02    1.660739e-06
  4.929711e-02    1.634196e-06
  4.959604e-02    1.616629e-06
  4.989497e-02    1.577586e-06
  5.019390e-02    1.567720e-06
  5.049283e-02    1.557537e-06
  5.079176e-02    1.536435e-06
  5.109069e-02    1.525598e-06
  5.138962e-02    1.510205e-06
  5.168855e-02    1.495362e-06
  5.198748e-02    1.480818e-06
  5.228642e-02    1.446330e-06
  5.258535e-02    1.411224e-06
  5.288428e-02    1.383317e-06
  5.318321e-02    1.358427e-06
  5.348214e-02    1.343745e-06
  5.378107e-02    1.318767e-06
  5.408000e-02    1.298718e-06
  5.437893e-02    1.283754e-06
  5.467786e-02    1.274216e-06
  5.497679e-02    1.249422e-06
  5.527572e-02    1.239811e-06
  5.557465e-02    1.219420e-06
  5.587358e-02    1.196316e-06
  5.617251e-02    1.176856e-06
  5.647144e-02    1.166566e-06
  5.677037e-02    1.160551e-06
  5.706930e-02    1.128114e-06
  5.736823e-02    1.121965e-06
  5.766716e-02    1.105128e-06
  5.796609e-02    1.089215e-06
  5.826502e-02    1.077281e-06
  5.856395e-02    1.056378e-06
  5.886288e-02    1.031907e-06
  5.916181e-02    1.016050e-06
  5.946074e-02    1.010123e-06
  5.975967e-02    1.017608e-06
  6.005861e-02    1.004957e-06
  6.035754e-02    9.855847e-07
  6.065647e-02    9.708518e-07
  6.095540e-02    9.640589e-07
  6.125433e-02    9.555155e-07
  6.155326e-02    9.406835e-07
  6.185219e-02    9.278864e-07
  6.215112e-02    9.207354e-07
  6.245005e-02    9.004908e-07
  6.274898e-02    8.908579e-07
  6.304791e-02    8.866712e-07
  6.334684e-02    8.780517e-07
  6.364577e-02    8.720621e-07
  6.394470e-02    8.727801e-07
  6.424363e-02    8.592115e-07
  6.454256e-02    8.409003e-07
  6.484149e-02    8.343386e-07
  6.514042e-02    8.314082e-07
  6.543935e-02    8.316081e-07
  6.573828e-02    8.206979e-07
  6.603721e-02    8.038978e-07
  6.633614e-02    8.012846e-07
  6.663507e-02    7.990302e-07
  6.693400e-02    7.965534e-07
  6.723293e-02    7.833115e-07
  6.753186e-02    7.790493e-07
  6.783080e-02    7.798403e-07
  6.812973e-02    7.696000e-07
  6.842866e-02    7.638237e-07
  6.872759e-02    7.530119e-07
  6.902652e-02    7.473938e-07
  6.932545e-02    7.392597e-07
  6.962438e-02    7.350215e-07
  6.992331e-02    7.385740e-07
  7.022224e-02    7.313521e-07
  7.052117e-02    7.250799e-07
  7.082010e-02    7.197236e-07
  7.111903e-02    7.228076e-07
  7.141796e-02    7.174638e-07
  7.171689e-02    7.122628e-07
  7.201582e-02    6.949628e-07
  7.231475e-02    6.904916e-07
  7.261368e-02    6.903691e-07
  7.291261e-02    6.887665e-07
  7.321154e-02    6.852148e-07
  7.351047e-02    6.730880e-07
  7.380940e-02    6.754760e-07
  7.410833e-02    6.674949e-07
  7.440726e-02    6.648333e-07
  7.470619e-02    6.734521e-07
