# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 14959487.4
# --> AL_F127_220226_d9d33bfe-ef9d-4f90-adeb-891feebf03cb_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.203925e-04
  4.756484e-03    9.467106e-05
  5.055415e-03    6.812340e-05
  5.354345e-03    4.682170e-05
  5.653276e-03    3.544243e-05
  5.952206e-03    5.146603e-05
  6.251136e-03    4.706056e-05
  6.550067e-03    4.147118e-05
  6.848997e-03    3.623035e-05
  7.147927e-03    3.165878e-05
  7.446858e-03    2.774943e-05
  7.745788e-03    2.454647e-05
  8.044719e-03    2.203635e-05
  8.343649e-03    1.998073e-05
  8.642579e-03    1.819731e-05
  8.941510e-03    1.675436e-05
  9.240440e-03    1.556119e-05
  9.539371e-03    1.453510e-05
  9.838301e-03    1.354907e-05
  1.013723e-02    1.296285e-05
  1.043616e-02    1.252101e-05
  1.073509e-02    1.202210e-05
  1.103402e-02    1.160275e-05
  1.133295e-02    1.130894e-05
  1.163188e-02    1.106484e-05
  1.193081e-02    1.076822e-05
  1.222974e-02    1.062853e-05
  1.252867e-02    1.059814e-05
  1.282760e-02    1.043921e-05
  1.312654e-02    1.029696e-05
  1.342547e-02    1.021800e-05
  1.372440e-02    1.020676e-05
  1.402333e-02    1.024205e-05
  1.432226e-02    1.031640e-05
  1.462119e-02    1.029260e-05
  1.492012e-02    1.034212e-05
  1.521905e-02    1.043941e-05
  1.551798e-02    1.053338e-05
  1.581691e-02    1.062694e-05
  1.611584e-02    1.079023e-05
  1.641477e-02    1.094614e-05
  1.671370e-02    1.116892e-05
  1.701263e-02    1.139309e-05
  1.731156e-02    1.170023e-05
  1.761049e-02    1.207062e-05
  1.790942e-02    1.233659e-05
  1.820835e-02    1.266550e-05
  1.850728e-02    1.303786e-05
  1.880621e-02    1.345780e-05
  1.910514e-02    1.387240e-05
  1.940407e-02    1.432257e-05
  1.970300e-02    1.490765e-05
  2.000193e-02    1.547935e-05
  2.030086e-02    1.611722e-05
  2.059979e-02    1.669955e-05
  2.089873e-02    1.731410e-05
  2.119766e-02    1.807108e-05
  2.149659e-02    1.889758e-05
  2.179552e-02    1.968852e-05
  2.209445e-02    2.045509e-05
  2.239338e-02    2.130570e-05
  2.269231e-02    2.222342e-05
  2.299124e-02    2.312893e-05
  2.329017e-02    2.402916e-05
  2.358910e-02    2.484795e-05
  2.388803e-02    2.570426e-05
  2.418696e-02    2.657891e-05
  2.448589e-02    2.740112e-05
  2.478482e-02    2.818661e-05
  2.508375e-02    2.880730e-05
  2.538268e-02    2.941183e-05
  2.568161e-02    2.995203e-05
  2.598054e-02    3.032924e-05
  2.627947e-02    3.060155e-05
  2.657840e-02    3.076267e-05
  2.687733e-02    3.080753e-05
  2.717626e-02    3.074599e-05
  2.747519e-02    3.043574e-05
  2.777412e-02    3.003373e-05
  2.807305e-02    2.953638e-05
