# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 10479381.6
# --> AL_F127_220226_e1be8a91-e358-4f05-b3be-0048a1cc9f1f_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.327779e-04
  4.756484e-03    1.053930e-04
  5.055415e-03    7.471239e-05
  5.354345e-03    5.146863e-05
  5.653276e-03    3.960078e-05
  5.952206e-03    5.798539e-05
  6.251136e-03    5.304226e-05
  6.550067e-03    4.687492e-05
  6.848997e-03    4.062809e-05
  7.147927e-03    3.525985e-05
  7.446858e-03    3.082795e-05
  7.745788e-03    2.723345e-05
  8.044719e-03    2.420800e-05
  8.343649e-03    2.204069e-05
  8.642579e-03    2.002550e-05
  8.941510e-03    1.835324e-05
  9.240440e-03    1.693479e-05
  9.539371e-03    1.568618e-05
  9.838301e-03    1.473202e-05
  1.013723e-02    1.386641e-05
  1.043616e-02    1.328785e-05
  1.073509e-02    1.271618e-05
  1.103402e-02    1.213823e-05
  1.133295e-02    1.176235e-05
  1.163188e-02    1.150362e-05
  1.193081e-02    1.123063e-05
  1.222974e-02    1.098315e-05
  1.252867e-02    1.078744e-05
  1.282760e-02    1.064213e-05
  1.312654e-02    1.046473e-05
  1.342547e-02    1.045162e-05
  1.372440e-02    1.037507e-05
  1.402333e-02    1.035033e-05
  1.432226e-02    1.031258e-05
  1.462119e-02    1.042389e-05
  1.492012e-02    1.046113e-05
  1.521905e-02    1.040228e-05
  1.551798e-02    1.042316e-05
  1.581691e-02    1.051006e-05
  1.611584e-02    1.065474e-05
  1.641477e-02    1.085799e-05
  1.671370e-02    1.107992e-05
  1.701263e-02    1.130350e-05
  1.731156e-02    1.147923e-05
  1.761049e-02    1.178977e-05
  1.790942e-02    1.203805e-05
  1.820835e-02    1.239199e-05
  1.850728e-02    1.279493e-05
  1.880621e-02    1.316717e-05
  1.910514e-02    1.355557e-05
  1.940407e-02    1.408515e-05
  1.970300e-02    1.469610e-05
  2.000193e-02    1.530515e-05
  2.030086e-02    1.596543e-05
  2.059979e-02    1.668036e-05
  2.089873e-02    1.731850e-05
  2.119766e-02    1.814167e-05
  2.149659e-02    1.903090e-05
  2.179552e-02    1.987293e-05
  2.209445e-02    2.081445e-05
  2.239338e-02    2.188870e-05
  2.269231e-02    2.300946e-05
  2.299124e-02    2.417612e-05
  2.329017e-02    2.534642e-05
  2.358910e-02    2.656859e-05
  2.388803e-02    2.791675e-05
  2.418696e-02    2.920656e-05
  2.448589e-02    3.033958e-05
  2.478482e-02    3.151921e-05
  2.508375e-02    3.269451e-05
  2.538268e-02    3.383413e-05
  2.568161e-02    3.487652e-05
  2.598054e-02    3.577203e-05
  2.627947e-02    3.657218e-05
  2.657840e-02    3.722015e-05
  2.687733e-02    3.774339e-05
  2.717626e-02    3.800994e-05
  2.747519e-02    3.798282e-05
  2.777412e-02    3.788234e-05
  2.807305e-02    3.756355e-05
  2.837198e-02    3.698630e-05
  2.867092e-02    3.625563e-05
  2.896985e-02    3.545168e-05
  2.926878e-02    3.436231e-05
  2.956771e-02    3.327237e-05
  2.986664e-02    3.196238e-05
  3.016557e-02    3.067189e-05
  3.046450e-02    2.940177e-05
  3.076343e-02    2.810017e-05
  3.106236e-02    2.679273e-05
  3.136129e-02    2.543335e-05
  3.166022e-02    2.415605e-05
  3.195915e-02    2.291232e-05
  3.225808e-02    2.156519e-05
  3.255701e-02    2.042832e-05
  3.285594e-02    1.938125e-05
  3.315487e-02    1.835842e-05
  3.345380e-02    1.740761e-05
  3.375273e-02    1.644033e-05
  3.405166e-02    1.560935e-05
  3.435059e-02    1.482801e-05
  3.464952e-02    1.400911e-05
  3.494845e-02    1.335980e-05
  3.524738e-02    1.274415e-05
  3.554631e-02    1.214781e-05
  3.584524e-02    1.160401e-05
  3.614417e-02    1.106915e-05
  3.644310e-02    1.057930e-05
  3.674204e-02    1.013092e-05
  3.704097e-02    9.703812e-06
  3.733990e-02    9.334545e-06
  3.763883e-02    8.956209e-06
  3.793776e-02    8.657012e-06
  3.823669e-02    8.315890e-06
  3.853562e-02    8.050912e-06
  3.883455e-02    7.815823e-06
  3.913348e-02    7.586516e-06
  3.943241e-02    7.345504e-06
  3.973134e-02    7.085468e-06
