# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 15475720.8
# --> AL_F127_220226_fb27b3d6-97aa-425f-843f-57d624e2d69f_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.497705e-03
  4.756484e-03    1.194315e-03
  5.055415e-03    8.721656e-04
  5.354345e-03    6.373036e-04
  5.653276e-03    5.121193e-04
  5.952206e-03    9.099605e-04
  6.251136e-03    8.367892e-04
  6.550067e-03    7.273369e-04
  6.848997e-03    6.176121e-04
  7.147927e-03    5.205012e-04
  7.446858e-03    4.435383e-04
  7.745788e-03    3.793186e-04
  8.044719e-03    3.264735e-04
  8.343649e-03    2.840496e-04
  8.642579e-03    2.483089e-04
  8.941510e-03    2.181561e-04
  9.240440e-03    1.923762e-04
  9.539371e-03    1.707235e-04
  9.838301e-03    1.522667e-04
  1.013723e-02    1.362142e-04
  1.043616e-02    1.222991e-04
  1.073509e-02    1.100335e-04
  1.103402e-02    9.980029e-05
  1.133295e-02    9.027908e-05
  1.163188e-02    8.226451e-05
  1.193081e-02    7.544072e-05
  1.222974e-02    6.901813e-05
  1.252867e-02    6.336836e-05
  1.282760e-02    5.821742e-05
  1.312654e-02    5.360767e-05
  1.342547e-02    4.966639e-05
  1.372440e-02    4.615652e-05
  1.402333e-02    4.299240e-05
  1.432226e-02    4.005535e-05
  1.462119e-02    3.740428e-05
  1.492012e-02    3.497679e-05
  1.521905e-02    3.282713e-05
  1.551798e-02    3.089436e-05
  1.581691e-02    2.906602e-05
  1.611584e-02    2.749312e-05
  1.641477e-02    2.609544e-05
  1.671370e-02    2.471408e-05
  1.701263e-02    2.341126e-05
  1.731156e-02    2.235109e-05
  1.761049e-02    2.126752e-05
  1.790942e-02    2.026762e-05
  1.820835e-02    1.943357e-05
  1.850728e-02    1.865098e-05
  1.880621e-02    1.795285e-05
  1.910514e-02    1.726664e-05
  1.940407e-02    1.655219e-05
  1.970300e-02    1.600430e-05
  2.000193e-02    1.557524e-05
  2.030086e-02    1.519236e-05
  2.059979e-02    1.476227e-05
  2.089873e-02    1.436493e-05
  2.119766e-02    1.391614e-05
  2.149659e-02    1.361731e-05
  2.179552e-02    1.339369e-05
  2.209445e-02    1.316038e-05
  2.239338e-02    1.287550e-05
  2.269231e-02    1.261298e-05
  2.299124e-02    1.241308e-05
  2.329017e-02    1.228862e-05
  2.358910e-02    1.217583e-05
