# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 456351.4
# --> AL_F127_220226_ff419ac9-bbd1-4166-b825-fd33381f81b7_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    7.495329e-03
  4.756484e-03    5.886822e-03
  5.055415e-03    4.102423e-03
  5.354345e-03    2.632355e-03
  5.653276e-03    1.810609e-03
  5.952206e-03    2.316649e-03
  6.251136e-03    2.067856e-03
  6.550067e-03    1.827061e-03
  6.848997e-03    1.591035e-03
  7.147927e-03    1.375457e-03
  7.446858e-03    1.202658e-03
  7.745788e-03    1.061606e-03
  8.044719e-03    9.464118e-04
  8.343649e-03    8.499708e-04
  8.642579e-03    7.659858e-04
  8.941510e-03    7.044876e-04
  9.240440e-03    6.479030e-04
  9.539371e-03    5.982774e-04
  9.838301e-03    5.593880e-04
  1.013723e-02    5.245992e-04
  1.043616e-02    4.952197e-04
  1.073509e-02    4.686585e-04
  1.103402e-02    4.435002e-04
  1.133295e-02    4.257776e-04
  1.163188e-02    4.128069e-04
  1.193081e-02    4.002131e-04
  1.222974e-02    3.912615e-04
  1.252867e-02    3.789294e-04
  1.282760e-02    3.707779e-04
  1.312654e-02    3.650804e-04
  1.342547e-02    3.599009e-04
  1.372440e-02    3.541354e-04
  1.402333e-02    3.504124e-04
  1.432226e-02    3.479267e-04
  1.462119e-02    3.464643e-04
  1.492012e-02    3.468825e-04
  1.521905e-02    3.466611e-04
  1.551798e-02    3.479520e-04
  1.581691e-02    3.492406e-04
  1.611584e-02    3.506028e-04
  1.641477e-02    3.535218e-04
  1.671370e-02    3.557292e-04
  1.701263e-02    3.617210e-04
  1.731156e-02    3.699278e-04
  1.761049e-02    3.744792e-04
  1.790942e-02    3.796385e-04
  1.820835e-02    3.875970e-04
  1.850728e-02    3.951142e-04
  1.880621e-02    4.022122e-04
  1.910514e-02    4.123370e-04
  1.940407e-02    4.224857e-04
  1.970300e-02    4.334827e-04
  2.000193e-02    4.450712e-04
  2.030086e-02    4.597081e-04
  2.059979e-02    4.748778e-04
  2.089873e-02    4.893669e-04
  2.119766e-02    5.028693e-04
  2.149659e-02    5.176718e-04
  2.179552e-02    5.351730e-04
  2.209445e-02    5.549018e-04
  2.239338e-02    5.734367e-04
  2.269231e-02    5.938925e-04
  2.299124e-02    6.121138e-04
  2.329017e-02    6.309212e-04
  2.358910e-02    6.533750e-04
  2.388803e-02    6.730005e-04
  2.418696e-02    6.917765e-04
  2.448589e-02    7.110896e-04
  2.478482e-02    7.307361e-04
  2.508375e-02    7.485629e-04
  2.538268e-02    7.665048e-04
  2.568161e-02    7.812334e-04
  2.598054e-02    7.941623e-04
  2.627947e-02    8.042711e-04
  2.657840e-02    8.121352e-04
  2.687733e-02    8.186699e-04
  2.717626e-02    8.217636e-04
  2.747519e-02    8.218059e-04
  2.777412e-02    8.196306e-04
  2.807305e-02    8.163703e-04
  2.837198e-02    8.026846e-04
  2.867092e-02    7.906932e-04
  2.896985e-02    7.795335e-04
  2.926878e-02    7.621967e-04
  2.956771e-02    7.427899e-04
  2.986664e-02    7.226527e-04
  3.016557e-02    6.989433e-04
  3.046450e-02    6.760423e-04
  3.076343e-02    6.549173e-04
  3.106236e-02    6.282835e-04
  3.136129e-02    6.024091e-04
  3.166022e-02    5.750979e-04
  3.195915e-02    5.501807e-04
  3.225808e-02    5.255740e-04
  3.255701e-02    5.016123e-04
  3.285594e-02    4.790037e-04
  3.315487e-02    4.583374e-04
  3.345380e-02    4.350166e-04
  3.375273e-02    4.139606e-04
  3.405166e-02    3.946712e-04
  3.435059e-02    3.763523e-04
  3.464952e-02    3.586019e-04
  3.494845e-02    3.413686e-04
  3.524738e-02    3.274343e-04
  3.554631e-02    3.131376e-04
  3.584524e-02    2.992430e-04
  3.614417e-02    2.855169e-04
  3.644310e-02    2.719557e-04
  3.674204e-02    2.604974e-04
  3.704097e-02    2.510654e-04
  3.733990e-02    2.409618e-04
  3.763883e-02    2.317993e-04
  3.793776e-02    2.236307e-04
  3.823669e-02    2.141639e-04
  3.853562e-02    2.070079e-04
  3.883455e-02    1.997942e-04
  3.913348e-02    1.912958e-04
  3.943241e-02    1.842497e-04
  3.973134e-02    1.798848e-04
  4.003027e-02    1.744426e-04
  4.032920e-02    1.685727e-04
  4.062813e-02    1.632578e-04
  4.092706e-02    1.588801e-04
