# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 30640861.0
# --> AL_F127_220228_32670c12-3a67-4c6a-a1a6-0fd1b8e1467b_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.348185e-03
  4.756484e-03    1.072153e-03
  5.055415e-03    7.771043e-04
  5.354345e-03    5.538385e-04
  5.653276e-03    4.329889e-04
  5.952206e-03    7.070819e-04
  6.251136e-03    6.421520e-04
  6.550067e-03    5.520096e-04
  6.848997e-03    4.664334e-04
  7.147927e-03    3.928783e-04
  7.446858e-03    3.351676e-04
  7.745788e-03    2.875690e-04
  8.044719e-03    2.480544e-04
  8.343649e-03    2.167176e-04
  8.642579e-03    1.897509e-04
  8.941510e-03    1.670986e-04
  9.240440e-03    1.477637e-04
  9.539371e-03    1.311795e-04
  9.838301e-03    1.169839e-04
  1.013723e-02    1.049060e-04
  1.043616e-02    9.444907e-05
  1.073509e-02    8.512031e-05
  1.103402e-02    7.709745e-05
  1.133295e-02    7.021202e-05
  1.163188e-02    6.388478e-05
  1.193081e-02    5.834869e-05
  1.222974e-02    5.344936e-05
  1.252867e-02    4.902340e-05
  1.282760e-02    4.515149e-05
  1.312654e-02    4.182940e-05
  1.342547e-02    3.867957e-05
  1.372440e-02    3.582207e-05
  1.402333e-02    3.331640e-05
  1.432226e-02    3.104615e-05
  1.462119e-02    2.893512e-05
  1.492012e-02    2.701346e-05
  1.521905e-02    2.533110e-05
  1.551798e-02    2.388693e-05
  1.581691e-02    2.247820e-05
  1.611584e-02    2.110202e-05
  1.641477e-02    1.990567e-05
  1.671370e-02    1.878294e-05
  1.701263e-02    1.777823e-05
  1.731156e-02    1.688740e-05
  1.761049e-02    1.609065e-05
  1.790942e-02    1.532385e-05
  1.820835e-02    1.466026e-05
  1.850728e-02    1.402173e-05
  1.880621e-02    1.338615e-05
  1.910514e-02    1.280182e-05
  1.940407e-02    1.225131e-05
  1.970300e-02    1.174562e-05
  2.000193e-02    1.132008e-05
  2.030086e-02    1.091691e-05
  2.059979e-02    1.054230e-05
  2.089873e-02    1.017404e-05
  2.119766e-02    9.819681e-06
  2.149659e-02    9.494272e-06
  2.179552e-02    9.190423e-06
  2.209445e-02    8.905253e-06
  2.239338e-02    8.639691e-06
  2.269231e-02    8.428489e-06
  2.299124e-02    8.217134e-06
  2.329017e-02    7.980991e-06
  2.358910e-02    7.778428e-06
  2.388803e-02    7.580026e-06
  2.418696e-02    7.405183e-06
  2.448589e-02    7.239088e-06
  2.478482e-02    7.083025e-06
  2.508375e-02    6.962017e-06
