# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 18467893.200000003
# --> AL_F127_220228_389c7d5d-ee7b-437a-a95a-09af3fe05338_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.181903e-03
  4.756484e-03    9.336192e-04
  5.055415e-03    6.670241e-04
  5.354345e-03    4.611749e-04
  5.653276e-03    3.505418e-04
  5.952206e-03    5.592488e-04
  6.251136e-03    5.104737e-04
  6.550067e-03    4.439979e-04
  6.848997e-03    3.781884e-04
  7.147927e-03    3.193901e-04
  7.446858e-03    2.723392e-04
  7.745788e-03    2.337525e-04
  8.044719e-03    2.012494e-04
  8.343649e-03    1.757964e-04
  8.642579e-03    1.533404e-04
  8.941510e-03    1.348561e-04
  9.240440e-03    1.197196e-04
  9.539371e-03    1.064740e-04
  9.838301e-03    9.482084e-05
  1.013723e-02    8.491443e-05
  1.043616e-02    7.628398e-05
  1.073509e-02    6.854643e-05
  1.103402e-02    6.210464e-05
  1.133295e-02    5.648016e-05
  1.163188e-02    5.149345e-05
  1.193081e-02    4.708444e-05
  1.222974e-02    4.310115e-05
  1.252867e-02    3.950845e-05
  1.282760e-02    3.643558e-05
  1.312654e-02    3.364170e-05
  1.342547e-02    3.121645e-05
  1.372440e-02    2.890190e-05
  1.402333e-02    2.679326e-05
  1.432226e-02    2.488692e-05
  1.462119e-02    2.324977e-05
  1.492012e-02    2.175091e-05
  1.521905e-02    2.040177e-05
  1.551798e-02    1.913966e-05
  1.581691e-02    1.799472e-05
  1.611584e-02    1.697537e-05
  1.641477e-02    1.595900e-05
  1.671370e-02    1.511864e-05
  1.701263e-02    1.428768e-05
  1.731156e-02    1.350601e-05
  1.761049e-02    1.287804e-05
  1.790942e-02    1.226322e-05
  1.820835e-02    1.167392e-05
  1.850728e-02    1.116811e-05
  1.880621e-02    1.070325e-05
  1.910514e-02    1.027702e-05
  1.940407e-02    9.896710e-06
  1.970300e-02    9.472972e-06
  2.000193e-02    9.073689e-06
  2.030086e-02    8.779978e-06
  2.059979e-02    8.476242e-06
  2.089873e-02    8.202506e-06
  2.119766e-02    7.924986e-06
  2.149659e-02    7.710206e-06
  2.179552e-02    7.444973e-06
  2.209445e-02    7.171299e-06
  2.239338e-02    6.935917e-06
  2.269231e-02    6.747112e-06
  2.299124e-02    6.597433e-06
  2.329017e-02    6.442155e-06
  2.358910e-02    6.297641e-06
  2.388803e-02    6.161441e-06
  2.418696e-02    6.011972e-06
  2.448589e-02    5.878672e-06
  2.478482e-02    5.760311e-06
  2.508375e-02    5.626572e-06
  2.538268e-02    5.535434e-06
  2.568161e-02    5.462293e-06
  2.598054e-02    5.374475e-06
  2.627947e-02    5.293363e-06
  2.657840e-02    5.167287e-06
  2.687733e-02    5.084223e-06
  2.717626e-02    5.004138e-06
  2.747519e-02    4.928293e-06
  2.777412e-02    4.850071e-06
  2.807305e-02    4.779401e-06
  2.837198e-02    4.743528e-06
  2.867092e-02    4.665895e-06
  2.896985e-02    4.601134e-06
  2.926878e-02    4.529978e-06
  2.956771e-02    4.512172e-06
  2.986664e-02    4.459305e-06
  3.016557e-02    4.382330e-06
  3.046450e-02    4.343563e-06
  3.076343e-02    4.336805e-06
  3.106236e-02    4.302296e-06
  3.136129e-02    4.240932e-06
  3.166022e-02    4.198541e-06
  3.195915e-02    4.151408e-06
  3.225808e-02    4.091725e-06
  3.255701e-02    4.060455e-06
  3.285594e-02    4.050256e-06
