# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 19823327.8
# --> AL_F127_220228_3d2e583e-0833-47f5-9181-9a803e6eb033_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.700821e-03
  4.756484e-03    1.329055e-03
  5.055415e-03    9.457807e-04
  5.354345e-03    6.628803e-04
  5.653276e-03    5.153705e-04
  5.952206e-03    8.516521e-04
  6.251136e-03    7.766593e-04
  6.550067e-03    6.709284e-04
  6.848997e-03    5.684277e-04
  7.147927e-03    4.794735e-04
  7.446858e-03    4.087504e-04
  7.745788e-03    3.503247e-04
  8.044719e-03    3.014330e-04
  8.343649e-03    2.633109e-04
  8.642579e-03    2.305167e-04
  8.941510e-03    2.026016e-04
  9.240440e-03    1.795182e-04
  9.539371e-03    1.598608e-04
  9.838301e-03    1.426951e-04
  1.013723e-02    1.278482e-04
  1.043616e-02    1.149545e-04
  1.073509e-02    1.033719e-04
  1.103402e-02    9.388016e-05
  1.133295e-02    8.551643e-05
  1.163188e-02    7.802957e-05
  1.193081e-02    7.119711e-05
  1.222974e-02    6.547704e-05
  1.252867e-02    6.034821e-05
  1.282760e-02    5.546255e-05
  1.312654e-02    5.127015e-05
  1.342547e-02    4.764535e-05
  1.372440e-02    4.428944e-05
  1.402333e-02    4.109231e-05
  1.432226e-02    3.838721e-05
  1.462119e-02    3.590132e-05
  1.492012e-02    3.360067e-05
  1.521905e-02    3.143585e-05
  1.551798e-02    2.965986e-05
  1.581691e-02    2.792563e-05
  1.611584e-02    2.632164e-05
  1.641477e-02    2.485187e-05
  1.671370e-02    2.353284e-05
  1.701263e-02    2.238467e-05
  1.731156e-02    2.127079e-05
  1.761049e-02    2.025528e-05
  1.790942e-02    1.922183e-05
  1.820835e-02    1.835257e-05
  1.850728e-02    1.758723e-05
  1.880621e-02    1.687685e-05
  1.910514e-02    1.613384e-05
  1.940407e-02    1.544644e-05
  1.970300e-02    1.489830e-05
  2.000193e-02    1.434925e-05
  2.030086e-02    1.389220e-05
  2.059979e-02    1.348798e-05
  2.089873e-02    1.296629e-05
  2.119766e-02    1.249574e-05
  2.149659e-02    1.210646e-05
  2.179552e-02    1.173525e-05
  2.209445e-02    1.143519e-05
  2.239338e-02    1.112064e-05
  2.269231e-02    1.077149e-05
  2.299124e-02    1.050108e-05
  2.329017e-02    1.024790e-05
  2.358910e-02    9.966046e-06
  2.388803e-02    9.772499e-06
  2.418696e-02    9.544056e-06
  2.448589e-02    9.306155e-06
  2.478482e-02    9.125409e-06
  2.508375e-02    8.974494e-06
  2.538268e-02    8.807175e-06
  2.568161e-02    8.662068e-06
  2.598054e-02    8.492862e-06
  2.627947e-02    8.324811e-06
  2.657840e-02    8.233547e-06
  2.687733e-02    8.128354e-06
  2.717626e-02    7.969333e-06
  2.747519e-02    7.853509e-06
  2.777412e-02    7.773733e-06
  2.807305e-02    7.641585e-06
  2.837198e-02    7.495847e-06
  2.867092e-02    7.419597e-06
  2.896985e-02    7.341412e-06
  2.926878e-02    7.243314e-06
  2.956771e-02    7.154193e-06
  2.986664e-02    7.079964e-06
  3.016557e-02    6.992027e-06
  3.046450e-02    6.899753e-06
  3.076343e-02    6.846609e-06
  3.106236e-02    6.781491e-06
  3.136129e-02    6.689569e-06
  3.166022e-02    6.666255e-06
  3.195915e-02    6.619189e-06
  3.225808e-02    6.543781e-06
  3.255701e-02    6.485121e-06
  3.285594e-02    6.396230e-06
  3.315487e-02    6.339534e-06
  3.345380e-02    6.288021e-06
  3.375273e-02    6.228654e-06
  3.405166e-02    6.157790e-06
  3.435059e-02    6.125496e-06
  3.464952e-02    6.068513e-06
  3.494845e-02    6.028155e-06
  3.524738e-02    5.990109e-06
  3.554631e-02    5.939439e-06
  3.584524e-02    5.912649e-06
  3.614417e-02    5.868800e-06
  3.644310e-02    5.785516e-06
  3.674204e-02    5.757437e-06
  3.704097e-02    5.735037e-06
  3.733990e-02    5.653601e-06
  3.763883e-02    5.607432e-06
  3.793776e-02    5.572997e-06
  3.823669e-02    5.526856e-06
  3.853562e-02    5.507745e-06
  3.883455e-02    5.469646e-06
  3.913348e-02    5.443267e-06
  3.943241e-02    5.402555e-06
  3.973134e-02    5.371842e-06
  4.003027e-02    5.364119e-06
  4.032920e-02    5.324046e-06
  4.062813e-02    5.323816e-06
  4.092706e-02    5.332480e-06
  4.122599e-02    5.300364e-06
