# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 2007453.1999999997
# --> AL_F127_220228_3e7741a7-c79f-41cb-b0fd-baab8bb09ff7_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.241741e-03
  4.756484e-03    1.723806e-03
  5.055415e-03    1.222573e-03
  5.354345e-03    8.628483e-04
  5.653276e-03    6.723945e-04
  5.952206e-03    1.000259e-03
  6.251136e-03    9.193563e-04
  6.550067e-03    8.074418e-04
  6.848997e-03    6.902039e-04
  7.147927e-03    5.855612e-04
  7.446858e-03    5.022357e-04
  7.745788e-03    4.338879e-04
  8.044719e-03    3.746615e-04
  8.343649e-03    3.269649e-04
  8.642579e-03    2.884290e-04
  8.941510e-03    2.545935e-04
  9.240440e-03    2.264544e-04
  9.539371e-03    2.014097e-04
  9.838301e-03    1.783580e-04
  1.013723e-02    1.608845e-04
  1.043616e-02    1.455183e-04
  1.073509e-02    1.313785e-04
  1.103402e-02    1.194801e-04
  1.133295e-02    1.081577e-04
  1.163188e-02    9.926421e-05
  1.193081e-02    9.006670e-05
  1.222974e-02    8.263020e-05
  1.252867e-02    7.600622e-05
  1.282760e-02    6.984005e-05
  1.312654e-02    6.400971e-05
  1.342547e-02    5.987880e-05
  1.372440e-02    5.539967e-05
  1.402333e-02    5.085534e-05
  1.432226e-02    4.759793e-05
  1.462119e-02    4.462279e-05
  1.492012e-02    4.152936e-05
  1.521905e-02    3.877743e-05
