# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 16472068.8
# --> AL_F127_220228_5634dfe5-e104-4b58-89d8-b934f405ba25_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    9.023221e-04
  4.756484e-03    7.056533e-04
  5.055415e-03    4.967837e-04
  5.354345e-03    3.420897e-04
  5.653276e-03    2.598861e-04
  5.952206e-03    4.167912e-04
  6.251136e-03    3.810717e-04
  6.550067e-03    3.322975e-04
  6.848997e-03    2.831731e-04
  7.147927e-03    2.393404e-04
  7.446858e-03    2.043918e-04
  7.745788e-03    1.749999e-04
  8.044719e-03    1.506091e-04
  8.343649e-03    1.313262e-04
  8.642579e-03    1.147334e-04
  8.941510e-03    1.008136e-04
  9.240440e-03    8.946427e-05
  9.539371e-03    7.950806e-05
  9.838301e-03    7.086556e-05
  1.013723e-02    6.337542e-05
  1.043616e-02    5.705895e-05
  1.073509e-02    5.141132e-05
  1.103402e-02    4.648521e-05
  1.133295e-02    4.211280e-05
  1.163188e-02    3.831217e-05
  1.193081e-02    3.514248e-05
  1.222974e-02    3.214600e-05
  1.252867e-02    2.950044e-05
  1.282760e-02    2.726493e-05
  1.312654e-02    2.512546e-05
  1.342547e-02    2.328832e-05
  1.372440e-02    2.154900e-05
  1.402333e-02    2.000659e-05
  1.432226e-02    1.863864e-05
  1.462119e-02    1.739943e-05
  1.492012e-02    1.625559e-05
  1.521905e-02    1.519628e-05
  1.551798e-02    1.426972e-05
  1.581691e-02    1.343088e-05
  1.611584e-02    1.262084e-05
  1.641477e-02    1.189364e-05
  1.671370e-02    1.122389e-05
  1.701263e-02    1.065414e-05
  1.731156e-02    1.016234e-05
  1.761049e-02    9.673759e-06
