# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 8527749.8
# --> AL_F127_220228_5ff1f8aa-0531-45d4-8532-d2ccd66187ca_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.953892e-03
  4.756484e-03    1.525977e-03
  5.055415e-03    1.069193e-03
  5.354345e-03    7.304107e-04
  5.653276e-03    5.487875e-04
  5.952206e-03    8.663511e-04
  6.251136e-03    7.912918e-04
  6.550067e-03    6.903677e-04
  6.848997e-03    5.892938e-04
  7.147927e-03    4.990792e-04
  7.446858e-03    4.264511e-04
  7.745788e-03    3.649607e-04
  8.044719e-03    3.141249e-04
  8.343649e-03    2.739696e-04
  8.642579e-03    2.396224e-04
  8.941510e-03    2.108120e-04
  9.240440e-03    1.868820e-04
  9.539371e-03    1.659481e-04
  9.838301e-03    1.476742e-04
  1.013723e-02    1.318420e-04
  1.043616e-02    1.186214e-04
  1.073509e-02    1.068155e-04
  1.103402e-02    9.660744e-05
  1.133295e-02    8.751502e-05
  1.163188e-02    7.985739e-05
  1.193081e-02    7.315738e-05
  1.222974e-02    6.717190e-05
  1.252867e-02    6.180510e-05
  1.282760e-02    5.686481e-05
  1.312654e-02    5.238655e-05
  1.342547e-02    4.859211e-05
  1.372440e-02    4.489918e-05
  1.402333e-02    4.165408e-05
  1.432226e-02    3.901366e-05
  1.462119e-02    3.637428e-05
  1.492012e-02    3.374381e-05
  1.521905e-02    3.154594e-05
  1.551798e-02    2.968221e-05
  1.581691e-02    2.796351e-05
  1.611584e-02    2.624597e-05
  1.641477e-02    2.472198e-05
  1.671370e-02    2.348142e-05
  1.701263e-02    2.227289e-05
  1.731156e-02    2.128684e-05
  1.761049e-02    2.020048e-05
  1.790942e-02    1.921340e-05
  1.820835e-02    1.842240e-05
  1.850728e-02    1.756123e-05
  1.880621e-02    1.681030e-05
  1.910514e-02    1.609124e-05
  1.940407e-02    1.548178e-05
  1.970300e-02    1.492953e-05
  2.000193e-02    1.437846e-05
  2.030086e-02    1.378049e-05
  2.059979e-02    1.326853e-05
  2.089873e-02    1.296689e-05
  2.119766e-02    1.248323e-05
  2.149659e-02    1.216236e-05
  2.179552e-02    1.179889e-05
  2.209445e-02    1.144217e-05
  2.239338e-02    1.120851e-05
  2.269231e-02    1.086245e-05
  2.299124e-02    1.054908e-05
  2.329017e-02    1.028789e-05
  2.358910e-02    1.001818e-05
  2.388803e-02    9.703265e-06
  2.418696e-02    9.499835e-06
  2.448589e-02    9.339232e-06
  2.478482e-02    9.228621e-06
  2.508375e-02    8.977140e-06
  2.538268e-02    8.801750e-06
  2.568161e-02    8.718357e-06
  2.598054e-02    8.587744e-06
  2.627947e-02    8.462203e-06
  2.657840e-02    8.276575e-06
  2.687733e-02    8.101717e-06
  2.717626e-02    7.976905e-06
  2.747519e-02    7.890150e-06
  2.777412e-02    7.787005e-06
  2.807305e-02    7.667191e-06
  2.837198e-02    7.564141e-06
  2.867092e-02    7.513327e-06
  2.896985e-02    7.432213e-06
  2.926878e-02    7.336067e-06
  2.956771e-02    7.249991e-06
  2.986664e-02    7.220350e-06
  3.016557e-02    7.092136e-06
  3.046450e-02    7.001482e-06
  3.076343e-02    6.960259e-06
  3.106236e-02    6.917160e-06
  3.136129e-02    6.848183e-06
  3.166022e-02    6.843947e-06
  3.195915e-02    6.767281e-06
  3.225808e-02    6.694907e-06
  3.255701e-02    6.626931e-06
  3.285594e-02    6.577020e-06
  3.315487e-02    6.507580e-06
  3.345380e-02    6.491413e-06
  3.375273e-02    6.409474e-06
  3.405166e-02    6.305678e-06
  3.435059e-02    6.284265e-06
  3.464952e-02    6.279010e-06
  3.494845e-02    6.202638e-06
  3.524738e-02    6.125180e-06
  3.554631e-02    6.033191e-06
  3.584524e-02    5.930320e-06
  3.614417e-02    5.909644e-06
  3.644310e-02    5.915418e-06
  3.674204e-02    5.833064e-06
  3.704097e-02    5.764581e-06
  3.733990e-02    5.751691e-06
  3.763883e-02    5.717868e-06
  3.793776e-02    5.681628e-06
  3.823669e-02    5.623756e-06
  3.853562e-02    5.539393e-06
  3.883455e-02    5.510999e-06
  3.913348e-02    5.512065e-06
  3.943241e-02    5.486443e-06
  3.973134e-02    5.501284e-06
  4.003027e-02    5.505816e-06
  4.032920e-02    5.472358e-06
  4.062813e-02    5.415146e-06
  4.092706e-02    5.334239e-06
  4.122599e-02    5.325794e-06
  4.152492e-02    5.288599e-06
  4.182385e-02    5.209457e-06
  4.212278e-02    5.221477e-06
  4.242171e-02    5.248494e-06
  4.272064e-02    5.246480e-06
  4.301957e-02    5.223468e-06
  4.331850e-02    5.174382e-06
  4.361743e-02    5.137378e-06
  4.391636e-02    5.131668e-06
  4.421529e-02    5.145409e-06
  4.451423e-02    5.131635e-06
  4.481316e-02    5.108685e-06
  4.511209e-02    5.089022e-06
  4.541102e-02    5.114769e-06
  4.570995e-02    5.125983e-06
  4.600888e-02    5.087718e-06
  4.630781e-02    5.070185e-06
  4.660674e-02    5.086938e-06
  4.690567e-02    5.090838e-06
  4.720460e-02    5.137416e-06
  4.750353e-02    5.125342e-06
  4.780246e-02    5.052396e-06
  4.810139e-02    5.055261e-06
  4.840032e-02    5.071231e-06
  4.869925e-02    5.057017e-06
  4.899818e-02    5.017979e-06
  4.929711e-02    5.026331e-06
  4.959604e-02    5.041454e-06
  4.989497e-02    5.053568e-06
  5.019390e-02    5.014123e-06
  5.049283e-02    5.048844e-06
  5.079176e-02    5.031435e-06
  5.109069e-02    5.058400e-06
  5.138962e-02    5.144144e-06
  5.168855e-02    5.247149e-06
  5.198748e-02    5.334590e-06
  5.228642e-02    5.273266e-06
  5.258535e-02    5.076675e-06
  5.288428e-02    4.999337e-06
  5.318321e-02    5.009314e-06
  5.348214e-02    5.026870e-06
  5.378107e-02    5.006144e-06
  5.408000e-02    4.999357e-06
  5.437893e-02    5.023441e-06
  5.467786e-02    5.003552e-06
  5.497679e-02    5.016347e-06
  5.527572e-02    5.018229e-06
  5.557465e-02    5.043637e-06
  5.587358e-02    5.005350e-06
  5.617251e-02    5.028991e-06
  5.647144e-02    5.006737e-06
  5.677037e-02    4.983868e-06
  5.706930e-02    4.991965e-06
  5.736823e-02    5.014856e-06
  5.766716e-02    5.012263e-06
  5.796609e-02    4.995846e-06
  5.826502e-02    5.027024e-06
  5.856395e-02    5.048977e-06
  5.886288e-02    5.042697e-06
  5.916181e-02    5.037126e-06
  5.946074e-02    5.054022e-06
  5.975967e-02    5.086052e-06
  6.005861e-02    5.092741e-06
  6.035754e-02    5.110296e-06
  6.065647e-02    5.107449e-06
  6.095540e-02    5.164024e-06
  6.125433e-02    5.242600e-06
  6.155326e-02    5.256752e-06
  6.185219e-02    5.169797e-06
  6.215112e-02    5.096738e-06
  6.245005e-02    5.056752e-06
  6.274898e-02    5.076014e-06
  6.304791e-02    5.104309e-06
  6.334684e-02    5.112026e-06
  6.364577e-02    5.115341e-06
  6.394470e-02    5.112979e-06
  6.424363e-02    5.095288e-06
  6.454256e-02    5.127191e-06
  6.484149e-02    5.130149e-06
  6.514042e-02    5.136576e-06
  6.543935e-02    5.109094e-06
  6.573828e-02    5.125555e-06
  6.603721e-02    5.157979e-06
  6.633614e-02    5.191661e-06
  6.663507e-02    5.196137e-06
  6.693400e-02    5.161363e-06
  6.723293e-02    5.191305e-06
  6.753186e-02    5.238361e-06
  6.783080e-02    5.235560e-06
  6.812973e-02    5.234157e-06
  6.842866e-02    5.248373e-06
  6.872759e-02    5.260662e-06
  6.902652e-02    5.243628e-06
  6.932545e-02    5.245560e-06
  6.962438e-02    5.257271e-06
  6.992331e-02    5.242769e-06
  7.022224e-02    5.252870e-06
  7.052117e-02    5.281195e-06
  7.082010e-02    5.285185e-06
  7.111903e-02    5.297950e-06
  7.141796e-02    5.317580e-06
  7.171689e-02    5.320279e-06
  7.201582e-02    5.281016e-06
  7.231475e-02    5.295834e-06
  7.261368e-02    5.335739e-06
  7.291261e-02    5.329295e-06
  7.321154e-02    5.334226e-06
  7.351047e-02    5.318046e-06
  7.380940e-02    5.345205e-06
  7.410833e-02    5.357995e-06
  7.440726e-02    5.325083e-06
  7.470619e-02    5.337456e-06
  7.500512e-02    5.358280e-06
  7.530405e-02    5.366802e-06
  7.560299e-02    5.336273e-06
  7.590192e-02    5.339160e-06
  7.620085e-02    5.359882e-06
  7.649978e-02    5.317018e-06
  7.679871e-02    5.281832e-06
  7.709764e-02    5.306679e-06
  7.739657e-02    5.349212e-06
  7.769550e-02    5.342347e-06
  7.799443e-02    5.340728e-06
  7.829336e-02    5.304659e-06
  7.859229e-02    5.280808e-06
  7.889122e-02    5.285874e-06
  7.919015e-02    5.311621e-06
  7.948908e-02    5.291676e-06
  7.978801e-02    5.305383e-06
  8.008694e-02    5.315929e-06
  8.038587e-02    5.291076e-06
  8.068480e-02    5.293282e-06
  8.098373e-02    5.292371e-06
  8.128266e-02    5.273525e-06
  8.158159e-02    5.287588e-06
  8.188052e-02    5.288193e-06
  8.217945e-02    5.260302e-06
  8.247838e-02    5.258462e-06
  8.277731e-02    5.256646e-06
  8.307624e-02    5.245577e-06
  8.337518e-02    5.274714e-06
  8.367411e-02    5.272196e-06
  8.397304e-02    5.263428e-06
  8.427197e-02    5.206766e-06
  8.457090e-02    5.179317e-06
  8.486983e-02    5.195976e-06
  8.516876e-02    5.191035e-06
  8.546769e-02    5.160288e-06
  8.576662e-02    5.177070e-06
  8.606555e-02    5.180834e-06
  8.636448e-02    5.153675e-06
  8.666341e-02    5.141887e-06
  8.696234e-02    5.137254e-06
  8.726127e-02    5.123211e-06
  8.756020e-02    5.106872e-06
  8.785913e-02    5.146241e-06
  8.815806e-02    5.142247e-06
  8.845699e-02    5.123390e-06
  8.875592e-02    5.101168e-06
  8.905485e-02    5.083583e-06
  8.935378e-02    5.056961e-06
  8.965271e-02    5.079001e-06
  8.995164e-02    5.081406e-06
  9.025057e-02    5.046463e-06
  9.054950e-02    5.040927e-06
  9.084843e-02    5.053169e-06
  9.114737e-02    5.056054e-06
  9.144630e-02    5.018598e-06
  9.174523e-02    4.978653e-06
  9.204416e-02    4.981339e-06
  9.234309e-02    4.975769e-06
  9.264202e-02    4.976775e-06
  9.294095e-02    4.940430e-06
  9.323988e-02    4.951100e-06
  9.353881e-02    4.949435e-06
  9.383774e-02    4.910392e-06
  9.413667e-02    4.909459e-06
  9.443560e-02    4.909590e-06
  9.473453e-02    4.918282e-06
  9.503346e-02    4.915039e-06
  9.533239e-02    4.887296e-06
  9.563132e-02    4.879196e-06
  9.593025e-02    4.888871e-06
  9.622918e-02    4.888167e-06
  9.652811e-02    4.894477e-06
  9.682704e-02    4.915309e-06
  9.712597e-02    4.946298e-06
  9.742490e-02    4.914290e-06
  9.772383e-02    4.877840e-06
  9.802276e-02    4.850755e-06
  9.832169e-02    4.831968e-06
  9.862062e-02    4.812739e-06
  9.891956e-02    4.782490e-06
  9.921849e-02    4.763435e-06
  9.951742e-02    4.739540e-06
  9.981635e-02    4.713505e-06
  1.001153e-01    4.715197e-06
  1.004142e-01    4.712103e-06
  1.007131e-01    4.692145e-06
  1.010121e-01    4.701039e-06
  1.013110e-01    4.715495e-06
  1.016099e-01    4.699826e-06
  1.019089e-01    4.683600e-06
  1.022078e-01    4.675162e-06
  1.025067e-01    4.652011e-06
  1.028057e-01    4.636200e-06
