# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 5922819.600000001
# --> AL_F127_220228_7768525f-0d18-43ba-8b75-555e00916c76_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.046658e-03
  4.756484e-03    1.581195e-03
  5.055415e-03    1.100735e-03
  5.354345e-03    7.560750e-04
  5.653276e-03    5.687989e-04
  5.952206e-03    8.977208e-04
  6.251136e-03    8.209884e-04
  6.550067e-03    7.164641e-04
  6.848997e-03    6.109300e-04
  7.147927e-03    5.177753e-04
  7.446858e-03    4.411262e-04
  7.745788e-03    3.765641e-04
  8.044719e-03    3.242878e-04
  8.343649e-03    2.836096e-04
  8.642579e-03    2.484178e-04
  8.941510e-03    2.181478e-04
  9.240440e-03    1.931426e-04
  9.539371e-03    1.718699e-04
  9.838301e-03    1.527387e-04
  1.013723e-02    1.366660e-04
  1.043616e-02    1.227268e-04
  1.073509e-02    1.099712e-04
  1.103402e-02    9.995836e-05
  1.133295e-02    9.041524e-05
  1.163188e-02    8.235977e-05
  1.193081e-02    7.590223e-05
  1.222974e-02    6.903077e-05
  1.252867e-02    6.326644e-05
  1.282760e-02    5.847368e-05
  1.312654e-02    5.405158e-05
  1.342547e-02    4.999221e-05
  1.372440e-02    4.623593e-05
  1.402333e-02    4.292153e-05
  1.432226e-02    3.984800e-05
  1.462119e-02    3.709735e-05
  1.492012e-02    3.474869e-05
  1.521905e-02    3.248989e-05
  1.551798e-02    3.066329e-05
  1.581691e-02    2.896094e-05
  1.611584e-02    2.743029e-05
  1.641477e-02    2.577588e-05
  1.671370e-02    2.438279e-05
  1.701263e-02    2.311933e-05
  1.731156e-02    2.182322e-05
  1.761049e-02    2.068733e-05
  1.790942e-02    1.970486e-05
  1.820835e-02    1.871705e-05
  1.850728e-02    1.779875e-05
  1.880621e-02    1.711849e-05
  1.910514e-02    1.642763e-05
  1.940407e-02    1.575359e-05
  1.970300e-02    1.523307e-05
  2.000193e-02    1.466592e-05
  2.030086e-02    1.412785e-05
  2.059979e-02    1.361900e-05
  2.089873e-02    1.320415e-05
  2.119766e-02    1.284639e-05
  2.149659e-02    1.242926e-05
  2.179552e-02    1.216594e-05
  2.209445e-02    1.186025e-05
  2.239338e-02    1.142815e-05
  2.269231e-02    1.108683e-05
  2.299124e-02    1.089301e-05
  2.329017e-02    1.066794e-05
  2.358910e-02    1.032367e-05
  2.388803e-02    1.006788e-05
  2.418696e-02    9.865435e-06
  2.448589e-02    9.715915e-06
  2.478482e-02    9.519879e-06
  2.508375e-02    9.322094e-06
  2.538268e-02    9.258914e-06
  2.568161e-02    9.137299e-06
  2.598054e-02    8.952963e-06
  2.627947e-02    8.775168e-06
  2.657840e-02    8.625201e-06
  2.687733e-02    8.530710e-06
  2.717626e-02    8.485978e-06
  2.747519e-02    8.335746e-06
  2.777412e-02    8.180310e-06
  2.807305e-02    8.107585e-06
  2.837198e-02    8.041879e-06
  2.867092e-02    7.970219e-06
  2.896985e-02    7.878914e-06
  2.926878e-02    7.720488e-06
  2.956771e-02    7.594918e-06
  2.986664e-02    7.522127e-06
  3.016557e-02    7.491996e-06
  3.046450e-02    7.434614e-06
  3.076343e-02    7.367447e-06
  3.106236e-02    7.272858e-06
  3.136129e-02    7.208923e-06
  3.166022e-02    7.140536e-06
  3.195915e-02    7.082381e-06
  3.225808e-02    7.071667e-06
  3.255701e-02    6.906195e-06
  3.285594e-02    6.808508e-06
  3.315487e-02    6.738874e-06
  3.345380e-02    6.679740e-06
  3.375273e-02    6.674804e-06
  3.405166e-02    6.636848e-06
  3.435059e-02    6.539053e-06
  3.464952e-02    6.452563e-06
  3.494845e-02    6.408528e-06
  3.524738e-02    6.348328e-06
  3.554631e-02    6.244196e-06
  3.584524e-02    6.194307e-06
  3.614417e-02    6.140273e-06
  3.644310e-02    6.044297e-06
  3.674204e-02    5.994790e-06
  3.704097e-02    5.980055e-06
  3.733990e-02    5.949098e-06
  3.763883e-02    5.901449e-06
  3.793776e-02    5.823415e-06
  3.823669e-02    5.759623e-06
  3.853562e-02    5.755877e-06
  3.883455e-02    5.723153e-06
  3.913348e-02    5.679819e-06
  3.943241e-02    5.593198e-06
  3.973134e-02    5.519867e-06
  4.003027e-02    5.513529e-06
  4.032920e-02    5.489847e-06
  4.062813e-02    5.412922e-06
  4.092706e-02    5.412988e-06
  4.122599e-02    5.439886e-06
  4.152492e-02    5.403322e-06
  4.182385e-02    5.373262e-06
  4.212278e-02    5.317479e-06
  4.242171e-02    5.344693e-06
  4.272064e-02    5.318409e-06
  4.301957e-02    5.234043e-06
  4.331850e-02    5.244840e-06
  4.361743e-02    5.188128e-06
  4.391636e-02    5.190617e-06
  4.421529e-02    5.226008e-06
  4.451423e-02    5.203792e-06
  4.481316e-02    5.170756e-06
  4.511209e-02    5.169602e-06
  4.541102e-02    5.170220e-06
  4.570995e-02    5.153785e-06
  4.600888e-02    5.135248e-06
  4.630781e-02    5.129100e-06
  4.660674e-02    5.175596e-06
  4.690567e-02    5.132750e-06
  4.720460e-02    5.116542e-06
  4.750353e-02    5.101163e-06
  4.780246e-02    5.123828e-06
  4.810139e-02    5.062228e-06
  4.840032e-02    5.063549e-06
  4.869925e-02    5.087238e-06
  4.899818e-02    5.072370e-06
  4.929711e-02    5.067937e-06
  4.959604e-02    5.059487e-06
  4.989497e-02    5.096585e-06
  5.019390e-02    5.100794e-06
  5.049283e-02    5.082889e-06
  5.079176e-02    5.045250e-06
  5.109069e-02    5.078530e-06
  5.138962e-02    5.107590e-06
  5.168855e-02    5.252865e-06
  5.198748e-02    5.408865e-06
  5.228642e-02    5.337251e-06
  5.258535e-02    5.113129e-06
  5.288428e-02    5.063382e-06
  5.318321e-02    5.024242e-06
  5.348214e-02    5.010843e-06
  5.378107e-02    5.037776e-06
  5.408000e-02    5.022058e-06
  5.437893e-02    4.996255e-06
  5.467786e-02    5.010859e-06
  5.497679e-02    5.011503e-06
  5.527572e-02    5.053729e-06
  5.557465e-02    5.062398e-06
  5.587358e-02    5.017297e-06
  5.617251e-02    5.004270e-06
  5.647144e-02    5.043959e-06
  5.677037e-02    5.023307e-06
  5.706930e-02    5.023034e-06
  5.736823e-02    5.019427e-06
  5.766716e-02    4.978350e-06
  5.796609e-02    5.032754e-06
  5.826502e-02    5.056374e-06
  5.856395e-02    5.025649e-06
  5.886288e-02    5.022335e-06
  5.916181e-02    4.998280e-06
  5.946074e-02    5.029964e-06
  5.975967e-02    5.001498e-06
  6.005861e-02    5.024760e-06
  6.035754e-02    5.033020e-06
  6.065647e-02    5.051640e-06
  6.095540e-02    5.125402e-06
  6.125433e-02    5.220207e-06
  6.155326e-02    5.238058e-06
  6.185219e-02    5.141680e-06
  6.215112e-02    5.069415e-06
  6.245005e-02    5.044526e-06
  6.274898e-02    5.068110e-06
  6.304791e-02    5.099248e-06
  6.334684e-02    5.073510e-06
  6.364577e-02    5.094960e-06
  6.394470e-02    5.158940e-06
  6.424363e-02    5.180477e-06
  6.454256e-02    5.165914e-06
  6.484149e-02    5.139729e-06
  6.514042e-02    5.137684e-06
  6.543935e-02    5.126195e-06
  6.573828e-02    5.150845e-06
  6.603721e-02    5.155290e-06
  6.633614e-02    5.174281e-06
  6.663507e-02    5.151202e-06
  6.693400e-02    5.151070e-06
  6.723293e-02    5.190295e-06
  6.753186e-02    5.198009e-06
  6.783080e-02    5.218914e-06
  6.812973e-02    5.230574e-06
  6.842866e-02    5.210961e-06
  6.872759e-02    5.173420e-06
  6.902652e-02    5.210837e-06
  6.932545e-02    5.211567e-06
  6.962438e-02    5.188525e-06
  6.992331e-02    5.200132e-06
  7.022224e-02    5.217662e-06
  7.052117e-02    5.225131e-06
  7.082010e-02    5.237485e-06
  7.111903e-02    5.249445e-06
  7.141796e-02    5.243687e-06
  7.171689e-02    5.258880e-06
  7.201582e-02    5.296971e-06
  7.231475e-02    5.337674e-06
  7.261368e-02    5.280114e-06
  7.291261e-02    5.247962e-06
  7.321154e-02    5.264617e-06
  7.351047e-02    5.269838e-06
  7.380940e-02    5.291149e-06
  7.410833e-02    5.279466e-06
  7.440726e-02    5.256700e-06
  7.470619e-02    5.264493e-06
  7.500512e-02    5.277866e-06
  7.530405e-02    5.225425e-06
  7.560299e-02    5.258892e-06
  7.590192e-02    5.269193e-06
  7.620085e-02    5.266245e-06
  7.649978e-02    5.267786e-06
  7.679871e-02    5.258364e-06
  7.709764e-02    5.259471e-06
  7.739657e-02    5.285488e-06
  7.769550e-02    5.293868e-06
  7.799443e-02    5.258928e-06
  7.829336e-02    5.257556e-06
  7.859229e-02    5.302682e-06
  7.889122e-02    5.253072e-06
  7.919015e-02    5.228861e-06
  7.948908e-02    5.251581e-06
  7.978801e-02    5.254606e-06
  8.008694e-02    5.229918e-06
  8.038587e-02    5.211463e-06
  8.068480e-02    5.209151e-06
  8.098373e-02    5.191434e-06
  8.128266e-02    5.215078e-06
  8.158159e-02    5.193936e-06
  8.188052e-02    5.204729e-06
  8.217945e-02    5.210175e-06
