# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 5466136.4
# --> AL_F127_220228_8bf158ed-87fb-4c97-b1d1-0d2d396ebc14_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.173156e-04
  4.756484e-03    1.623009e-04
  5.055415e-03    1.082282e-04
  5.354345e-03    6.974351e-05
  5.653276e-03    4.747153e-05
  5.952206e-03    4.750655e-05
  6.251136e-03    3.946258e-05
  6.550067e-03    3.280351e-05
  6.848997e-03    2.833623e-05
  7.147927e-03    2.443981e-05
  7.446858e-03    2.099045e-05
  7.745788e-03    1.858512e-05
  8.044719e-03    1.635907e-05
  8.343649e-03    1.468220e-05
  8.642579e-03    1.299764e-05
  8.941510e-03    1.170651e-05
  9.240440e-03    1.092086e-05
  9.539371e-03    1.015920e-05
  9.838301e-03    9.072874e-06
  1.013723e-02    8.342826e-06
  1.043616e-02    7.783059e-06
  1.073509e-02    7.312886e-06
  1.103402e-02    6.914341e-06
  1.133295e-02    6.409496e-06
  1.163188e-02    6.125616e-06
  1.193081e-02    5.745947e-06
  1.222974e-02    5.350099e-06
  1.252867e-02    5.087510e-06
  1.282760e-02    4.887676e-06
  1.312654e-02    4.782784e-06
  1.342547e-02    4.557514e-06
  1.372440e-02    4.473511e-06
  1.402333e-02    4.357881e-06
  1.432226e-02    4.140496e-06
  1.462119e-02    4.087177e-06
  1.492012e-02    4.057732e-06
  1.521905e-02    3.997683e-06
  1.551798e-02    3.949675e-06
