# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 6484035.600000001
# --> AL_F127_220228_9990aa8f-3e6f-440c-b1c9-69468aa6c9c7_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.874415e-03
  4.756484e-03    1.451087e-03
  5.055415e-03    1.008837e-03
  5.354345e-03    6.926574e-04
  5.653276e-03    5.277712e-04
  5.952206e-03    8.324153e-04
  6.251136e-03    7.621649e-04
  6.550067e-03    6.644325e-04
  6.848997e-03    5.667388e-04
  7.147927e-03    4.791140e-04
  7.446858e-03    4.108365e-04
  7.745788e-03    3.528123e-04
  8.044719e-03    3.039126e-04
  8.343649e-03    2.661222e-04
  8.642579e-03    2.331645e-04
  8.941510e-03    2.057495e-04
  9.240440e-03    1.820639e-04
  9.539371e-03    1.618794e-04
  9.838301e-03    1.443950e-04
  1.013723e-02    1.289863e-04
  1.043616e-02    1.158327e-04
  1.073509e-02    1.046344e-04
  1.103402e-02    9.500283e-05
  1.133295e-02    8.637339e-05
  1.163188e-02    7.892273e-05
  1.193081e-02    7.216167e-05
  1.222974e-02    6.627779e-05
  1.252867e-02    6.083365e-05
  1.282760e-02    5.593080e-05
  1.312654e-02    5.172381e-05
  1.342547e-02    4.806143e-05
  1.372440e-02    4.462028e-05
  1.402333e-02    4.141740e-05
  1.432226e-02    3.863640e-05
  1.462119e-02    3.596618e-05
  1.492012e-02    3.343189e-05
  1.521905e-02    3.139504e-05
  1.551798e-02    2.974009e-05
  1.581691e-02    2.805813e-05
  1.611584e-02    2.654780e-05
  1.641477e-02    2.506500e-05
  1.671370e-02    2.363958e-05
  1.701263e-02    2.248539e-05
  1.731156e-02    2.133649e-05
  1.761049e-02    2.029295e-05
  1.790942e-02    1.931755e-05
  1.820835e-02    1.842048e-05
  1.850728e-02    1.758579e-05
  1.880621e-02    1.686039e-05
  1.910514e-02    1.612992e-05
  1.940407e-02    1.555107e-05
  1.970300e-02    1.494475e-05
  2.000193e-02    1.437889e-05
  2.030086e-02    1.385248e-05
  2.059979e-02    1.335444e-05
  2.089873e-02    1.296471e-05
  2.119766e-02    1.252389e-05
  2.149659e-02    1.207838e-05
  2.179552e-02    1.175501e-05
  2.209445e-02    1.141411e-05
  2.239338e-02    1.112041e-05
  2.269231e-02    1.080144e-05
  2.299124e-02    1.044889e-05
  2.329017e-02    1.018715e-05
  2.358910e-02    9.975307e-06
  2.388803e-02    9.852868e-06
  2.418696e-02    9.595487e-06
  2.448589e-02    9.259389e-06
  2.478482e-02    9.025887e-06
  2.508375e-02    8.931434e-06
  2.538268e-02    8.862069e-06
  2.568161e-02    8.664775e-06
  2.598054e-02    8.542586e-06
  2.627947e-02    8.450490e-06
  2.657840e-02    8.271745e-06
  2.687733e-02    8.156115e-06
  2.717626e-02    8.016915e-06
  2.747519e-02    7.879452e-06
  2.777412e-02    7.801436e-06
  2.807305e-02    7.689182e-06
  2.837198e-02    7.648621e-06
  2.867092e-02    7.501661e-06
  2.896985e-02    7.405291e-06
  2.926878e-02    7.346634e-06
  2.956771e-02    7.308590e-06
  2.986664e-02    7.257338e-06
  3.016557e-02    7.177812e-06
  3.046450e-02    7.065353e-06
  3.076343e-02    6.915277e-06
  3.106236e-02    6.847881e-06
  3.136129e-02    6.833197e-06
  3.166022e-02    6.786518e-06
  3.195915e-02    6.734051e-06
  3.225808e-02    6.646636e-06
  3.255701e-02    6.534977e-06
  3.285594e-02    6.467243e-06
  3.315487e-02    6.412990e-06
  3.345380e-02    6.301670e-06
  3.375273e-02    6.242029e-06
  3.405166e-02    6.230891e-06
  3.435059e-02    6.176921e-06
  3.464952e-02    6.133216e-06
  3.494845e-02    6.076101e-06
  3.524738e-02    6.012885e-06
  3.554631e-02    5.938241e-06
  3.584524e-02    5.870877e-06
  3.614417e-02    5.907196e-06
  3.644310e-02    5.851777e-06
  3.674204e-02    5.771321e-06
  3.704097e-02    5.687988e-06
  3.733990e-02    5.599277e-06
  3.763883e-02    5.588478e-06
  3.793776e-02    5.513296e-06
  3.823669e-02    5.470072e-06
  3.853562e-02    5.483780e-06
  3.883455e-02    5.409553e-06
  3.913348e-02    5.365505e-06
  3.943241e-02    5.352561e-06
  3.973134e-02    5.325793e-06
  4.003027e-02    5.321210e-06
  4.032920e-02    5.266994e-06
  4.062813e-02    5.156768e-06
  4.092706e-02    5.126831e-06
  4.122599e-02    5.128587e-06
  4.152492e-02    5.093046e-06
  4.182385e-02    5.098159e-06
  4.212278e-02    5.058926e-06
  4.242171e-02    5.071415e-06
  4.272064e-02    5.102640e-06
  4.301957e-02    5.068662e-06
  4.331850e-02    5.032207e-06
  4.361743e-02    5.013568e-06
  4.391636e-02    4.929493e-06
  4.421529e-02    4.919231e-06
  4.451423e-02    4.921612e-06
  4.481316e-02    4.956399e-06
  4.511209e-02    4.958547e-06
  4.541102e-02    4.924498e-06
  4.570995e-02    4.918948e-06
  4.600888e-02    4.935788e-06
  4.630781e-02    4.972723e-06
  4.660674e-02    4.924319e-06
  4.690567e-02    4.866682e-06
  4.720460e-02    4.875137e-06
  4.750353e-02    4.894673e-06
  4.780246e-02    4.897764e-06
  4.810139e-02    4.878447e-06
  4.840032e-02    4.857570e-06
  4.869925e-02    4.854874e-06
  4.899818e-02    4.873140e-06
  4.929711e-02    4.857553e-06
  4.959604e-02    4.853071e-06
  4.989497e-02    4.814317e-06
  5.019390e-02    4.830944e-06
  5.049283e-02    4.856789e-06
  5.079176e-02    4.832941e-06
  5.109069e-02    4.859351e-06
  5.138962e-02    4.893166e-06
  5.168855e-02    5.024784e-06
  5.198748e-02    5.140107e-06
  5.228642e-02    5.044706e-06
  5.258535e-02    4.876709e-06
  5.288428e-02    4.827320e-06
  5.318321e-02    4.790159e-06
  5.348214e-02    4.746742e-06
  5.378107e-02    4.769195e-06
  5.408000e-02    4.764142e-06
  5.437893e-02    4.808500e-06
  5.467786e-02    4.799889e-06
  5.497679e-02    4.813921e-06
  5.527572e-02    4.794162e-06
  5.557465e-02    4.795085e-06
  5.587358e-02    4.806855e-06
  5.617251e-02    4.772173e-06
  5.647144e-02    4.797506e-06
  5.677037e-02    4.801123e-06
  5.706930e-02    4.813980e-06
  5.736823e-02    4.804600e-06
  5.766716e-02    4.830405e-06
  5.796609e-02    4.838638e-06
  5.826502e-02    4.789960e-06
  5.856395e-02    4.807654e-06
  5.886288e-02    4.773373e-06
  5.916181e-02    4.777584e-06
  5.946074e-02    4.782126e-06
  5.975967e-02    4.753798e-06
  6.005861e-02    4.819243e-06
  6.035754e-02    4.880434e-06
  6.065647e-02    4.876017e-06
  6.095540e-02    4.953824e-06
  6.125433e-02    5.049169e-06
  6.155326e-02    5.006234e-06
  6.185219e-02    4.953741e-06
  6.215112e-02    4.906293e-06
  6.245005e-02    4.860787e-06
  6.274898e-02    4.843127e-06
  6.304791e-02    4.877595e-06
  6.334684e-02    4.883213e-06
  6.364577e-02    4.890115e-06
  6.394470e-02    4.894192e-06
  6.424363e-02    4.893550e-06
  6.454256e-02    4.919686e-06
  6.484149e-02    4.920464e-06
  6.514042e-02    4.907256e-06
  6.543935e-02    4.917237e-06
  6.573828e-02    4.984918e-06
  6.603721e-02    4.982988e-06
