# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 153007.2
# --> AL_F127_220228_a88a99e0-2e33-4a21-9545-fc7bba88966d_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.577781e-01
  4.756484e-03    1.229521e-01
  5.055415e-03    8.713736e-02
  5.354345e-03    6.031406e-02
  5.653276e-03    4.597677e-02
  5.952206e-03    7.493831e-02
  6.251136e-03    6.855407e-02
  6.550067e-03    5.958616e-02
  6.848997e-03    5.067349e-02
  7.147927e-03    4.271280e-02
  7.446858e-03    3.646043e-02
  7.745788e-03    3.127240e-02
  8.044719e-03    2.692370e-02
  8.343649e-03    2.344720e-02
  8.642579e-03    2.044847e-02
  8.941510e-03    1.800297e-02
  9.240440e-03    1.598536e-02
  9.539371e-03    1.418751e-02
  9.838301e-03    1.261600e-02
  1.013723e-02    1.130675e-02
  1.043616e-02    1.017162e-02
  1.073509e-02    9.153051e-03
  1.103402e-02    8.298147e-03
  1.133295e-02    7.538821e-03
  1.163188e-02    6.854206e-03
  1.193081e-02    6.275149e-03
  1.222974e-02    5.754072e-03
  1.252867e-02    5.284686e-03
  1.282760e-02    4.854423e-03
  1.312654e-02    4.483060e-03
  1.342547e-02    4.159373e-03
  1.372440e-02    3.853562e-03
  1.402333e-02    3.575498e-03
  1.432226e-02    3.325881e-03
  1.462119e-02    3.110097e-03
  1.492012e-02    2.915983e-03
  1.521905e-02    2.730563e-03
  1.551798e-02    2.568074e-03
  1.581691e-02    2.409558e-03
  1.611584e-02    2.267860e-03
  1.641477e-02    2.145447e-03
  1.671370e-02    2.025529e-03
  1.701263e-02    1.919557e-03
  1.731156e-02    1.821194e-03
  1.761049e-02    1.730793e-03
  1.790942e-02    1.657710e-03
  1.820835e-02    1.577900e-03
  1.850728e-02    1.498878e-03
  1.880621e-02    1.440575e-03
  1.910514e-02    1.372182e-03
  1.940407e-02    1.317383e-03
  1.970300e-02    1.277706e-03
  2.000193e-02    1.226619e-03
  2.030086e-02    1.179288e-03
  2.059979e-02    1.142206e-03
  2.089873e-02    1.103965e-03
  2.119766e-02    1.067298e-03
  2.149659e-02    1.032476e-03
  2.179552e-02    1.002387e-03
  2.209445e-02    9.717423e-04
  2.239338e-02    9.406829e-04
  2.269231e-02    9.154340e-04
  2.299124e-02    8.924263e-04
  2.329017e-02    8.697301e-04
  2.358910e-02    8.463757e-04
  2.388803e-02    8.280285e-04
  2.418696e-02    8.106095e-04
  2.448589e-02    7.890430e-04
  2.478482e-02    7.726168e-04
  2.508375e-02    7.587846e-04
  2.538268e-02    7.436508e-04
  2.568161e-02    7.308490e-04
  2.598054e-02    7.216911e-04
  2.627947e-02    7.095064e-04
  2.657840e-02    6.999770e-04
  2.687733e-02    6.857945e-04
  2.717626e-02    6.741320e-04
  2.747519e-02    6.618274e-04
  2.777412e-02    6.572471e-04
  2.807305e-02    6.503010e-04
  2.837198e-02    6.397318e-04
  2.867092e-02    6.289550e-04
  2.896985e-02    6.212731e-04
  2.926878e-02    6.170521e-04
  2.956771e-02    6.097276e-04
  2.986664e-02    6.031345e-04
  3.016557e-02    5.971862e-04
  3.046450e-02    5.920963e-04
  3.076343e-02    5.840398e-04
  3.106236e-02    5.786890e-04
  3.136129e-02    5.743839e-04
  3.166022e-02    5.683419e-04
  3.195915e-02    5.670109e-04
  3.225808e-02    5.592735e-04
  3.255701e-02    5.521298e-04
  3.285594e-02    5.479030e-04
  3.315487e-02    5.451427e-04
  3.345380e-02    5.369149e-04
  3.375273e-02    5.317520e-04
  3.405166e-02    5.273874e-04
  3.435059e-02    5.213349e-04
  3.464952e-02    5.193902e-04
  3.494845e-02    5.194015e-04
  3.524738e-02    5.137721e-04
  3.554631e-02    5.061036e-04
  3.584524e-02    4.983420e-04
  3.614417e-02    4.932518e-04
  3.644310e-02    4.921271e-04
  3.674204e-02    4.881744e-04
  3.704097e-02    4.847899e-04
  3.733990e-02    4.816192e-04
  3.763883e-02    4.776496e-04
  3.793776e-02    4.729636e-04
  3.823669e-02    4.724564e-04
  3.853562e-02    4.692113e-04
  3.883455e-02    4.633861e-04
  3.913348e-02    4.586117e-04
  3.943241e-02    4.571407e-04
  3.973134e-02    4.553513e-04
  4.003027e-02    4.530932e-04
  4.032920e-02    4.515428e-04
  4.062813e-02    4.505381e-04
  4.092706e-02    4.498437e-04
  4.122599e-02    4.475483e-04
  4.152492e-02    4.442534e-04
  4.182385e-02    4.417250e-04
  4.212278e-02    4.392116e-04
  4.242171e-02    4.409856e-04
  4.272064e-02    4.402172e-04
  4.301957e-02    4.364146e-04
  4.331850e-02    4.366080e-04
  4.361743e-02    4.336968e-04
  4.391636e-02    4.313732e-04
  4.421529e-02    4.302874e-04
  4.451423e-02    4.308877e-04
  4.481316e-02    4.315028e-04
  4.511209e-02    4.310019e-04
  4.541102e-02    4.282364e-04
  4.570995e-02    4.285172e-04
  4.600888e-02    4.291405e-04
  4.630781e-02    4.247813e-04
  4.660674e-02    4.273914e-04
  4.690567e-02    4.267690e-04
  4.720460e-02    4.253871e-04
  4.750353e-02    4.261364e-04
  4.780246e-02    4.248585e-04
  4.810139e-02    4.240256e-04
  4.840032e-02    4.237489e-04
  4.869925e-02    4.238499e-04
  4.899818e-02    4.229039e-04
  4.929711e-02    4.218310e-04
  4.959604e-02    4.229054e-04
  4.989497e-02    4.231297e-04
  5.019390e-02    4.219663e-04
  5.049283e-02    4.238173e-04
  5.079176e-02    4.249903e-04
  5.109069e-02    4.265408e-04
  5.138962e-02    4.281191e-04
  5.168855e-02    4.350948e-04
  5.198748e-02    4.448006e-04
  5.228642e-02    4.398623e-04
  5.258535e-02    4.243078e-04
  5.288428e-02    4.213041e-04
  5.318321e-02    4.201774e-04
  5.348214e-02    4.195063e-04
  5.378107e-02    4.193058e-04
  5.408000e-02    4.183258e-04
  5.437893e-02    4.196329e-04
  5.467786e-02    4.203001e-04
  5.497679e-02    4.212056e-04
  5.527572e-02    4.224949e-04
  5.557465e-02    4.228551e-04
  5.587358e-02    4.208939e-04
  5.617251e-02    4.208939e-04
  5.647144e-02    4.210882e-04
  5.677037e-02    4.209951e-04
  5.706930e-02    4.227272e-04
  5.736823e-02    4.235669e-04
  5.766716e-02    4.223389e-04
  5.796609e-02    4.218080e-04
  5.826502e-02    4.220014e-04
  5.856395e-02    4.230961e-04
  5.886288e-02    4.256382e-04
  5.916181e-02    4.252881e-04
  5.946074e-02    4.273985e-04
