# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 16253175.599999998
# --> AL_F127_220228_d2ad7edb-a1f9-4728-af4b-00d05d936f49_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.602527e-03
  4.756484e-03    1.251449e-03
  5.055415e-03    8.938788e-04
  5.354345e-03    6.309697e-04
  5.653276e-03    4.898005e-04
  5.952206e-03    8.270151e-04
  6.251136e-03    7.582729e-04
  6.550067e-03    6.583956e-04
  6.848997e-03    5.580657e-04
  7.147927e-03    4.715989e-04
  7.446858e-03    4.022365e-04
  7.745788e-03    3.447523e-04
  8.044719e-03    2.964550e-04
  8.343649e-03    2.582263e-04
  8.642579e-03    2.254650e-04
  8.941510e-03    1.981685e-04
  9.240440e-03    1.755974e-04
  9.539371e-03    1.556555e-04
  9.838301e-03    1.384581e-04
  1.013723e-02    1.242165e-04
  1.043616e-02    1.117754e-04
  1.073509e-02    1.006327e-04
  1.103402e-02    9.102268e-05
  1.133295e-02    8.270213e-05
  1.163188e-02    7.553376e-05
  1.193081e-02    6.934113e-05
  1.222974e-02    6.378529e-05
  1.252867e-02    5.858564e-05
  1.282760e-02    5.393860e-05
  1.312654e-02    4.990271e-05
  1.342547e-02    4.623391e-05
  1.372440e-02    4.301104e-05
  1.402333e-02    4.007714e-05
  1.432226e-02    3.732624e-05
  1.462119e-02    3.508162e-05
  1.492012e-02    3.286753e-05
  1.521905e-02    3.071238e-05
  1.551798e-02    2.897552e-05
  1.581691e-02    2.735419e-05
  1.611584e-02    2.582076e-05
  1.641477e-02    2.444621e-05
  1.671370e-02    2.311341e-05
  1.701263e-02    2.201712e-05
  1.731156e-02    2.103504e-05
  1.761049e-02    2.012895e-05
  1.790942e-02    1.924280e-05
  1.820835e-02    1.838264e-05
  1.850728e-02    1.751522e-05
  1.880621e-02    1.686022e-05
