# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 11043773.4
# --> AL_F127_220228_fa7a130c-fa58-4363-a1ae-726fba990db8_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.040303e-03
  4.756484e-03    1.594634e-03
  5.055415e-03    1.128932e-03
  5.354345e-03    7.853112e-04
  5.653276e-03    6.013250e-04
  5.952206e-03    9.692892e-04
  6.251136e-03    8.851530e-04
  6.550067e-03    7.696160e-04
  6.848997e-03    6.543582e-04
  7.147927e-03    5.531525e-04
  7.446858e-03    4.726177e-04
  7.745788e-03    4.046739e-04
  8.044719e-03    3.484889e-04
  8.343649e-03    3.040518e-04
  8.642579e-03    2.658575e-04
  8.941510e-03    2.338235e-04
  9.240440e-03    2.073387e-04
  9.539371e-03    1.843302e-04
  9.838301e-03    1.640771e-04
  1.013723e-02    1.472280e-04
  1.043616e-02    1.327459e-04
  1.073509e-02    1.194235e-04
  1.103402e-02    1.082542e-04
  1.133295e-02    9.811392e-05
  1.163188e-02    8.926295e-05
  1.193081e-02    8.174505e-05
  1.222974e-02    7.508892e-05
  1.252867e-02    6.906279e-05
  1.282760e-02    6.349484e-05
  1.312654e-02    5.876527e-05
  1.342547e-02    5.425933e-05
  1.372440e-02    5.056621e-05
  1.402333e-02    4.718619e-05
  1.432226e-02    4.396394e-05
  1.462119e-02    4.107066e-05
  1.492012e-02    3.848979e-05
  1.521905e-02    3.607746e-05
  1.551798e-02    3.398721e-05
  1.581691e-02    3.202454e-05
  1.611584e-02    3.015346e-05
  1.641477e-02    2.844250e-05
  1.671370e-02    2.685871e-05
  1.701263e-02    2.565368e-05
  1.731156e-02    2.460175e-05
  1.761049e-02    2.350068e-05
  1.790942e-02    2.243655e-05
  1.820835e-02    2.143455e-05
  1.850728e-02    2.064109e-05
  1.880621e-02    1.991547e-05
  1.910514e-02    1.918387e-05
  1.940407e-02    1.855505e-05
  1.970300e-02    1.801311e-05
  2.000193e-02    1.743166e-05
  2.030086e-02    1.696296e-05
  2.059979e-02    1.665528e-05
  2.089873e-02    1.620824e-05
  2.119766e-02    1.585984e-05
  2.149659e-02    1.560973e-05
  2.179552e-02    1.537004e-05
  2.209445e-02    1.517563e-05
  2.239338e-02    1.508952e-05
  2.269231e-02    1.498581e-05
  2.299124e-02    1.481888e-05
  2.329017e-02    1.481856e-05
  2.358910e-02    1.480856e-05
  2.388803e-02    1.488531e-05
  2.418696e-02    1.502300e-05
  2.448589e-02    1.515442e-05
  2.478482e-02    1.532180e-05
  2.508375e-02    1.544605e-05
  2.538268e-02    1.551023e-05
  2.568161e-02    1.559946e-05
  2.598054e-02    1.564069e-05
  2.627947e-02    1.565153e-05
  2.657840e-02    1.563664e-05
  2.687733e-02    1.561368e-05
  2.717626e-02    1.548642e-05
  2.747519e-02    1.526743e-05
  2.777412e-02    1.500375e-05
  2.807305e-02    1.479102e-05
  2.837198e-02    1.446873e-05
  2.867092e-02    1.410326e-05
  2.896985e-02    1.369953e-05
  2.926878e-02    1.331482e-05
  2.956771e-02    1.288805e-05
  2.986664e-02    1.249841e-05
  3.016557e-02    1.217092e-05
  3.046450e-02    1.179332e-05
  3.076343e-02    1.141060e-05
  3.106236e-02    1.111861e-05
  3.136129e-02    1.081962e-05
  3.166022e-02    1.054335e-05
  3.195915e-02    1.029142e-05
  3.225808e-02    1.007781e-05
  3.255701e-02    9.904436e-06
  3.285594e-02    9.607552e-06
  3.315487e-02    9.407180e-06
  3.345380e-02    9.248134e-06
  3.375273e-02    8.994751e-06
  3.405166e-02    8.803827e-06
  3.435059e-02    8.712048e-06
  3.464952e-02    8.588627e-06
  3.494845e-02    8.450011e-06
  3.524738e-02    8.386837e-06
  3.554631e-02    8.272482e-06
  3.584524e-02    8.184329e-06
  3.614417e-02    8.041694e-06
  3.644310e-02    7.913860e-06
  3.674204e-02    7.844112e-06
  3.704097e-02    7.749886e-06
  3.733990e-02    7.652216e-06
  3.763883e-02    7.571929e-06
  3.793776e-02    7.573466e-06
  3.823669e-02    7.504165e-06
  3.853562e-02    7.422914e-06
  3.883455e-02    7.387622e-06
  3.913348e-02    7.354413e-06
  3.943241e-02    7.307699e-06
  3.973134e-02    7.244254e-06
  4.003027e-02    7.237510e-06
  4.032920e-02    7.163272e-06
  4.062813e-02    7.155065e-06
  4.092706e-02    7.110681e-06
  4.122599e-02    7.060351e-06
  4.152492e-02    7.052616e-06
  4.182385e-02    7.025453e-06
  4.212278e-02    7.022155e-06
  4.242171e-02    6.965015e-06
  4.272064e-02    6.883296e-06
  4.301957e-02    6.890599e-06
  4.331850e-02    6.897542e-06
  4.361743e-02    6.889152e-06
  4.391636e-02    6.880776e-06
  4.421529e-02    6.890946e-06
  4.451423e-02    6.895758e-06
  4.481316e-02    6.882280e-06
  4.511209e-02    6.828601e-06
  4.541102e-02    6.790852e-06
  4.570995e-02    6.808898e-06
  4.600888e-02    6.778760e-06
  4.630781e-02    6.748172e-06
  4.660674e-02    6.746145e-06
  4.690567e-02    6.713122e-06
  4.720460e-02    6.700093e-06
  4.750353e-02    6.657053e-06
  4.780246e-02    6.610526e-06
  4.810139e-02    6.599951e-06
  4.840032e-02    6.612049e-06
  4.869925e-02    6.577912e-06
  4.899818e-02    6.535924e-06
  4.929711e-02    6.533238e-06
  4.959604e-02    6.467872e-06
  4.989497e-02    6.467378e-06
  5.019390e-02    6.499500e-06
  5.049283e-02    6.445632e-06
  5.079176e-02    6.427081e-06
  5.109069e-02    6.396505e-06
  5.138962e-02    6.410663e-06
  5.168855e-02    6.485864e-06
  5.198748e-02    6.575218e-06
  5.228642e-02    6.505392e-06
  5.258535e-02    6.300382e-06
  5.288428e-02    6.182695e-06
  5.318321e-02    6.172534e-06
  5.348214e-02    6.158479e-06
  5.378107e-02    6.116142e-06
  5.408000e-02    6.071305e-06
  5.437893e-02    6.059145e-06
  5.467786e-02    6.049670e-06
  5.497679e-02    6.033996e-06
  5.527572e-02    6.019167e-06
  5.557465e-02    5.990277e-06
  5.587358e-02    5.953226e-06
  5.617251e-02    5.979308e-06
  5.647144e-02    5.923618e-06
  5.677037e-02    5.901158e-06
  5.706930e-02    5.894819e-06
  5.736823e-02    5.898990e-06
  5.766716e-02    5.860124e-06
  5.796609e-02    5.869480e-06
  5.826502e-02    5.890030e-06
  5.856395e-02    5.881631e-06
  5.886288e-02    5.845696e-06
  5.916181e-02    5.825681e-06
  5.946074e-02    5.826820e-06
  5.975967e-02    5.807622e-06
  6.005861e-02    5.795449e-06
  6.035754e-02    5.794869e-06
  6.065647e-02    5.789402e-06
  6.095540e-02    5.838442e-06
  6.125433e-02    5.916294e-06
  6.155326e-02    5.943815e-06
  6.185219e-02    5.860828e-06
  6.215112e-02    5.787367e-06
  6.245005e-02    5.781032e-06
  6.274898e-02    5.758347e-06
  6.304791e-02    5.746056e-06
  6.334684e-02    5.737436e-06
  6.364577e-02    5.777695e-06
  6.394470e-02    5.786288e-06
  6.424363e-02    5.757914e-06
  6.454256e-02    5.752707e-06
  6.484149e-02    5.750809e-06
  6.514042e-02    5.736034e-06
  6.543935e-02    5.750225e-06
  6.573828e-02    5.777817e-06
  6.603721e-02    5.770316e-06
  6.633614e-02    5.759151e-06
  6.663507e-02    5.779740e-06
  6.693400e-02    5.785559e-06
  6.723293e-02    5.794977e-06
  6.753186e-02    5.766888e-06
  6.783080e-02    5.756664e-06
  6.812973e-02    5.786844e-06
  6.842866e-02    5.806084e-06
  6.872759e-02    5.815151e-06
  6.902652e-02    5.818529e-06
  6.932545e-02    5.805685e-06
  6.962438e-02    5.811183e-06
  6.992331e-02    5.826019e-06
  7.022224e-02    5.818927e-06
  7.052117e-02    5.812443e-06
  7.082010e-02    5.815861e-06
  7.111903e-02    5.844165e-06
  7.141796e-02    5.828795e-06
  7.171689e-02    5.847664e-06
  7.201582e-02    5.867963e-06
  7.231475e-02    5.832127e-06
  7.261368e-02    5.804611e-06
  7.291261e-02    5.829716e-06
  7.321154e-02    5.892025e-06
  7.351047e-02    5.912458e-06
  7.380940e-02    5.889990e-06
  7.410833e-02    5.841075e-06
  7.440726e-02    5.830748e-06
  7.470619e-02    5.824225e-06
  7.500512e-02    5.847076e-06
  7.530405e-02    5.848297e-06
  7.560299e-02    5.842395e-06
  7.590192e-02    5.857708e-06
  7.620085e-02    5.841995e-06
  7.649978e-02    5.853042e-06
  7.679871e-02    5.882197e-06
  7.709764e-02    5.902521e-06
  7.739657e-02    5.886969e-06
  7.769550e-02    5.847636e-06
  7.799443e-02    5.837258e-06
  7.829336e-02    5.848930e-06
  7.859229e-02    5.846130e-06
  7.889122e-02    5.847839e-06
  7.919015e-02    5.814620e-06
  7.948908e-02    5.813988e-06
  7.978801e-02    5.808017e-06
  8.008694e-02    5.826388e-06
  8.038587e-02    5.809269e-06
  8.068480e-02    5.823562e-06
  8.098373e-02    5.838091e-06
  8.128266e-02    5.792247e-06
  8.158159e-02    5.809931e-06
  8.188052e-02    5.782643e-06
  8.217945e-02    5.771623e-06
  8.247838e-02    5.736126e-06
  8.277731e-02    5.713825e-06
  8.307624e-02    5.738460e-06
