# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 3431254.4000000004
# --> AL_F127_220301_04c3083e-c2c8-4f60-a7e5-5568979a8a1d_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.127599e-03
  4.756484e-03    1.650087e-03
  5.055415e-03    1.162216e-03
  5.354345e-03    7.938504e-04
  5.653276e-03    5.945889e-04
  5.952206e-03    9.144372e-04
  6.251136e-03    8.284854e-04
  6.550067e-03    7.162456e-04
  6.848997e-03    6.070212e-04
  7.147927e-03    5.141651e-04
  7.446858e-03    4.423042e-04
  7.745788e-03    3.802709e-04
  8.044719e-03    3.283219e-04
  8.343649e-03    2.891958e-04
  8.642579e-03    2.538192e-04
  8.941510e-03    2.236510e-04
  9.240440e-03    1.995535e-04
  9.539371e-03    1.786860e-04
  9.838301e-03    1.606466e-04
  1.013723e-02    1.455078e-04
  1.043616e-02    1.322624e-04
  1.073509e-02    1.198372e-04
  1.103402e-02    1.091672e-04
  1.133295e-02    1.005105e-04
  1.163188e-02    9.282788e-05
  1.193081e-02    8.604981e-05
  1.222974e-02    7.992227e-05
  1.252867e-02    7.462413e-05
  1.282760e-02    6.995151e-05
  1.312654e-02    6.568830e-05
  1.342547e-02    6.208006e-05
  1.372440e-02    5.905206e-05
  1.402333e-02    5.572603e-05
  1.432226e-02    5.296942e-05
  1.462119e-02    5.083774e-05
  1.492012e-02    4.868861e-05
  1.521905e-02    4.675079e-05
  1.551798e-02    4.508021e-05
  1.581691e-02    4.355127e-05
  1.611584e-02    4.266624e-05
  1.641477e-02    4.183022e-05
  1.671370e-02    4.097640e-05
  1.701263e-02    4.032669e-05
  1.731156e-02    3.994359e-05
  1.761049e-02    3.974997e-05
  1.790942e-02    3.949233e-05
  1.820835e-02    3.949683e-05
  1.850728e-02    3.967140e-05
  1.880621e-02    4.012104e-05
  1.910514e-02    4.061048e-05
  1.940407e-02    4.115526e-05
  1.970300e-02    4.182378e-05
  2.000193e-02    4.276956e-05
  2.030086e-02    4.401958e-05
  2.059979e-02    4.530140e-05
  2.089873e-02    4.642822e-05
  2.119766e-02    4.733264e-05
  2.149659e-02    4.888248e-05
  2.179552e-02    5.053337e-05
  2.209445e-02    5.217602e-05
  2.239338e-02    5.367275e-05
  2.269231e-02    5.517261e-05
  2.299124e-02    5.648272e-05
  2.329017e-02    5.770680e-05
  2.358910e-02    5.910703e-05
  2.388803e-02    6.011868e-05
  2.418696e-02    6.081732e-05
  2.448589e-02    6.130686e-05
  2.478482e-02    6.165169e-05
  2.508375e-02    6.224403e-05
  2.538268e-02    6.203973e-05
  2.568161e-02    6.165103e-05
  2.598054e-02    6.126823e-05
  2.627947e-02    6.061355e-05
  2.657840e-02    5.985955e-05
  2.687733e-02    5.847249e-05
  2.717626e-02    5.703712e-05
  2.747519e-02    5.601687e-05
  2.777412e-02    5.489536e-05
  2.807305e-02    5.370061e-05
  2.837198e-02    5.228767e-05
  2.867092e-02    5.123477e-05
  2.896985e-02    5.011178e-05
  2.926878e-02    4.881766e-05
  2.956771e-02    4.759181e-05
  2.986664e-02    4.686139e-05
  3.016557e-02    4.569365e-05
  3.046450e-02    4.476903e-05
  3.076343e-02    4.403383e-05
  3.106236e-02    4.323523e-05
  3.136129e-02    4.237336e-05
  3.166022e-02    4.167897e-05
  3.195915e-02    4.099267e-05
  3.225808e-02    4.046391e-05
  3.255701e-02    4.011031e-05
  3.285594e-02    3.938677e-05
  3.315487e-02    3.872861e-05
  3.345380e-02    3.842538e-05
  3.375273e-02    3.786374e-05
  3.405166e-02    3.754292e-05
  3.435059e-02    3.740718e-05
  3.464952e-02    3.683372e-05
  3.494845e-02    3.665829e-05
  3.524738e-02    3.647800e-05
  3.554631e-02    3.617590e-05
  3.584524e-02    3.603545e-05
  3.614417e-02    3.583176e-05
  3.644310e-02    3.565252e-05
  3.674204e-02    3.546603e-05
  3.704097e-02    3.547434e-05
  3.733990e-02    3.532938e-05
  3.763883e-02    3.513723e-05
  3.793776e-02    3.513177e-05
  3.823669e-02    3.499454e-05
  3.853562e-02    3.504938e-05
  3.883455e-02    3.501511e-05
  3.913348e-02    3.493200e-05
  3.943241e-02    3.495473e-05
  3.973134e-02    3.475336e-05
  4.003027e-02    3.462358e-05
  4.032920e-02    3.457144e-05
  4.062813e-02    3.463824e-05
  4.092706e-02    3.475598e-05
  4.122599e-02    3.463768e-05
  4.152492e-02    3.445600e-05
  4.182385e-02    3.443458e-05
  4.212278e-02    3.446796e-05
  4.242171e-02    3.439791e-05
  4.272064e-02    3.436498e-05
  4.301957e-02    3.409449e-05
  4.331850e-02    3.407658e-05
  4.361743e-02    3.401269e-05
  4.391636e-02    3.377212e-05
  4.421529e-02    3.350878e-05
  4.451423e-02    3.340217e-05
  4.481316e-02    3.329792e-05
  4.511209e-02    3.302595e-05
  4.541102e-02    3.280468e-05
  4.570995e-02    3.237855e-05
  4.600888e-02    3.224909e-05
  4.630781e-02    3.201484e-05
  4.660674e-02    3.148266e-05
  4.690567e-02    3.127121e-05
  4.720460e-02    3.096669e-05
  4.750353e-02    3.070935e-05
  4.780246e-02    3.032689e-05
  4.810139e-02    2.984301e-05
  4.840032e-02    2.950500e-05
  4.869925e-02    2.898545e-05
  4.899818e-02    2.843430e-05
  4.929711e-02    2.802035e-05
  4.959604e-02    2.774053e-05
  4.989497e-02    2.731090e-05
  5.019390e-02    2.682395e-05
  5.049283e-02    2.636417e-05
  5.079176e-02    2.588522e-05
  5.109069e-02    2.551870e-05
  5.138962e-02    2.503074e-05
  5.168855e-02    2.467311e-05
  5.198748e-02    2.427745e-05
  5.228642e-02    2.378191e-05
  5.258535e-02    2.318615e-05
  5.288428e-02    2.262717e-05
  5.318321e-02    2.228581e-05
  5.348214e-02    2.203637e-05
  5.378107e-02    2.150063e-05
  5.408000e-02    2.109096e-05
  5.437893e-02    2.070771e-05
  5.467786e-02    2.028462e-05
  5.497679e-02    1.972075e-05
  5.527572e-02    1.940345e-05
  5.557465e-02    1.907074e-05
  5.587358e-02    1.877563e-05
  5.617251e-02    1.850771e-05
  5.647144e-02    1.817452e-05
  5.677037e-02    1.769998e-05
  5.706930e-02    1.738239e-05
  5.736823e-02    1.714626e-05
  5.766716e-02    1.695787e-05
  5.796609e-02    1.659729e-05
  5.826502e-02    1.634619e-05
  5.856395e-02    1.607596e-05
  5.886288e-02    1.579592e-05
  5.916181e-02    1.553160e-05
  5.946074e-02    1.526104e-05
  5.975967e-02    1.507802e-05
  6.005861e-02    1.488192e-05
  6.035754e-02    1.465349e-05
  6.065647e-02    1.445752e-05
  6.095540e-02    1.425316e-05
  6.125433e-02    1.411304e-05
  6.155326e-02    1.389256e-05
  6.185219e-02    1.364504e-05
  6.215112e-02    1.357184e-05
  6.245005e-02    1.330025e-05
  6.274898e-02    1.312399e-05
  6.304791e-02    1.292775e-05
  6.334684e-02    1.279852e-05
  6.364577e-02    1.268015e-05
  6.394470e-02    1.256474e-05
  6.424363e-02    1.238050e-05
  6.454256e-02    1.232030e-05
  6.484149e-02    1.213295e-05
  6.514042e-02    1.192852e-05
  6.543935e-02    1.185666e-05
  6.573828e-02    1.175367e-05
  6.603721e-02    1.166899e-05
  6.633614e-02    1.150230e-05
  6.663507e-02    1.128850e-05
  6.693400e-02    1.123465e-05
  6.723293e-02    1.116955e-05
  6.753186e-02    1.101883e-05
  6.783080e-02    1.096411e-05
  6.812973e-02    1.088063e-05
  6.842866e-02    1.077212e-05
  6.872759e-02    1.063932e-05
  6.902652e-02    1.056426e-05
  6.932545e-02    1.044663e-05
  6.962438e-02    1.040780e-05
  6.992331e-02    1.026336e-05
  7.022224e-02    1.020079e-05
  7.052117e-02    1.018068e-05
  7.082010e-02    1.011875e-05
  7.111903e-02    1.005124e-05
  7.141796e-02    9.962069e-06
  7.171689e-02    9.933546e-06
  7.201582e-02    9.809052e-06
  7.231475e-02    9.714817e-06
  7.261368e-02    9.663557e-06
  7.291261e-02    9.595440e-06
  7.321154e-02    9.546679e-06
  7.351047e-02    9.503908e-06
  7.380940e-02    9.517250e-06
  7.410833e-02    9.469469e-06
  7.440726e-02    9.442748e-06
  7.470619e-02    9.289165e-06
  7.500512e-02    9.250714e-06
  7.530405e-02    9.311700e-06
  7.560299e-02    9.283463e-06
  7.590192e-02    9.237715e-06
  7.620085e-02    9.173541e-06
  7.649978e-02    9.140453e-06
  7.679871e-02    9.140027e-06
  7.709764e-02    8.986473e-06
  7.739657e-02    8.982402e-06
  7.769550e-02    9.054066e-06
  7.799443e-02    9.006544e-06
  7.829336e-02    8.986310e-06
  7.859229e-02    8.915621e-06
  7.889122e-02    8.864884e-06
  7.919015e-02    8.906239e-06
  7.948908e-02    8.915206e-06
  7.978801e-02    8.871564e-06
  8.008694e-02    8.802781e-06
  8.038587e-02    8.831911e-06
  8.068480e-02    8.839148e-06
  8.098373e-02    8.827014e-06
  8.128266e-02    8.753964e-06
  8.158159e-02    8.676710e-06
  8.188052e-02    8.763335e-06
  8.217945e-02    8.772110e-06
  8.247838e-02    8.718999e-06
  8.277731e-02    8.717555e-06
  8.307624e-02    8.688911e-06
  8.337518e-02    8.727684e-06
  8.367411e-02    8.688591e-06
  8.397304e-02    8.650113e-06
  8.427197e-02    8.640391e-06
  8.457090e-02    8.687712e-06
  8.486983e-02    8.709992e-06
  8.516876e-02    8.684191e-06
  8.546769e-02    8.716893e-06
  8.576662e-02    8.624905e-06
  8.606555e-02    8.560116e-06
  8.636448e-02    8.662848e-06
  8.666341e-02    8.684638e-06
  8.696234e-02    8.638004e-06
  8.726127e-02    8.635519e-06
  8.756020e-02    8.598339e-06
  8.785913e-02    8.593721e-06
  8.815806e-02    8.598076e-06
  8.845699e-02    8.584065e-06
  8.875592e-02    8.579484e-06
  8.905485e-02    8.598537e-06
  8.935378e-02    8.622337e-06
  8.965271e-02    8.594192e-06
  8.995164e-02    8.639313e-06
  9.025057e-02    8.673150e-06
  9.054950e-02    8.637561e-06
  9.084843e-02    8.628410e-06
  9.114737e-02    8.617571e-06
  9.144630e-02    8.583574e-06
  9.174523e-02    8.570960e-06
  9.204416e-02    8.616369e-06
  9.234309e-02    8.646596e-06
  9.264202e-02    8.668208e-06
  9.294095e-02    8.576245e-06
  9.323988e-02    8.634223e-06
  9.353881e-02    8.691544e-06
  9.383774e-02    8.649492e-06
  9.413667e-02    8.647399e-06
  9.443560e-02    8.638560e-06
  9.473453e-02    8.578279e-06
  9.503346e-02    8.623856e-06
  9.533239e-02    8.625051e-06
  9.563132e-02    8.614155e-06
  9.593025e-02    8.628457e-06
  9.622918e-02    8.639832e-06
  9.652811e-02    8.629706e-06
  9.682704e-02    8.642276e-06
  9.712597e-02    8.631603e-06
  9.742490e-02    8.623232e-06
  9.772383e-02    8.640943e-06
  9.802276e-02    8.640933e-06
