# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 26379632.600000005
# --> AL_F127_220301_19d91f89-8d36-4a06-9a4a-8378a2731e48_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.130460e-03
  4.756484e-03    8.759389e-04
  5.055415e-03    6.194077e-04
  5.354345e-03    4.319616e-04
  5.653276e-03    3.292840e-04
  5.952206e-03    5.268398e-04
  6.251136e-03    4.811632e-04
  6.550067e-03    4.180362e-04
  6.848997e-03    3.555619e-04
  7.147927e-03    3.000048e-04
  7.446858e-03    2.562324e-04
  7.745788e-03    2.196868e-04
  8.044719e-03    1.890566e-04
  8.343649e-03    1.649819e-04
  8.642579e-03    1.445134e-04
  8.941510e-03    1.269759e-04
  9.240440e-03    1.125541e-04
  9.539371e-03    1.000033e-04
  9.838301e-03    8.890729e-05
  1.013723e-02    7.969586e-05
  1.043616e-02    7.182251e-05
  1.073509e-02    6.468819e-05
  1.103402e-02    5.857615e-05
  1.133295e-02    5.319604e-05
  1.163188e-02    4.835134e-05
  1.193081e-02    4.425292e-05
  1.222974e-02    4.059066e-05
  1.252867e-02    3.723355e-05
  1.282760e-02    3.432215e-05
  1.312654e-02    3.160343e-05
  1.342547e-02    2.923629e-05
  1.372440e-02    2.711579e-05
  1.402333e-02    2.521235e-05
  1.432226e-02    2.349593e-05
  1.462119e-02    2.198536e-05
  1.492012e-02    2.066356e-05
  1.521905e-02    1.936522e-05
  1.551798e-02    1.813940e-05
  1.581691e-02    1.700904e-05
  1.611584e-02    1.602590e-05
  1.641477e-02    1.516590e-05
  1.671370e-02    1.427162e-05
  1.701263e-02    1.349840e-05
  1.731156e-02    1.291461e-05
  1.761049e-02    1.225531e-05
  1.790942e-02    1.169529e-05
  1.820835e-02    1.113593e-05
  1.850728e-02    1.064575e-05
  1.880621e-02    1.019881e-05
  1.910514e-02    9.781482e-06
  1.940407e-02    9.372855e-06
  1.970300e-02    9.021364e-06
  2.000193e-02    8.695071e-06
  2.030086e-02    8.384209e-06
  2.059979e-02    8.103337e-06
  2.089873e-02    7.854458e-06
  2.119766e-02    7.594284e-06
  2.149659e-02    7.335639e-06
  2.179552e-02    7.092209e-06
  2.209445e-02    6.906712e-06
  2.239338e-02    6.711447e-06
  2.269231e-02    6.519605e-06
  2.299124e-02    6.359414e-06
  2.329017e-02    6.196450e-06
  2.358910e-02    6.002048e-06
  2.388803e-02    5.842750e-06
  2.418696e-02    5.717571e-06
  2.448589e-02    5.605969e-06
  2.478482e-02    5.524680e-06
  2.508375e-02    5.423102e-06
  2.538268e-02    5.298139e-06
  2.568161e-02    5.213185e-06
  2.598054e-02    5.086908e-06
  2.627947e-02    5.005902e-06
  2.657840e-02    4.984697e-06
  2.687733e-02    4.883425e-06
  2.717626e-02    4.787275e-06
  2.747519e-02    4.728204e-06
  2.777412e-02    4.650007e-06
  2.807305e-02    4.610851e-06
  2.837198e-02    4.559477e-06
  2.867092e-02    4.469637e-06
  2.896985e-02    4.406647e-06
  2.926878e-02    4.364462e-06
  2.956771e-02    4.302516e-06
  2.986664e-02    4.256099e-06
  3.016557e-02    4.214886e-06
  3.046450e-02    4.169156e-06
  3.076343e-02    4.115846e-06
  3.106236e-02    4.077773e-06
  3.136129e-02    4.054027e-06
  3.166022e-02    4.034958e-06
  3.195915e-02    3.981981e-06
  3.225808e-02    3.946945e-06
  3.255701e-02    3.925533e-06
  3.285594e-02    3.875167e-06
  3.315487e-02    3.831984e-06
  3.345380e-02    3.804158e-06
  3.375273e-02    3.789732e-06
  3.405166e-02    3.749071e-06
  3.435059e-02    3.710778e-06
  3.464952e-02    3.662173e-06
  3.494845e-02    3.642460e-06
  3.524738e-02    3.618081e-06
  3.554631e-02    3.574608e-06
  3.584524e-02    3.542801e-06
  3.614417e-02    3.517390e-06
  3.644310e-02    3.512622e-06
  3.674204e-02    3.488102e-06
  3.704097e-02    3.432605e-06
  3.733990e-02    3.415073e-06
  3.763883e-02    3.391094e-06
  3.793776e-02    3.365330e-06
  3.823669e-02    3.354681e-06
  3.853562e-02    3.325989e-06
  3.883455e-02    3.302378e-06
  3.913348e-02    3.296242e-06
  3.943241e-02    3.281800e-06
  3.973134e-02    3.248171e-06
  4.003027e-02    3.222704e-06
  4.032920e-02    3.212184e-06
  4.062813e-02    3.216057e-06
  4.092706e-02    3.191097e-06
  4.122599e-02    3.176372e-06
  4.152492e-02    3.175506e-06
  4.182385e-02    3.158390e-06
  4.212278e-02    3.133452e-06
  4.242171e-02    3.126152e-06
  4.272064e-02    3.124120e-06
  4.301957e-02    3.122846e-06
  4.331850e-02    3.117859e-06
  4.361743e-02    3.102865e-06
  4.391636e-02    3.111686e-06
  4.421529e-02    3.102287e-06
  4.451423e-02    3.084028e-06
  4.481316e-02    3.070597e-06
  4.511209e-02    3.072506e-06
  4.541102e-02    3.071563e-06
  4.570995e-02    3.061093e-06
  4.600888e-02    3.069320e-06
  4.630781e-02    3.045229e-06
  4.660674e-02    3.047574e-06
  4.690567e-02    3.054084e-06
  4.720460e-02    3.054443e-06
  4.750353e-02    3.061027e-06
  4.780246e-02    3.044256e-06
  4.810139e-02    3.048145e-06
  4.840032e-02    3.038114e-06
  4.869925e-02    3.029602e-06
  4.899818e-02    3.036683e-06
  4.929711e-02    3.040334e-06
  4.959604e-02    3.045442e-06
  4.989497e-02    3.041617e-06
  5.019390e-02    3.055867e-06
  5.049283e-02    3.042120e-06
  5.079176e-02    3.034279e-06
  5.109069e-02    3.043335e-06
  5.138962e-02    3.081411e-06
  5.168855e-02    3.127585e-06
  5.198748e-02    3.159473e-06
  5.228642e-02    3.140754e-06
  5.258535e-02    3.042720e-06
  5.288428e-02    3.012909e-06
  5.318321e-02    3.017579e-06
  5.348214e-02    3.020222e-06
  5.378107e-02    3.021009e-06
  5.408000e-02    3.023948e-06
  5.437893e-02    3.013877e-06
  5.467786e-02    3.012233e-06
  5.497679e-02    3.020187e-06
  5.527572e-02    3.023842e-06
  5.557465e-02    3.018125e-06
  5.587358e-02    3.010264e-06
  5.617251e-02    3.022108e-06
  5.647144e-02    3.023943e-06
