# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 4613315.600000001
# --> AL_F127_220301_3e612500-a98f-400e-8c11-285eaaf0fdca_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    9.527878e-03
  4.756484e-03    7.538815e-03
  5.055415e-03    5.491396e-03
  5.354345e-03    3.969778e-03
  5.653276e-03    3.134520e-03
  5.952206e-03    5.054191e-03
  6.251136e-03    4.598084e-03
  6.550067e-03    3.966973e-03
  6.848997e-03    3.353835e-03
  7.147927e-03    2.834461e-03
  7.446858e-03    2.426438e-03
  7.745788e-03    2.085599e-03
  8.044719e-03    1.800072e-03
  8.343649e-03    1.575132e-03
  8.642579e-03    1.379186e-03
  8.941510e-03    1.213993e-03
  9.240440e-03    1.077180e-03
  9.539371e-03    9.571714e-04
  9.838301e-03    8.521754e-04
  1.013723e-02    7.644239e-04
  1.043616e-02    6.888233e-04
  1.073509e-02    6.200823e-04
  1.103402e-02    5.618233e-04
  1.133295e-02    5.094793e-04
  1.163188e-02    4.648714e-04
  1.193081e-02    4.247552e-04
  1.222974e-02    3.886366e-04
  1.252867e-02    3.562591e-04
  1.282760e-02    3.276289e-04
  1.312654e-02    3.024498e-04
  1.342547e-02    2.794774e-04
  1.372440e-02    2.583965e-04
  1.402333e-02    2.396082e-04
  1.432226e-02    2.240294e-04
  1.462119e-02    2.096054e-04
  1.492012e-02    1.960958e-04
  1.521905e-02    1.832420e-04
  1.551798e-02    1.718443e-04
  1.581691e-02    1.608842e-04
  1.611584e-02    1.510265e-04
  1.641477e-02    1.424650e-04
  1.671370e-02    1.342346e-04
  1.701263e-02    1.272148e-04
  1.731156e-02    1.208403e-04
  1.761049e-02    1.149503e-04
  1.790942e-02    1.095812e-04
  1.820835e-02    1.040649e-04
  1.850728e-02    9.901670e-05
  1.880621e-02    9.457520e-05
  1.910514e-02    9.056687e-05
  1.940407e-02    8.683676e-05
  1.970300e-02    8.333938e-05
  2.000193e-02    8.027629e-05
  2.030086e-02    7.712575e-05
  2.059979e-02    7.448200e-05
  2.089873e-02    7.179296e-05
  2.119766e-02    6.918915e-05
  2.149659e-02    6.704557e-05
  2.179552e-02    6.472939e-05
  2.209445e-02    6.278503e-05
  2.239338e-02    6.093456e-05
  2.269231e-02    5.931928e-05
  2.299124e-02    5.800521e-05
  2.329017e-02    5.630676e-05
  2.358910e-02    5.457070e-05
  2.388803e-02    5.325861e-05
  2.418696e-02    5.216465e-05
  2.448589e-02    5.093352e-05
  2.478482e-02    4.968981e-05
  2.508375e-02    4.867932e-05
  2.538268e-02    4.760548e-05
  2.568161e-02    4.669576e-05
  2.598054e-02    4.583661e-05
  2.627947e-02    4.505055e-05
  2.657840e-02    4.431034e-05
  2.687733e-02    4.348027e-05
  2.717626e-02    4.288577e-05
  2.747519e-02    4.223891e-05
  2.777412e-02    4.146842e-05
  2.807305e-02    4.070260e-05
  2.837198e-02    4.004942e-05
  2.867092e-02    3.971797e-05
  2.896985e-02    3.920637e-05
  2.926878e-02    3.863762e-05
  2.956771e-02    3.793341e-05
  2.986664e-02    3.753822e-05
  3.016557e-02    3.734187e-05
  3.046450e-02    3.676004e-05
  3.076343e-02    3.634764e-05
  3.106236e-02    3.597473e-05
  3.136129e-02    3.577049e-05
  3.166022e-02    3.547459e-05
  3.195915e-02    3.494868e-05
  3.225808e-02    3.474059e-05
  3.255701e-02    3.462137e-05
  3.285594e-02    3.414267e-05
  3.315487e-02    3.379952e-05
  3.345380e-02    3.339689e-05
  3.375273e-02    3.315388e-05
  3.405166e-02    3.290483e-05
  3.435059e-02    3.255262e-05
