# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 7280371.4
# --> AL_F127_220301_47f4ed54-d62a-44e0-b6a9-93cc51935121_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    2.183716e-03
  4.756484e-03    1.768802e-03
  5.055415e-03    1.330786e-03
  5.354345e-03    9.770519e-04
  5.653276e-03    7.776328e-04
  5.952206e-03    1.256153e-03
  6.251136e-03    1.130677e-03
  6.550067e-03    9.697499e-04
  6.848997e-03    8.180270e-04
  7.147927e-03    6.881788e-04
  7.446858e-03    5.867201e-04
  7.745788e-03    5.017600e-04
  8.044719e-03    4.319732e-04
  8.343649e-03    3.764673e-04
  8.642579e-03    3.294674e-04
  8.941510e-03    2.898275e-04
  9.240440e-03    2.571952e-04
  9.539371e-03    2.286233e-04
  9.838301e-03    2.041495e-04
  1.013723e-02    1.835278e-04
  1.043616e-02    1.656930e-04
  1.073509e-02    1.488837e-04
  1.103402e-02    1.354699e-04
  1.133295e-02    1.238095e-04
  1.163188e-02    1.138981e-04
  1.193081e-02    1.045483e-04
  1.222974e-02    9.597880e-05
  1.252867e-02    8.866963e-05
  1.282760e-02    8.216457e-05
  1.312654e-02    7.640736e-05
  1.342547e-02    7.118664e-05
  1.372440e-02    6.674971e-05
  1.402333e-02    6.249365e-05
  1.432226e-02    5.848168e-05
  1.462119e-02    5.494198e-05
  1.492012e-02    5.210052e-05
  1.521905e-02    4.933125e-05
  1.551798e-02    4.651088e-05
  1.581691e-02    4.426404e-05
  1.611584e-02    4.224785e-05
  1.641477e-02    4.021413e-05
  1.671370e-02    3.821003e-05
  1.701263e-02    3.659308e-05
  1.731156e-02    3.513638e-05
  1.761049e-02    3.361896e-05
  1.790942e-02    3.233796e-05
  1.820835e-02    3.102499e-05
  1.850728e-02    2.989463e-05
  1.880621e-02    2.890936e-05
  1.910514e-02    2.769423e-05
  1.940407e-02    2.674157e-05
  1.970300e-02    2.595759e-05
  2.000193e-02    2.515335e-05
  2.030086e-02    2.436696e-05
  2.059979e-02    2.349664e-05
  2.089873e-02    2.279346e-05
  2.119766e-02    2.206781e-05
  2.149659e-02    2.135287e-05
  2.179552e-02    2.073633e-05
  2.209445e-02    2.010518e-05
  2.239338e-02    1.948074e-05
  2.269231e-02    1.883313e-05
  2.299124e-02    1.824361e-05
  2.329017e-02    1.774533e-05
  2.358910e-02    1.722043e-05
  2.388803e-02    1.653701e-05
  2.418696e-02    1.600627e-05
  2.448589e-02    1.556150e-05
  2.478482e-02    1.514525e-05
  2.508375e-02    1.476439e-05
  2.538268e-02    1.444595e-05
  2.568161e-02    1.410091e-05
  2.598054e-02    1.373111e-05
  2.627947e-02    1.332737e-05
  2.657840e-02    1.304492e-05
  2.687733e-02    1.272168e-05
  2.717626e-02    1.244189e-05
  2.747519e-02    1.226331e-05
  2.777412e-02    1.211244e-05
  2.807305e-02    1.200247e-05
  2.837198e-02    1.176747e-05
  2.867092e-02    1.163702e-05
  2.896985e-02    1.152780e-05
  2.926878e-02    1.141802e-05
  2.956771e-02    1.139911e-05
  2.986664e-02    1.132851e-05
  3.016557e-02    1.126308e-05
  3.046450e-02    1.117366e-05
  3.076343e-02    1.116444e-05
  3.106236e-02    1.116381e-05
  3.136129e-02    1.111783e-05
  3.166022e-02    1.103301e-05
  3.195915e-02    1.100874e-05
  3.225808e-02    1.108631e-05
  3.255701e-02    1.112007e-05
  3.285594e-02    1.114793e-05
  3.315487e-02    1.116713e-05
  3.345380e-02    1.121044e-05
  3.375273e-02    1.121124e-05
  3.405166e-02    1.123295e-05
  3.435059e-02    1.114179e-05
  3.464952e-02    1.124738e-05
  3.494845e-02    1.141595e-05
  3.524738e-02    1.137425e-05
  3.554631e-02    1.132213e-05
  3.584524e-02    1.135425e-05
  3.614417e-02    1.145569e-05
  3.644310e-02    1.161791e-05
  3.674204e-02    1.164667e-05
  3.704097e-02    1.175355e-05
  3.733990e-02    1.182481e-05
  3.763883e-02    1.193756e-05
  3.793776e-02    1.198244e-05
  3.823669e-02    1.198575e-05
  3.853562e-02    1.208695e-05
  3.883455e-02    1.216407e-05
  3.913348e-02    1.221667e-05
  3.943241e-02    1.236397e-05
  3.973134e-02    1.239064e-05
  4.003027e-02    1.251788e-05
  4.032920e-02    1.258715e-05
  4.062813e-02    1.261789e-05
  4.092706e-02    1.270425e-05
  4.122599e-02    1.282887e-05
  4.152492e-02    1.288236e-05
  4.182385e-02    1.296650e-05
  4.212278e-02    1.308676e-05
  4.242171e-02    1.317634e-05
  4.272064e-02    1.321530e-05
  4.301957e-02    1.328658e-05
  4.331850e-02    1.339054e-05
  4.361743e-02    1.345616e-05
  4.391636e-02    1.351189e-05
  4.421529e-02    1.359408e-05
  4.451423e-02    1.365518e-05
  4.481316e-02    1.364361e-05
  4.511209e-02    1.368733e-05
  4.541102e-02    1.380393e-05
  4.570995e-02    1.386104e-05
  4.600888e-02    1.391950e-05
  4.630781e-02    1.395059e-05
  4.660674e-02    1.392316e-05
  4.690567e-02    1.393226e-05
  4.720460e-02    1.400655e-05
  4.750353e-02    1.400489e-05
  4.780246e-02    1.397887e-05
  4.810139e-02    1.400677e-05
  4.840032e-02    1.401361e-05
  4.869925e-02    1.399804e-05
  4.899818e-02    1.396532e-05
  4.929711e-02    1.393262e-05
  4.959604e-02    1.384704e-05
  4.989497e-02    1.384905e-05
  5.019390e-02    1.390912e-05
  5.049283e-02    1.390009e-05
  5.079176e-02    1.388671e-05
  5.109069e-02    1.380156e-05
  5.138962e-02    1.380062e-05
  5.168855e-02    1.383061e-05
  5.198748e-02    1.377799e-05
  5.228642e-02    1.370155e-05
  5.258535e-02    1.356002e-05
  5.288428e-02    1.339239e-05
  5.318321e-02    1.332840e-05
  5.348214e-02    1.324633e-05
  5.378107e-02    1.314679e-05
  5.408000e-02    1.308565e-05
  5.437893e-02    1.306615e-05
  5.467786e-02    1.298953e-05
  5.497679e-02    1.286233e-05
  5.527572e-02    1.277983e-05
  5.557465e-02    1.273124e-05
  5.587358e-02    1.267108e-05
  5.617251e-02    1.256694e-05
  5.647144e-02    1.247186e-05
  5.677037e-02    1.244205e-05
  5.706930e-02    1.235582e-05
  5.736823e-02    1.222594e-05
  5.766716e-02    1.219073e-05
  5.796609e-02    1.211351e-05
  5.826502e-02    1.200262e-05
  5.856395e-02    1.193538e-05
  5.886288e-02    1.183930e-05
  5.916181e-02    1.171761e-05
  5.946074e-02    1.167383e-05
  5.975967e-02    1.160778e-05
  6.005861e-02    1.159215e-05
  6.035754e-02    1.150213e-05
  6.065647e-02    1.142414e-05
  6.095540e-02    1.137564e-05
  6.125433e-02    1.137480e-05
  6.155326e-02    1.127957e-05
  6.185219e-02    1.118252e-05
  6.215112e-02    1.106743e-05
  6.245005e-02    1.097544e-05
  6.274898e-02    1.096149e-05
  6.304791e-02    1.090230e-05
  6.334684e-02    1.087403e-05
  6.364577e-02    1.080012e-05
  6.394470e-02    1.074754e-05
  6.424363e-02    1.067322e-05
  6.454256e-02    1.065053e-05
  6.484149e-02    1.061077e-05
  6.514042e-02    1.056868e-05
  6.543935e-02    1.047405e-05
  6.573828e-02    1.040782e-05
  6.603721e-02    1.036677e-05
  6.633614e-02    1.030548e-05
  6.663507e-02    1.025206e-05
  6.693400e-02    1.022825e-05
  6.723293e-02    1.021830e-05
  6.753186e-02    1.014370e-05
  6.783080e-02    1.002419e-05
  6.812973e-02    9.974983e-06
  6.842866e-02    9.966536e-06
  6.872759e-02    9.960422e-06
  6.902652e-02    9.948711e-06
  6.932545e-02    9.947977e-06
  6.962438e-02    9.850735e-06
  6.992331e-02    9.811381e-06
  7.022224e-02    9.786594e-06
  7.052117e-02    9.754167e-06
  7.082010e-02    9.689648e-06
  7.111903e-02    9.618268e-06
  7.141796e-02    9.634283e-06
  7.171689e-02    9.654483e-06
  7.201582e-02    9.595994e-06
  7.231475e-02    9.570367e-06
  7.261368e-02    9.497440e-06
  7.291261e-02    9.471096e-06
  7.321154e-02    9.452568e-06
  7.351047e-02    9.437754e-06
  7.380940e-02    9.445073e-06
  7.410833e-02    9.368441e-06
  7.440726e-02    9.298395e-06
  7.470619e-02    9.288140e-06
  7.500512e-02    9.307831e-06
  7.530405e-02    9.244713e-06
  7.560299e-02    9.212811e-06
  7.590192e-02    9.188200e-06
  7.620085e-02    9.147015e-06
  7.649978e-02    9.127864e-06
  7.679871e-02    9.127825e-06
  7.709764e-02    9.087441e-06
  7.739657e-02    9.066148e-06
  7.769550e-02    9.046918e-06
  7.799443e-02    9.028815e-06
  7.829336e-02    9.009930e-06
  7.859229e-02    8.984448e-06
  7.889122e-02    8.953523e-06
  7.919015e-02    8.902564e-06
  7.948908e-02    8.861183e-06
  7.978801e-02    8.840197e-06
  8.008694e-02    8.868064e-06
  8.038587e-02    8.866283e-06
  8.068480e-02    8.814722e-06
  8.098373e-02    8.800118e-06
  8.128266e-02    8.755287e-06
  8.158159e-02    8.758509e-06
  8.188052e-02    8.731972e-06
  8.217945e-02    8.697549e-06
  8.247838e-02    8.681133e-06
  8.277731e-02    8.681352e-06
  8.307624e-02    8.682413e-06
  8.337518e-02    8.676470e-06
  8.367411e-02    8.660919e-06
  8.397304e-02    8.623648e-06
  8.427197e-02    8.612561e-06
  8.457090e-02    8.611287e-06
  8.486983e-02    8.545588e-06
  8.516876e-02    8.528075e-06
  8.546769e-02    8.557506e-06
  8.576662e-02    8.520717e-06
  8.606555e-02    8.489071e-06
  8.636448e-02    8.472181e-06
  8.666341e-02    8.450324e-06
  8.696234e-02    8.477924e-06
  8.726127e-02    8.448602e-06
  8.756020e-02    8.427686e-06
  8.785913e-02    8.429020e-06
  8.815806e-02    8.369740e-06
  8.845699e-02    8.343691e-06
  8.875592e-02    8.334619e-06
  8.905485e-02    8.348732e-06
  8.935378e-02    8.351259e-06
  8.965271e-02    8.349059e-06
  8.995164e-02    8.284311e-06
  9.025057e-02    8.290977e-06
  9.054950e-02    8.283971e-06
  9.084843e-02    8.269848e-06
  9.114737e-02    8.246513e-06
  9.144630e-02    8.229938e-06
  9.174523e-02    8.238237e-06
  9.204416e-02    8.206949e-06
  9.234309e-02    8.179202e-06
  9.264202e-02    8.162279e-06
  9.294095e-02    8.165795e-06
  9.323988e-02    8.173449e-06
  9.353881e-02    8.152861e-06
  9.383774e-02    8.171193e-06
  9.413667e-02    8.103147e-06
  9.443560e-02    8.087865e-06
  9.473453e-02    8.093748e-06
  9.503346e-02    8.069112e-06
  9.533239e-02    8.092609e-06
  9.563132e-02    8.082874e-06
  9.593025e-02    8.071469e-06
  9.622918e-02    8.076775e-06
  9.652811e-02    8.081853e-06
  9.682704e-02    8.100431e-06
  9.712597e-02    8.084302e-06
  9.742490e-02    8.056471e-06
  9.772383e-02    8.035878e-06
  9.802276e-02    8.034594e-06
  9.832169e-02    8.014434e-06
  9.862062e-02    8.014361e-06
  9.891956e-02    8.017780e-06
  9.921849e-02    8.008388e-06
  9.951742e-02    7.983602e-06
  9.981635e-02    7.961826e-06
  1.001153e-01    7.895307e-06
  1.004142e-01    7.935620e-06
  1.007131e-01    7.935002e-06
  1.010121e-01    7.879441e-06
  1.013110e-01    7.881174e-06
  1.016099e-01    7.913117e-06
  1.019089e-01    7.906095e-06
  1.022078e-01    7.888735e-06
  1.025067e-01    7.847520e-06
  1.028057e-01    7.878185e-06
  1.031046e-01    7.904772e-06
  1.034035e-01    7.852349e-06
  1.037024e-01    7.822552e-06
  1.040014e-01    7.826799e-06
  1.043003e-01    7.821567e-06
  1.045992e-01    7.819923e-06
  1.048982e-01    7.803210e-06
  1.051971e-01    7.828886e-06
  1.054960e-01    7.862966e-06
  1.057950e-01    7.819972e-06
  1.060939e-01    7.800368e-06
  1.063928e-01    7.807372e-06
  1.066917e-01    7.751559e-06
  1.069907e-01    7.759882e-06
  1.072896e-01    7.765949e-06
  1.075885e-01    7.769484e-06
  1.078875e-01    7.717276e-06
  1.081864e-01    7.679027e-06
  1.084853e-01    7.739145e-06
  1.087843e-01    7.797312e-06
  1.090832e-01    7.794991e-06
  1.093821e-01    7.742963e-06
  1.096810e-01    7.710848e-06
  1.099800e-01    7.741242e-06
  1.102789e-01    7.685259e-06
  1.105778e-01    7.647401e-06
  1.108768e-01    7.678233e-06
  1.111757e-01    7.683989e-06
  1.114746e-01    7.667114e-06
  1.117736e-01    7.672631e-06
  1.120725e-01    7.573299e-06
  1.123714e-01    7.482894e-06
  1.126704e-01    7.459521e-06
  1.129693e-01    7.449661e-06
  1.132682e-01    7.356487e-06
  1.135671e-01    7.290955e-06
  1.138661e-01    7.262384e-06
  1.141650e-01    7.151252e-06
