# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 24714660.2
# --> AL_F127_220301_4e32a564-c6f7-48d6-976f-8443a9b1fab1_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.894444e-04
  4.756484e-03    1.463790e-04
  5.055415e-03    1.024187e-04
  5.354345e-03    6.964547e-05
  5.653276e-03    5.218182e-05
  5.952206e-03    8.190959e-05
  6.251136e-03    7.475604e-05
  6.550067e-03    6.504588e-05
  6.848997e-03    5.546875e-05
  7.147927e-03    4.708761e-05
  7.446858e-03    4.023204e-05
  7.745788e-03    3.459557e-05
  8.044719e-03    2.986713e-05
  8.343649e-03    2.605787e-05
  8.642579e-03    2.290413e-05
  8.941510e-03    2.012604e-05
  9.240440e-03    1.772952e-05
  9.539371e-03    1.592527e-05
  9.838301e-03    1.424751e-05
  1.013723e-02    1.282941e-05
  1.043616e-02    1.165251e-05
  1.073509e-02    1.046916e-05
  1.103402e-02    9.538925e-06
  1.133295e-02    8.796213e-06
  1.163188e-02    8.027515e-06
  1.193081e-02    7.363678e-06
  1.222974e-02    6.807028e-06
  1.252867e-02    6.327174e-06
  1.282760e-02    5.849097e-06
  1.312654e-02    5.436455e-06
  1.342547e-02    5.100345e-06
  1.372440e-02    4.793400e-06
  1.402333e-02    4.462539e-06
  1.432226e-02    4.171343e-06
  1.462119e-02    3.942444e-06
  1.492012e-02    3.758626e-06
  1.521905e-02    3.534818e-06
  1.551798e-02    3.374417e-06
  1.581691e-02    3.239360e-06
  1.611584e-02    3.126022e-06
  1.641477e-02    2.996157e-06
  1.671370e-02    2.889387e-06
  1.701263e-02    2.790015e-06
  1.731156e-02    2.714207e-06
  1.761049e-02    2.618819e-06
  1.790942e-02    2.567553e-06
  1.820835e-02    2.528071e-06
  1.850728e-02    2.480713e-06
  1.880621e-02    2.449295e-06
  1.910514e-02    2.436064e-06
  1.940407e-02    2.405089e-06
  1.970300e-02    2.377883e-06
  2.000193e-02    2.397133e-06
  2.030086e-02    2.436609e-06
  2.059979e-02    2.458007e-06
  2.089873e-02    2.480642e-06
  2.119766e-02    2.535229e-06
  2.149659e-02    2.592220e-06
  2.179552e-02    2.646945e-06
  2.209445e-02    2.705036e-06
  2.239338e-02    2.772538e-06
  2.269231e-02    2.862448e-06
  2.299124e-02    2.939293e-06
  2.329017e-02    3.013318e-06
  2.358910e-02    3.104784e-06
  2.388803e-02    3.188212e-06
  2.418696e-02    3.242725e-06
  2.448589e-02    3.266408e-06
  2.478482e-02    3.330441e-06
  2.508375e-02    3.391531e-06
  2.538268e-02    3.417080e-06
  2.568161e-02    3.411483e-06
  2.598054e-02    3.418515e-06
  2.627947e-02    3.414039e-06
  2.657840e-02    3.400052e-06
  2.687733e-02    3.370053e-06
  2.717626e-02    3.317178e-06
  2.747519e-02    3.281640e-06
  2.777412e-02    3.247857e-06
  2.807305e-02    3.185110e-06
  2.837198e-02    3.145412e-06
  2.867092e-02    3.103436e-06
  2.896985e-02    3.044011e-06
  2.926878e-02    2.997162e-06
  2.956771e-02    2.959755e-06
  2.986664e-02    2.888279e-06
  3.016557e-02    2.850137e-06
  3.046450e-02    2.818402e-06
  3.076343e-02    2.783622e-06
  3.106236e-02    2.738301e-06
  3.136129e-02    2.699360e-06
  3.166022e-02    2.683170e-06
  3.195915e-02    2.686489e-06
  3.225808e-02    2.653348e-06
  3.255701e-02    2.617904e-06
  3.285594e-02    2.594461e-06
  3.315487e-02    2.561945e-06
  3.345380e-02    2.557950e-06
  3.375273e-02    2.544524e-06
  3.405166e-02    2.547045e-06
  3.435059e-02    2.545352e-06
  3.464952e-02    2.528556e-06
  3.494845e-02    2.508986e-06
  3.524738e-02    2.506715e-06
  3.554631e-02    2.517988e-06
  3.584524e-02    2.515130e-06
  3.614417e-02    2.506925e-06
  3.644310e-02    2.501647e-06
  3.674204e-02    2.494507e-06
  3.704097e-02    2.508761e-06
  3.733990e-02    2.525376e-06
  3.763883e-02    2.533034e-06
  3.793776e-02    2.545557e-06
  3.823669e-02    2.536351e-06
  3.853562e-02    2.525925e-06
  3.883455e-02    2.550602e-06
  3.913348e-02    2.563780e-06
  3.943241e-02    2.568764e-06
  3.973134e-02    2.583737e-06
  4.003027e-02    2.598172e-06
  4.032920e-02    2.610349e-06
  4.062813e-02    2.601626e-06
  4.092706e-02    2.617208e-06
  4.122599e-02    2.633876e-06
  4.152492e-02    2.637479e-06
  4.182385e-02    2.648902e-06
  4.212278e-02    2.647943e-06
  4.242171e-02    2.664085e-06
  4.272064e-02    2.692265e-06
  4.301957e-02    2.692390e-06
  4.331850e-02    2.686343e-06
  4.361743e-02    2.691183e-06
  4.391636e-02    2.686607e-06
  4.421529e-02    2.679828e-06
  4.451423e-02    2.686545e-06
  4.481316e-02    2.687423e-06
  4.511209e-02    2.664385e-06
  4.541102e-02    2.647693e-06
  4.570995e-02    2.632276e-06
  4.600888e-02    2.641387e-06
  4.630781e-02    2.646708e-06
  4.660674e-02    2.627883e-06
  4.690567e-02    2.601500e-06
  4.720460e-02    2.574877e-06
  4.750353e-02    2.556292e-06
  4.780246e-02    2.529823e-06
  4.810139e-02    2.497403e-06
  4.840032e-02    2.478346e-06
  4.869925e-02    2.453782e-06
  4.899818e-02    2.421187e-06
  4.929711e-02    2.394060e-06
  4.959604e-02    2.353087e-06
  4.989497e-02    2.318989e-06
  5.019390e-02    2.288449e-06
  5.049283e-02    2.258129e-06
  5.079176e-02    2.222098e-06
  5.109069e-02    2.189587e-06
  5.138962e-02    2.148295e-06
  5.168855e-02    2.117709e-06
  5.198748e-02    2.103663e-06
  5.228642e-02    2.066684e-06
  5.258535e-02    2.011774e-06
  5.288428e-02    1.969002e-06
  5.318321e-02    1.929448e-06
  5.348214e-02    1.903306e-06
  5.378107e-02    1.865522e-06
  5.408000e-02    1.850378e-06
  5.437893e-02    1.812386e-06
  5.467786e-02    1.778905e-06
  5.497679e-02    1.750569e-06
  5.527572e-02    1.714003e-06
  5.557465e-02    1.682820e-06
  5.587358e-02    1.665337e-06
  5.617251e-02    1.637668e-06
  5.647144e-02    1.612442e-06
  5.677037e-02    1.580240e-06
  5.706930e-02    1.543291e-06
  5.736823e-02    1.514787e-06
  5.766716e-02    1.496662e-06
  5.796609e-02    1.488582e-06
  5.826502e-02    1.462890e-06
