# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 12523285.4
# --> AL_F127_220301_4fad001f-a9dc-40e3-a8d9-87c645d3631b_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    3.683104e-04
  4.756484e-03    2.812509e-04
  5.055415e-03    1.965313e-04
  5.354345e-03    1.334149e-04
  5.653276e-03    9.993985e-05
  5.952206e-03    1.554590e-04
  6.251136e-03    1.417292e-04
  6.550067e-03    1.234608e-04
  6.848997e-03    1.050586e-04
  7.147927e-03    8.942906e-05
  7.446858e-03    7.639213e-05
  7.745788e-03    6.577849e-05
  8.044719e-03    5.694174e-05
  8.343649e-03    5.005450e-05
  8.642579e-03    4.398859e-05
  8.941510e-03    3.904966e-05
  9.240440e-03    3.491850e-05
  9.539371e-03    3.120471e-05
  9.838301e-03    2.806888e-05
  1.013723e-02    2.554436e-05
  1.043616e-02    2.330291e-05
  1.073509e-02    2.118982e-05
  1.103402e-02    1.944303e-05
  1.133295e-02    1.795195e-05
  1.163188e-02    1.662355e-05
  1.193081e-02    1.551534e-05
  1.222974e-02    1.447381e-05
  1.252867e-02    1.354731e-05
  1.282760e-02    1.273793e-05
  1.312654e-02    1.199033e-05
  1.342547e-02    1.140350e-05
  1.372440e-02    1.093104e-05
  1.402333e-02    1.034942e-05
  1.432226e-02    9.862400e-06
  1.462119e-02    9.465278e-06
  1.492012e-02    9.177324e-06
  1.521905e-02    8.867569e-06
  1.551798e-02    8.581411e-06
  1.581691e-02    8.433528e-06
  1.611584e-02    8.218814e-06
  1.641477e-02    8.012400e-06
  1.671370e-02    7.898694e-06
  1.701263e-02    7.806981e-06
  1.731156e-02    7.669455e-06
  1.761049e-02    7.599514e-06
  1.790942e-02    7.537186e-06
  1.820835e-02    7.488996e-06
  1.850728e-02    7.448562e-06
  1.880621e-02    7.358170e-06
  1.910514e-02    7.351452e-06
  1.940407e-02    7.394014e-06
  1.970300e-02    7.355839e-06
  2.000193e-02    7.391644e-06
  2.030086e-02    7.437975e-06
  2.059979e-02    7.432497e-06
  2.089873e-02    7.490724e-06
  2.119766e-02    7.481042e-06
  2.149659e-02    7.479120e-06
  2.179552e-02    7.465202e-06
  2.209445e-02    7.510317e-06
  2.239338e-02    7.525735e-06
  2.269231e-02    7.462713e-06
  2.299124e-02    7.422520e-06
  2.329017e-02    7.454214e-06
  2.358910e-02    7.448550e-06
  2.388803e-02    7.417999e-06
  2.418696e-02    7.326413e-06
  2.448589e-02    7.299790e-06
  2.478482e-02    7.266629e-06
  2.508375e-02    7.185805e-06
  2.538268e-02    7.140470e-06
  2.568161e-02    7.013925e-06
  2.598054e-02    6.931361e-06
