# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 8346271.0
# --> AL_F127_220301_50af3998-d39d-4bb7-833e-4189677193c4_1_r1d.csv
#        q_A^-1             I 
  4.457554e-03    5.269799e-04
  4.756484e-03    4.039114e-04
  5.055415e-03    2.795688e-04
  5.354345e-03    1.883216e-04
  5.653276e-03    1.367964e-04
  5.952206e-03    2.067083e-04
  6.251136e-03    1.882821e-04
  6.550067e-03    1.638867e-04
  6.848997e-03    1.401190e-04
  7.147927e-03    1.193079e-04
  7.446858e-03    1.023117e-04
  7.745788e-03    8.805338e-05
  8.044719e-03    7.620563e-05
  8.343649e-03    6.633993e-05
  8.642579e-03    5.819852e-05
  8.941510e-03    5.130421e-05
  9.240440e-03    4.572654e-05
  9.539371e-03    4.087860e-05
  9.838301e-03    3.672499e-05
  1.013723e-02    3.302272e-05
  1.043616e-02    2.988311e-05
  1.073509e-02    2.705190e-05
  1.103402e-02    2.476427e-05
  1.133295e-02    2.253527e-05
  1.163188e-02    2.077390e-05
  1.193081e-02    1.917886e-05
  1.222974e-02    1.768904e-05
  1.252867e-02    1.647930e-05
  1.282760e-02    1.532101e-05
  1.312654e-02    1.435219e-05
  1.342547e-02    1.340739e-05
  1.372440e-02    1.248071e-05
  1.402333e-02    1.170608e-05
  1.432226e-02    1.098355e-05
  1.462119e-02    1.043401e-05
  1.492012e-02    9.889753e-06
  1.521905e-02    9.281593e-06
  1.551798e-02    8.807194e-06
  1.581691e-02    8.364221e-06
  1.611584e-02    7.937920e-06
  1.641477e-02    7.575694e-06
  1.671370e-02    7.263021e-06
  1.701263e-02    6.935437e-06
  1.731156e-02    6.620489e-06
  1.761049e-02    6.381447e-06
  1.790942e-02    6.116710e-06
  1.820835e-02    5.911828e-06
  1.850728e-02    5.760758e-06
  1.880621e-02    5.540332e-06
  1.910514e-02    5.305669e-06
  1.940407e-02    5.192616e-06
  1.970300e-02    4.983531e-06
  2.000193e-02    4.808197e-06
  2.030086e-02    4.726488e-06
  2.059979e-02    4.605996e-06
  2.089873e-02    4.450582e-06
  2.119766e-02    4.286429e-06
  2.149659e-02    4.175872e-06
  2.179552e-02    4.083930e-06
  2.209445e-02    3.920808e-06
  2.239338e-02    3.845876e-06
  2.269231e-02    3.727431e-06
  2.299124e-02    3.618911e-06
  2.329017e-02    3.502306e-06
  2.358910e-02    3.426655e-06
  2.388803e-02    3.369379e-06
  2.418696e-02    3.307496e-06
  2.448589e-02    3.208306e-06
  2.478482e-02    3.129577e-06
  2.508375e-02    3.057976e-06
  2.538268e-02    2.972517e-06
  2.568161e-02    2.921446e-06
  2.598054e-02    2.861755e-06
  2.627947e-02    2.806972e-06
  2.657840e-02    2.806411e-06
  2.687733e-02    2.777241e-06
  2.717626e-02    2.722204e-06
  2.747519e-02    2.682933e-06
  2.777412e-02    2.674167e-06
  2.807305e-02    2.639662e-06
  2.837198e-02    2.622803e-06
  2.867092e-02    2.583801e-06
  2.896985e-02    2.597933e-06
  2.926878e-02    2.615811e-06
  2.956771e-02    2.583953e-06
  2.986664e-02    2.566916e-06
  3.016557e-02    2.549232e-06
  3.046450e-02    2.567105e-06
  3.076343e-02    2.552844e-06
  3.106236e-02    2.548810e-06
  3.136129e-02    2.555496e-06
  3.166022e-02    2.580989e-06
  3.195915e-02    2.591642e-06
  3.225808e-02    2.566126e-06
  3.255701e-02    2.588900e-06
  3.285594e-02    2.615025e-06
  3.315487e-02    2.581346e-06
  3.345380e-02    2.576942e-06
  3.375273e-02    2.613700e-06
  3.405166e-02    2.622612e-06
  3.435059e-02    2.621104e-06
  3.464952e-02    2.614061e-06
  3.494845e-02    2.654832e-06
  3.524738e-02    2.689277e-06
  3.554631e-02    2.708246e-06
  3.584524e-02    2.710866e-06
  3.614417e-02    2.700154e-06
  3.644310e-02    2.693273e-06
  3.674204e-02    2.722525e-06
  3.704097e-02    2.720881e-06
  3.733990e-02    2.741381e-06
  3.763883e-02    2.765485e-06
  3.793776e-02    2.766588e-06
  3.823669e-02    2.774377e-06
  3.853562e-02    2.798440e-06
  3.883455e-02    2.816917e-06
  3.913348e-02    2.829646e-06
  3.943241e-02    2.850804e-06
  3.973134e-02    2.865089e-06
  4.003027e-02    2.859186e-06
  4.032920e-02    2.887263e-06
  4.062813e-02    2.900967e-06
  4.092706e-02    2.916916e-06
  4.122599e-02    2.938489e-06
  4.152492e-02    2.941311e-06
  4.182385e-02    2.929038e-06
  4.212278e-02    2.955226e-06
  4.242171e-02    2.978786e-06
  4.272064e-02    3.001601e-06
  4.301957e-02    3.001985e-06
  4.331850e-02    3.028475e-06
  4.361743e-02    3.063653e-06
  4.391636e-02    3.068673e-06
  4.421529e-02    3.078875e-06
  4.451423e-02    3.041339e-06
  4.481316e-02    3.063366e-06
  4.511209e-02    3.105746e-06
  4.541102e-02    3.089214e-06
  4.570995e-02    3.115872e-06
  4.600888e-02    3.135752e-06
  4.630781e-02    3.124238e-06
  4.660674e-02    3.139044e-06
  4.690567e-02    3.155811e-06
  4.720460e-02    3.137721e-06
  4.750353e-02    3.135059e-06
  4.780246e-02    3.122882e-06
  4.810139e-02    3.128755e-06
  4.840032e-02    3.167090e-06
  4.869925e-02    3.165659e-06
  4.899818e-02    3.145919e-06
  4.929711e-02    3.146795e-06
  4.959604e-02    3.135370e-06
  4.989497e-02    3.119533e-06
  5.019390e-02    3.114308e-06
  5.049283e-02    3.112838e-06
  5.079176e-02    3.097958e-06
  5.109069e-02    3.122342e-06
  5.138962e-02    3.111667e-06
  5.168855e-02    3.114348e-06
  5.198748e-02    3.137973e-06
  5.228642e-02    3.102907e-06
  5.258535e-02    3.033247e-06
  5.288428e-02    3.003479e-06
  5.318321e-02    2.987516e-06
  5.348214e-02    2.989952e-06
  5.378107e-02    2.971285e-06
  5.408000e-02    2.899814e-06
  5.437893e-02    2.883880e-06
  5.467786e-02    2.889578e-06
  5.497679e-02    2.889371e-06
  5.527572e-02    2.863445e-06
  5.557465e-02    2.865840e-06
  5.587358e-02    2.826735e-06
  5.617251e-02    2.807541e-06
  5.647144e-02    2.768533e-06
  5.677037e-02    2.751194e-06
  5.706930e-02    2.734858e-06
  5.736823e-02    2.752835e-06
  5.766716e-02    2.742114e-06
  5.796609e-02    2.701837e-06
  5.826502e-02    2.685284e-06
  5.856395e-02    2.654852e-06
  5.886288e-02    2.629066e-06
  5.916181e-02    2.602419e-06
  5.946074e-02    2.594216e-06
  5.975967e-02    2.602661e-06
  6.005861e-02    2.586728e-06
  6.035754e-02    2.575970e-06
  6.065647e-02    2.541758e-06
  6.095540e-02    2.526745e-06
  6.125433e-02    2.556449e-06
  6.155326e-02    2.541702e-06
  6.185219e-02    2.502840e-06
  6.215112e-02    2.472123e-06
  6.245005e-02    2.463332e-06
  6.274898e-02    2.445615e-06
  6.304791e-02    2.424023e-06
  6.334684e-02    2.417748e-06
  6.364577e-02    2.387884e-06
  6.394470e-02    2.360875e-06
  6.424363e-02    2.353443e-06
  6.454256e-02    2.344617e-06
  6.484149e-02    2.331960e-06
  6.514042e-02    2.335293e-06
  6.543935e-02    2.343314e-06
  6.573828e-02    2.328963e-06
  6.603721e-02    2.298150e-06
  6.633614e-02    2.294255e-06
  6.663507e-02    2.277831e-06
  6.693400e-02    2.277135e-06
  6.723293e-02    2.272928e-06
  6.753186e-02    2.265076e-06
  6.783080e-02    2.268054e-06
