# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 514685.0
# --> AL_F127_220301_66d575cd-b423-4c03-8fbf-fdb0a75420ee_2_r1d.csv
#        q_A^-1             I 
  4.457554e-03    1.128212e-02
  4.756484e-03    9.010537e-03
  5.055415e-03    6.590542e-03
  5.354345e-03    4.723698e-03
  5.653276e-03    3.702778e-03
  5.952206e-03    5.560939e-03
  6.251136e-03    5.033473e-03
  6.550067e-03    4.348646e-03
  6.848997e-03    3.699247e-03
  7.147927e-03    3.191415e-03
  7.446858e-03    2.770386e-03
  7.745788e-03    2.434572e-03
  8.044719e-03    2.154294e-03
  8.343649e-03    1.933852e-03
  8.642579e-03    1.743024e-03
  8.941510e-03    1.587446e-03
  9.240440e-03    1.464928e-03
  9.539371e-03    1.344998e-03
  9.838301e-03    1.246118e-03
  1.013723e-02    1.164004e-03
  1.043616e-02    1.100610e-03
  1.073509e-02    1.038831e-03
  1.103402e-02    9.900599e-04
  1.133295e-02    9.503993e-04
  1.163188e-02    9.172563e-04
  1.193081e-02    8.885026e-04
  1.222974e-02    8.615478e-04
  1.252867e-02    8.384691e-04
  1.282760e-02    8.213898e-04
  1.312654e-02    8.095439e-04
  1.342547e-02    7.983890e-04
  1.372440e-02    7.902558e-04
  1.402333e-02    7.805028e-04
  1.432226e-02    7.782516e-04
  1.462119e-02    7.739659e-04
  1.492012e-02    7.739044e-04
  1.521905e-02    7.773865e-04
  1.551798e-02    7.835030e-04
  1.581691e-02    7.904451e-04
  1.611584e-02    8.023033e-04
  1.641477e-02    8.130481e-04
  1.671370e-02    8.280345e-04
  1.701263e-02    8.436044e-04
  1.731156e-02    8.663221e-04
  1.761049e-02    8.896661e-04
  1.790942e-02    9.150108e-04
  1.820835e-02    9.447091e-04
  1.850728e-02    9.768343e-04
  1.880621e-02    1.014372e-03
  1.910514e-02    1.053093e-03
  1.940407e-02    1.091167e-03
  1.970300e-02    1.135643e-03
  2.000193e-02    1.185931e-03
  2.030086e-02    1.240718e-03
  2.059979e-02    1.295637e-03
  2.089873e-02    1.352981e-03
  2.119766e-02    1.416356e-03
  2.149659e-02    1.479742e-03
  2.179552e-02    1.551747e-03
  2.209445e-02    1.619874e-03
  2.239338e-02    1.688097e-03
  2.269231e-02    1.760599e-03
  2.299124e-02    1.844168e-03
  2.329017e-02    1.923379e-03
  2.358910e-02    1.991364e-03
  2.388803e-02    2.055790e-03
  2.418696e-02    2.117875e-03
  2.448589e-02    2.178911e-03
  2.478482e-02    2.233706e-03
  2.508375e-02    2.268842e-03
  2.538268e-02    2.292759e-03
  2.568161e-02    2.312376e-03
  2.598054e-02    2.322935e-03
  2.627947e-02    2.318319e-03
  2.657840e-02    2.297543e-03
  2.687733e-02    2.267582e-03
  2.717626e-02    2.229021e-03
  2.747519e-02    2.185003e-03
  2.777412e-02    2.125086e-03
  2.807305e-02    2.060487e-03
  2.837198e-02    1.994086e-03
  2.867092e-02    1.917061e-03
  2.896985e-02    1.836955e-03
  2.926878e-02    1.760310e-03
  2.956771e-02    1.685650e-03
  2.986664e-02    1.611156e-03
  3.016557e-02    1.536649e-03
  3.046450e-02    1.458606e-03
  3.076343e-02    1.392635e-03
  3.106236e-02    1.329509e-03
  3.136129e-02    1.264651e-03
  3.166022e-02    1.207723e-03
  3.195915e-02    1.152405e-03
  3.225808e-02    1.099707e-03
  3.255701e-02    1.052475e-03
  3.285594e-02    1.004187e-03
  3.315487e-02    9.643625e-04
  3.345380e-02    9.261397e-04
  3.375273e-02    8.863899e-04
  3.405166e-02    8.542439e-04
  3.435059e-02    8.183849e-04
  3.464952e-02    7.892728e-04
  3.494845e-02    7.641900e-04
  3.524738e-02    7.366156e-04
  3.554631e-02    7.120991e-04
  3.584524e-02    6.924894e-04
  3.614417e-02    6.723057e-04
  3.644310e-02    6.533269e-04
  3.674204e-02    6.372225e-04
  3.704097e-02    6.212243e-04
  3.733990e-02    6.035111e-04
  3.763883e-02    5.862463e-04
  3.793776e-02    5.716817e-04
  3.823669e-02    5.591372e-04
  3.853562e-02    5.474170e-04
  3.883455e-02    5.363572e-04
  3.913348e-02    5.257888e-04
  3.943241e-02    5.146195e-04
  3.973134e-02    5.041257e-04
  4.003027e-02    4.947737e-04
  4.032920e-02    4.875002e-04
  4.062813e-02    4.811758e-04
  4.092706e-02    4.734960e-04
  4.122599e-02    4.652019e-04
  4.152492e-02    4.593961e-04
  4.182385e-02    4.522056e-04
  4.212278e-02    4.467764e-04
  4.242171e-02    4.392204e-04
  4.272064e-02    4.322850e-04
  4.301957e-02    4.264510e-04
  4.331850e-02    4.223034e-04
  4.361743e-02    4.181715e-04
  4.391636e-02    4.133125e-04
