# == pyFAI calibration ==
# Distance Sample to Detector: 2.266 m
# PONI: 5.659e-02, 4.293e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2266.000 mm
# Center: x=249.594, y=329.012 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Pilatus 300k	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.27818e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 5812535.600000001
# --> AL_F127_220301_6db36815-3041-4b9d-a94e-e05853c5999d_0_r1d.csv
#        q_A^-1             I 
  4.457554e-03    7.612260e-03
  4.756484e-03    6.030780e-03
  5.055415e-03    4.380370e-03
  5.354345e-03    3.158695e-03
  5.653276e-03    2.496857e-03
  5.952206e-03    4.002999e-03
  6.251136e-03    3.641845e-03
  6.550067e-03    3.144343e-03
  6.848997e-03    2.659303e-03
  7.147927e-03    2.245088e-03
  7.446858e-03    1.920223e-03
  7.745788e-03    1.652284e-03
  8.044719e-03    1.427261e-03
  8.343649e-03    1.246073e-03
  8.642579e-03    1.092701e-03
  8.941510e-03    9.638621e-04
  9.240440e-03    8.545284e-04
  9.539371e-03    7.590791e-04
  9.838301e-03    6.761290e-04
  1.013723e-02    6.065242e-04
  1.043616e-02    5.467384e-04
  1.073509e-02    4.919029e-04
  1.103402e-02    4.461464e-04
  1.133295e-02    4.041218e-04
  1.163188e-02    3.680974e-04
  1.193081e-02    3.365387e-04
  1.222974e-02    3.083651e-04
  1.252867e-02    2.833411e-04
  1.282760e-02    2.603642e-04
  1.312654e-02    2.396252e-04
  1.342547e-02    2.219107e-04
  1.372440e-02    2.062233e-04
  1.402333e-02    1.917460e-04
  1.432226e-02    1.785510e-04
  1.462119e-02    1.663111e-04
  1.492012e-02    1.548860e-04
  1.521905e-02    1.451674e-04
  1.551798e-02    1.363900e-04
  1.581691e-02    1.281381e-04
  1.611584e-02    1.205118e-04
  1.641477e-02    1.136555e-04
  1.671370e-02    1.074364e-04
  1.701263e-02    1.016457e-04
  1.731156e-02    9.634107e-05
  1.761049e-02    9.132538e-05
  1.790942e-02    8.686342e-05
  1.820835e-02    8.266847e-05
  1.850728e-02    7.887179e-05
  1.880621e-02    7.557718e-05
  1.910514e-02    7.222663e-05
  1.940407e-02    6.912388e-05
  1.970300e-02    6.620192e-05
  2.000193e-02    6.410923e-05
  2.030086e-02    6.185308e-05
  2.059979e-02    5.935800e-05
  2.089873e-02    5.725315e-05
  2.119766e-02    5.533722e-05
  2.149659e-02    5.362675e-05
  2.179552e-02    5.187227e-05
  2.209445e-02    5.018734e-05
  2.239338e-02    4.879246e-05
  2.269231e-02    4.733332e-05
  2.299124e-02    4.603842e-05
  2.329017e-02    4.478702e-05
  2.358910e-02    4.370263e-05
  2.388803e-02    4.269577e-05
  2.418696e-02    4.159664e-05
  2.448589e-02    4.053839e-05
  2.478482e-02    3.965414e-05
  2.508375e-02    3.885646e-05
  2.538268e-02    3.821237e-05
  2.568161e-02    3.732117e-05
  2.598054e-02    3.659894e-05
  2.627947e-02    3.607688e-05
  2.657840e-02    3.549497e-05
  2.687733e-02    3.486208e-05
  2.717626e-02    3.403778e-05
  2.747519e-02    3.355009e-05
  2.777412e-02    3.319720e-05
  2.807305e-02    3.284094e-05
  2.837198e-02    3.217004e-05
  2.867092e-02    3.180121e-05
  2.896985e-02    3.156227e-05
  2.926878e-02    3.113917e-05
  2.956771e-02    3.060706e-05
  2.986664e-02    3.016681e-05
  3.016557e-02    2.984357e-05
  3.046450e-02    2.947395e-05
  3.076343e-02    2.909726e-05
  3.106236e-02    2.891407e-05
  3.136129e-02    2.873455e-05
  3.166022e-02    2.851938e-05
  3.195915e-02    2.806082e-05
  3.225808e-02    2.780022e-05
  3.255701e-02    2.763096e-05
  3.285594e-02    2.734796e-05
  3.315487e-02    2.705502e-05
  3.345380e-02    2.683669e-05
  3.375273e-02    2.655031e-05
  3.405166e-02    2.635207e-05
  3.435059e-02    2.593518e-05
  3.464952e-02    2.566469e-05
  3.494845e-02    2.560769e-05
  3.524738e-02    2.539919e-05
  3.554631e-02    2.510921e-05
  3.584524e-02    2.489968e-05
  3.614417e-02    2.472169e-05
  3.644310e-02    2.450517e-05
  3.674204e-02    2.434563e-05
  3.704097e-02    2.428134e-05
  3.733990e-02    2.407993e-05
  3.763883e-02    2.382447e-05
  3.793776e-02    2.373588e-05
  3.823669e-02    2.359301e-05
  3.853562e-02    2.350130e-05
  3.883455e-02    2.332808e-05
  3.913348e-02    2.318529e-05
  3.943241e-02    2.298779e-05
  3.973134e-02    2.289711e-05
  4.003027e-02    2.288746e-05
  4.032920e-02    2.273509e-05
  4.062813e-02    2.263733e-05
  4.092706e-02    2.250318e-05
  4.122599e-02    2.236782e-05
  4.152492e-02    2.238889e-05
  4.182385e-02    2.237802e-05
  4.212278e-02    2.221804e-05
  4.242171e-02    2.210622e-05
  4.272064e-02    2.192971e-05
  4.301957e-02    2.195792e-05
  4.331850e-02    2.183414e-05
  4.361743e-02    2.179512e-05
  4.391636e-02    2.185396e-05
  4.421529e-02    2.171061e-05
  4.451423e-02    2.166264e-05
  4.481316e-02    2.170757e-05
  4.511209e-02    2.173425e-05
  4.541102e-02    2.166536e-05
  4.570995e-02    2.156487e-05
  4.600888e-02    2.150453e-05
  4.630781e-02    2.155319e-05
  4.660674e-02    2.164559e-05
  4.690567e-02    2.155800e-05
  4.720460e-02    2.154270e-05
  4.750353e-02    2.145943e-05
  4.780246e-02    2.138058e-05
  4.810139e-02    2.134184e-05
  4.840032e-02    2.127694e-05
  4.869925e-02    2.127195e-05
  4.899818e-02    2.127583e-05
  4.929711e-02    2.122666e-05
  4.959604e-02    2.127854e-05
